"Dataset","Protein","GSM","SRR","Genotype","Treatment","Replicate","Input","Genome","SequencingStrategy","ReadLength","LibraryLayout","CellLine","Source_GSE"
"XPC","XPC","GSM6600715",NA,"WT","0h_post_UV","1","GSM6600680 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600716",NA,"WT","0h_post_UV","2","GSM6600680 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600717",NA,"WT","0h_post_UV","3","GSM6600680 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600718",NA,"WT","0h_post_UV","4","GSM6600680 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600719",NA,"ASH1L-KO","0h_post_UV","1","GSM6600698 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600720",NA,"ASH1L-KO","0h_post_UV","2","GSM6600698 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600721",NA,"ASH1L-KO","0h_post_UV","3","GSM6600698 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600722",NA,"XPC-KO","0h_post_UV","1",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600723",NA,"XPC-KO","0h_post_UV","2",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600724",NA,"WT","1h_post_UV","1","GSM6600686 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600725",NA,"WT","1h_post_UV","2","GSM6600686 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600726",NA,"WT","1h_post_UV","3","GSM6600686 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600727",NA,"ASH1L-KO","1h_post_UV","1","GSM6600704 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600728",NA,"ASH1L-KO","1h_post_UV","2","GSM6600704 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600729",NA,"ASH1L-KO","1h_post_UV","3","GSM6600704 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600730",NA,"XPC-KO","1h_post_UV","1",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600731",NA,"XPC-KO","1h_post_UV","2",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600732",NA,"WT","3h_post_UV","1","GSM6600692 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600733",NA,"WT","3h_post_UV","2","GSM6600692 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600734",NA,"WT","3h_post_UV","3","GSM6600692 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600735",NA,"ASH1L-KO","3h_post_UV","1","GSM6600710 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600736",NA,"ASH1L-KO","3h_post_UV","2","GSM6600710 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600737",NA,"ASH1L-KO","3h_post_UV","3","GSM6600710 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600738",NA,"XPC-KO","3h_post_UV","1",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","XPC","GSM6600739",NA,"XPC-KO","3h_post_UV","2",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"STAT1_STAT2","STAT1","GSM6928563",NA,"WT","UN","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","STAT1","GSM6928564",NA,"WT","UN","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","STAT1","GSM6928565",NA,"WT","IFNa_0_5h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","STAT1","GSM6928566",NA,"WT","IFNa_0_5h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","STAT1","GSM6928567",NA,"WT","IFNa_2h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","STAT1","GSM6928568",NA,"WT","IFNa_2h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","STAT1","GSM6928569",NA,"WT","IFNa_8h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","STAT1","GSM6928570",NA,"WT","IFNa_8h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","STAT1","GSM6928571",NA,"WT","IFNa_24h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","STAT1","GSM6928572",NA,"WT","IFNa_24h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","STAT1","GSM6928573",NA,"WT","IFNa_72h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
