"combinacao","n_genes","status"
"XPC_STAT1_STAT2_IRF9_ELK1",0,"insuficiente (n=0 < 5)"
"XPC_STAT1_STAT2_IRF9",8,"enriquecido (>=1 termo sig.)"
"STAT1_STAT2_IRF9_ELK1",7,"enriquecido (0 termos sig.)"
"XPC_STAT1_STAT2_ELK1",0,"insuficiente (n=0 < 5)"
"XPC_STAT1_IRF9_ELK1",0,"insuficiente (n=0 < 5)"
"XPC_STAT2_IRF9_ELK1",0,"insuficiente (n=0 < 5)"
"STAT1_STAT2_IRF9",477,"enriquecido (>=1 termo sig.)"
"STAT1_STAT2_ELK1",162,"enriquecido (>=1 termo sig.)"
"XPC_STAT1_STAT2",157,"enriquecido (>=1 termo sig.)"
"XPC_STAT1_IRF9",8,"enriquecido (>=1 termo sig.)"
"XPC_STAT2_IRF9",8,"enriquecido (>=1 termo sig.)"
"STAT1_IRF9_ELK1",7,"enriquecido (0 termos sig.)"
"STAT2_IRF9_ELK1",7,"enriquecido (0 termos sig.)"
"XPC_STAT1_ELK1",0,"insuficiente (n=0 < 5)"
"XPC_STAT2_ELK1",0,"insuficiente (n=0 < 5)"
"XPC_IRF9_ELK1",0,"insuficiente (n=0 < 5)"
"STAT1_STAT2",13017,"enriquecido (>=1 termo sig.)"
"STAT1_IRF9",484,"enriquecido (>=1 termo sig.)"
"STAT2_IRF9",484,"enriquecido (>=1 termo sig.)"
"XPC_STAT1",170,"enriquecido (>=1 termo sig.)"
"STAT1_ELK1",169,"enriquecido (>=1 termo sig.)"
"STAT2_ELK1",168,"enriquecido (>=1 termo sig.)"
"XPC_STAT2",164,"enriquecido (>=1 termo sig.)"
"XPC_IRF9",8,"enriquecido (>=1 termo sig.)"
"IRF9_ELK1",7,"enriquecido (0 termos sig.)"
"XPC_ELK1",0,"insuficiente (n=0 < 5)"
