"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9031628","NGF-stimulated transcription","5/76","39/11287",0.128205128205128,19.0401484480432,9.2915763398982,5.8337850283345e-06,0.0100095353582387,0.0100095353582387,"EGR1/FOS/FOSB/EGR2/JUNB",5
"R-HSA-187037","Signaling by NTRK1 (TRKA)","7/76","115/11287",0.0608695652173913,9.03993135011441,7.13494188325464,1.16119899747549e-05,0.0100095353582387,0.0100095353582387,"SHC1/EGR1/FOS/NRAS/FOSB/EGR2/JUNB",7
"R-HSA-166520","Signaling by NTRKs","7/76","134/11287",0.0522388059701493,7.7581500392773,6.47946309086015,3.14190508889313e-05,0.0180554812441725,0.0180554812441725,"SHC1/EGR1/FOS/NRAS/FOSB/EGR2/JUNB",7
"R-HSA-9634285","Constitutive Signaling by Overexpressed ERBB2","3/76","11/11287",0.272727272727273,40.5035885167464,10.7922003878617,4.65679264346826e-05,0.0185213379909792,0.0185213379909792,"SHC1/HSP90AA1/NRAS",3
"R-HSA-198725","Nuclear Events (kinase and transcription factor activation)","5/76","61/11287",0.0819672131147541,12.173209663503,7.20418720510857,5.37161774680372e-05,0.0185213379909792,0.0185213379909792,"EGR1/FOS/FOSB/EGR2/JUNB",5
"R-HSA-72163","mRNA Splicing - Major Pathway","8/76","205/11287",0.0390243902439024,5.79563543003851,5.70517092850743,6.75797823674327e-05,0.0194179241335757,0.0194179241335757,"SNRPB2/FAM32A/ISY1/SNRPB/SNRPE/DDX5/ALYREF/U2AF2",8
"R-HSA-72172","mRNA Splicing","8/76","213/11287",0.0375586854460094,5.57795898196195,5.55346554920995,8.83935141523254e-05,0.0217700597712299,0.0217700597712299,"SNRPB2/FAM32A/ISY1/SNRPB/SNRPE/DDX5/ALYREF/U2AF2",8
"R-HSA-5637810","Constitutive Signaling by EGFRvIII","3/76","15/11287",0.2,29.7026315789474,9.1584398790678,0.000125946372290074,0.0241257273142319,0.0241257273142319,"SHC1/HSP90AA1/NRAS",3
"R-HSA-5637812","Signaling by EGFRvIII in Cancer","3/76","15/11287",0.2,29.7026315789474,9.1584398790678,0.000125946372290074,0.0241257273142319,0.0241257273142319,"SHC1/HSP90AA1/NRAS",3
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","9/76","294/11287",0.0306122448979592,4.54632116004296,5.07280604184046,0.000150598478873871,0.0241769252153893,0.0241769252153893,"SNRPB2/FAM32A/ISY1/NUP35/SNRPB/SNRPE/DDX5/ALYREF/U2AF2",9
"R-HSA-9665348","Signaling by ERBB2 ECD mutants","3/76","16/11287",0.1875,27.8462171052632,8.847417207136,0.000154261123764085,0.0241769252153893,0.0241769252153893,"SHC1/HSP90AA1/NRAS",3
"R-HSA-1236382","Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants","3/76","19/11287",0.157894736842105,23.4494459833795,8.06331547746806,0.000263074126932516,0.0348876765255121,0.0348876765255121,"SHC1/HSP90AA1/NRAS",3
"R-HSA-5637815","Signaling by Ligand-Responsive EGFR Variants in Cancer","3/76","19/11287",0.157894736842105,23.4494459833795,8.06331547746806,0.000263074126932516,0.0348876765255121,0.0348876765255121,"SHC1/HSP90AA1/NRAS",3
"R-HSA-1227986","Signaling by ERBB2","4/76","50/11287",0.08,11.8810526315789,6.34870818683603,0.000345721574828871,0.0414651655774123,0.0414651655774123,"SHC1/STUB1/HSP90AA1/NRAS",4
"R-HSA-9754678","SARS-CoV-2 modulates host translation machinery","4/76","51/11287",0.0784313725490196,11.6480908152735,6.27488270551437,0.000373242514696707,0.0414651655774123,0.0414651655774123,"SNRPB/SNRPE/RPS19/RPS16",4
"R-HSA-9705683","SARS-CoV-2-host interactions","7/76","201/11287",0.0348258706467662,5.17210002618487,4.91382795265967,0.000395713144371071,0.0414651655774123,0.0414651655774123,"NUP35/IRF3/HSP90AA1/SNRPB/SNRPE/RPS19/RPS16",7
"R-HSA-9665686","Signaling by ERBB2 TMD/JMD mutants","3/76","22/11287",0.136363636363636,20.2517942583732,7.4416903840388,0.000412065215205249,0.0414651655774123,0.0414651655774123,"SHC1/HSP90AA1/NRAS",3
"R-HSA-177929","Signaling by EGFR","4/76","53/11287",0.0754716981132075,11.2085402184707,6.13322661980958,0.000432930963105233,0.0414651655774123,0.0414651655774123,"STAM2/SHC1/ADAM17/NRAS",4
"R-HSA-72187","mRNA 3'-end processing","6/76","152/11287",0.0394736842105263,5.86236149584487,4.96910953129405,0.000543678029262942,0.0493316274973323,0.0493316274973323,"SNRPB2/SNRPB/SNRPE/DDX5/ALYREF/U2AF2",6
"R-HSA-9664565","Signaling by ERBB2 KD Mutants","3/76","25/11287",0.12,17.8215789473684,6.93240048257978,0.000606553266310027,0.0497951348151661,0.0497951348151661,"SHC1/HSP90AA1/NRAS",3
"R-HSA-1643713","Signaling by EGFR in Cancer","3/76","25/11287",0.12,17.8215789473684,6.93240048257978,0.000606553266310027,0.0497951348151661,0.0497951348151661,"SHC1/HSP90AA1/NRAS",3
