"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","169/3027","200/4384",0.845,1.22381235546746,4.83843866207986,2.31758808834192e-07,1.15879404417096e-05,1.15879404417096e-05,"ACLY/ACADM/PPM1B/EPHX2/LIPE/ALDOA/SLC25A1/SCARB1/DGAT1/REEP6/HIBCH/SLC19A1/TST/BCL2L13/CS/LIFR/RIOK3/SCP2/SOWAHC/RREB1/COQ9/SULT1A1/REEP5/ARAF/C3/CYC1/PEMT/MYLK/GPD2/CMBL/DNAJB9/APOE/YWHAG/ORM1/GHITM/POR/RAB34/GPHN/COX7B/QDPR/GPAM/ENPP2/COX6A1/MGLL/ABCA1/NDUFA5/LTC4S/FAH/PIM3/PFKL/ACADL/ALDH2/CPT2/ESRRA/FZD4/LAMA4/PGM1/DRAM2/SPARCL1/RNF11/CHUK/GPAT4/PDCD4/RTN3/AGPAT3/UBC/VEGFB/CD302/CD151/NDUFAB1/HSPB8/UQCR11/ACOX1/DNAJC15/SSPN/UQCR10/COX8A/NABP1/ETFB/NMT1/ACO2/NDUFB7/UCP2/MGST3/MTCH2/NKIRAS1/IMMT/ANGPT1/LPCAT3/DLAT/LEP/MIGA2/UCK1/SLC1A5/NDUFS3/ELMOD3/IDH1/SLC25A10/GBE1/RETSAT/GPX4/DLD/PRDX3/PLIN2/AIFM1/ARL4A/SORBS1/GPX3/ATL2/HADH/SQOR/SLC66A3/CDKN2C/GRPEL1/STAT5A/DECR1/ELOVL6/SAMM50/CAT/ME1/PHLDB1/MCCC1/MTARC2/SDHC/PEX14/ESYT1/DBT/BCL6/JAGN1/MDH2/SUCLG1/ATP1B3/ACAA2/LPL/ABCB8/CIDEA/CRAT/ADIPOR2/TOB1/SLC5A6/CMPK1/ITSN1/CAVIN2/DHRS7/IDH3G/DHCR7/APLP2/CAVIN1/PPP1R15B/PPARG/RMDN3/ANGPTL4/PHYH/BAZ2A/COQ3/AK2/TANK/G3BP2/IFNGR1/PREB/COQ5/CD36/ECH1/IDH3A/BCKDHA/ECHS1/SDHB/GADD45A/UQCRC1",169
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","164/3027","199/4384",0.824120603015075,1.19357275309484,4.17373677439591,8.962387900489e-06,0.00015160076427311,0.00015160076427311,"ECT2/TOP2A/TPX2/FLNB/TUBA4A/RABGAP1/BCR/ARFGEF1/SSH2/ARHGDIA/NET1/ROCK1/AKAP13/CDC42/KIF15/LRPPRC/RACGAP1/PAFAH1B1/NEDD9/ARL8A/DYNC1H1/ARHGAP29/TUBGCP2/PALLD/CNTRL/PDLIM5/MAPRE1/RICTOR/MYH9/CEP192/KIF20B/ARHGEF7/APC/RANBP9/TAOK2/TLK1/CDC27/SHROOM2/CNTROB/ARHGEF3/CDK1/PIF1/RAPGEF5/RALBP1/EPB41L2/GSN/PCNT/STAU1/FGD4/BCL2L11/RHOF/CCDC88A/MAP3K11/CDC42EP2/DYNLL2/DLG1/SHROOM1/CDC42EP4/BIN1/KIF3C/ARHGEF11/KIF2C/CD2AP/ALS2/EZR/CPAP/NCK2/SYNPO/CENPE/EPB41/TUBD1/WASL/HDAC6/BCAR1/CEP250/RASAL2/SPTBN1/KIF22/KIF4A/CLASP1/DST/MYH10/ARHGAP5/SASS6/MARK4/ARAP3/SEPTIN9/MAP1S/ARHGEF2/ABI1/CLIP1/MARCKS/CAPZB/RASA2/CDC42EP1/SPTAN1/KATNA1/ARFIP2/ARHGAP4/TBCD/TUBGCP6/MID1/SAC3D1/TSC1/PLK1/TRIO/KIF11/NF1/BIRC5/FBXO5/CKAP5/MYO1E/RAPGEF6/PXN/KLC1/ALMS1/WASF2/MYO9B/FARP1/MID1IP1/KIF1B/CCNB2/ARHGEF12/RFC1/SUN2/PCM1/RAB3GAP1/SORBS2/NOTCH2/SOS1/CENPF/GEMIN4/KIF3B/ARF6/NIN/KATNB1/ESPL1/TTK/PLEKHG2/NEK2/ABL1/LMNB1/BRCA2/FGD6/STK38L/ITSN1/CDK5RAP2/TUBGCP3/ANLN/CLIP2/VCL/NDC80/LLGL1/RASA1/PCGF5/NCK1/ACTN4/CDC42BPA/DOCK4/SMC3/KIF5B/NUSAP1/RHOT2/CSNK1D",164
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","122/3027","144/4384",0.847222222222222,1.22703079690196,4.13699611729164,9.09604585638661e-06,0.00015160076427311,0.00015160076427311,"ZMIZ1/ADGRL2/NFIB/EFEMP1/NR1D2/MAP1B/DDAH1/COL11A1/CITED2/SPOP/ICA1/ID1/NIPBL/COL1A2/SDC2/F3/FBLN5/SRI/MRPS31/ANXA2/PDGFRB/PDLIM5/NFKB1/TENT4A/VAV2/DYRK1A/PIK3CD/GRK5/ITGB3/CDON/ABCC1/SIPA1L1/MGLL/RXRA/ATP2B4/MYC/PTPN21/TGFBR2/SYNJ2/CDK13/PRDM2/BHLHE40/ANXA4/SFMBT1/DLG1/SLC7A1/ATRX/DAB2/AGGF1/PHF3/ATXN1/CAP2/PMP22/PLPP3/IRS1/MAP2K5/DMAC2L/DLC1/MAGI2/SCAF8/SMAD3/PTPRM/COL3A1/LTBP1/MAPK14/PIK3R3/ACVR2A/KCNMA1/TOGARAM1/SYNE1/TGFBR3/PTEN/RASA2/CCN1/PIAS3/ATP2C1/DBP/BMPR1A/PLCB4/RBPMS/ADD3/MET/PRKCA/SCN8A/MGMT/DUSP1/SCHIP1/SERPINE1/APBB2/NRP1/ADORA2B/CAV1/SMAD7/GCNT1/GJA1/IGF1R/LDLR/RND3/COL5A2/ATP2B1/KALRN/TJP1/PTGFR/CDKN1B/FYN/BCKDHB/PEX14/NOTCH2/PRKAR2B/RUNX1/VLDLR/ERBB2/NEK7/TFPI/PPARG/LAMC1/WDR37/ATRN/PRKCE/CDC42BPA/NR3C1/SLC67A1",122
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","163/3027","200/4384",0.815,1.18036339610175,3.89914679687831,3.38949538213917e-05,0.000423686922767396,0.000423686922767396,"LPIN2/COMT/GSS/DHPS/HES6/ANGPTL3/BPHL/LEAP2/SERTAD1/TMBIM6/GAD1/JUP/AP4B1/SAR1B/SHMT2/XDH/PEMT/GCH1/CROT/IRF8/VNN1/PDLIM5/ETS2/CCL25/HMOX1/CSAD/APOE/IL1R1/ACOX2/ENPEP/HGFAC/PPARD/GCLC/ACP1/POR/PTGES/SLC6A6/SMOX/ITIH4/KARS1/FETUB/ENTPD5/TMEM97/UPB1/CYP26A1/FAH/SSR3/ALDH2/PDK4/FBLN1/BCAT1/TKFC/NPC1/ATP2A2/ABCC3/TTPA/TNFRSF1A/AKR1C2/CYP17A1/SLC35D1/ALDH3A1/ADH5/GSR/ACOX1/CYP27A1/F11/IGFBP1/ALDH9A1/IGFBP4/NMT1/KYNU/ACO2/ASL/PINK1/ALAS1/TGFB2/BCAR1/CYP2E1/CDA/SLC35B1/ARG1/CYP1A1/EPHX1/PYCR1/NINJ1/CYP2J2/SLC1A5/EPHA2/FBP1/PAPSS2/GCKR/IDH1/RETSAT/GSTM4/ACSM1/GART/MARCHF6/ITIH1/FMO1/ABHD6/ABCD2/GSTO1/DHRS1/SERPINE1/FABP1/UGDH/CYB5A/FAS/CYP1A2/TAT/ACOX3/CRP/PGD/AHCY/CAT/DDC/AOX1/SLC12A4/MAN1A1/MAOA/UPP1/BLVRB/CNDP2/PROS1/ACP2/PLG/CBR1/F10/GABARAPL1/TPST1/HSD17B2/HNF4A/RAP1GAP/PTS/MBL2/G6PC1/NQO1/ARPP19/GSTA3/MT2A/PC/LONP1/ELOVL5/IGF1/RBP4/CASP6/DHRS7/ARG2/PMM1/ESR1/PTGR1/GCNT2/AKR1C3/SPINT2/SLC6A12/HPRT1/PTGES3/ID2/CD36/ECH1/ABCC2/CYFIP2/CYP2C18",163
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","82/3027","96/4384",0.854166666666667,1.23708842638476,3.50768515122564,0.000156027892200654,0.00156027892200654,0.00156027892200654,"LAMP2/ARFGEF1/TOM1L1/VPS45/ICA1/MON2/VPS4B/AP2S1/SCRN1/GLA/SEC31A/ATP6V1B1/ZW10/ARFGAP3/PPT1/TSPAN8/ABCA1/ANP32E/IGF2R/STX12/GNAS/COG2/GOLGA4/YIPF6/ARFGEF2/KRT18/DOP1A/AP3B1/CLTA/NAPG/SSPN/RAB2A/VAMP4/PAM/CLTC/CLN5/STX7/TMED10/SGMS1/ATP1A1/OCRL/RAB14/DST/AP2B1/TMX1/RER1/BNIP3/TSG101/USO1/DNM1L/AP3S1/COPB1/SNAP23/NAPA/SEC24D/GBF1/ADAM10/EGFR/STAM/YKT6/CLCN3/AP2M1/CAV2/GALC/ATP6V1H/ATP7A/KIF1B/COPE/SNX2/MAPK1/SCAMP1/AP1G1/ERGIC3/ARCN1/RPS6KA3/LMAN1/BET1/ARFIP1/TPD52/GOSR2/ARF1/SEC22B",82
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE","85/3027","101/4384",0.841584158415842,1.2188651967278,3.32326809815739,0.000351158185795572,0.0029263182149631,0.0029263182149631,"ZMIZ1/UAP1/NDRG1/PLPP1/HERC3/PA2G4/GUCY1A1/ADRM1/LIFR/CCND3/ANKH/RAB4A/BMPR1B/SPCS3/SRF/STK39/PDLIM5/DNAJB9/ABCC4/ELK4/SRP19/TNFAIP8/ELL2/HOMER2/IDI1/MAF/ACSL3/PTPN21/SLC38A2/IQGAP2/H1-0/GSR/CENPN/NGLY1/RRP12/TMEM50A/SCD/CAMKK2/SMS/CCND1/DBI/APPBP2/SAT1/ADAMTS1/SGK1/AKT1/KRT8/GNAI3/SEC24D/UBE2I/DHCR24/ACTN1/ZBTB10/UBE2J1/NCOA4/TSC22D1/CDC14B/FADS1/ARID5B/XRCC6/MAK/VAPA/HMGCR/HSD17B14/PTK2B/SORD/XRCC5/AKAP12/NKX3-1/RPS6KA3/LMAN1/ELOVL5/STEAP4/GPD1L/CDK6/HPGD/MYL12A/B4GALT1/TPD52/PIAS1/ABHD2/HMGCS1/SELENOP/SLC26A2/MERTK",85
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","159/3027","200/4384",0.795,1.15139742319128,3.27295222007728,0.000483627464304785,0.0034138221067901,0.0034138221067901,"HMGB3/PDS5B/LBR/TOP2A/TPX2/AURKB/FOXN3/HIF1A/CUL5/JPT1/KIF15/RACGAP1/CHAF1A/RAD21/PAFAH1B1/PBK/GSPT1/ORC6/RBL1/PRIM2/SRSF1/SYNCRIP/HMMR/TNPO2/MCM6/MKI67/POLA2/TENT4A/E2F4/KIF20B/FANCC/MYBL2/HMGA1/NCL/ODC1/MNAT1/SNRPD1/HSPA8/CCNF/CDC27/EFNA5/SS18/MYC/BCL3/CDK1/CDKN3/RAD54L/MCM3/E2F1/SFPQ/NOLC1/STMN1/SLC7A1/POLQ/ATRX/BARD1/HUS1/H2BC12/CDC6/KIF2C/UBE2S/TMPO/KPNA2/CENPE/CCND1/POLE/MCM5/RASAL2/DBF4/UCK2/TFDP1/SMAD3/KIF22/KIF4A/SRSF2/CCNT1/TOP1/TLE3/MAPK14/RBM14/TACC3/DMD/NASP/ARID4A/RAD23B/TRA2B/MARCKS/CBX1/EZH2/E2F3/CENPA/DKC1/MEIS2/KATNA1/HMGN2/EXO1/CDC25B/KPNB1/PLK1/KIF11/G3BP1/CCNA2/STAG1/BIRC5/FBXO5/CDKN2C/HIRA/CDC25A/RPA2/CDKN1B/PLK4/NSD2/SMARCC1/PML/SUV39H1/CUL4A/HNRNPU/CASP8AP2/CTCF/ORC5/CCNB2/BUB3/CUL1/KMT5A/NOTCH2/CENPF/ATF5/CDK4/UPF1/CHEK1/DDX39A/ESPL1/WRN/CUL3/TTK/NEK2/ABL1/MT2A/LMNB1/MAP3K20/DTYMK/BRCA2/TGFB1/STIL/EWSR1/SMC2/ODF2/KNL1/SLC7A5/XPO1/ILF3/HNRNPD/MTF2/NDC80/MEIS1/SLC38A1/KIF5B/NUSAP1/AMD1",159
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","48/3027","54/4384",0.888888888888889,1.28737657379877,3.17326481546452,0.000546211537086416,0.0034138221067901,0.0034138221067901,"SMAD1/HDAC1/SMURF1/ID3/ID1/LTBP2/SKIL/BCAR3/RAB31/APC/SKI/HIPK2/LEFTY2/PPP1CA/THBS1/CDK9/FKBP1A/PPM1A/BMPR2/SMURF2/JUNB/WWTR1/ARID4B/SPTBN1/SMAD3/NCOR2/RHOA/TRIM33/SMAD6/BMPR1A/MAP3K7/SERPINE1/CTNNB1/XIAP/SMAD7/TJP1/ACVR1/UBE2D3/FURIN/TGFB1/TGIF1/ENG/IFNGR2/PPP1R15A/ID2/FNTA/CDH1/TGFBR1",48
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","81/3027","97/4384",0.835051546391753,1.20940402358158,3.1145561833613,0.000805318080672733,0.00447398933707074,0.00447398933707074,"OASL/EIF2AK2/WARS1/SLC25A28/IFITM1/IFITM3/TRAFD1/USP18/TMEM140/LAP3/IL15/RIPK2/CD47/CASP8/SELL/IFIT3/DDX60/PLSCR1/LAMP3/DHX58/TRIM25/HELZ2/IFIT2/PARP12/TXNIP/NMI/PROCR/PSMA3/IRF9/UBA7/IL4R/RSAD2/PNPT1/IFI35/STAT2/C1S/SAMD9/LGALS3BP/TDRD7/UBE2L6/CD74/OGFR/NUB1/PSME1/TENT5A/HERC6/ELF1/EPSTI1/SAMD9L/IFI30/ISG20/SP110/RTP4/MX1/CNP/GBP2/CXCL10/OAS1/CXCL11/PARP9/NCOA7/ADAR/IL7/ISG15/MOV10/IRF2/IRF1/IFI44/MVB12A/IFITM2/CSF1/LPAR6/RNF31/BATF2/TRIM14/CMPK2/CASP1/IFI44L/PARP14/TRIM21/TRIM5",81
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","157/3027","200/4384",0.785,1.13691443673604,2.95985493167677,0.00152248627353923,0.00761243136769616,0.00761243136769616,"HMGB3/CHEK2/DSCC1/PDS5B/BRCA1/EIF2S1/LBR/TOP2A/PPP1R8/RNASEH2A/AURKB/PRPS1/PA2G4/JPT1/GINS4/PSMC3IP/RACGAP1/RAD21/GSPT1/MELK/ORC6/TIMELESS/PRIM2/SRSF1/SYNCRIP/NBN/PPM1D/HMMR/RPA3/PCNA/DCK/CNOT9/MCM6/MKI67/POLA2/SHMT1/CCP110/EXOSC8/DEK/RAD51C/ZW10/MYBL2/HMGA1/EED/RFC2/HMGB2/DNMT1/RAD51AP1/ANP32E/MCM4/CTPS1/SPC24/MYC/CDK1/NME1/CDKN3/PAICS/RPA1/CDKN2A/KIF18B/ORC2/MCM3/NOLC1/STMN1/ATAD2/BARD1/CDKN1A/DCTPP1/HUS1/HELLS/KIF2C/UBE2S/SNRPB/TMPO/DONSON/KPNA2/CENPE/ING3/POLE/MCM5/BUB1B/DUT/KIF22/KIF4A/SRSF2/MTHFD2/TACC3/GINS1/NASP/UBE2T/TRA2B/PSIP1/EZH2/MRE11/UNG/USP1/DEPDC1/CDC25B/RAD50/RRM2/LUC7L3/IPO7/DIAPH3/PLK1/STAG1/BIRC5/RFC3/CDKN2C/PMS2/NUP205/ASF1A/NAP1L1/CDC25A/GINS3/RPA2/CDKN1B/PLK4/NUDT21/SUV39H1/TIPIN/E2F8/CSE1L/CTCF/POLD1/CCNB2/PNN/RFC1/RAN/MSH2/BRMS1L/XRCC6/PRDX4/POLD2/CDK4/CHEK1/DDX39A/ESPL1/POLD3/LMNB1/PRKDC/TFRC/BRCA2/CBX5/SMC6/MCM7/POP7/XPO1/ILF3/HNRNPD/TBRG4/AK2/CIT/CDCA3/WEE1/SMC3/RAD1/LYAR",157
