"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9012999","RHO GTPase cycle","301/5767","450/11287",0.668888888888889,1.30912933741788,6.84017799456665,3.39149076179814e-12,4.77850205410806e-09,4.77850205410806e-09,"VRK2/RAPGEF1/RND3/DOCK8/ARL13B/FLOT2/ECT2/ARMCX3/GIT1/ARHGAP21/LBR/PLEKHG1/TMEM59/FNBP1/SYDE1/RHOB/MCF2L/TNFAIP1/PARD6A/WDR11/CCT2/PIK3CA/MACO1/BCR/CKB/BRK1/ARHGEF39/VIM/DBN1/ARHGDIA/NET1/DST/STAM2/ROCK1/KCTD13/JUP/AKAP13/NIPSNAP2/CDC42/WDR91/RACGAP1/RHOD/ARHGAP15/RRAS2/AAAS/SH3PXD2A/CHN2/SAMM50/MTR/AMIGO2/SH3RF1/USP9X/SLC1A5/PIK3R1/FAM91A1/ABL2/MUC13/FAM135A/ARAP3/TPM3/ARHGEF40/ITGB1/IQGAP2/MYO9B/MYO6/CDC42EP2/TRIP10/ARHGAP35/MOSPD2/RHOU/RHOC/EPSTI1/WDR6/KALRN/TMOD3/RALBP1/RBBP6/NDUFA5/TAOK3/PICALM/NCKAP1/LCK/ARFGAP2/UACA/TMPO/SOS2/DOCK7/LAMTOR1/GJA1/SOS1/DLC1/SRC/RND1/ARHGAP26/CEP97/OCRL/FARP2/MAP3K11/NISCH/SYDE2/ARHGEF3/STBD1/TOR1AIP1/HSP90AA1/HSP90AB1/PDE5A/FRS2/SENP1/PLXNB1/PAK3/GIT2/SPEN/DOCK4/EFHD2/NSFL1C/ARHGEF11/FGD4/VANGL1/CPNE8/NOXO1/DIAPH2/ANKFY1/SH3BP1/PRAG1/WASF3/MYO9A/EMD/ARHGAP42/SHKBP1/RHPN2/FAM169A/DEF6/ARHGAP1/ABI1/LETM1/CSK/NCF2/CDC42EP4/ACTN1/CLTC/DNMBP/ALS2/TFRC/SRRM1/ITSN2/CDC42EP1/CPD/ARHGEF2/ARHGEF19/C1QBP/RHOQ/PAK2/NGEF/ESYT1/PARD6B/ERBIN/KIDINS220/RHOH/VAPB/LEMD3/NDUFS3/DBT/CCP110/RAC1/KIF14/PIK3R2/PAK4/CCT7/DOCK1/RHOF/CUL3/ARHGEF1/STIP1/DSP/ABI2/ARHGAP25/TPM4/PLD1/RAB7A/RTKN/FAM13A/ACBD5/PLXNA1/ARHGAP31/CDC42BPB/GMIP/YKT6/TJP2/WASF2/COPS4/SPATA13/CFTR/DOCK5/DOCK11/ARHGEF17/TRIO/RHOG/ARHGAP5/NCKAP1L/PLEKHG6/WASL/SLC4A7/CHN1/CYBA/WWP2/TWF1/STK38/MTX1/TXNL1/ARHGAP4/PGRMC2/PLXND1/TEX2/RHOA/RAC3/HNRNPC/ARHGAP24/PLEKHG2/DIAPH1/EPHA2/KTN1/IL32/PEAK1/SNAP23/SPTBN1/NUDC/LMNB1/SRGAP2/ARHGAP17/WHAMM/ABCD3/ARHGEF28/PKP4/ARHGEF12/CAVIN1/MSI2/TUBA1B/LMAN1/WIPF2/BAIAP2/FMNL1/TRA2B/DAAM1/PAK1/IQGAP1/ARHGAP33/VCP/OSBPL11/ARHGAP29/RNF20/ACTB/FMNL2/GRB7/SHMT2/ANKLE2/STARD13/ADD3/GFOD1/FERMT2/FNBP1L/DEPDC1B/SCFD1/PKN3/PHIP/CAPZB/ANLN/TIAM2/BAIAP2L2/CDC42BPA/WAS/RHOBTB2/CAV1/ACTG1/ARHGAP45/CKAP4/STK10/GOLGA3/GOPC/ARHGAP18/ARHGAP12/CDC37/RALGAPA1/ARHGEF10L/WIPF1/VAV2/GNA13/BCAP31/SPTAN1/SRGAP1/ANKRD26/CCDC88A/RHOBTB1/FARP1/ARHGEF16/EMC3/ARAP2/CDC42SE2/ARHGAP22/BAIAP2L1/ALDH3A2/PTK2B",301
"R-HSA-9839923","Dengue Virus Infection","272/5767","402/11287",0.676616915422886,1.32425439992684,6.76643863523203,5.54350586323441e-12,4.77850205410806e-09,4.77850205410806e-09,"SF3B1/PTBP1/FIP1L1/HNRNPA0/KPNA1/CAMK2B/PIK3R4/NACA/KPNA7/SRSF5/EIF4E/RPN1/H2AC15/SRRM2/CSTF3/SNRPB2/HNRNPH1/SF3B5/KPNA2/VIM/UBA52/RRBP1/CLDN1/NFKBIA/ATG7/H4C3/UBB/NRBP1/HNRNPM/PDCD6IP/GPC3/PIK3R1/FURIN/DAD1/DDOST/SNRNP200/P4HA2/CWC22/H2AC13/GTF2F2/PROS1/SF3A3/C4BPB/IKBKE/AGRN/LYN/TJP1/H4C5/H3C13/NUDT21/HNRNPA1/AXL/DNAJC8/LEO1/RIPK1/H2BC21/H4C4/MBL2/HNRNPA2B1/HAVCR1/H2BC18/H2AC4/RNASEK/H2BC26/CPSF6/WDR33/SRSF4/NCL/RTN3/HSP90AA1/PCBP2/H4C2/HSP90AB1/PABPN1/HSPA8/AP2S1/XRN1/H3C2/TYRO3/DNAJA2/SF3B4/POLR2I/H2AC8/CSTF1/RBM22/H4C11/KPNB1/TSG101/CAMK2G/POLR2H/KPNA3/PPIL4/H4C12/U2SURP/CHERP/HNRNPK/U2AF1L4/CTNNBL1/AP2A1/MTOR/PPIL6/H4C9/EXOC1/POLR2K/HNRNPF/H3C1/DDX3X/SRSF2/SRRM1/DYNLT1/SUN2/DNAJC10/EIF4G1/AP2B1/KPNA4/OSTC/PABPC1/DDX46/CANX/FUS/DHX9/H2BC15/DDX5/F2/IPO7/SNRPD1/FASN/H2AC17/SNW1/PQBP1/GPC6/DPM1/MAVS/SF3B3/CLU/CWC15/SDC2/MLST8/MAPKAP1/BCAS2/EIF4A3/NPLOC4/SF3A1/DDX42/BTF3/GRPEL1/SF3B2/CRNKL1/SRSF3/POLR2D/EIF4G3/PML/TAOK1/STAT2/AP2M1/UBA7/RETREG1/PDIA3/PIK3C3/RTF1/CCAR1/CPSF4/UBA6/HDLBP/H2AC11/ATL2/YBX1/CAMK2D/HYOU1/HNRNPC/POLR2B/UBE2I/OST4/H2BC12/NEK2/SRRT/UBA1/H3C10/HNRNPU/POLR2A/H2AC7/HNRNPUL1/U2AF2/CD14/COG1/SEC11C/DPM3/EFTUD2/RICTOR/MAP1LC3B/H3C3/PRPF6/XPO1/TXNL4A/CPSF3/H2BC3/HNRNPD/SYMPK/HNRNPR/CALR/STT3B/CTR9/PCF11/H2AC21/EMC4/PAF1/H2BC5/PPIL3/SMNDC1/UBA5/SRSF11/VCP/NFKBIB/SNRPE/H3C6/MAGT1/SEC11A/AP2A2/H3C4/CSTF2T/CLP1/NMT1/C4BPA/POLR2E/CDC40/PAPOLA/APOA1/H2BC11/MERTK/PLRG1/RBM17/HNRNPL/H2BC17/SDC4/SCAP/GPKOW/ALYREF/CTNNB1/H2AC16/KPNA5/H3C11/WBP11/AQR/DNAJB11/RPTOR/PRR5/TRIM25/SDC1/GBF1/SUMO1/ACOT2/H2AC6/SRSF7/EIF4A2/DDX23/POLR2G/H3C12/SPCS3/C1S/RBM5/ATG14/KDELR1/UBR4/CPSF1/PPIL1/MAPRE3/SNRPB/DHX15/H2BC9/H2AC12/P4HA1/SRSF1",272
"R-HSA-4839726","Chromatin organization","253/5767","374/11287",0.676470588235294,1.32396801272963,6.51240371210487,3.22839001293202e-11,1.46974804339758e-08,1.46974804339758e-08,"BCL11A/SF3B1/HDAC1/KANSL3/CLOCK/TRRAP/KDM3B/ASH2L/ARID2/H2AC15/MBD2/KMT2D/SNRPB2/SF3B5/KMT5B/PRDM16/SETD2/SUPT20H/ELP6/KDM2A/H4C3/NSD3/PRMT1/HAT1/ENY2/COPRS/TAF5L/PHF20/KMT5A/DOT1L/H2AC13/DPF2/SF3A3/CTCF/PHF10/PHF21A/KANSL2/ARID1B/H4C5/H3C13/PWWP2A/ZNF827/LEO1/KDM4B/CDK2AP2/AEBP2/H2BC21/RBBP5/H4C4/ACTL6A/SETD7/H2BC18/BICRAL/RPS2/H2AC4/H2BC26/SUPT3H/KAT5/ARID5B/NSD2/H4C2/TBL1X/H3C2/H3-3B/SF3B4/KDM7A/KMT5C/MSL1/ING4/TCF4/OGT/SAP130/HDAC10/H2AC8/H4C11/NCOA1/SMARCD1/PHF8/SUV39H1/BRPF1/EP400/RCOR1/RUVBL1/CHD3/MORF4L1/KMT2C/CDK4/NCOR1/H4C12/U2SURP/CHERP/GATAD2A/ING3/USP22/H4C9/PRDM9/ELP4/KDM6A/NFE2L2/KAT6A/H3C1/CBX1/TADA2B/KDM1A/CCND1/MTA3/GPS2/EZH2/NCOR2/ATXN7L3/KDM5B/DDX46/SS18/ADNP2/ZZZ3/NQO1/CBX3/TAF6L/H2BC15/MCRS1/SNRPD1/H2AC17/SMARCC1/ASH1L/KAT8/SF3B3/KDM3A/KAT6B/TAF10/CHD7/SF3A1/ZNF532/ACTL6B/KAT2B/DDX42/EED/SMYD3/SETD1B/DNMT3A/NR2C2/JAK2/SF3B2/EP300/ARID4A/CARM1/KMT2A/NCOA2/RTF1/KDM1B/H2AC11/ZNF592/SETD1A/SMARCD3/H2AJ/YEATS4/UBE2I/CHD9/H2BC12/ARID1A/MBD3/CHD8/H3C10/MECOM/EPC1/ELP3/DMAP1/H2AC7/KAT14/RIOX2/ZMYND8/NFKB2/SAP18/H3C3/FBP1/SGF29/ELP1/REST/H2BC3/SMARCD2/G6PC1/JADE3/PRMT3/VPS72/CTR9/SETD6/YEATS2/NR2F2/HDAC8/H2AC21/PAF1/SUZ12/H2BC5/MEAF6/SMNDC1/KDM4A/SNRPE/ATXN7/ACTB/NSD1/JADE2/H3C6/SMARCE1/KAT7/CDK2AP1/ING5/TADA1/H3C4/PRMT7/BRWD1/SMARCA4/JADE1/TCF3/SETDB2/HCFC1/KDM5C/MRGBP/ATF7IP/H2BC11/RBM17/ARID4B/H2BC17/H3-3A/BCL7B/CTNNB1/KDM6B/H2AC16/H3C11/CHD2/KDM4C/BRD9/BRMS1/KMT2B/MSL2/BICRA/CHD6/CREBBP/SUMO1/H2AC6/KDM2B/RUVBL2/SS18L1/H3C12/CHD4/TBL1XR1/PWWP2B/NFKB1/SNRPB/MTA2/DHX15/MAFK/H2BC9/H2AC12/BCL7A",253
"R-HSA-3700989","Transcriptional Regulation by TP53","242/5767","356/11287",0.679775280898876,1.33043585841956,6.47526701657894,4.10420959586255e-11,1.46974804339758e-08,1.46974804339758e-08,"HDAC1/TAF2/RMI1/CHEK2/AIFM2/BRCA1/NDRG1/ING2/TFDP2/PLK2/PRKAG2/AGO1/RAD51D/TPX2/NELFCD/PPP2R1B/TP73/PPP1R13L/AURKB/PRKAG1/NUAK1/ZNF385A/TOPBP1/NELFB/UBA52/ELOA/HIPK1/MAP2K6/MAPK14/PCNA/ERCC2/UBB/DDB2/LAMTOR4/RBL1/PRMT1/CHEK1/FOS/CNOT10/YWHAZ/BBC3/PHF20/KMT5A/GTF2H5/G6PD/GTF2F2/PMS2/CDK5R1/PMAIP1/PDPK1/ELL/COX7A2L/COX5B/CDK1/AGO2/COXFA4/WRN/LAMTOR1/BLM/RAD50/TAF1/E2F1/ELOC/TP63/COX5A/CDK9/TAF13/GLS/PRKAA1/E2F7/RRAGD/KAT5/SUPT5H/PRELID3A/TCEA1/CDKN2A/RNF34/SESN1/PRDM1/CCNA2/POLR2I/CDK13/TAF11/CYCS/MNAT1/SGK1/CPAP/PRELID1/PLAGL1/BRPF1/TIGAR/PIP4K2A/CHD3/CASP6/POLR2H/AGO3/CCNB1/PRDX1/BRIP1/RFC5/MTOR/GATAD2A/COX4I1/PTEN/STK11/CDK2/KAT6A/POLR2K/TFDP1/RFFL/AGO4/FAS/BANP/CSNK2A1/MDM4/RRAGC/RRM2B/EXO1/CCNT1/SCO2/PPP2R1A/CNOT6L/MRE11/RPA2/CDK5/NOC2L/FANCC/ATR/RRAGB/TSC1/MLST8/GSR/TP53I3/PRKAB2/MAPKAP1/TAF10/CNOT6/SFN/TP53BP2/COX6A1/FANCI/HIPK2/YWHAQ/CSNK2A2/TAF8/RABGGTB/TXNRD1/CCNH/YWHAB/EP300/POLR2D/MOV10/PML/CARM1/PIP4K2C/TBP/COX7C/TAF5/CDKN1A/YWHAH/BIRC5/USP7/E2F8/COX8A/RHEB/RFC3/TNKS1BP1/POLR2B/NPM1/HUS1/NBN/TMEM219/MBD3/CNOT4/MDM2/POLR2A/PRDX5/RAD9B/RICTOR/TNRC6A/SESN2/COX6B2/COX6C/RAD9A/TP53RK/CCNE2/PERP/GTF2H3/TNRC6B/ELOB/RBL2/MEAF6/DYRK2/COX7A2/CNOT8/ING5/CASP1/CNOT9/POLR2E/GADD45A/ATM/SLC38A9/SUPT4H1/TNRC6C/CASP10/AKT2/BAX/RRAGA/CNOT1/CDK12/RFC2/CDKN1B/COX7B/RPTOR/LAMTOR2/PRR5/TXN/TNFRSF10D/CCNT2/BCL2L14/CRADD/BCL6/RPA3/PIDD1/CREBBP/GPX2/ARID3A/E2F4/PLK3/POLR2G/NELFA/DNA2/PPP2CB/CHD4/TOP3A/LAMTOR3/CCNK/TNFRSF10B/MTA2/YWHAG/RFC4/MSH2",242
"R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","299/5767","453/11287",0.660044150110375,1.29181867908719,6.47952593460788,4.26261033467975e-11,1.46974804339758e-08,1.46974804339758e-08,"BCL11A/HDAC1/BIRC6/FZD4/FIP1L1/ERLEC1/CAMK2B/RAP1A/PPM1B/SPRED2/SMAD2/PIK3AP1/PHB1/AGO1/CD86/RANBP2/PIK3CA/BCR/PPP2R1B/TYK2/STRN/PSMD7/UBA52/ADRM1/RRBP1/EEF1G/FGF19/KRAS/ZC3HC1/PEBP1/AREG/ATG7/SQSTM1/UBB/SHC1/HIP1/FN1/RAP1B/AXIN1/CALM3/PIK3R1/AKAP9/TPM3/PTPN11/GTF2F2/KREMEN1/ETV6/ERBB3/LYN/PTPN6/PSMC6/PDPK1/KLC1/GAB1/PSMD3/DUSP10/PSMA6/FYN/CNTRL/MIB2/AGO2/HDAC5/MAMLD1/FLT3LG/FOXO3/AKT1S1/LCK/FGA/SKP1/PIK3CB/MET/PPP1CC/SOS1/SRC/MAML3/LRRFIP1/CHUK/NOTCH1/CUX1/PSMB4/IRS2/MAP3K11/CPSF6/STAT1/HSP90AA1/TENT4A/LRP5/TBL1X/CSNK1A1/PSMB2/FRS2/MAPK1/PSMD1/PPFIBP1/KSR1/TGFB1/DUSP9/POLR2I/KDM7A/SEM1/RNF43/ESR2/HDAC10/OS9/RAF1/SMAD3/CAMK2G/POLR2H/HDAC7/AGO3/TFG/LRP6/CCNB1/NCOR1/DUSP7/DCTN1/MTOR/PTEN/SND1/CSK/BAG4/POLR2K/ERLIN2/CLTC/NF1/DUSP16/AGO4/PSMC2/MECP2/SHH/PSMD8/STAT5A/NCOR2/CCNC/HDAC9/CALM1/BTC/MAML1/ERBIN/PSMA4/ADAM10/FAM114A2/MAPK3/PPP2R5B/ARRB2/PPP2R1A/PPP2R5A/RAC1/GAB2/PIK3R2/SNW1/TRIP11/GOLGB1/TRAK1/SMAD4/NOX4/PSMA7/PAPSS1/MLST8/EGFR/TPM4/MAPKAP1/FOXO1/TLN1/STAT3/TRIM24/IHH/CEBPB/PSMD12/KAT2B/SPRED1/JAK2/FGFR4/YWHAB/EP300/POLR2D/JUNB/MOV10/PDGFRA/DERL2/CDKN1A/RHOG/CREB1/BRAF/FGB/MARK3/BCL2L1/GCC2/FGFR3/CAMK2D/PSMA2/PSMB1/HDAC4/MAP2K1/CLCN6/NRAS/AGTRAP/MYH9/POLR2B/NPM1/BCL2L11/FGF8/PDGFRB/FGFR1OP2/MDM2/PSEN1/SPTBN1/POLR2A/TCF7L2/FGF2/DLL4/IRS1/ERBB2/STAT5B/SEC31A/CTBP1/ZFYVE9/RICTOR/HHAT/CDK8/MRAS/ESR1/YES1/LMO7/EML4/VCL/PTPN12/MIB1/ADAM17/CBL/AGGF1/RPS6KB2/HDAC8/HEY2/PSMB7/IQGAP1/VCP/TNKS/QKI/PSMA1/AP3B1/RNF213/ACTB/FXR1/KIF5B/PIK3CD/PSMD2/KANK1/ITGB3/POLR2E/CEP43/LMNA/KITLG/PRKAR1A/SHOC2/SYVN1/TGFBR1/RPS6/HES1/DNMT1/ACTG1/TNRC6C/ARRB1/PSMA3/APC/CTNNB1/AKT2/CDKN1B/FZD5/ATIC/PRR5/HEYL/CDC37/KLB/TGFBR2/CREBBP/CLIP1/MAP2K2/APH1A/MYC/APH1B/ZC3HAV1/POLR2G/FGG/PPP2CB/FOXO4/TBL1XR1/HDAC11/HDAC6/HBEGF/RBPJ/GSK3A/PSMC3/MYO18A/PSMB6/RBX1/NR4A1/CUL1/PSMA5",299
"R-HSA-69242","S Phase","115/5767","150/11287",0.766666666666667,1.50049708109358,6.3072279698908,8.19375881024989e-11,2.35434003147847e-08,2.35434003147847e-08,"STAG2/TFDP2/ANAPC15/ORC4/CDC26/PSMD7/UBA52/ADRM1/MAX/GINS4/ESCO2/RAD21/PCNA/UBB/ORC6/CABLES1/CDC27/POLD3/MCM3/MCM5/POLD1/ANAPC5/PSMC6/PSMD3/PSMA6/CDC25A/POLA2/SKP1/E2F1/LIN9/PSMB4/ANAPC2/POLE/MCM4/LIN52/PSMB2/PSMD1/UBE2D1/CCNA2/SEM1/MNAT1/MCM6/WAPL/CDK4/ESCO1/RFC5/POLD4/CDK2/TFDP1/PDS5A/CCND1/PSMC2/GINS1/PSMD8/CDC6/PSMA4/RPA2/ANAPC1/RFC1/CDC25B/PRIM1/PSMA7/ANAPC10/LIN37/FEN1/PRIM2/PSMD12/POLA1/LIN54/ANAPC4/CCNH/ANAPC7/ORC1/CDC23/CDKN1A/CDCA5/UBE2S/RFC3/PSMA2/PSMB1/STAG1/SKP2/MCM7/POLE2/UBE2E1/CCNE2/RBL2/PSMB7/CDT1/PSMA1/WEE1/ORC3/SMC3/PSMD2/FZR1/GINS3/PTK6/PSMA3/AKT2/RFC2/CDKN1B/ORC5/RPA3/POLD2/MYC/E2F4/DNA2/ANAPC16/GMNN/PSMC3/RFC4/PSMB6/RBX1/CUL1/PSMA5",115
"R-HSA-3247509","Chromatin modifying enzymes","189/5767","271/11287",0.697416974169742,1.36496365310454,6.21581036959851,2.16385519901449e-10,5.3292662330014e-08,5.3292662330014e-08,"HDAC1/KANSL3/CLOCK/TRRAP/KDM3B/ASH2L/ARID2/H2AC15/KMT2D/KMT5B/PRDM16/SETD2/SUPT20H/ELP6/KDM2A/H4C3/NSD3/PRMT1/HAT1/ENY2/COPRS/TAF5L/PHF20/KMT5A/DOT1L/H2AC13/PHF21A/KANSL2/ARID1B/H4C5/H3C13/KDM4B/AEBP2/H2BC21/RBBP5/H4C4/ACTL6A/SETD7/H2BC18/RPS2/H2AC4/H2BC26/SUPT3H/KAT5/ARID5B/NSD2/H4C2/TBL1X/H3C2/KDM7A/KMT5C/MSL1/ING4/OGT/SAP130/HDAC10/H2AC8/H4C11/NCOA1/SMARCD1/PHF8/SUV39H1/BRPF1/EP400/RCOR1/RUVBL1/CHD3/MORF4L1/KMT2C/CDK4/NCOR1/H4C12/GATAD2A/ING3/USP22/H4C9/PRDM9/ELP4/KDM6A/KAT6A/H3C1/TADA2B/KDM1A/CCND1/MTA3/GPS2/EZH2/NCOR2/ATXN7L3/KDM5B/ZZZ3/TAF6L/H2BC15/MCRS1/H2AC17/SMARCC1/ASH1L/KAT8/KDM3A/KAT6B/TAF10/ACTL6B/KAT2B/EED/SMYD3/SETD1B/DNMT3A/JAK2/EP300/ARID4A/CARM1/KMT2A/NCOA2/KDM1B/H2AC11/SETD1A/SMARCD3/H2AJ/YEATS4/H2BC12/ARID1A/MBD3/H3C10/MECOM/EPC1/ELP3/DMAP1/H2AC7/KAT14/RIOX2/NFKB2/SAP18/H3C3/SGF29/ELP1/REST/H2BC3/SMARCD2/JADE3/PRMT3/VPS72/SETD6/YEATS2/HDAC8/H2AC21/SUZ12/H2BC5/MEAF6/KDM4A/ATXN7/ACTB/NSD1/JADE2/H3C6/SMARCE1/KAT7/ING5/TADA1/H3C4/PRMT7/BRWD1/SMARCA4/JADE1/SETDB2/HCFC1/KDM5C/MRGBP/ATF7IP/H2BC11/ARID4B/H2BC17/KDM6B/H2AC16/H3C11/KDM4C/BRMS1/KMT2B/MSL2/CREBBP/H2AC6/KDM2B/RUVBL2/H3C12/CHD4/TBL1XR1/NFKB1/MTA2/H2BC9/H2AC12",189
"R-HSA-109581","Apoptosis","123/5767","167/11287",0.736526946107784,1.44150852101935,5.87516937719486,1.64219267489569e-09,3.46758693785111e-07,3.46758693785111e-07,"OPA1/PLEC/KPNA1/CARD8/TFDP2/TRADD/DFFA/HMGB1/TP73/VIM/PSMD7/CLSPN/UBA52/TMED7-TICAM2/PTK2/ADRM1/ROCK1/FADD/STK26/ADD1/UBB/DBNL/YWHAZ/H1-1/BBC3/TJP1/PMAIP1/PSMC6/PSMD3/PSMA6/UACA/RIPK1/E2F1/TP63/PSMB4/PSMB2/MAPK1/PSMD1/CDKN2A/GSN/CFLAR/SEM1/H1-0/CYCS/KPNB1/CASP6/DIABLO/AVEN/GSDME/TFDP1/FAS/PSMC2/PSMD8/TRAF2/C1QBP/PAK2/PSMA4/MAPK3/FASLG/BMF/DNM1L/DSP/PSMA7/OMA1/XIAP/SFN/TP53BP2/STAT3/PPP3R1/PSMD12/YWHAQ/TJP2/YWHAB/APIP/BMX/YWHAH/TICAM1/STK24/DAPK3/DAPK1/BCL2L1/PSMA2/PSMB1/TNFSF10/BCL2L11/APPL1/H1-4/CD14/LMNB1/H1-2/CASP8/DFFB/PSMB7/BIRC2/PSMA1/FNTA/PSMD2/NMT1/SATB1/GAS2/LMNA/H1-3/CDH1/PRKCD/PSMA3/APC/CTNNB1/AKT2/BAX/HMGB2/DAPK2/DYNLL2/DYNLL1/BCAP31/SPTAN1/PPP3CC/TNFRSF10B/PSMC3/YWHAG/PSMB6/BAK1/PSMA5/CASP7",123
"R-HSA-170834","Signaling by TGF-beta Receptor Complex","76/5767","94/11287",0.808510638297872,1.58239285147704,5.79538337169584,1.81022519957425e-09,3.46758693785111e-07,3.46758693785111e-07,"HDAC1/CGN/SMAD2/TFDP2/NEDD4L/SMURF1/PARD6A/MTMR4/LTBP3/UBA52/UBB/RBL1/STRAP/USP9X/FURIN/ITGB1/SMURF2/TGFB2/SKI/PPP1CC/F11R/CDK9/STAT1/PPP1CA/MAPK1/UBE2D1/TGFB1/SMAD3/NCOR1/PPM1A/TFDP1/LTBP1/TGIF2/UBE2D3/NCOR2/CCNC/SMAD7/CCNT1/MAPK3/SNW1/SERPINE1/SMAD4/TGFBR3/TRIM33/RNF111/USP15/MEN1/TGFB3/EP300/JUNB/CDKN2B/YBX1/RHOA/PARP1/ZFYVE9/TGIF1/CDK8/XPO1/PARD3/PPP1R15A/CBL/ITGB3/BAMBI/TGFBR1/FBN1/LTBP4/UCHL5/ITGB5/SKIL/CCNT2/TGFBR2/SP1/MYC/E2F4/CCNK/STUB1",76
"R-HSA-68886","M Phase","265/5767","406/11287",0.652709359605911,1.27746324637973,5.81981976014343,2.98281995699825e-09,5.14238160586499e-07,5.14238160586499e-07,"VRK2/NIPBL/CEP78/LPIN2/KIF20A/LBR/STAG2/AHCTF1/TUBA4A/CEP164/RANBP2/ANAPC15/PPP2R1B/NUP155/AURKB/CDC26/PSMD7/UBA52/ADRM1/TUBA8/DYNC1I2/TUBA1C/HAUS7/SKA2/RAD21/PAFAH1B1/CENPH/CHMP2B/H4C3/UBB/AAAS/MZT2B/TNPO1/ESPL1/CDC27/AKAP9/KMT5A/TUBG2/CHMP6/NCAPH/BUB3/ANAPC5/NUP88/H4C5/PSMC6/H3C13/CLASP2/TUBB6/CEP41/PSMD3/CDK1/PSMA6/CNTRL/CEP76/RAN/TMPO/TUBB4B/H2BC21/PPP1CC/H4C4/KIF2C/NINL/PCM1/PSMB4/H2AC4/SPC24/ANAPC2/H2BC26/HSP90AA1/POM121/H4C2/MAU2/CENPA/PSMB2/MAPK1/H3C2/H3-3B/PSMD1/UBE2D1/SEM1/H2AC8/NUP58/CPAP/H4C11/LPIN3/SFI1/RCC2/PHF8/KPNB1/ALMS1/CEP250/TUBGCP2/WAPL/PPP2R2A/EMD/CSNK1E/NEK6/CENPN/LPIN1/CCNB1/USO1/PLK4/TUBB8/H4C12/H3-4/DCTN1/SET/H4C9/DYNC1LI1/NUP42/PDS5A/ZWILCH/H3C1/SIRT2/PSMC2/LEMD2/CCNB2/PSMD8/CSNK2A1/CENPT/PSMA4/MAPK3/RAE1/H2BC15/PPP2R5B/LEMD3/PPP2R1A/CCP110/PPP2R5A/SEH1L/PCNT/ANAPC1/NCAPG2/CEP135/RAB2A/TUBB3/NEDD1/NDC1/PSMA7/ANAPC10/OFD1/HAUS6/CKAP5/NUP214/PSMD12/CSNK2A2/DYNC1H1/CEP192/ANAPC4/ANAPC7/CDC23/TAOK1/RCC1/BIRC5/CDCA5/PPP2R2D/IST1/PLK1/PMF1-BGLAP/UBE2S/MAPRE1/SPAST/PRKAR2B/NCAPD3/CHMP7/ZWINT/PSMA2/PSMB1/CTDNEP1/MZT1/H2AJ/STAG1/UBE2I/FBXO5/H2BC12/NEK2/H3C10/NUDC/FIRRM/H2AC7/HAUS1/LMNB1/SMC2/RAB1B/NME7/CENPC/ODF2/KNL1/H3C3/CDK5RAP2/RPS27/XPO1/CNEP1R1/ARPP19/TUBGCP3/H2BC3/NUP205/DCTN3/UBE2E1/TUBA1B/EML4/CC2D1B/NUP210/VPS4A/NDC80/HDAC8/RAB1A/ITGB3BP/PSMB7/H2BC5/NUP43/BUB1B/RANGAP1/PSMA1/CENPE/ACTR1A/NCAPH2/H3C6/ANKLE2/SMC3/NEK9/H3C4/SEC13/PSMD2/NEK7/CENPS-CORT/CEP43/LMNA/TUBGCP6/H2BC11/CENPO/CSNK1D/CENPF/H2BC17/H3-3A/PSMA3/H3C11/NDEL1/CENPU/DYNLL2/DYNLL1/ENSA/ZW10/CEP152/NUP85/CENPI/KIF2A/SUMO1/CLIP1/H2AC6/NUP35/H3C12/ANAPC16/PPP2CB/SGO2/NUP160/CLASP1/PSMC3/YWHAG/H2BC9/GORASP2/PSMB6/DSN1/MAD1L1/PSMA5",265
