"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5689880","Ub-specific processing proteases","2/2","206/11287",0.00970873786407767,54.7912621359223,10.3726591337008,0.000331514486131115,0.0271715157046215,0.00275678028708906,"STAM2/PSMD12",2
"R-HSA-5688426","Deubiquitination","2/2","284/11287",0.00704225352112676,39.7429577464789,8.8029984532627,0.000630937302375799,0.0271715157046215,0.00275678028708906,"STAM2/PSMD12",2
"R-HSA-8875360","InlB-mediated entry of Listeria monocytogenes into host cell","1/2","15/11287",0.0666666666666667,376.233333333333,19.3589050588838,0.00265627650182776,0.0271715157046215,0.00275678028708906,"STAM2",1
"R-HSA-8876384","Listeria monocytogenes entry into host cells","1/2","20/11287",0.05,282.175,16.7541266300935,0.00354091698115766,0.0271715157046215,0.00275678028708906,"STAM2",1
"R-HSA-6807004","Negative regulation of MET activity","1/2","21/11287",0.0476190476190476,268.738095238095,16.3481714008685,0.00371779797574712,0.0271715157046215,0.00275678028708906,"STAM2",1
"R-HSA-182971","EGFR downregulation","1/2","31/11287",0.032258064516129,182.048387096774,13.4374760737683,0.00548574439823346,0.0271715157046215,0.00275678028708906,"STAM2",1
"R-HSA-917729","Endosomal Sorting Complex Required For Transport (ESCRT)","1/2","32/11287",0.03125,176.359375,13.2240799893881,0.00566245268814103,0.0271715157046215,0.00275678028708906,"STAM2",1
"R-HSA-211733","Regulation of activated PAK-2p34 by proteasome mediated degradation","1/2","37/11287",0.027027027027027,152.527027027027,12.2899167859612,0.00654575863129725,0.0271715157046215,0.00275678028708906,"PSMD12",1
"R-HSA-350562","Regulation of ornithine decarboxylase (ODC)","1/2","38/11287",0.0263157894736842,148.513157894737,12.1255051189751,0.00672237271865128,0.0271715157046215,0.00275678028708906,"PSMD12",1
"R-HSA-75815","Ubiquitin-dependent degradation of Cyclin D","1/2","39/11287",0.0256410256410256,144.705128205128,11.9674371469182,0.00689897110558013,0.0271715157046215,0.00275678028708906,"PSMD12",1
