"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1433617","Regulation of signaling by NODAL","1/6","12/11287",0.0833333333333333,156.763888888889,12.4500466229993,0.00636349504402356,0.036492976395166,0.0150314319247823,"ACVR2A",1
"R-HSA-9037629","Lewis blood group biosynthesis","1/6","16/11287",0.0625,117.572916666667,10.7608921237421,0.0084771460889288,0.036492976395166,0.0150314319247823,"B3GALT1",1
"R-HSA-391160","Signal regulatory protein family interactions","1/6","16/11287",0.0625,117.572916666667,10.7608921237421,0.0084771460889288,0.036492976395166,0.0150314319247823,"SKAP2",1
"R-HSA-1502540","Signaling by Activin","1/6","17/11287",0.0588235294117647,110.656862745098,10.434464548998,0.00900497300077896,0.036492976395166,0.0150314319247823,"ACVR2A",1
"R-HSA-9927426","Developmental Lineage of Mammary Gland Alveolar Cells","1/6","18/11287",0.0555555555555556,104.509259259259,10.1354867986812,0.00953256573919925,0.036492976395166,0.0150314319247823,"KRT8",1
"R-HSA-9033658","Blood group systems biosynthesis","1/6","20/11287",0.05,94.0583333333333,9.60589796745555,0.0105870490282116,0.036492976395166,0.0150314319247823,"B3GALT1",1
"R-HSA-1181150","Signaling by NODAL","1/6","23/11287",0.0434782608695652,81.7898550724638,8.94429829667059,0.0121670197383162,0.036492976395166,0.0150314319247823,"ACVR2A",1
"R-HSA-9927418","Developmental Lineage of Mammary Gland Luminal Epithelial Cells","1/6","24/11287",0.0416666666666667,78.3819444444444,8.75165251764484,0.0126932091809273,0.036492976395166,0.0150314319247823,"KRT8",1
"R-HSA-201451","Signaling by BMP","1/6","31/11287",0.032258064516129,60.6827956989247,7.67378825973576,0.0163699993464931,0.0418344427743712,0.0172315782594664,"ACVR2A",1
"R-HSA-9924644","Developmental Lineages of the Mammary Gland","1/6","40/11287",0.025,47.0291666666667,6.72537660700374,0.0210805281090666,0.0484852146508531,0.019971026629642,"KRT8",1
