"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045214","sarcomere organization","1/1","44/18842",0.0227272727272727,428.227272727273,20.6694768372901,0.0023352085765842,0.0133566854190988,NA,"KRT8",1
"GO:0030239","myofibril assembly","1/1","67/18842",0.0149253731343284,281.223880597015,16.7398889063522,0.00355588578707133,0.0133566854190988,NA,"KRT8",1
"GO:0010927","cellular component assembly involved in morphogenesis","1/1","114/18842",0.0087719298245614,165.280701754386,12.8172033515266,0.00605031313024074,0.0133566854190988,NA,"KRT8",1
"GO:0032989","cellular anatomical entity morphogenesis","1/1","114/18842",0.0087719298245614,165.280701754386,12.8172033515266,0.00605031313024074,0.0133566854190988,NA,"KRT8",1
"GO:0055002","striated muscle cell development","1/1","134/18842",0.00746268656716418,140.611940298507,11.8157496714558,0.00711177157414289,0.0133566854190988,NA,"KRT8",1
"GO:0055001","muscle cell development","1/1","151/18842",0.00662251655629139,124.781456953642,11.1257115257247,0.00801401125145929,0.0133566854190988,NA,"KRT8",1
"GO:0031032","actomyosin structure organization","1/1","196/18842",0.00510204081632653,96.1326530612245,9.7535969294012,0.0104022927502387,0.0148604182146268,NA,"KRT8",1
"GO:0051146","striated muscle cell differentiation","1/1","271/18842",0.003690036900369,69.5276752767528,8.27814443439789,0.014382761914871,0.0179784523935887,NA,"KRT8",1
"GO:0042692","muscle cell differentiation","1/1","365/18842",0.00273972602739726,51.6219178082192,7.11490813772175,0.01937161660121,0.0215240184457889,NA,"KRT8",1
"GO:0140694","membraneless organelle assembly","1/1","427/18842",0.00234192037470726,44.1264637002342,6.56707421156745,0.022662137777306,0.022662137777306,NA,"KRT8",1
