"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050885","neuromuscular process controlling balance","1/2","19/18842",0.0526315789473684,495.842105263158,22.234406872163,0.00201580766889042,0.0261161616380424,0.00124957711186806,"CDH23",1
"GO:0045494","photoreceptor cell maintenance","1/2","36/18842",0.0277777777777778,261.694444444444,16.131001592649,0.00381770112348778,0.0261161616380424,0.00124957711186806,"CDH23",1
"GO:0001895","retina homeostasis","1/2","45/18842",0.0222222222222222,209.355555555556,14.4176206529168,0.00477098556610889,0.0261161616380424,0.00124957711186806,"CDH23",1
"GO:0016339","calcium-dependent cell-cell adhesion","1/2","45/18842",0.0222222222222222,209.355555555556,14.4176206529168,0.00477098556610889,0.0261161616380424,0.00124957711186806,"CDH23",1
"GO:0051480","regulation of cytosolic calcium ion concentration","1/2","56/18842",0.0178571428571429,168.232142857143,12.912880519439,0.00593549128137327,0.0261161616380424,0.00124957711186806,"CDH23",1
"GO:0050905","neuromuscular process","1/2","97/18842",0.0103092783505155,97.1237113402062,9.77912953195274,0.010269916076727,0.0296135117186706,0.00141691443630003,"CDH23",1
"GO:0071774","response to fibroblast growth factor","1/2","103/18842",0.00970873786407767,91.4660194174757,9.4854384774118,0.0109034277828909,0.0296135117186706,0.00141691443630003,"IER2",1
"GO:0007605","sensory perception of sound","1/2","126/18842",0.00793650793650794,74.7698412698413,8.56020423878834,0.0133300104611769,0.0296135117186706,0.00141691443630003,"CDH23",1
"GO:0050954","sensory perception of mechanical stimulus","1/2","144/18842",0.00694444444444444,65.4236111111111,7.99567726760564,0.0152269963051095,0.0296135117186706,0.00141691443630003,"CDH23",1
"GO:0006874","intracellular calcium ion homeostasis","1/2","175/18842",0.00571428571428571,53.8342857142857,7.2347599274414,0.018489748633108,0.0296135117186706,0.00141691443630003,"CDH23",1
"GO:0007156","homophilic cell-cell adhesion","1/2","177/18842",0.00564971751412429,53.225988700565,7.19259869503468,0.0187000628689199,0.0296135117186706,0.00141691443630003,"CDH23",1
"GO:0001894","tissue homeostasis","1/2","194/18842",0.00515463917525773,48.5618556701031,6.86072558493297,0.0204868240196038,0.0296135117186706,0.00141691443630003,"CDH23",1
"GO:0060249","anatomical structure homeostasis","1/2","194/18842",0.00515463917525773,48.5618556701031,6.86072558493297,0.0204868240196038,0.0296135117186706,0.00141691443630003,"CDH23",1
"GO:0055074","calcium ion homeostasis","1/2","196/18842",0.00510204081632653,48.0663265306122,6.82451861319966,0.0206969241721884,0.0296135117186706,0.00141691443630003,"CDH23",1
"GO:0007601","visual perception","1/2","201/18842",0.00497512437810945,46.8706467661692,6.73635261862286,0.0212220759626897,0.0296135117186706,0.00141691443630003,"CDH23",1
"GO:0050953","sensory perception of light stimulus","1/2","204/18842",0.00490196078431373,46.1813725490196,6.68499941304797,0.0215370994317604,0.0296135117186706,0.00141691443630003,"CDH23",1
"GO:0098771","inorganic ion homeostasis","1/2","402/18842",0.00248756218905473,23.4353233830846,4.68480399524553,0.0422165420183037,0.0482657593804468,0.00230936647753334,"CDH23",1
"GO:0030003","intracellular monoatomic cation homeostasis","1/2","410/18842",0.0024390243902439,22.9780487804878,4.63576437671843,0.0430474328263312,0.0482657593804468,0.00230936647753334,"CDH23",1
"GO:0006816","calcium ion transport","1/2","416/18842",0.00240384615384615,22.6466346153846,4.59989630798589,0.0436703643140476,0.0482657593804468,0.00230936647753334,"CDH23",1
"GO:0006873","intracellular monoatomic ion homeostasis","1/2","418/18842",0.00239234449760766,22.5382775119617,4.58810840049992,0.0438779630731334,0.0482657593804468,0.00230936647753334,"CDH23",1
