"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","response to virus","42/205","400/18842",0.105,9.65078048780488,18.3409649757073,2.71142361713724e-29,4.249856721769e-26,1.68676123239972e-28,"TRIM21/STAT1/PML/IFITM3/IFI6/NLRC5/TRIM34/DTX3L/TLR7/MX1/IRF1/RIGI/TRIM56/OAS3/USP18/ZC3HAV1/DHX15/ILRUN/IFIT5/IFIT1/SAMHD1/SHFL/IFIT2/OAS2/ADAR/SMAD3/OASL/MOV10/CXCL10/DDX60L/NMI/DDX3X/OAS1/IFIT3/IRF9/MIR21/STAT2/PLSCR1/DDX60/RSAD2/EIF2AK2/GBP1",42
"GO:0051607","defense response to virus","38/205","305/18842",0.124590163934426,11.4513554578169,19.2993959402498,2.78405288029414e-29,4.249856721769e-26,1.68676123239972e-28,"TRIM21/STAT1/PML/IFITM3/IFI6/NLRC5/TRIM34/DTX3L/TLR7/MX1/IRF1/RIGI/TRIM56/OAS3/USP18/ZC3HAV1/DHX15/ILRUN/IFIT5/IFIT1/SAMHD1/SHFL/IFIT2/OAS2/ADAR/OASL/MOV10/CXCL10/DDX60L/OAS1/IFIT3/IRF9/STAT2/PLSCR1/DDX60/RSAD2/EIF2AK2/GBP1",38
"GO:0050792","regulation of viral process","22/205","136/18842",0.161764705882353,14.8681492109039,17.0230900917129,8.85805778021375e-20,6.96511100614641e-17,2.76444124912477e-19,"TRIM21/STAT1/IFITM3/FURIN/MX1/OAS3/ZC3HAV1/TRIM14/LARP1/IFIT5/IFIT1/SHFL/OAS2/ADAR/PROX1/OASL/DDX3X/OAS1/SP100/PLSCR1/RSAD2/EIF2AK2",22
"GO:0048525","negative regulation of viral process","18/205","74/18842",0.243243243243243,22.3570204350692,19.3058278109145,9.1255958154555e-20,6.96511100614641e-17,2.76444124912477e-19,"TRIM21/STAT1/IFITM3/MX1/OAS3/ZC3HAV1/TRIM14/IFIT5/IFIT1/SHFL/OAS2/PROX1/OASL/OAS1/SP100/PLSCR1/RSAD2/EIF2AK2",18
"GO:0045069","regulation of viral genome replication","17/205","77/18842",0.220779220779221,20.2923028191321,17.7908234973945,5.93202754844564e-18,3.62209602108091e-15,1.43760402958843e-17,"IFITM3/MX1/OAS3/ZC3HAV1/LARP1/IFIT5/IFIT1/SHFL/OAS2/ADAR/PROX1/OASL/DDX3X/OAS1/PLSCR1/RSAD2/EIF2AK2",17
"GO:1903900","regulation of viral life cycle","19/205","110/18842",0.172727272727273,15.8757427937916,16.4105762507529,8.66610014902849e-18,4.40960062583067e-15,1.75016332854645e-17,"TRIM21/IFITM3/FURIN/MX1/OAS3/ZC3HAV1/LARP1/IFIT5/IFIT1/SHFL/OAS2/ADAR/PROX1/OASL/DDX3X/OAS1/PLSCR1/RSAD2/EIF2AK2",19
"GO:0045071","negative regulation of viral genome replication","14/205","48/18842",0.291666666666667,26.8077235772358,18.7759365313619,7.25371345679267e-17,3.16365531194115e-14,1.25564965649866e-16,"IFITM3/MX1/OAS3/ZC3HAV1/IFIT5/IFIT1/SHFL/OAS2/PROX1/OASL/OAS1/PLSCR1/RSAD2/EIF2AK2",14
"GO:0019079","viral genome replication","18/205","110/18842",0.163636363636364,15.040177383592,15.4887997676119,1.78090902887864e-16,6.79639408145812e-14,2.69747777566079e-16,"IFITM3/MX1/OAS3/ZC3HAV1/LARP1/IFIT5/IFIT1/SHFL/OAS2/ADAR/PROX1/OASL/DDX3X/OAS1/PLSCR1/PRKN/RSAD2/EIF2AK2",18
"GO:0140374","antiviral innate immune response","15/205","73/18842",0.205479452054795,18.8860674908119,16.0581914278523,1.7662712059926e-15,5.99158443543933e-13,2.37805013392119e-15,"TRIM21/MX1/RIGI/OAS3/USP18/DHX15/IFIT5/IFIT1/IFIT2/OAS2/OASL/CXCL10/OAS1/IFIT3/EIF2AK2",15
"GO:0016032","viral process","27/205","383/18842",0.0704960835509138,6.47944978666497,11.3624806391819,1.2424406261803e-14,3.79317123172844e-12,1.5055035029205e-14,"TRIM21/STAT1/IFITM3/INSR/F11R/FURIN/MX1/OAS3/ZC3HAV1/TRIM14/LARP1/IFIT5/IFIT1/SHFL/OAS2/ADAR/PROX1/PARP10/OASL/DDX3X/NRP1/OAS1/SP100/PLSCR1/PRKN/RSAD2/EIF2AK2",27
