"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-74749","Signal attenuation","1/2","10/11287",0.1,564.35,23.7255204233993,0.00177124351185787,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-8851805","MET activates RAS signaling","1/2","11/11287",0.0909090909090909,513.045454545455,22.6183834973167,0.00194828151070292,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-9634285","Constitutive Signaling by Overexpressed ERBB2","1/2","11/11287",0.0909090909090909,513.045454545455,22.6183834973167,0.00194828151070292,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-9842663","Signaling by LTK","1/2","12/11287",0.0833333333333333,470.291666666667,21.6525689006153,0.00212530380912246,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-9020558","Interleukin-2 signaling","1/2","12/11287",0.0833333333333333,470.291666666667,21.6525689006153,0.00212530380912246,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-1250347","SHC1 events in ERBB4 signaling","1/2","14/11287",0.0714285714285714,403.107142857143,20.0410416785234,0.00247930130468466,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-9027284","Erythropoietin activates RAS","1/2","14/11287",0.0714285714285714,403.107142857143,20.0410416785234,0.00247930130468466,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-180336","SHC1 events in EGFR signaling","1/2","14/11287",0.0714285714285714,403.107142857143,20.0410416785234,0.00247930130468466,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-8983432","Interleukin-15 signaling","1/2","14/11287",0.0714285714285714,403.107142857143,20.0410416785234,0.00247930130468466,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-5637810","Constitutive Signaling by EGFRvIII","1/2","15/11287",0.0666666666666667,376.233333333333,19.3589050588838,0.00265627650182776,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-5637812","Signaling by EGFRvIII in Cancer","1/2","15/11287",0.0666666666666667,376.233333333333,19.3589050588838,0.00265627650182776,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-9665348","Signaling by ERBB2 ECD mutants","1/2","16/11287",0.0625,352.71875,18.741680353362,0.00283323599854468,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-2730905","Role of LAT2/NTAL/LAB on calcium mobilization","1/2","16/11287",0.0625,352.71875,18.741680353362,0.00283323599854468,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-9034015","Signaling by NTRK3 (TRKC)","1/2","17/11287",0.0588235294117647,331.970588235294,18.1796761955294,0.00301017979483631,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-5654704","SHC-mediated cascade:FGFR3","1/2","18/11287",0.0555555555555556,313.527777777778,17.6651132541132,0.00318710789070209,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-210993","Tie2 Signaling","1/2","18/11287",0.0555555555555556,313.527777777778,17.6651132541132,0.00318710789070209,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-1236382","Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants","1/2","19/11287",0.0526315789473684,297.026315789474,17.1916650296938,0.00336402028614302,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-5637815","Signaling by Ligand-Responsive EGFR Variants in Cancer","1/2","19/11287",0.0526315789473684,297.026315789474,17.1916650296938,0.00336402028614302,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-167044","Signalling to RAS","1/2","20/11287",0.05,282.175,16.7541266300935,0.00354091698115766,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-5654719","SHC-mediated cascade:FGFR4","1/2","20/11287",0.05,282.175,16.7541266300935,0.00354091698115766,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-379726","Mitochondrial tRNA aminoacylation","1/2","21/11287",0.0476190476190476,268.738095238095,16.3481714008685,0.00371779797574712,0.0113829196263344,0.000721808473451771,"EARS2",1
"R-HSA-5654688","SHC-mediated cascade:FGFR1","1/2","21/11287",0.0476190476190476,268.738095238095,16.3481714008685,0.00371779797574712,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-1250196","SHC1 events in ERBB2 signaling","1/2","22/11287",0.0454545454545455,256.522727272727,15.9701691354807,0.00389466326991073,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-9665686","Signaling by ERBB2 TMD/JMD mutants","1/2","22/11287",0.0454545454545455,256.522727272727,15.9701691354807,0.00389466326991073,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-5654699","SHC-mediated cascade:FGFR2","1/2","23/11287",0.0434782608695652,245.369565217391,15.6170482589683,0.00407151286364904,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-9006115","Signaling by NTRK2 (TRKB)","1/2","25/11287",0.04,225.74,14.9753457606249,0.00442516494984846,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-9664565","Signaling by ERBB2 KD Mutants","1/2","25/11287",0.04,225.74,14.9753457606249,0.00442516494984846,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-5654708","Downstream signaling of activated FGFR3","1/2","25/11287",0.04,225.74,14.9753457606249,0.00442516494984846,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-1643713","Signaling by EGFR in Cancer","1/2","25/11287",0.04,225.74,14.9753457606249,0.00442516494984846,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-9006335","Signaling by Erythropoietin","1/2","25/11287",0.04,225.74,14.9753457606249,0.00442516494984846,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-1227990","Signaling by ERBB2 in Cancer","1/2","26/11287",0.0384615384615385,217.057692307692,14.6825729385009,0.0046019674423099,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-354192","Integrin signaling","1/2","27/11287",0.037037037037037,209.018518518519,14.4061829239991,0.00477875423434582,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-5654716","Downstream signaling of activated FGFR4","1/2","27/11287",0.037037037037037,209.018518518519,14.4061829239991,0.00477875423434582,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-912526","Interleukin receptor SHC signaling","1/2","27/11287",0.037037037037037,209.018518518519,14.4061829239991,0.00477875423434582,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-2424491","DAP12 signaling","1/2","29/11287",0.0344827586206897,194.603448275862,13.8968286985961,0.00513228071714078,0.0113829196263344,0.000721808473451771,"SHC1",1
"R-HSA-5654696","Downstream signaling of activated FGFR2","1/2","30/11287",0.0333333333333333,188.116666666667,13.6614251082967,0.0053090204078996,0.0113829196263344,0.000721808473451771,"SHC1",1
