"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0090322","regulation of superoxide metabolic process","1/3","31/18842",0.032258064516129,202.602150537634,14.1760013143052,0.00492792668864273,0.0418041470706242,0.0110010913343748,"SHC1",1
"GO:0006418","tRNA aminoacylation for protein translation","1/3","44/18842",0.0227272727272727,142.742424242424,11.8782934715596,0.00698964897408227,0.0418041470706242,0.0110010913343748,"EARS2",1
"GO:0043038","amino acid activation","1/3","47/18842",0.0212765957446809,133.631205673759,11.488336837819,0.00746502626261147,0.0418041470706242,0.0110010913343748,"EARS2",1
"GO:0043039","tRNA aminoacylation","1/3","47/18842",0.0212765957446809,133.631205673759,11.488336837819,0.00746502626261147,0.0418041470706242,0.0110010913343748,"EARS2",1
"GO:0048009","insulin-like growth factor receptor signaling pathway","1/3","47/18842",0.0212765957446809,133.631205673759,11.488336837819,0.00746502626261147,0.0418041470706242,0.0110010913343748,"SHC1",1
"GO:0000959","mitochondrial RNA metabolic process","1/3","63/18842",0.0158730158730159,99.6931216931217,9.90158246649271,0.00999780966609332,0.0444181844425255,0.0116889959059278,"EARS2",1
"GO:0006801","superoxide metabolic process","1/3","70/18842",0.0142857142857143,89.7238095238095,9.38463977557105,0.0111045461106314,0.0444181844425255,0.0116889959059278,"SHC1",1
"GO:0008286","insulin receptor signaling pathway","1/3","119/18842",0.00840336134453781,52.7787114845938,7.15024099860264,0.0188286147864297,0.0465686980128342,0.0122549205296932,"SHC1",1
"GO:0007173","epidermal growth factor receptor signaling pathway","1/3","126/18842",0.00793650793650794,49.8465608465608,6.94218887093708,0.019928758798857,0.0465686980128342,0.0122549205296932,"SHC1",1
"GO:0032543","mitochondrial translation","1/3","130/18842",0.00769230769230769,48.3128205128205,6.830839635895,0.0205570431387611,0.0465686980128342,0.0122549205296932,"EARS2",1
"GO:2000377","regulation of reactive oxygen species metabolic process","1/3","139/18842",0.00719424460431655,45.1846522781775,6.59791754541848,0.0219697010344705,0.0465686980128342,0.0122549205296932,"SHC1",1
"GO:0038127","ERBB signaling pathway","1/3","146/18842",0.00684931506849315,43.0182648401826,6.43167174905291,0.0230674953794138,0.0465686980128342,0.0122549205296932,"SHC1",1
"GO:0016525","negative regulation of angiogenesis","1/3","154/18842",0.00649350649350649,40.7835497835498,6.2555594859331,0.0243211112321612,0.0465686980128342,0.0122549205296932,"SHC1",1
"GO:2000181","negative regulation of blood vessel morphogenesis","1/3","156/18842",0.00641025641025641,40.2606837606838,6.21363394889883,0.0246343475368902,0.0465686980128342,0.0122549205296932,"SHC1",1
"GO:1901343","negative regulation of vasculature development","1/3","158/18842",0.00632911392405063,39.7510548523207,6.1724960729325,0.0249475167925898,0.0465686980128342,0.0122549205296932,"SHC1",1
"GO:0140053","mitochondrial gene expression","1/3","170/18842",0.00588235294117647,36.9450980392157,5.94090206157682,0.0268251246990653,0.0469439682233642,0.0123536758482537,"EARS2",1
"GO:0032869","cellular response to insulin stimulus","1/3","197/18842",0.0050761421319797,31.8815566835871,5.49838039687295,0.0310409261342297,0.048729441515292,0.0128235372408663,"SHC1",1
"GO:0072593","reactive oxygen species metabolic process","1/3","204/18842",0.00490196078431373,30.7875816993464,5.39801833813967,0.0321319206481043,0.048729441515292,0.0128235372408663,"SHC1",1
"GO:0006399","tRNA metabolic process","1/3","210/18842",0.00476190476190476,29.9079365079365,5.31594747118957,0.0330664067425196,0.048729441515292,0.0128235372408663,"EARS2",1
