"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070778","L-aspartate transmembrane transport","1/2","11/18842",0.0909090909090909,856.454545454545,29.2403867500855,0.0011672944309894,0.0136775520457314,NA,"SLC1A3",1
"GO:0098712","L-glutamate import across plasma membrane","1/2","13/18842",0.0769230769230769,724.692307692308,26.8929551913953,0.00137945654307947,0.0136775520457314,NA,"SLC1A3",1
"GO:0030318","melanocyte differentiation","1/2","14/18842",0.0714285714285714,672.928571428571,25.9126336309957,0.00148552914847089,0.0136775520457314,NA,"LRMDA",1
"GO:0015810","aspartate transmembrane transport","1/2","19/18842",0.0526315789473684,495.842105263158,22.234406872163,0.00201580766889042,0.0136775520457314,NA,"SLC1A3",1
"GO:0050931","pigment cell differentiation","1/2","24/18842",0.0416666666666667,392.541666666667,19.7753144176,0.00254594534508157,0.0136775520457314,NA,"LRMDA",1
"GO:0015740","C4-dicarboxylate transport","1/2","27/18842",0.037037037037037,348.925925925926,18.6398788714731,0.00286396034556657,0.0136775520457314,NA,"SLC1A3",1
"GO:0015813","L-glutamate transmembrane transport","1/2","28/18842",0.0357142857142857,336.464285714286,18.3025355975936,0.00296995407819012,0.0136775520457314,NA,"SLC1A3",1
"GO:0071312","cellular response to alkaloid","1/2","31/18842",0.032258064516129,303.903225806452,17.390230043412,0.00328790147344515,0.0136775520457314,NA,"SLC1A3",1
"GO:0051938","L-glutamate import","1/2","34/18842",0.0294117647058824,277.088235294118,16.6013182319489,0.00360579816477824,0.0136775520457314,NA,"SLC1A3",1
"GO:0048066","developmental pigmentation","1/2","35/18842",0.0285714285714286,269.171428571429,16.3611297512855,0.0037117524610174,0.0136775520457314,NA,"LRMDA",1
"GO:0070633","transepithelial transport","1/2","39/18842",0.0256410256410256,241.564102564103,15.4944468098631,0.00413551330828388,0.0136775520457314,NA,"SLC1A3",1
"GO:0042220","response to cocaine","1/2","42/18842",0.0238095238095238,224.309523809524,14.9272391050032,0.00445327478915747,0.0136775520457314,NA,"SLC1A3",1
"GO:0001504","neurotransmitter uptake","1/2","43/18842",0.0232558139534884,219.093023255814,14.7514648939657,0.0045591840152438,0.0136775520457314,NA,"SLC1A3",1
"GO:0089718","amino acid import across plasma membrane","1/2","50/18842",0.02,188.42,13.672280419436,0.00530039085231138,0.0147653745171531,NA,"SLC1A3",1
"GO:0015804","neutral amino acid transport","1/2","55/18842",0.0181818181818182,171.290909090909,13.0307860546887,0.0058296552942857,0.0151571037651428,NA,"SLC1A3",1
"GO:0015800","acidic amino acid transport","1/2","63/18842",0.0158730158730159,149.539682539683,12.1675477302104,0.00667618544544912,0.0159813832226096,NA,"SLC1A3",1
"GO:1902475","L-alpha-amino acid transmembrane transport","1/2","68/18842",0.0147058823529412,138.544117647059,11.706972403757,0.00720508369242934,0.0159813832226096,NA,"SLC1A3",1
"GO:0043279","response to alkaloid","1/2","79/18842",0.0126582278481013,119.253164556962,10.8517980097185,0.00836816406410112,0.0159813832226096,NA,"SLC1A3",1
"GO:0043473","pigmentation","1/2","84/18842",0.0119047619047619,112.154761904762,10.5196423163189,0.0088966116095498,0.0159813832226096,NA,"LRMDA",1
"GO:0015807","L-amino acid transport","1/2","85/18842",0.0117647058823529,110.835294117647,10.4567377043815,0.00900228421733218,0.0159813832226096,NA,"SLC1A3",1
"GO:0006835","dicarboxylic acid transport","1/2","88/18842",0.0113636363636364,107.056818181818,10.2744716300165,0.00931926823806395,0.0159813832226096,NA,"SLC1A3",1
"GO:0010232","vascular transport","1/2","89/18842",0.0112359550561798,105.85393258427,10.2157645147079,0.00942491831076975,0.0159813832226096,NA,"SLC1A3",1
"GO:0150104","transport across blood-brain barrier","1/2","89/18842",0.0112359550561798,105.85393258427,10.2157645147079,0.00942491831076975,0.0159813832226096,NA,"SLC1A3",1
"GO:0003333","amino acid transmembrane transport","1/2","103/18842",0.00970873786407767,91.4660194174757,9.4854384774118,0.0109034277828909,0.0177180701471977,NA,"SLC1A3",1
"GO:1902476","chloride transmembrane transport","1/2","111/18842",0.00900900900900901,84.8738738738739,9.13133409740933,0.0117477945667039,0.0183265595240581,NA,"SLC1A3",1
"GO:0006821","chloride transport","1/2","122/18842",0.00819672131147541,77.2213114754098,8.70221749746976,0.012908210165572,0.019362315248358,NA,"SLC1A3",1
"GO:0098656","monoatomic anion transmembrane transport","1/2","141/18842",0.00709219858156028,66.8156028368794,8.08225462026267,0.014910958757593,0.0209026325103256,NA,"SLC1A3",1
"GO:0006865","amino acid transport","1/2","144/18842",0.00694444444444444,65.4236111111111,7.99567726760564,0.0152269963051095,0.0209026325103256,NA,"SLC1A3",1
"GO:1905039","carboxylic acid transmembrane transport","1/2","147/18842",0.00680272108843537,64.0884353741497,7.91174375337785,0.0155429831487036,0.0209026325103256,NA,"SLC1A3",1
"GO:0015698","inorganic anion transport","1/2","157/18842",0.00636942675159236,60.0063694267516,7.64942326677653,0.0165959064323564,0.0210111465556345,NA,"SLC1A3",1
"GO:0006820","monoatomic anion transport","1/2","158/18842",0.00632911392405063,59.626582278481,7.62455874097855,0.0167011677749915,0.0210111465556345,NA,"SLC1A3",1
"GO:0006836","neurotransmitter transport","1/2","206/18842",0.00485436893203883,45.7330097087379,6.65138216940699,0.0217470869089623,0.0257011027105918,NA,"SLC1A3",1
"GO:0071805","potassium ion transmembrane transport","1/2","206/18842",0.00485436893203883,45.7330097087379,6.65138216940699,0.0217470869089623,0.0257011027105918,NA,"SLC1A3",1
"GO:0006813","potassium ion transport","1/2","226/18842",0.00442477876106195,41.6858407079646,6.33987729249014,0.0238457222517671,0.027352446112321,NA,"SLC1A3",1
"GO:0003018","vascular process in circulatory system","1/2","255/18842",0.00392156862745098,36.9450980392157,5.95431267326654,0.0268847407058593,0.0299572825008147,NA,"SLC1A3",1
"GO:0098739","import across plasma membrane","1/2","278/18842",0.00359712230215827,33.8884892086331,5.69189742974521,0.029291627727228,0.031732596704497,NA,"SLC1A3",1
"GO:0015849","organic acid transport","1/2","332/18842",0.00301204819277108,28.3765060240964,5.18525806412625,0.0349308672583089,0.0358501006072117,NA,"SLC1A3",1
"GO:0046942","carboxylic acid transport","1/2","332/18842",0.00301204819277108,28.3765060240964,5.18525806412625,0.0349308672583089,0.0358501006072117,NA,"SLC1A3",1
"GO:0015711","organic anion transport","1/2","440/18842",0.00227272727272727,21.4113636363636,4.46367296736926,0.0461600621080231,0.0461600621080231,NA,"SLC1A3",1
