"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9845614","Sphingolipid catabolism","1/5","12/11287",0.0833333333333333,188.116666666667,13.6523306313125,0.00530549699083205,0.043607750785371,0.0153009651878495,"SGPL1",1
"R-HSA-3656237","Defective EXT2 causes exostoses 2","1/5","14/11287",0.0714285714285714,161.242857142857,12.6294640680623,0.00618755290646389,0.043607750785371,0.0153009651878495,"EXT1",1
"R-HSA-3656253","Defective EXT1 causes exostoses 1, TRPS2 and CHDS","1/5","14/11287",0.0714285714285714,161.242857142857,12.6294640680623,0.00618755290646389,0.043607750785371,0.0153009651878495,"EXT1",1
"R-HSA-9909505","Modulation of host responses by IFN-stimulated genes","1/5","17/11287",0.0588235294117647,132.788235294118,11.4472488168247,0.00750946341720304,0.043607750785371,0.0153009651878495,"IFI44L",1
"R-HSA-1250196","SHC1 events in ERBB2 signaling","1/5","22/11287",0.0454545454545455,102.609090909091,10.0424640471061,0.00970952140980541,0.043607750785371,0.0153009651878495,"PRKCE",1
"R-HSA-2029485","Role of phospholipids in phagocytosis","1/5","25/11287",0.04,90.296,9.40927638289518,0.0110276823208049,0.043607750785371,0.0153009651878495,"PRKCE",1
"R-HSA-180024","DARPP-32 events","1/5","26/11287",0.0384615384615385,86.8230769230769,9.22283104889563,0.0114667572265406,0.043607750785371,0.0153009651878495,"PDE4D",1
"R-HSA-114508","Effects of PIP2 hydrolysis","1/5","27/11287",0.037037037037037,83.6074074074074,9.0467722356424,0.0119056761692513,0.043607750785371,0.0153009651878495,"PRKCE",1
"R-HSA-9860927","Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells","1/5","30/11287",0.0333333333333333,75.2466666666667,8.57211980885955,0.0132214976347299,0.043607750785371,0.0153009651878495,"PDE4D",1
"R-HSA-2022928","HS-GAG biosynthesis","1/5","33/11287",0.0303030303030303,68.4060606060606,8.1632752156618,0.014535916928457,0.043607750785371,0.0153009651878495,"EXT1",1
"R-HSA-1638091","Heparan sulfate/heparin (HS-GAG) metabolism","1/5","41/11287",0.024390243902439,55.0585365853659,7.29993765382969,0.0180341885059562,0.043632004998641,0.0153094754381197,"EXT1",1
"R-HSA-3560782","Diseases associated with glycosaminoglycan metabolism","1/5","41/11287",0.024390243902439,55.0585365853659,7.29993765382969,0.0180341885059562,0.043632004998641,0.0153094754381197,"EXT1",1
"R-HSA-1489509","DAG and IP3 signaling","1/5","43/11287",0.0232558139534884,52.4976744186047,7.12235151526509,0.0189072021660778,0.043632004998641,0.0153094754381197,"PRKCE",1
"R-HSA-418597","G alpha (z) signalling events","1/5","48/11287",0.0208333333333333,47.0291666666667,6.72747159613654,0.0210870200328216,0.0439157230715403,0.015409025639137,"PRKCE",1
"R-HSA-1227986","Signaling by ERBB2","1/5","50/11287",0.02,45.148,6.58616828135344,0.0219578615357702,0.0439157230715403,0.015409025639137,"PRKCE",1
