"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","118/4545","158/9419",0.746835443037975,1.54773224157859,6.70457775323925,7.84039150663999e-12,2.75981781033728e-09,2.75981781033728e-09,"81620/1017/1031/994/5518/6502/10393/1647/1026/10926/25847/25/10971/23595/4616/9134/3065/4999/4172/9184/1029/11200/9212/5516/5925/25906/4998/5526/26271/246184/7532/23047/23063/5519/8900/546/8454/595/9700/10459/5933/4089/7709/51343/1869/23383/1111/29882/51433/113130/996/472/896/1027/1874/4174/157570/5347/983/7272/7043/2810/8697/10403/10744/7533/5525/5529/7042/7465/8556/990/891/5934/23244/4087/55869/90381/8379/5001/993/7029/2932/1032/10274/1019/9133/902/4193/5591/2033/5000/1387/80174/4173/4175/7529/7027/1871/23594/890/9126/10735/5111/5527/25836/29945/64682/27085/1030/119504/7040/701/7534/4609/114799/545/8555",118
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome biogenesis","164/4545","250/9419",0.656,1.35948602860286,5.5628142514063,1.59906589119344e-08,2.81435596850046e-06,2.81435596850046e-06,"245972/151556/162/1176/53373/65082/2475/160/63915/9342/8905/3482/64798/23335/9907/163/4668/3177/54785/8906/4126/7942/4891/528/91056/58528/1512/206358/2030/138050/2990/27074/28956/5660/114879/1777/164/8649/8673/23545/1213/389541/57617/28962/4125/84335/7098/118426/55004/6448/161/55315/5538/2720/9559/245973/23163/5007/3988/3916/10717/219931/10947/120103/1173/8992/55737/1520/55317/3425/11154/64223/175/1508/153129/4669/2548/57192/1514/23312/9741/84062/1497/9885/3920/23461/23659/1522/26503/26088/51699/8120/3423/9296/1175/26258/2717/1509/51606/256471/54982/55283/23553/388552/90423/10325/10577/79641/9894/523/9550/2760/255231/7879/525/55330/10239/8943/55353/1211/10053/127829/9896/9114/23062/1201/64121/27072/200576/285362/5641/23503/9516/7030/57707/526/8692/23457/10312/1212/23557/130340/79036/1200/535/1186/55207/2519/1174/10670/51172/411/768239/3074/4864/6556/64601/114876/23230/8907/23339/8546/8218/53",164
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","163/4545","250/9419",0.652,1.35119647964796,5.43453883207153,3.3463653531946e-08,3.92640201441499e-06,3.92640201441499e-06,"3799/11021/858/10095/50855/58513/116988/55616/79720/25978/84612/160/118813/27128/80223/57132/3482/163/5878/9525/27131/4734/26119/116983/155382/10565/131890/3480/377/10552/7046/8724/116986/1234/2261/55048/26052/11311/3949/51028/8976/58533/7251/8395/998/378/10564/409/51324/859/51160/1213/6643/30846/4218/3798/9829/161/644150/55680/9559/60682/7456/9815/857/84249/28964/10938/274/6455/91782/2869/1173/387680/55737/29924/8394/10015/5869/57154/84440/27183/8411/51019/3800/10109/408/8853/9135/51100/867/10097/10096/11031/9265/116984/4087/51699/138429/381/84313/1175/11059/11267/93343/64411/832/2264/3560/1785/64744/7879/2868/4193/79643/26286/5867/2060/51534/80230/1211/653857/84364/29934/3312/830/8027/9101/9798/10092/7037/8729/147179/30011/6642/83737/9765/89853/23550/23527/1212/387/10193/5584/137492/8766/64750/9372/375/156/26056/6714/254122/3310/5156/10890/5337/1759/5662/2870/382/8723/8218",163
"Metabolism","Amino acid metabolism","hsa00310","Lysine degradation","52/4545","64/9419",0.8125,1.68381463146315,5.30041658927626,4.84939648102046e-08,4.26746890329801e-06,4.26746890329801e-06,"38/5352/58508/93166/6419/1962/3033/29072/224/2639/51268/4297/2146/56979/79813/501/7799/1743/8424/9757/84444/387893/83852/56950/54904/63976/51166/51111/5351/223/219/9739/23067/123688/217/10157/1738/11105/6839/64324/2145/8985/2122/64754/55870/79709/84787/80854/8085/55904/7468/85007",52
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","99/4545","142/9419",0.697183098591549,1.44483335657509,5.15752408077579,1.49631026709027e-07,1.05340242803155e-05,1.05340242803155e-05,"6502/23759/55120/10393/997/25847/9690/4734/57448/64326/8916/7428/25906/246184/9817/6923/329/8454/26259/23221/54926/26272/23295/51343/4281/9354/90293/9820/55284/8453/29882/51433/7332/7314/996/51465/9063/10054/7311/672/57154/8697/1643/84447/867/11060/7327/7317/8451/8554/7337/23291/92912/11059/6921/6477/7334/7316/26091/7321/8945/1161/4193/10401/9886/10075/27338/63893/8450/51619/51366/7323/7319/4214/22888/7322/8925/83737/10055/65264/7326/64750/331/29945/64682/55294/378884/134111/10277/8452/4591/51588/119504/10477/55585/7328/7324/1642/55236",99
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","117/4545","175/9419",0.668571428571429,1.38553889674682,4.97119478833144,4.14499287578043e-07,2.43172915379119e-05,2.43172915379119e-05,"54431/267/10905/55741/55768/10808/23193/55757/51128/55176/2923/3337/165324/1965/51009/25956/22824/29927/6747/51035/58505/23471/10299/23190/8454/10484/3326/56605/22872/8720/55968/9709/79139/581/7841/4287/51465/9871/81567/27248/10961/22926/9632/7415/51726/55973/1650/811/201595/7993/468/84447/7327/578/10970/4780/7095/258010/6745/5886/10294/80331/55666/29978/10113/30001/80343/10802/6396/10956/3300/10130/64374/200185/51360/6400/9695/7321/10960/7186/1410/55432/23640/55829/10483/7494/3312/11231/3998/5602/51619/54788/7323/7322/6184/56681/84061/100128731/1603/7326/5887/5609/23645/824/823/7466/57134/9601/10525/10277/5599/3310/80267/91445/821/64215/10134",117
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","113/4545","169/9419",0.668639053254438,1.38567904127691,4.88542161148086,6.4698896881297e-07,3.25343024317379e-05,3.25343024317379e-05,"10652/10645/5580/65082/2475/55054/9342/64798/22800/3146/1965/5562/57448/4077/26100/440275/26003/5170/64419/3480/3667/5290/58528/5516/115201/55578/55102/9711/5594/58476/8673/5289/9110/57617/207/140775/3091/5728/84335/5567/4218/7314/83452/5604/53349/8887/22808/5595/3916/10533/7311/30849/64223/1508/23710/8837/1514/6009/11345/23130/57724/51100/8408/3920/22863/29110/116442/8660/60673/1509/55255/5605/170067/1612/10325/7316/6885/3845/7879/664/83734/81631/285973/84938/64422/5602/5291/203228/5296/8897/598/64121/27072/9474/5293/84971/84557/6794/6199/6237/100130302/11337/10670/8417/5599/11152/10241/64601/29982/6198/23339/23604/441925",113
"Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","62/4545","83/9419",0.746987951807229,1.54804829880578,4.84262659826087,7.44973605186924e-07,3.27788386282247e-05,3.27788386282247e-05,"84733/55252/3065/114785/3720/63035/84458/8726/26147/7528/2146/9212/23429/10238/80012/1912/64319/4149/54881/100532731/8473/1876/3607/648/23492/121536/22955/55777/3054/171023/10600/84108/23512/84759/1911/26013/23269/57332/85015/91133/221937/10138/84333/7321/2033/1387/7874/2145/51460/7027/84678/51619/23466/7323/54880/7322/22992/84456/11335/6045/83746/57666",62
"Metabolism","Carbohydrate metabolism","hsa00630","Glyoxylate and dicarboxylate metabolism","28/4545","31/9419",0.903225806451613,1.8718336349764,4.6949551810833,9.12802425136e-07,3.57007170719858e-05,3.57007170719858e-05,"38/275/4190/50/2752/189/51179/112817/6472/847/9380/81888/6470/132158/1431/2731/48/5095/55902/4594/64902/54363/1738/125061/5096/283871/84693/2653",28
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","61/4545","83/9419",0.734939759036145,1.5230797778573,4.62200147465804,2.3356864853188e-06,7.93507778750985e-05,7.93507778750985e-05,"1891/5825/54677/1962/5828/55670/23305/10478/189/5195/283927/51179/51268/51703/11001/30/25961/570/10654/847/8309/23600/2180/196743/4598/4358/3295/6342/5192/11264/84769/9409/23417/1384/8443/225/3155/10005/25824/51/5193/54363/215/5190/10901/8540/373156/55825/2053/83594/3417/5264/8310/5827/5052/5189/2182/10455/8528/8799/6648",61
