"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9012999","RHO GTPase cycle","305/6079","450/11287",0.677777777777778,1.25844345744,6.04460421224102,6.16442477479409e-10,1.0627468311745e-06,1.0627468311745e-06,"CDC42SE2/MCF2L/ARHGEF40/GRB7/SOS2/SHKBP1/YKT6/TMOD3/OSBPL11/PARD6A/TXNL1/ABI2/CIT/ARHGEF7/ABCD3/VANGL1/ECT2/ARHGAP4/JUP/GOPC/ROCK1/AMIGO2/EMD/PARD6B/NET1/MOSPD2/FAM169A/PGRMC2/KCTD3/PAK3/RHOH/FAM13A/RBMX/DSG1/WASF2/RASGRF2/MYO9B/BAIAP2/TMEM59/KCTD13/ARHGAP15/C1QBP/ALDH3A2/STK38/RRAS2/CAVIN1/MUC13/STK10/NGEF/ARL13B/EFHD2/DEPDC1B/TEX2/STIP1/ARHGEF1/ARHGAP29/RHOU/ITSN2/ARHGEF11/RTKN/PIK3CA/WDR11/SAMM50/FNBP1L/CCDC187/NUDC/DBN1/ARHGAP21/STBD1/GRB2/FNBP1/LBR/RHOF/ACBD5/IQGAP3/IQGAP1/ARHGAP31/ARHGEF39/NCK1/RHOBTB2/ARHGAP22/FRS2/SHMT2/DSG2/WASL/HSP90AB1/FAF2/ABL2/SOS1/SPEN/ARHGDIA/MAP3K11/NSFL1C/TNFAIP1/CDC42/COPS4/ARHGAP45/NIPSNAP2/ANKRD26/AKAP12/ITSN1/RHOQ/WASF3/DAAM1/DSP/TWF1/MYO6/CLTC/VAPB/ERBIN/IL32/MYO9A/RHOC/ARHGEF28/PDE5A/DIAPH2/SYDE2/KIDINS220/ARHGAP24/TJP2/FMNL1/SRGAP2/ARHGAP17/CDC42EP1/DIAPH3/RHOB/LAMTOR1/RACGAP1/RHOG/ABI1/ARHGAP5/CSK/WIPF3/TAOK3/PLXND1/SLC1A5/CCT2/HNRNPC/CFTR/WIPF1/GIT2/VAV2/CAV1/ARHGEF10L/PLEKHG6/ARHGAP42/GIT1/NOXO1/VCP/DOCK5/MSI2/SOWAHC/TPM4/DOCK6/TRIP10/FAM135A/SH3RF1/ZNF512B/GMIP/STARD13/RHPN2/NCF2/SWAP70/ARHGAP19/PKP4/SH3BP1/ARHGAP40/RALBP1/ARHGEF3/ARHGEF4/PAK2/LCK/ARHGAP26/WWP2/BCR/RALGAPA1/ARMCX3/ARHGEF16/CKAP4/PICALM/ARAP2/MACO1/FGD5/ANLN/DOCK9/ADD3/GFOD1/AAAS/BRK1/FRS3/WDR81/OCRL/FARP2/SENP1/CCT7/FGD2/CDC42EP2/PLEKHG3/ROCK2/WDR6/DOCK4/CKB/FARP1/CDC42EP4/ARHGEF17/TUBA1B/ARAP3/TPM3/CAPZB/NDUFA5/ARHGEF18/CYBA/FLOT2/EPHA2/EMC3/TMPO/DEF6/RND1/GJA1/MTR/NHS/RAB7A/CDC37/FERMT2/CYFIP2/LRRC1/WAS/ACTG1/ARFGAP3/IQGAP2/ARHGAP35/RHOBTB1/LEMD3/DOCK8/LETM1/NDUFS3/CEP97/ARFGAP2/PLXNB1/FMNL3/ARHGEF19/ARHGAP33/PAK4/STAM/NISCH/LMAN1/CDC42BPB/BAIAP2L2/TFRC/ITGB1/PIK3R2/VIM/PRAG1/RHOD/PEAK1/ALS2/ARHGEF2/WIPF2/CPNE8/SPTAN1/ARHGAP12/FMNL2/PLEKHG1/ARHGEF12/STMN2/ANKLE2/PKN3/CCP110/SCFD1/ARHGAP32/DOCK1/RAC3/RHOA/NCKAP1L/RNF20/SRGAP3/SYDE1/SPATA13/CDC42BPA/GNA13/SRC/LMNB1/ESYT1/KTN1/CUL3/SRGAP1/KIF14/SNAP23/WDR91/RASAL2/ARHGAP8/DBT/DOCK7/TRA2B/PLD1/DNMBP/PHIP/PLEKHG2/RAPGEF1/ARHGAP25/MTX1/FAM91A1/DOCK11/BCAP31/PLXNA1",305
"R-HSA-9609507","Protein localization","121/6079","164/11287",0.73780487804878,1.36989696636562,5.15516217078895,1.01152573014618e-07,8.71935179386008e-05,8.71935179386008e-05,"TIMM8A/ECH1/COQ2/GET4/ABCD3/EMD/CROT/EHHADH/PEX2/CHCHD7/HSPD1/ACO2/ACOT2/TOMM6/PEX26/CMC4/ALDH3A2/SLC25A17/AGXT/PEX14/TIMM13/NUDT7/HAO2/FXN/PIPOX/ATP5F1B/SLC27A2/SAMM50/ACAA1/FIS1/TYSND1/ACBD5/CHCHD2/BAAT/TIMM10/CAT/ACOX2/COA4/AMACR/TOMM70/SLC25A12/PAOX/MPV17/HSD17B4/SCP2/PEX10/LONP2/UBB/PXMP4/VAPA/APP/PEX16/OTC/UBA52/IDE/CS/GET1/TIMM8B/SGTA/MLYCD/CRAT/CHCHD3/GNPAT/ABCD2/HMGCL/CHCHD4/ACOT8/TOMM7/TIMM21/DNAJC19/ACOX1/ZFAND6/PEX12/HAO1/ATP5F1A/ABCD1/UBC/SLC25A4/UBE2D1/PEX6/COX19/SERP1/DHRS4/HSCB/AGPS/GSTK1/PECR/EPHX2/TIMM17A/BCS1L/GRPEL1/ATAD1/UBE2D3/TOMM5/CYB5A/PMPCB/GET3/UBE2D2/IDH1/PITRM1/PHYH/COA6/HMOX1/ACOX3/IDH3G/CMC2/CAMLG/TIMM44/TIMM9/PXMP2/TIMM50/PEX1/ECI2/TOMM40/CYC1/MTX1/DDO/COX17/TIMM23/STX1A/PEX11B",121
"R-HSA-69242","S Phase","111/6079","150/11287",0.74,1.37397269287712,4.98140690217799,2.61821298322296e-07,0.000150459972769213,0.000150459972769213,"GINS1/CDT1/PSMD7/CDK2/CDC25B/SKP2/ANAPC10/CDKN1A/GINS4/PSMA2/ORC3/POLE2/CCNE2/PSMD3/PSMC6/ORC2/RFC2/MCM3/RB1/ANAPC15/ORC1/CDC26/RFC5/PDS5B/RFC1/WAPL/CCNA1/CUL1/MAX/RPA2/CCND1/PSMC2/RFC4/POLE/ADRM1/PSMA6/FZR1/PRIM2/PSMA1/MNAT1/LIN9/E2F1/AKT1/PSMA7/PSMA4/ANAPC2/ANAPC5/UBB/LIN54/CDCA5/CDC27/PTK6/CABLES1/CDKN1B/E2F4/MCM5/UBA52/ESCO2/PSMD2/POLD4/CDC23/SEM1/POLD1/WEE1/CDC6/RBL2/PDS5A/POLD3/ORC5/PSMB1/CDC25A/TFDP2/GSK3B/PSMD8/UBC/PSMB7/STAG1/CDK4/UBE2D1/CCNH/FEN1/ORC4/GMNN/POLD2/MCM4/UBE2S/MCM6/TFDP1/ORC6/POLA1/CCNA2/SMC3/PSMC3/LIN37/PSMA5/STAG2/PSMB6/PCNA/ANAPC4/GINS3/ANAPC1/LIN52/ANAPC16/DNA2/RFC3/PRIM1/PSMB4/RPA1/MYC/UBE2E1/ESCO1",111
"R-HSA-4839726","Chromatin organization","247/6079","374/11287",0.660427807486631,1.22622942311262,4.80688152730623,7.7395966205604e-07,0.000333576614346153,0.000333576614346153,"ELP6/H3C12/RIOX2/H2AC16/PHF20/DPF2/COPRS/RCOR1/NR2F2/H2BC9/MORF4L1/KMT2C/H3-3B/H3C2/CBX1/CHD9/SMARCD3/CHERP/MBIP/SETD2/ATF2/BRWD1/ELP2/KDM1A/MSL2/MSL1/SAP18/HDAC1/ENY2/H2AC13/KANSL3/ADNP2/EED/MBD2/H2AC4/MBD3/H2BC12/KMT2A/EZH2/BICRA/KDM5B/RUVBL2/CDC73/H2AC21/BRD9/VPS72/H4C12/CDK2AP2/MORF4L2/SUPT20H/H4C9/KDM7A/H2AC7/PRDM9/U2SURP/SF3B4/ZNF827/KANSL2/EHMT1/ARID2/CCND1/ATXN7/USP22/TADA2B/MAFK/KDM6B/H2BC18/H2BC5/SUPT3H/OGT/SF3A1/ZNF532/H3C1/YEATS2/GPS2/SF3B5/HDAC10/SNRPD1/H2BC17/KAT14/H4C4/KMT2B/H2BC21/ING3/NCOA1/ZZZ3/SF3B2/H4C5/MEAF6/G6PC1/DPF3/ING5/DOT1L/SMNDC1/SMARCD2/KMT5A/AEBP2/BRMS1/KDM4C/DDX42/SETDB2/KDM5C/NSD3/NCOR2/H2BC13/TBL1X/SF3A3/DNMT3A/ZMYND8/PRDM16/KDM4B/H3C3/ELP3/RTF1/RBM17/TAF5L/JADE3/HCFC1/NQO1/CHD4/NR2C2/PHF21A/RUVBL1/H2BC3/GATAD2B/KMT5B/H2AJ/SUZ12/MRGBP/CTR9/CDK2AP1/CARM1/KAT8/ACTL6B/PADI2/FBP1/SMARCC1/H3C11/KDM3B/SAP130/NFE2L2/DDX46/CTCF/ATXN7L3/CHD3/H3C4/HDAC8/TBL1XR1/H3C13/PHF2/H4C11/CHD8/TCF3/ACTL6A/SETD1A/ZNF592/SS18/SETD1B/H2BC12L/DMAP1/REST/H2AC12/ARID4A/SNRPD3/LEO1/CHD6/PWWP2A/NFKB1/H3-3A/KAT6B/SF3B1/SETD6/AXIN2/SMARCA4/BCL7B/KDM4A/CDK4/KAT6A/TADA1/MTA3/BRPF1/SGF29/TRRAP/H2AC6/H2BC15/SUV39H1/JADE2/ELP1/PRMT1/NSD1/EP300/NCOR1/EP400/CREBBP/H2BC11/TAF10/GATAD2A/BICRAL/MCRS1/SAP30L/TADA2A/BCL11A/MTA2/KDM3A/H3C10/CTNNB1/PHF10/MECOM/KDM2B/SMYD3/ASH1L/BCL7A/ARID4B/PRMT3/H2AC8/TCF12/KMT5C/JADE1/NFKB2/ADNP/JAK2/KAT5/KDM2A/HAT1/H2BC26/CHD2/ASH2L/H3C6/CBX3/SETD7/PWWP2B/EPC1/SMARCE1/SUMO1/YEATS4/KAT7/KMT2D/TAF6L/ATF7IP/H2AC17/SMARCD1/PHF8/SS18L1/BCL7C/NSD2/H2AC15/KDM1B",247
"R-HSA-3247509","Chromatin modifying enzymes","184/6079","271/11287",0.678966789667897,1.2606511194245,4.6922688011366,1.3514345346052e-06,0.000465974627531872,0.000465974627531872,"ELP6/H3C12/RIOX2/H2AC16/PHF20/COPRS/RCOR1/H2BC9/MORF4L1/KMT2C/H3C2/SMARCD3/MBIP/SETD2/ATF2/BRWD1/ELP2/KDM1A/MSL2/MSL1/SAP18/HDAC1/ENY2/H2AC13/KANSL3/EED/H2AC4/MBD3/H2BC12/KMT2A/EZH2/KDM5B/RUVBL2/H2AC21/VPS72/H4C12/MORF4L2/SUPT20H/H4C9/KDM7A/H2AC7/PRDM9/KANSL2/EHMT1/ARID2/CCND1/ATXN7/USP22/TADA2B/KDM6B/H2BC18/H2BC5/SUPT3H/OGT/H3C1/YEATS2/GPS2/HDAC10/H2BC17/KAT14/H4C4/KMT2B/H2BC21/ING3/NCOA1/ZZZ3/H4C5/MEAF6/ING5/DOT1L/SMARCD2/KMT5A/AEBP2/BRMS1/KDM4C/SETDB2/KDM5C/NSD3/NCOR2/H2BC13/TBL1X/DNMT3A/PRDM16/KDM4B/H3C3/ELP3/TAF5L/JADE3/HCFC1/CHD4/PHF21A/RUVBL1/H2BC3/GATAD2B/KMT5B/H2AJ/SUZ12/MRGBP/CARM1/KAT8/ACTL6B/PADI2/SMARCC1/H3C11/KDM3B/SAP130/ATXN7L3/CHD3/H3C4/HDAC8/TBL1XR1/H3C13/PHF2/H4C11/ACTL6A/SETD1A/SETD1B/DMAP1/REST/H2AC12/ARID4A/NFKB1/KAT6B/SETD6/SMARCA4/KDM4A/CDK4/KAT6A/TADA1/MTA3/BRPF1/SGF29/TRRAP/H2AC6/H2BC15/SUV39H1/JADE2/ELP1/PRMT1/NSD1/EP300/NCOR1/EP400/CREBBP/H2BC11/TAF10/GATAD2A/MCRS1/SAP30L/TADA2A/MTA2/KDM3A/H3C10/MECOM/KDM2B/SMYD3/ASH1L/ARID4B/PRMT3/H2AC8/KMT5C/JADE1/NFKB2/JAK2/KAT5/KDM2A/HAT1/H2BC26/ASH2L/H3C6/SETD7/EPC1/SMARCE1/YEATS4/KAT7/KMT2D/TAF6L/ATF7IP/H2AC17/SMARCD1/PHF8/NSD2/H2AC15/KDM1B",184
"R-HSA-9033241","Peroxisomal protein import","52/6079","63/11287",0.825396825396825,1.53253067416581,4.57922181595134,1.62406306941503e-06,0.000466647455278585,0.000466647455278585,"ECH1/CROT/EHHADH/PEX2/ACOT2/PEX26/AGXT/PEX14/NUDT7/HAO2/PIPOX/SLC27A2/ACAA1/TYSND1/BAAT/CAT/ACOX2/AMACR/PAOX/MPV17/HSD17B4/SCP2/PEX10/LONP2/UBB/UBA52/IDE/MLYCD/CRAT/GNPAT/HMGCL/ACOT8/ACOX1/ZFAND6/PEX12/HAO1/UBC/UBE2D1/PEX6/DHRS4/AGPS/GSTK1/PECR/EPHX2/UBE2D3/UBE2D2/IDH1/PHYH/ACOX3/PEX1/ECI2/DDO",52
"R-HSA-6811442","Intra-Golgi and retrograde Golgi-to-ER traffic","141/6079","203/11287",0.694581280788177,1.28964285511699,4.49897093125799,3.44188392266963e-06,0.000847686840383206,0.000847686840383206,"KIF5B/YKT6/KIF3A/KIF20A/NAPB/MAN1A2/USP6NL/SEC22B/RAB3GAP2/PAFAH1B2/COPB1/SNAP29/CYTH4/RAB6A/KIF25/GALNT1/IGF2R/VPS53/GOLGA1/NAA35/GCC2/TUBB3/KLC1/CUX1/ARFIP2/KIF21A/DYNC1I2/BICD1/ARF3/USE1/VAMP4/RAB3GAP1/KIF6/ARFRP1/BET1L/PAFAH1B3/KDELR1/TMED10/KDELR3/SCOC/KIF22/GOLGA5/KIF2A/DCTN3/VPS45/RAB30/DYNLL2/ZW10/TUBB6/ARF4/KIF16B/KIF21B/ARL1/CENPE/COG5/RGP1/KIF5A/STX10/RACGAP1/RAB33B/DCTN6/KIF2B/STX18/COG2/KIF15/RINT1/ARCN1/VTI1A/TUBA4A/KLC4/TMED3/TUBB4B/RAB43/TUBB8/PAFAH1B1/COPG2/NAPG/TUBB4A/BNIP1/TRIP11/RIC1/TUBA1C/KDELR2/SYS1/COPZ2/COG3/DYNLL1/TUBA8/CYTH3/KIF12/MAN2A1/KIF27/GOSR2/ARF5/KIF1C/PLA2G6/DCTN1/TUBA1B/CAPZB/RAB18/DCTN4/DYNC1LI2/TGOLN2/KIF2C/GOLIM4/DYNC1LI1/DYNC1H1/KIF26B/RAB36/KIF1B/ARFGAP3/COPG1/PLIN3/ARFGAP2/CAPZA2/RABEPK/KIF11/GBF1/MAN2A2/GOLGA4/KIF3C/SURF4/ACTR1A/TMED9/KIF20B/COPZ1/COG1/RAB1B/MAN1C1/RAB39A/RHOBTB3/ARF1/GCC1/BICD2/KIF18B/COPE/KIF4A/KIF3B/COG6/PLA2G4A/AGPAT3",141
"R-HSA-8964043","Plasma lipoprotein clearance","33/6079","37/11287",0.891891891891892,1.65599338440266,4.31792075146704,4.52980976324392e-06,0.000970724917360087,0.000970724917360087,"VLDLR/APOB/AMN/AP2A1/AP2B1/LDLRAP1/NCEH1/MYLIP/SCARB1/LDLR/CUBN/APOE/APOC1/LIPC/CLTC/NR1H3/HDLBP/UBB/AP2A2/LIPA/UBA52/APOC4/AP2M1/LSR/AP2S1/PCSK9/NPC2/UBC/SOAT2/APOA1/CLTA/SOAT1/NPC1",33
"R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","290/6079","453/11287",0.640176600441501,1.18862860489936,4.42703387315059,5.06758947577771e-06,0.000970724917360087,0.000970724917360087,"KIF5B/PSMD7/AGTRAP/PPP2R1A/AGO2/FGF8/ARAF/CDKN1A/AGGF1/FIP1L1/MTOR/HIP1/SPRED1/PSMA2/TYK2/FAM114A2/SNW1/KITLG/DUSP10/BCL2L11/DUSP7/NOX4/ERBB3/MARK3/HDAC1/GOLGB1/PSMD3/BIRC6/PSMC6/RAP1A/DERL2/GCC2/KLC1/MAML3/FYN/CALM3/CUX1/HEYL/FGA/CLIP1/PDPK1/POLR2D/IRS1/CD28/PIK3CA/FOXO1/PPP2CB/RB1/RANBP2/PPP2R5B/TGFBR1/NRG2/HHAT/KDM7A/GRB2/FXR1/TRIM24/PPP2R1B/IQGAP1/FGFR3/CUL1/CAMK2G/TENT4A/POLR2K/PSMC2/FRS2/MAPK1/PPP1CC/DUSP8/SOS1/KREMEN1/PTPN6/SEC31A/MAML1/ADRM1/MAP3K11/FGF19/CREB1/HDAC5/BCL2A1/BRAP/PSMA6/SMAD4/HDAC10/RPS6/FGFR1OP2/ARRB2/RAP1B/PTPN12/MET/CEBPB/PSMA1/CLTC/CD86/CTBP1/ERBIN/CSNK1A1/AKT1/TNKS/PTEN/PSMA7/PSMA4/PPFIBP1/RICTOR/TRAK1/ADAM10/AKT1S1/UBB/IHH/DUSP6/RHOG/CSK/FOXO4/MAP2K1/DUSP9/STAT3/ERLEC1/NTF3/MAPKAP1/MRAS/BRAF/CDK8/CDKN1B/FZD5/MAPK3/FGF2/ATG7/UBA52/ERLIN2/VCP/NCOR2/TBL1X/TPM4/HDAC4/PSMD2/ESR2/FKBP1A/STAT5B/MIB1/SHOC2/POLR2A/CPSF6/MAMLD1/POLR2H/MLST8/NRG1/TFG/CNTRL/PPP2R5A/PPP2R5E/EML4/FGB/TRIP11/MYH9/ARRB1/QKI/LCK/SEM1/APH1B/AGO1/FGF7/SYVN1/CBL/KLB/BCR/CALM1/CCNB1/ESR1/FZD4/SMAD2/PRKAR1A/PRR5/HDAC8/TBL1XR1/FRS3/ATIC/IRS2/PDGFA/MYO18A/ERBB2/DUSP16/CCNC/DNMT1/HBEGF/DLL4/PSMB1/NEURL1/LRRFIP1/AGO4/CNKSR2/DCTN1/GSK3B/FN1/MAP2K2/HDAC6/TPM3/PSMD8/FGFR4/SHH/OS9/MIB2/UBC/PSMB7/BAG4/SEL1L/AREG/LRP6/KRAS/CDC37/HES1/KSR1/AXIN1/LMO7/DKK1/MDM2/NOTCH1/HDAC11/HDAC7/ACTG1/MPRIP/AKAP9/GAB2/GAB1/EP300/APH1A/PSEN1/NCOR1/CREBBP/GSK3A/STRN/CAMK2B/CEP43/SND1/BCL11A/YWHAB/CTNNB1/LMNA/HGF/PIK3CB/PHB1/KANK1/PIK3R2/GOLGA4/BCL2L1/PSMC3/POLR2B/APC/ZC3HC1/PSMA5/PIK3CD/FLT3LG/JAK2/YES1/ERBB4/NF1/LYN/PSMB6/AGO3/PEBP1/FOXO3/LRP5/NPM1/RPS6KB2/VCL/ZFYVE9/GTF2F2/PPP2R5C/NRG4/IRF4/POLR2I/PDGFRB/FBXW7/CHUK/SRC/MAPK8/CLCN6/PDGFRA/EEF1G/PRF1/FGG/HEY2/TGFB1/POLR2G/PTPN11/PSMB4/MYC/MECP2/AP3B1/RBPJ/TLN1",290
"R-HSA-446203","Asparagine N-linked glycosylation","206/6079","312/11287",0.66025641025641,1.22591118647213,4.37183110702134,6.50539462701416e-06,0.00104056184370151,0.00104056184370151,"NAGK/YKT6/TRAPPC6B/AMFR/NAPB/MAN1A2/ST6GALNAC5/SEC22B/EDEM2/NGLY1/GANAB/UGGT2/GMDS/MGAT5/COPB1/TRAPPC3/ST6GALNAC4/SAR1B/MGAT4A/AMDHD2/PDIA3/DOLK/LMAN2L/MLEC/GOLGB1/ALG12/DOLPP1/DERL2/SRD5A3/GNE/TUBB3/TRAPPC2/B4GALT3/TRAPPC5/FUT8/SEC31B/UAP1/DYNC1I2/ARF3/RNF139/UBXN1/MGAT4C/OSTC/BET1L/NANS/KDELR1/TMED10/MARCHF6/KDELR3/F5/SEC23A/MIA3/DCTN3/MGAT2/MANEA/ST3GAL4/DPAGT1/FUOM/SEC31A/DYNLL2/CNIH2/TUBB6/DERL1/ARF4/ST3GAL6/SEC16A/CD55/ALG6/CNIH3/TRAPPC6A/B4GALT1/COG5/MOGS/ST8SIA6/DPM3/UBB/SPTBN4/DCTN6/SEC24D/RFT1/GLB1/COG2/ASGR1/USO1/SPTBN2/GFPT2/TRAPPC2L/SEC24C/ARCN1/UBA52/MIA2/VCP/TUBA4A/ST6GALNAC2/ALG3/TMED3/TUBB4B/TUBB8/COPG2/DDOST/GMPPA/NAPG/TUBB4A/CALR/TFG/STT3B/GFPT1/B4GALT2/TBC1D20/SLC35C1/ST6GAL1/ST6GALNAC1/TUBA1C/SYVN1/KDELR2/COPZ2/COG3/DYNLL1/TUBA8/CTSZ/SLC17A5/PPP6C/MAN2A1/LHB/MGAT4B/GOSR2/ALG5/ARF5/GNPNAT1/ALG9/PREB/SEC24A/BET1/DCTN1/SEC22C/ALG14/TUBA1B/CAPZB/SEC13/DCTN4/OS9/DYNC1LI2/UBC/SEL1L/DYNC1LI1/EDEM1/AREG/DYNC1H1/NEU3/ALG1/LMAN2/ALG13/ARFGAP3/ST8SIA3/ST3GAL2/CNIH1/GRIA1/COPG1/CD59/PMM1/SEC22A/TRAPPC10/ARFGAP2/ALG8/CAPZA2/LMAN1/F8/RNF103/GBF1/MAN2A2/SLC35A1/SPTAN1/GMPPB/ACTR1A/TMED9/RPN1/PPP6R3/PPP6R1/MAGT1/ALG11/ASGR2/SCFD1/COPZ1/OST4/DAD1/CSNK1D/SEC23IP/RAD23B/COG1/RAB1B/B4GALNT2/MAN1C1/ST6GALNAC6/ARF1/TRIM13/DPM1/ALG10/MGAT1/EDEM3/COPE/B4GALT4/COG6/RNF185/CGA/CANX/CMAS",206
