"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","113/4003","158/9419",0.715189873417722,1.68283123100712,7.44124815865597,9.56090919985636e-14,3.36544003834944e-11,3.36544003834944e-11,"81620/1017/1031/994/5518/6502/10393/1647/1026/10926/25847/3065/25/10971/23595/7042/23594/5000/891/1869/993/4998/23063/7040/5516/546/595/9700/9184/10459/7027/23244/7709/8556/1027/9212/983/29882/996/1871/7533/2810/4175/2033/157570/5347/5934/7029/4087/4174/5525/4089/10274/472/7465/5885/5591/4173/4193/902/51433/1019/9133/990/1111/1030/890/9126/9134/1029/896/10735/26271/246184/23383/25836/27085/64682/1874/10403/1021/29945/119504/701/7534/5933/5519/4609/8697/114799/545/8555/8379/5526/90381/25906/80174/11200/5111/1032/7272/4172/7043/7529/8454/55869/51343/1387/5001/57082/4616/113130/7532",113
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","159/4003","250/9419",0.636,1.49649862603048,6.84005949500788,8.21796787181192e-12,1.4463623454389e-09,1.4463623454389e-09,"1601/3799/11021/858/10095/50855/58513/116988/10092/51160/55616/79720/25978/84612/160/118813/80223/2060/57132/3482/653857/1211/9798/8976/79643/10564/116987/830/116983/7037/1234/998/2261/55048/7879/26052/7456/3949/5878/10096/11311/58533/7251/378/409/51324/1175/55680/50807/55737/9265/29924/4734/1213/84313/2869/9559/9815/1173/60682/11059/10015/274/867/51699/2868/9135/64411/8853/10109/8411/381/64744/3798/408/10938/857/4087/28964/51100/8394/93343/29934/84440/2264/51019/3312/4193/161/91782/138429/84249/4218/9922/10097/80230/3800/147179/23362/30011/5869/9765/89853/56288/9101/8724/23550/57154/387/10193/5584/137492/8766/64750/9372/375/156/26056/11267/254122/11031/27183/868/3310/23327/5156/10890/7046/116984/1759/5662/83737/382/6714/8723/1785/1956/9525/6643/23527/6642/6455/832/116986/1212/5337/131890/155382/51028/26119/8395/8729/2870/27131/84364/163/377/9829/3480",159
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome biogenesis","157/4003","250/9419",0.628,1.47767474394204,6.58073053282865,4.73996595109922e-11,5.56156004928975e-09,5.56156004928975e-09,"245972/23062/162/1176/53373/65082/2475/160/282991/8905/3482/64798/23335/3425/10053/23312/1211/8943/23553/3920/389541/1777/28956/26503/55315/9741/6556/5660/7879/23545/10239/114879/2717/23163/57521/164/55353/523/127829/10325/1175/118426/4126/55737/535/1213/1522/9559/64121/10947/3988/1173/1520/8992/2581/526/51699/130340/2548/175/23659/153129/206358/9885/57617/55317/1514/1497/5538/3423/9296/28962/1512/57192/64223/58528/5007/26258/256471/4669/54982/55283/10577/9114/9894/26088/51606/9550/1201/2760/84335/138050/161/55330/120103/55004/4125/8120/2720/9896/8906/200576/285362/26031/23503/9516/7030/57707/8692/23457/10312/525/11154/23557/79036/1200/1186/10717/55207/10670/1174/51172/411/768239/4864/4668/64601/114876/8907/8649/8546/53/27072/7098/2990/2030/1509/1212/114880/79641/528/2519/388552/4891/7942/3074/3916/54785/3177/91056/163/8673/23461/1508/6448/27074/9907",157
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","89/4003","133/9419",0.669172932330827,1.57455404687086,5.7368722501847,9.35852349990951e-09,8.23550067992037e-07,8.23550067992037e-07,"6655/8743/1017/5170/6502/356/1432/1647/1026/5291/7042/3276/7874/891/664/1901/5894/3845/2538/10110/7040/3569/595/5604/847/6654/23678/23710/100533105/6774/26260/6517/1027/5571/5295/2033/51422/5728/10769/6446/5296/5347/673/5934/5595/10733/4089/5594/472/5605/3479/4193/4303/9133/9455/604/1030/5565/1147/5293/100132074/8660/6794/5106/2309/80854/5562/11345/11337/2308/92579/7046/1956/1263/6648/11067/116986/1032/3667/23411/7043/5290/1387/3643/4616/10018/5603/1454/3480",89
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","93/4003","142/9419",0.654929577464789,1.54103964280311,5.58473141897673,2.24372025143044e-08,1.57957905700703e-06,1.57957905700703e-06,"57448/6502/23759/55120/10393/997/25847/8450/10075/27338/7311/23221/9817/6923/63893/8065/10401/329/92912/54926/4281/9886/7314/8554/4734/26091/1643/29882/996/11059/672/867/10054/51465/7317/9820/26259/7319/84447/7337/9354/1161/23291/6921/6477/8453/4193/51433/7334/7323/4214/22888/7322/8925/10055/8916/65264/7332/57154/7321/246184/7326/64750/64682/378884/8451/10277/8452/51588/868/23327/29945/119504/10477/55585/83737/8697/7324/1642/55236/23295/26272/25906/7428/8945/3093/8454/51343/51619/7328/331/11060/9690",93
"Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","60/4003","83/9419",0.72289156626506,1.70095320076208,5.51417389807754,3.30678387689764e-08,1.93997987444662e-06,1.93997987444662e-06,"23269/84733/55252/3065/22823/7874/23492/8535/100532731/10336/8473/57332/1876/7027/3720/84458/121536/648/84108/55777/9212/84759/171023/23512/2033/84333/85015/2145/1911/10600/221937/84678/4149/10138/7323/114785/54880/64319/7322/22992/7321/11335/7528/6045/83746/57666/80012/10238/3607/2146/84456/26147/8726/63035/51619/1387/1912/23466/3054/26013",60
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","75/4003","110/9419",0.681818181818182,1.60430813253696,5.48070058088357,4.06962500981901e-08,2.04644000493756e-06,2.04644000493756e-06,"655/5518/25942/6093/3065/3077/7042/3547/9611/7018/659/10468/7037/7040/5516/4756/3398/7027/5308/4090/91/285704/4086/7050/7036/2033/23592/6498/10637/60436/4087/3400/5595/4089/3624/5594/93/90/4092/657/6199/1030/2200/57817/9765/4091/57154/387/148738/64750/151449/9372/6667/1874/7057/92/100532736/83729/4093/7044/7046/2014/5933/5519/4609/8200/658/25805/7043/269/8454/6497/6198/1387/3399",75
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","65/4003","93/9419",0.698924731182796,1.64455959105939,5.37019003161169,7.51802614632809e-08,3.25371140866212e-06,3.25371140866212e-06,"5777/10627/6093/4636/889/10810/2064/4301/8976/7454/7082/5797/998/8826/71/5908/4233/52/9855/87/81/117178/1457/6615/2033/10580/6932/5595/4089/1499/5879/5594/4008/10458/999/5795/5770/5792/103910/56288/7525/5881/1459/57154/387/5819/7414/64750/57493/1500/83439/7046/9411/6714/1956/2241/29119/2534/1387/5906/11235/3643/10163/3480/83605",65
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","109/4003","175/9419",0.622857142857143,1.46557367688519,5.34453941087374,8.31914848805657e-08,3.25371140866212e-06,3.25371140866212e-06,"54431/267/10905/55741/55768/10808/10802/23193/55757/51128/55176/1650/22872/10483/23640/56605/27248/10956/10960/10130/23190/25956/2081/6745/165324/55968/51009/9709/79139/581/9871/80331/51360/81567/10299/29927/9695/7095/7186/10961/811/7841/200185/10970/7415/5886/51465/1410/58505/51726/578/84447/4780/30001/55432/7993/22824/6396/258010/3312/3300/64374/6747/7494/55666/57134/4121/54788/7323/9601/7322/10484/6184/56681/84061/100128731/1603/7321/7326/5887/5609/23645/824/201595/7466/10525/10277/3310/80267/11231/3998/821/10134/23471/51035/823/8454/468/55829/10113/10294/51619/55973/3326/3337/4287/64215/2923/29978",109
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","147/4003","253/9419",0.58102766798419,1.3671495390315,5.08916031216945,3.02608114673297e-07,1.06518056365001e-05,1.06518056365001e-05,"8356/10095/23157/10092/3021/8358/1432/5580/10627/6093/55062/2475/4636/55054/375189/3688/5291/653857/8717/80201/8976/92610/55964/664/7311/10392/7100/23048/998/81858/3606/22863/10096/71/8290/57521/4735/8350/10454/1399/581/3059/10325/7314/9564/5289/9265/30849/64121/55752/7186/87/5295/5829/10318/81/54205/960/653604/3709/10109/718/5296/10801/3678/8354/4792/5336/55072/257397/23291/5595/929/58528/5879/5594/8357/472/4790/3020/3099/3554/4193/4303/84335/9474/8352/10097/6199/7334/598/7323/9181/8517/103910/1147/2931/7322/5293/4793/51196/100132074/1793/2309/387/7321/11335/81631/7414/824/834/375/29110/5747/10670/2308/5481/23236/199746/3710/989/5333/382/23118/9844/6714/1956/3611/7094/54874/7335/8945/8353/10241/823/11146/8454/6198/5290/5217/26100/51619/23176/1398/5603/10163/8351",147
