"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9031628","NGF-stimulated transcription","4/69","39/11287",0.102564102564103,16.7774061687105,7.74046597957533,8.95292586617357e-05,0.033223697576647,0.029266006878162,"EGR1/FOSB/FOS/JUNB",4
"R-HSA-9705683","SARS-CoV-2-host interactions","7/69","201/11287",0.0348258706467662,5.69680582594275,5.26926509277425,0.000216870265105818,0.033223697576647,0.029266006878162,"NUP35/SNRPE/RPS19/IRF3/SNRPB/HSP90AA1/RPS16",7
"R-HSA-72163","mRNA Splicing - Major Pathway","7/69","205/11287",0.0341463414634146,5.58564863909509,5.19643480955932,0.00024470658974248,0.033223697576647,0.029266006878162,"U2AF2/DDX5/SNRPE/SNRPB2/ALYREF/SNRPB/FAM32A",7
"R-HSA-9754678","SARS-CoV-2 modulates host translation machinery","4/69","51/11287",0.0784313725490196,12.8297811878375,6.6403777386386,0.000257417191540579,0.033223697576647,0.029266006878162,"SNRPE/RPS19/SNRPB/RPS16",4
"R-HSA-72172","mRNA Splicing","7/69","213/11287",0.0328638497652582,5.37585901884738,5.05635682234156,0.000309034257911626,0.033223697576647,0.029266006878162,"U2AF2/DDX5/SNRPE/SNRPB2/ALYREF/SNRPB/FAM32A",7
"R-HSA-72187","mRNA 3'-end processing","6/69","152/11287",0.0394736842105263,6.4570938215103,5.31220656571532,0.000322039071825334,0.033223697576647,0.029266006878162,"U2AF2/DDX5/SNRPE/SNRPB2/ALYREF/SNRPB",6
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","8/69","294/11287",0.0272108843537415,4.45114857537218,4.70236198953397,0.000405619935287596,0.0353132595075843,0.0311066549186781,"U2AF2/DDX5/NUP35/SNRPE/SNRPB2/ALYREF/SNRPB/FAM32A",8
"R-HSA-9694516","SARS-CoV-2 Infection","8/69","301/11287",0.026578073089701,4.34763349222399,4.61676963776336,0.000474417701528368,0.0353132595075843,0.0311066549186781,"DDX5/NUP35/SNRPE/RPS19/IRF3/SNRPB/HSP90AA1/RPS16",8
"R-HSA-198725","Nuclear Events (kinase and transcription factor activation)","4/69","61/11287",0.0655737704918033,10.7265383701592,5.97375701385282,0.000513439960530304,0.0353132595075843,0.0311066549186781,"EGR1/FOSB/FOS/JUNB",4
"R-HSA-187037","Signaling by NTRK1 (TRKA)","5/69","115/11287",0.0434782608695652,7.11216131064902,5.1667222390437,0.000672778064850216,0.0416449622142284,0.0366841092202539,"EGR1/FOSB/FOS/NRAS/JUNB",5
