"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","57/561","305/18842",0.186885245901639,6.27681248356272,16.2755355184252,2.76844319118135e-29,1.14225966068143e-25,2.23476208518156e-26,"DHX15/STAT1/GBP1/PLSCR1/TRIM34/MOV10/IFI6/STAT2/IRF9/DDX60L/POLR3F/IRF1/UNC93B1/USP18/PPM1B/RSAD2/MX2/OAS2/NLRC5/TRIM56/CARD8/SAMHD1/ILRUN/ADAR/IFIT5/NT5C3A/IFIT1/DDX60/ISG15/IFIT1B/IFITM1/MIR130A/TRIM22/MX1/TRIM25/TRIM21/ZC3HAV1/TLR7/IFIT2/DTX3L/IL6/IFIT3/ISG20/AIMP1/TRIM5/SHFL/DHX58/PML/RTP4/SMARCA5/MLKL/OASL/EIF2AK2/IFITM3/CXCL10/OAS1/OAS3",57
"GO:0009615","response to virus","60/561","400/18842",0.15,5.0379679144385,14.2995470695477,1.87119015127846e-25,3.86026528208745e-22,7.55237603856672e-23,"DHX15/STAT1/GBP1/SMAD3/PLSCR1/TRIM34/MOV10/IFI6/STAT2/IRF9/DDX60L/POLR3F/IRF1/UNC93B1/USP18/PPM1B/DDX3X/RSAD2/MX2/OAS2/NLRC5/TRIM56/CARD8/SAMHD1/ILRUN/ADAR/IFIT5/NT5C3A/IFIT1/DDX60/NMI/ISG15/IFIT1B/IFITM1/MIR130A/TRIM22/MX1/TRIM25/TRIM21/ZC3HAV1/TLR7/IFIT2/DTX3L/IL6/IFIT3/ISG20/AIMP1/TRIM5/SHFL/DHX58/PML/RTP4/SMARCA5/MLKL/OASL/EIF2AK2/IFITM3/CXCL10/OAS1/OAS3",60
"GO:0048525","negative regulation of viral process","21/561","74/18842",0.283783783783784,9.53129064893771,12.8811616855531,2.14821982190679e-15,2.9545183283958e-12,5.78033678991524e-13,"STAT1/PLSCR1/PROX1/RSAD2/OAS2/IFIT5/IFIT1/ISG15/TRIM14/IFITM1/MX1/TRIM21/ZC3HAV1/ISG20/SHFL/OASL/EIF2AK2/IFITM3/OAS1/OAS3/SP100",21
"GO:0050792","regulation of viral process","27/561","136/18842",0.198529411764706,6.66789871028625,11.6207591653477,3.78356845362064e-15,3.90275085990969e-12,7.63549650736409e-13,"LARP1/STAT1/PLSCR1/PROX1/DDX3X/RSAD2/OAS2/ADAR/IFIT5/IFIT1/ISG15/TRIM14/IFITM1/MX1/TRIM25/TRIM21/ZC3HAV1/ISG20/TRIM5/SHFL/FURIN/OASL/EIF2AK2/IFITM3/OAS1/OAS3/SP100",27
"GO:1903900","regulation of viral life cycle","24/561","110/18842",0.218181818181818,7.32795333009237,11.6600648701669,1.40614246955064e-14,1.10888097722785e-11,2.16945870557099e-12,"LARP1/PLSCR1/PROX1/DDX3X/RSAD2/OAS2/ADAR/IFIT5/IFIT1/ISG15/IFITM1/MX1/TRIM25/TRIM21/ZC3HAV1/ISG20/TRIM5/SHFL/FURIN/OASL/EIF2AK2/IFITM3/OAS1/OAS3",24
"GO:0045071","negative regulation of viral genome replication","17/561","48/18842",0.354166666666667,11.895202020202,13.2397482108831,1.61252686945398e-14,1.10888097722785e-11,2.16945870557099e-12,"PLSCR1/PROX1/RSAD2/OAS2/IFIT5/IFIT1/ISG15/IFITM1/MX1/ZC3HAV1/ISG20/SHFL/OASL/EIF2AK2/IFITM3/OAS1/OAS3",17
"GO:0045069","regulation of viral genome replication","20/561","77/18842",0.25974025974026,8.72375396439568,11.8968761488422,6.50958749904872e-14,3.83693686015357e-11,7.50673538903712e-12,"LARP1/PLSCR1/PROX1/DDX3X/RSAD2/OAS2/ADAR/IFIT5/IFIT1/ISG15/IFITM1/MX1/ZC3HAV1/ISG20/SHFL/OASL/EIF2AK2/IFITM3/OAS1/OAS3",20
"GO:0140374","antiviral innate immune response","19/561","73/18842",0.26027397260274,8.74167948624032,11.6093921433945,2.65961888229086e-13,1.37169843854151e-10,2.68364520631554e-11,"DHX15/USP18/OAS2/CARD8/IFIT5/IFIT1/IFIT1B/MX1/TRIM25/TRIM21/IFIT2/IFIT3/DHX58/SMARCA5/OASL/EIF2AK2/CXCL10/OAS1/OAS3",19
"GO:0034340","response to type I interferon","23/561","122/18842",0.188524590163934,6.33187224219047,10.349995450516,1.32834047565543e-12,6.08970311394924e-10,1.19141365991575e-10,"STAT1/STAT2/UBE2K/RBM47/PSMA3/USP18/OAS2/NLRC5/TRIM56/SAMHD1/IFIT1/PSMD1/ISG15/PSMB2/CACTIN/IFITM1/MX1/SHFL/OASL/IFITM3/OAS1/OAS3/SP100",23
"GO:0019079","viral genome replication","21/561","110/18842",0.190909090909091,6.41195916383082,9.97222824398431,9.83830814700388e-12,4.0592859414538e-09,7.9417479467495e-10,"LARP1/PLSCR1/PRKN/PROX1/DDX3X/RSAD2/OAS2/ADAR/IFIT5/IFIT1/ISG15/IFITM1/MX1/ZC3HAV1/ISG20/SHFL/OASL/EIF2AK2/IFITM3/OAS1/OAS3",21
