"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-913531","Interferon Signaling","34/369","266/11287",0.12781954887218,3.90975405994661,8.82873051980435,7.47038243177287e-12,9.24833345053482e-09,3.23351220939542e-09,"NDC1/FANCA/STAT1/GBP1/TRIM34/STAT2/IRF9/IRF1/NUP205/USP18/PPM1B/OAS2/UBE2I/ISG15/TRIM14/IFITM1/TRIM22/SOCS1/TRIM25/TRIM21/KPNB1/TRIM5/PML/UBE2L6/FURIN/OASL/EIF2AK2/NUP85/UBA7/OAS1/MT2A/OAS3/RAF1/SP100",34
"R-HSA-877300","Interferon gamma signaling","19/369","96/11287",0.197916666666667,6.05389001806685,9.14194525690458,2.10876638331315e-10,1.30532639127084e-07,4.56383719942132e-08,"STAT1/GBP1/TRIM34/IRF9/IRF1/OAS2/TRIM14/TRIM22/SOCS1/TRIM25/TRIM21/TRIM5/PML/OASL/OAS1/MT2A/OAS3/RAF1/SP100",19
"R-HSA-909733","Interferon alpha/beta signaling","14/369","57/11287",0.245614035087719,7.51286074264251,9.06214491893885,2.67376663114304e-09,1.10337436311836e-06,3.85774852708279e-07,"STAT1/STAT2/IRF9/IRF1/USP18/OAS2/ISG15/IFITM1/SOCS1/KPNB1/OASL/EIF2AK2/OAS1/OAS3",14
"R-HSA-1169410","Antimicrobial mechanism of IFN-stimulated genes","20/369","159/11287",0.125786163522013,3.84755671456086,6.64774033636766,2.29357164057637e-07,7.09860422758388e-05,2.48189834009835e-05,"NDC1/FANCA/STAT1/GBP1/NUP205/USP18/PPM1B/OAS2/UBE2I/ISG15/TRIM25/KPNB1/UBE2L6/FURIN/OASL/EIF2AK2/NUP85/UBA7/OAS1/OAS3",20
"R-HSA-1169408","ISG15 antiviral mechanism","12/369","70/11287",0.171428571428571,5.24367015098722,6.54732563186214,2.39630335125154e-06,0.000593324709769882,0.000207445233612977,"NDC1/STAT1/NUP205/USP18/PPM1B/ISG15/TRIM25/KPNB1/UBE2L6/EIF2AK2/NUP85/UBA7",12
"R-HSA-162909","Host Interactions of HIV factors","14/369","117/11287",0.11965811965812,3.66011164385148,5.31713723484146,2.69397121043278e-05,0.0055585605975263,0.00194344999073603,"NDC1/RBX1/PSMA3/NUP205/CUL5/HMGA1/PACS1/PSMD1/PSMB2/SKP1/RANGAP1/KPNB1/XPO1/NUP85",14
"R-HSA-168276","NS1 Mediated Effects on Host Pathways","8/369","42/11287",0.19047619047619,5.82630016776358,5.76064225083051,5.38861996269071e-05,0.00953015930544442,0.00333204751282577,"NDC1/GBP1/NUP205/ISG15/KPNB1/MLKL/EIF2AK2/NUP85",8
"R-HSA-983168","Antigen processing: Ubiquitination & Proteasome degradation","23/369","296/11287",0.0777027027027027,2.37677616641031,4.41267814676339,0.00010799499791941,0.0167122259280287,0.00584312696698132,"HERC6/RNF213/RNF19B/UBE2K/PRKN/RBBP6/RBX1/PSMA3/CUL5/FBXO6/ZNRF1/PSMD1/PSMB2/FBXO31/SKP1/SOCS1/HECTD1/TRIM21/DTX3L/UBE2L6/RBCK1/ANAPC7/UBA7",23
"R-HSA-9615933","Postmitotic nuclear pore complex (NPC) reformation","6/369","27/11287",0.222222222222222,6.79735019572418,5.54439142428803,0.000193701650008444,0.0260720462281671,0.00911561853317745,"NDC1/NUP205/UBE2I/RANGAP1/KPNB1/NUP85",6
"R-HSA-449147","Signaling by Interleukins","30/369","456/11287",0.0657894736842105,2.01237341320782,4.05695822495785,0.000210598111697634,0.0260720462281671,0.00911561853317745,"STAT1/CSF3R/SMAD3/OPRM1/TNFRSF1A/STAT2/CEBPD/PTK2B/RBX1/PSMA3/USP18/NOS2/IL2RA/NLRC5/NOD2/PSMD1/CSF1/PSMB2/SKP1/SOCS1/STAT5A/GSTA2/IL6/CAPZA1/PIK3R3/MAOA/NKIRAS1/SQSTM1/CXCL10/IL15",30
"R-HSA-196807","Nicotinate metabolism","6/369","29/11287",0.206896551724138,6.32856742360527,5.28190399636137,0.000294127953824983,0.0294286819348317,0.010289205385127,"PARP10/NAMPT/PARP8/NADK/PARP14/NT5E",6
"R-HSA-162906","HIV Infection","18/369","219/11287",0.0821917808219178,2.51408842855552,4.15958864143996,0.000304729412076957,0.0294286819348317,0.010289205385127,"NDC1/RBX1/PSMA3/NUP205/CHMP5/CUL5/HMGA1/PACS1/PSMD1/PSMB2/SKP1/POLR2E/RANGAP1/KPNB1/XPO1/FURIN/NUP85/NELFCD",18
"R-HSA-9683610","Maturation of nucleoprotein","4/369","11/11287",0.363636363636364,11.1229366839123,6.17500040633291,0.000309024931464307,0.0294286819348317,0.010289205385127,"PARP10/PARP8/UBE2I/PARP14",4
"R-HSA-9920588","Dengue virus activates/modulates innate and adaptive immune responses","6/369","31/11287",0.193548387096774,5.92027275111461,5.04300784717067,0.000431414339074983,0.038149353698202,0.0133382302469368,"PAF1/STAT2/DDX3X/C1S/TRIM25/PML",6
"R-HSA-9820952","Respiratory Syncytial Virus Infection Pathway","12/369","119/11287",0.100840336134454,3.0845118535219,4.20244277367219,0.000507633829421993,0.0418967120549618,0.0146484261935224,"STAT2/RBX1/CUL5/OAS2/ISG15/TRIM25/TLR7/KPNB1/XPO1/UBE2L6/FURIN/EIF2AK2",12
