"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","17/187","156/9419",0.108974358974359,5.48892773892774,8.04602411575129,1.09762864528152e-08,2.87578705063759e-06,2.03043214012759e-06,"7132/4940/10379/4599/91543/5520/208/3434/6772/4939/6773/4600/5610/3716/3627/8737/4938",17
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","17/187","173/9419",0.0982658959537572,4.94955333683657,7.46184697735115,5.20155385460259e-08,6.81403554952939e-06,4.81100879172155e-06,"7132/4940/10379/4599/103/91543/208/6772/4939/6773/5371/4600/5610/7706/3716/3627/4938",17
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","19/187","239/9419",0.0794979079497908,4.00422885015551,6.69518945297061,2.48720065203575e-07,2.17215523611122e-05,1.53363713205706e-05,"727/7132/4940/10379/716/4599/103/6228/6772/4939/6773/4600/6187/8829/5610/3716/3627/9636/4938",19
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","15/187","187/9419",0.0802139037433155,4.04029283079299,5.97641255171717,4.34756050339592e-06,0.000284765212972433,0.000201056764853752,"3708/837/4940/10379/64127/10616/6772/4939/6773/2633/3716/10135/7417/8737/4938",15
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","14/187","180/9419",0.0777777777777778,3.91758764111705,5.62470730793861,1.30577076531771e-05,0.000682455511522806,0.000481843606777457,"727/7132/4940/10379/6672/208/6772/56829/4939/6773/5371/5610/3716/4938",14
"Human Diseases","Infectious disease: viral","hsa05162","Measles","12/187","136/9419",0.0882352941176471,4.44432211387229,5.75812763683574,1.5628752172278e-05,0.000682455511522806,0.000481843606777457,"4940/10379/4599/103/208/6772/4939/6773/4600/5610/3716/4938",12
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","13/187","168/9419",0.0773809523809524,3.89759994907054,5.39325524047838,2.83105326554391e-05,0.00105962279367501,0.000748140296484231,"7132/10379/197259/10616/2512/6772/6773/8878/5610/3716/51510/7417/8737",13
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","10/187","119/9419",0.0840336134453782,4.23268772749742,5.05065855358884,0.000122269015588637,0.00400431026052785,0.00282721916082619,"840/7132/3600/64127/197259/208/1435/3627/3659/8737",10
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","13/187","205/9419",0.0634146341463415,3.19413068997,4.52030320950254,0.000216792429719922,0.00602262492508419,0.00425223808317562,"4940/10379/208/6772/5707/4939/6773/5610/3716/3627/9636/8737/4938",13
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","8/187","83/9419",0.0963855421686747,4.85484182720186,5.02015857568445,0.000229871180346725,0.00602262492508419,0.00425223808317562,"840/10621/197259/103/25939/3627/5434/8737",8
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","10/187","142/9419",0.0704225352112676,3.54711154628305,4.35251831088137,0.000515211748199971,0.0117616019823994,0.00830420829635401,"3708/7132/10379/208/6772/1435/6773/8878/8651/3716",10
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","7/187","72/9419",0.0972222222222222,4.89698455139632,4.7240127319322,0.000538699327438139,0.0117616019823994,0.00830420829635401,"103/1654/79132/7706/3627/9636/8737",7
"Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","8/187","108/9419",0.0740740740740741,3.73103584868291,4.06249990412467,0.00134717765280409,0.0271508111565133,0.0191696668188616,"3837/55110/79902/23165/5905/55706/26019/7329",8
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","11/187","196/9419",0.0561224489795918,2.82683073229292,3.67826054579244,0.00179660289470419,0.033622139886607,0.0237387095231885,"3708/7132/10379/208/6772/9976/6773/5610/3716/6934/59345",11
