"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-177929","Signaling by EGFR","2/4","53/11287",0.0377358490566038,106.481132075472,14.4921637241152,0.000129030215865853,0.0309672518078047,0.00611195759364567,"STAM2/SHC1",2
"R-HSA-6806834","Signaling by MET","2/4","79/11287",0.0253164556962025,71.4367088607595,11.828679495969,0.000287604260043599,0.0345125112052319,0.00681167984313788,"STAM2/SHC1",2
"R-HSA-2454202","Fc epsilon receptor (FCERI) signaling","2/4","120/11287",0.0166666666666667,47.0291666666667,9.54428066127117,0.000663265344596205,0.0383841263655297,0.00757581441424929,"PSMD12/SHC1",2
"R-HSA-5689880","Ub-specific processing proteases","2/4","206/11287",0.00970873786407767,27.3956310679612,7.19886297051387,0.00194146780366732,0.0383841263655297,0.00757581441424929,"STAM2/PSMD12",2
"R-HSA-5673001","RAF/MAP kinase cascade","2/4","267/11287",0.00749063670411985,21.1367041198502,6.26961606759944,0.00324140675458115,0.0383841263655297,0.00757581441424929,"PSMD12/SHC1",2
"R-HSA-5684996","MAPK1/MAPK3 signaling","2/4","273/11287",0.00732600732600733,20.6721611721612,6.1951037777038,0.003386569463734,0.0383841263655297,0.00757581441424929,"PSMD12/SHC1",2
"R-HSA-74749","Signal attenuation","1/4","10/11287",0.1,282.175,16.7481807080317,0.00353966295022268,0.0383841263655297,0.00757581441424929,"SHC1",1
"R-HSA-5688426","Deubiquitination","2/4","284/11287",0.00704225352112676,19.8714788732394,6.06453173927743,0.00366067013555827,0.0383841263655297,0.00757581441424929,"STAM2/PSMD12",2
"R-HSA-8851805","MET activates RAS signaling","1/4","11/11287",0.0909090909090909,256.522727272727,15.9637922647324,0.00389311168199491,0.0383841263655297,0.00757581441424929,"SHC1",1
"R-HSA-9634285","Constitutive Signaling by Overexpressed ERBB2","1/4","11/11287",0.0909090909090909,256.522727272727,15.9637922647324,0.00389311168199491,0.0383841263655297,0.00757581441424929,"SHC1",1
