"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","8/309","36/9418",0.222222222222222,6.77310320028767,6.39165067038902,1.66381032965057e-05,0.00445886025554584,0.00445886025554584,"C1GALT1/GALNT2/GALNT10/ST3GAL1/GALNT5/GALNT16/B4GALT5/GALNT3",8
"Metabolism","Glycan biosynthesis and metabolism","hsa00514","Other types of O-glycan biosynthesis","9/309","49/9418",0.183673469387755,5.59817713493164,5.94343191412156,2.53344332701468e-05,0.00445886025554584,0.00445886025554584,"C1GALT1/GALNT2/GALNT10/GALNT5/COLGALT2/GXYLT1/ST3GAL3/GALNT16/GALNT3",9
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","19/309","212/9418",0.089622641509434,2.73160530011602,4.69657784948892,6.68921267976113e-05,0.00633777534828596,0.00633777534828596,"TLN2/MAGI3/VAV3/ADCY2/GRIN2B/TEK/PARD3/RAPGEF6/EGFR/ITGB3/ADCY8/AFDN/GNAS/EFNA5/SIPA1L1/RAPGEF5/PIK3R1/KDR/RAC1",19
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","12/309","98/9418",0.122448979591837,3.73211808995443,5.00731280447413,8.14636973141669e-05,0.00633777534828596,0.00633777534828596,"CYP11B2/CAMK2D/PRKCE/ITPR2/CREB5/ADCY2/CAMK2A/HSD3B2/ADCY8/KCNK9/GNAS/CACNA1C",12
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","12/309","99/9418",0.121212121212121,3.69441992742964,4.96361852912974,9.00252180154256e-05,0.00633777534828596,0.00633777534828596,"CAMK2D/PRKCE/ITPR2/ADCY2/PTGER4/TRPM8/PRKCH/IL1B/CAMK2A/ADCY8/GNAS/PIK3R1",12
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","11/309","86/9418",0.127906976744186,3.89847219086325,4.97314557719008,0.000108120497825175,0.00634306920574358,0.00634306920574358,"CAMK2D/NRG3/PAK1/JUN/EGFR/SHC3/CBLB/CAMK2A/PTK2/NCK2/PIK3R1",11
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","11/309","93/9418",0.118279569892473,3.60503880015311,4.64976949656345,0.000219748714238307,0.0110502210588406,0.0110502210588406,"CAMK2D/MAP3K4/ITPR2/ADCY2/MAP3K3/JUN/EGFR/CAMK2A/ADCY8/GNAS/CACNA1C",11
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","18/309","227/9418",0.079295154185022,2.41683418160045,3.97970375857189,0.000475494141285333,0.0209217422165546,0.0209217422165546,"ITPR2/CREB5/ADCY2/FASLG/JAK1/PTGER4/GNG2/EGFR/IL1B/ITGB3/PTK2/ADCY8/CDK6/AKAP13/GNAS/PIK3R1/RAC1/CXCL8",18
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","17/309","216/9418",0.0787037037037037,2.39880738343522,3.83039755059081,0.000739633618667921,0.0289278926412342,0.0289278926412342,"CAMK2D/VAV3/CXCL1/FASLG/JUN/EIF2AK3/ERN1/IL1B/CAMK2A/PPARG/CD36/PTK2/IL18/TANK/PIK3R1/RAC1/CXCL8",17
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","21/309","299/9418",0.0702341137123746,2.14066305159593,3.69164162555818,0.000828316857581176,0.0291567533868574,0.0291567533868574,"ANK3/VAV3/KCNQ3/RIMS1/PAK1/NCAM1/PARD3/CADM1/RAPGEF6/TRIO/ITGB3/PTK2/AFDN/NCK2/CNTN1/NRP1/ERC1/PIK3R1/KDR/RAC1/CADM3",21
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","12/309","128/9418",0.09375,2.85740291262136,3.89675789473129,0.000990713373519526,0.0307558238266803,0.0307558238266803,"ENTPD4/PDE3A/ADCY2/NT5C2/PDE1C/PDE4D/XDH/ADCY8/NME7/PDE1A/PAPSS1/ENTPD1",12
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","15/309","184/9418",0.0815217391304348,2.48469818488814,3.74586678029607,0.0010501847271735,0.0307558238266803,0.0307558238266803,"SEMA3C/BMPR1B/CAMK2D/BOC/PAK1/PARD3/ABLIM1/CAMK2A/SEMA5A/PTK2/NCK2/EFNA5/NRP1/PIK3R1/RAC1",15
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","8/309","65/9418",0.123076923076923,3.7512571570824,4.09932706933949,0.00121579876981449,0.0307558238266803,0.0307558238266803,"PBX1/ITPR2/CREB5/ADCY2/HSD3B2/ADCY8/GNAS/CACNA1C",8
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","17/309","226/9418",0.0752212389380531,2.29266546381419,3.62272636305037,0.0012232429931066,0.0307558238266803,0.0307558238266803,"CAMK2D/PDE3A/VAV3/CREB5/ADCY2/PAK1/JUN/GRIN2B/PDE4D/CAMK2A/ADCY8/AFDN/GNAS/GLI3/PIK3R1/CACNA1C/RAC1",17
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","8/309","69/9418",0.115942028985507,3.53379297406313,3.89057029810395,0.00179866566818424,0.0422086876800568,0.0422086876800568,"PDE3A/ITPR2/PDE1C/PTGER4/KCNMA1/GNAS/PDE1A/CACNA1C",8
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","9/309","86/9418",0.104651162790698,3.18965906525175,3.75697697919527,0.00196179467194316,0.0431594827827494,0.0431594827827494,"CAMK2D/CREB5/ADCY2/SNAP25/CAMK2A/KCNMA1/ADCY8/GNAS/CACNA1C",9
"Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","5/309","29/9418",0.172413793103448,5.25499386229215,4.22657365105331,0.00228593339123781,0.0447681418179476,0.0447681418179476,"YAP1/STK3/PAK1/FRMD6/RASSF6",5
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","10/309","105/9418",0.0952380952380952,2.902758514409,3.61105161347764,0.00228927997932687,0.0447681418179476,0.0447681418179476,"LAMA2/SLC8A1/SSPN/ADCY2/SGCE/ITGB3/ADCY8/GNAS/CACNA1C/SNTB1",10
