"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","149/2583","200/4384",0.745,1.26445218737902,4.58413506992463,1.8178969003311e-06,9.0894845016555e-05,9.0894845016555e-05,"1891/84274/54884/57017/1031/2879/4638/10400/369/1647/9131/5168/3033/50/84895/1349/64859/5195/6391/8404/284119/4713/7423/1737/56922/8694/84522/23788/25813/10449/26275/7532/83871/54996/6573/27069/10124/949/51129/2632/847/4836/47/348/284/6453/10243/10935/79071/134147/1666/128338/6342/19/6510/5004/2184/9936/11343/2109/1431/8802/65124/11176/604/7384/415116/34/1384/10140/6390/4189/1376/1351/4056/5236/3991/1149/718/3977/29103/51805/8322/51/3910/226/92840/1717/10113/8884/8780/3952/9908/217/4698/6576/1337/4259/7316/977/84173/5860/1738/7263/2101/10580/4722/7905/334/2878/10313/4023/10162/4706/2053/80273/130814/10975/5211/204/11194/3419/55177/29796/51727/3417/3459/5264/27250/7351/83549/3421/10989/6817/123/4199/64225/483/1147/33/23344/26353/1629/26994/79602/1537/23187/84919/56894",149
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","146/2583","199/4384",0.733668341708543,1.24521951608604,4.23960035753403,9.99633090125822e-06,0.000249908272531455,0.000249908272531455,"3799/9344/8874/11346/1894/393/85464/6093/10844/10276/25/10128/23607/10163/80119/4650/10018/51199/89941/55835/3831/9411/23647/6249/10565/9826/22930/26271/5981/54509/675/3835/4690/4628/11104/8976/6654/9700/357/396/140735/4296/51174/22919/998/163786/6453/4281/55201/5116/1062/11190/253260/11135/29127/10006/996/394/5921/10426/55785/9874/56992/5829/1739/10801/23012/50628/274/7277/5347/983/7272/22974/5048/10403/23637/11064/116840/4627/10928/50650/7153/613/8470/54443/23022/10435/9732/2035/10160/23580/10013/64411/832/9793/11004/9133/1778/84333/51203/7461/10048/23095/7840/58526/3996/4739/2934/6780/127829/81/7430/5108/9564/3832/55125/9126/57679/9181/3797/85378/324/6709/10300/57787/23365/2317/4763/9585/6904/1453/7414/55755/8476/4001/332/4751/9462/29901/134549/24137/9371/64857/382/25777",146
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","144/2583","200/4384",0.72,1.22202090592334,3.84861184619719,5.85348804470313e-05,0.000975581340783856,0.000975581340783856,"10606/9837/1031/79677/994/11113/1026/84296/5810/10527/3149/3161/1965/10535/5889/4999/8726/5982/4172/2146/1029/81611/11200/9212/1633/23468/51747/5395/3838/23047/10212/5981/3930/580/675/3835/6118/7913/10248/9238/5426/9700/9183/84312/10492/55635/3148/10460/147841/5558/11168/29089/1062/1111/54556/5511/3184/54962/81624/29127/6470/79733/4436/9221/4288/5631/1027/7374/4174/8914/3070/5347/983/672/55646/5424/7465/1854/3925/7153/51155/4605/10664/79077/10714/9833/6241/8493/1786/6427/1033/10733/993/29893/3364/79075/7112/11004/4673/10274/1019/9133/29980/5901/25842/6839/5591/5425/1434/4173/27338/1503/4175/23594/7037/204/5036/9126/9125/4678/9738/4361/83461/5111/11340/64785/4001/332/3609/11051/29028/146909/10797/6434/2547/5983/5411/24137/6117/6426/10635/701/4609/4830",144
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","79/2583","104/4384",0.759615384615385,1.28925816730695,3.57496255618625,0.000173912329162846,0.00197194353634662,0.00197194353634662,"1891/54884/5825/1742/1962/3992/5828/5243/9525/10478/5195/26986/51179/51703/11001/1718/9962/30/51024/10057/2172/80270/847/3422/8856/6820/2180/1487/3295/51015/6342/8915/83752/4436/412/3416/347734/2100/6258/23417/1384/7533/8443/60386/225/3155/10005/7153/6599/223/7367/51109/25824/2224/51/6310/54982/215/6477/291/60481/5190/7276/373156/9249/1503/2053/213/23457/3417/51170/5244/1733/5052/2182/10455/9961/8799/6648",79
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","142/2583","200/4384",0.71,1.20504839334108,3.55440255670622,0.000197194353634662,0.00197194353634662,0.00197194353634662,"1891/54884/670/10400/1401/3728/23169/9663/54677/2571/191/51128/3083/50/2618/27346/5805/2940/1571/4814/55502/54498/873/5950/5831/8714/3700/6533/839/2651/6747/2159/7009/10299/2114/3484/3398/5054/6472/1543/847/4836/3487/348/8309/9060/3172/8876/3735/26007/65018/2643/978/488/8942/5909/2646/2538/5166/116842/52/51380/8644/6510/10776/10717/2184/7358/2937/4153/55748/3697/5226/2052/1544/1728/3294/23710/6539/225/1646/6370/7042/2203/1592/223/435/2099/9536/957/3251/5467/51/9361/383/115817/1725/211/217/1644/1969/8460/3554/355/60481/645/2160/26999/9446/6560/1244/2192/3479/5372/384/5627/5340/9564/10653/2948/128/1528/1312/10728/2936/2168/3417/1562/1586/3394/586/57406/3162/8310/7274/116285/2326/22949/316/4864/218/53",142
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","73/2583","96/4384",0.760416666666667,1.29061814427668,3.44764098956153,0.000289333598863746,0.00241111332386455,0.00241111332386455,"3875/858/10652/1176/9554/11079/1315/3482/5066/10040/163/9525/10565/81611/9805/8674/10972/11311/5594/22872/9183/7251/164/538/10564/1213/6643/102/19/9871/5538/22796/8615/372/23041/1173/51552/8774/6197/10059/3920/51614/4952/9570/7103/1175/2717/286451/51606/10282/23033/9522/1182/525/664/23095/81542/26286/1211/476/3382/23673/27236/8027/3998/8729/2803/5862/375/8417/8773/11316/8546",73
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","82/2583","112/4384",0.732142857142857,1.24263038548753,3.11479636749509,0.00101925126609651,0.00637501635725831,0.00637501635725831,"27284/54884/9963/5825/54677/3992/5213/55670/24/189/4734/51268/51703/11001/1718/9962/6718/2030/9415/80270/847/3422/8856/6820/23600/9023/2180/196743/8424/3295/51015/6342/50640/83752/19/9409/1582/347734/6256/6258/23417/8443/225/2232/23460/3932/2730/3991/223/23461/25824/6310/4306/5193/54363/10351/215/10998/5190/8435/5002/2638/335/51302/7276/373156/55825/8630/2053/83594/6579/5947/3417/8412/1581/5264/51170/8431/1733/4864/5827/5189",82
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","139/2583","200/4384",0.695,1.17958962446767,3.11308862246975,0.00102000261716133,0.00637501635725831,0.00637501635725831,"3799/30000/1031/994/10951/1841/1112/10926/25/3149/3161/602/1432/85236/4172/7150/9156/9184/4953/2146/4691/1756/9212/55872/26271/262/3838/23047/10212/2130/3930/580/675/3835/546/8454/11044/6118/595/11104/5426/9700/5933/6632/10492/10460/5558/4331/1869/1062/3091/1111/3184/29127/996/7371/387893/9221/56992/4288/1027/7090/1874/4174/5347/983/3192/7272/22974/5048/10403/6541/10432/3925/7153/6599/990/51155/4605/8451/904/10664/5976/6421/6427/1033/4211/10733/5001/6760/993/5926/3364/7112/11004/51776/10274/1019/9133/8438/51203/10036/1736/6839/9994/6491/3312/27338/899/22809/4175/7027/1871/23594/3832/890/10146/7486/4678/7290/9585/4212/81539/5887/8140/4001/332/3609/1058/8452/4751/3151/9462/6434/24137/7040/6426/7468/4609",139
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","110/2583","158/4384",0.69620253164557,1.18163062281617,2.78447902822347,0.00305897474046296,0.0169943041136831,0.0169943041136831,"1891/6281/54884/670/5160/10808/1429/1962/3033/3028/4190/50/10965/4913/1371/6611/7503/5805/2752/224/5092/6391/328/2639/51179/873/8803/51703/4953/210/1718/644/10449/26275/58505/30/2954/2194/8801/1543/3422/58476/7390/5720/9380/3939/1743/8876/1666/2180/37/3295/2027/1374/3157/10961/387893/7358/11343/8802/23173/51166/3032/84263/2052/23417/34/1384/23710/7533/3155/1376/4056/10005/1149/7389/223/51109/5465/51/226/92840/6296/728294/60481/51478/1738/3158/5910/158/2168/3417/51170/1632/364/29781/3421/4199/8608/33/3956/549/2326/2271/84693/79602/5793/2182/10455/218",110
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","41/2583","54/4384",0.759259259259259,1.28865373309818,2.55576661165431,0.00658103775328203,0.0276064024946227,0.0276064024946227,"5499/3399/3065/25937/6497/7046/659/7082/3398/5054/4086/3397/4092/9612/2022/2280/57154/51592/4091/7050/11031/6498/999/90/2339/6885/5494/28996/1499/51742/7323/324/8412/387/7044/23645/64750/331/7057/7040/4053",41
