"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","144/2388","200/4384",0.72,1.32180904522613,5.09495127247289,1.49747207547433e-07,5.05275168012909e-06,5.05275168012909e-06,"1891/84274/54884/5468/57017/1031/217/4638/8322/10400/1647/9131/5168/10313/6342/3033/50/84895/5211/130814/6239/2053/10975/10162/57678/4722/8780/226/92840/7384/1737/27069/4836/10124/6510/51129/847/47/6776/348/284/5860/10243/10935/415116/4056/134147/4706/5004/123/8802/11176/1717/19/2101/1738/5495/1666/84522/3910/1351/5236/2109/718/10580/3991/3977/6573/2184/2878/949/6390/4698/6576/1337/51/34/11343/9936/334/1431/604/80273/977/26275/204/11194/7263/2632/3419/1147/29796/51727/3417/3459/5264/27250/7351/51635/83549/10140/7905/25813/3421/10989/6817/8694/6391/4199/483/10010/33/23344/26353/2820/26994/79602/64225/1537/23187/84919/23788/284119/56894/55177/1376/10449/9908/56922/2879/83871/51805/10113/7423/1384/1629/5195/79071/28512/1349/4189/4713/8436/7532",144
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","143/2388","199/4384",0.718592964824121,1.31922594547276,5.04080174605446,2.02110067205163e-07,5.05275168012909e-06,5.05275168012909e-06,"3799/9344/4082/11346/1894/393/55704/7204/85464/6093/10844/89941/10276/25/10128/2035/11004/253260/29127/1739/4650/7277/56992/4739/3996/22974/8976/58526/2934/5981/51174/998/54509/3835/396/4628/11104/7840/50628/6654/3831/9700/357/140735/4296/22919/23095/163786/332/127829/4281/10928/11190/11064/55835/9564/3832/9874/5829/983/55785/996/81/80119/274/64411/5116/10611/7153/5048/10801/1062/22930/84333/5347/8470/23022/23637/55201/10160/613/10013/5108/6249/10048/4627/394/10006/9793/51735/11135/9133/50650/116840/9732/51203/9126/6780/57679/9181/85378/6709/10300/57787/23365/2317/10435/23012/4763/26271/6904/9771/1453/11214/7414/55755/8476/7430/4751/10403/10426/29901/134549/24137/1778/5921/64857/382/55125/9411/25777/832/9826/54443/7272/23647/5922/23580/4001/10018/324/1063/10163",143
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","143/2388","200/4384",0.715,1.31262981574539,4.94962370130304,3.33476539679835e-07,5.55794232799726e-06,5.55794232799726e-06,"3799/30000/1031/994/4082/10951/1432/1841/1112/10926/25/3149/22823/11004/29127/23594/7150/56992/22974/3925/27338/22809/7371/10036/1869/2176/993/262/7112/2130/3930/8065/3159/7040/3835/3161/546/11044/6118/10460/595/11104/6839/5426/9700/9184/7027/332/10492/1033/7514/3832/9994/1946/6491/387893/9221/5976/1027/4288/1736/4331/51155/9212/983/6427/6421/996/1871/3364/3192/4211/6541/4175/7153/3184/5048/1062/5347/10212/904/4174/7090/10733/10274/5926/3838/4691/5885/10664/3312/1019/9133/51776/5558/990/6599/1111/8438/51203/890/10146/7486/4678/7290/26271/6632/4212/81539/5887/6760/8451/3609/1058/1874/8452/4751/8140/10403/24137/6426/5933/7468/4609/23649/55872/1756/2146/4953/9156/7272/4172/3151/10432/8454/6434/5001/602/57082/4001/85236/899/1063",143
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","136/2388","200/4384",0.68,1.24837520938023,3.9323307031141,4.61255112840477e-05,0.000564798919826087,0.000564798919826087,"1891/54884/217/670/10400/3728/23169/9663/54677/2571/191/51128/3083/50/51733/7042/5627/839/3294/2646/1244/116842/9446/7378/7009/2538/2192/1725/1543/3697/4836/3484/6510/3398/6560/2729/6472/5340/847/9361/4814/435/3700/23710/348/8309/9060/645/29950/9564/52/2643/978/51380/10299/488/6539/4128/5226/3251/384/6898/383/2160/2651/2937/10611/55502/223/2099/1728/10653/2184/1969/1571/3554/3479/1592/51/6747/957/60481/5372/8942/10776/2052/211/5091/26007/3735/4121/128/2948/10728/2168/5909/3417/54498/4153/51635/586/57406/3162/8310/5054/10717/55748/116285/2326/316/4864/1312/2028/2114/8644/6533/115817/53/2159/27346/2936/5166/8714/1644/22949/5831/5950/1528/2203/355/873/8460/1562/5805/6370/2618",136
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","71/2388","96/4384",0.739583333333333,1.35776102735902,3.87635805251544,5.64798919826087e-05,0.000564798919826087,0.000564798919826087,"3875/858/10652/23041/8615/1176/9554/11079/1315/3482/10059/22872/1211/10564/286451/3920/664/2717/11311/7251/164/23095/372/1175/9871/6197/1213/22796/19/4952/9570/51614/1173/2581/5538/7103/9183/5594/10282/9522/23673/51606/27236/81542/102/7163/1182/3382/525/5862/23033/375/11316/3998/1956/8546/9525/6643/8674/9805/81611/10972/8773/259230/8729/476/163/8417/10040/5066/8774",71
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","134/2388","200/4384",0.67,1.23001675041876,3.6416755607744,0.000153049583131134,0.00109321130807953,0.00109321130807953,"10606/9837/1031/79677/994/1026/84296/10527/3149/11004/29127/23594/4830/3925/27338/5511/5901/993/5395/7112/5981/3930/7037/3159/3835/3161/29980/6118/10460/7913/9238/6839/29089/1786/5426/54556/9700/332/10492/55635/3148/1033/9833/7514/3070/10714/9221/1027/4288/6241/51155/9212/983/6427/3364/672/6470/8493/4175/7374/7153/3184/4436/1062/5347/10212/4174/10733/10274/79077/9183/29893/3838/7465/5885/10664/5591/79075/10535/8914/4173/4673/5424/1019/9133/5558/5425/11168/1111/204/147841/5036/9126/2547/54962/9125/4678/84312/1029/9738/4361/83461/64785/3609/11051/29028/10797/5983/24137/6426/10635/701/4609/1633/23649/146909/10248/51747/23468/11200/81611/5111/2146/4172/5631/79733/5982/8726/6434/5889/11340/4001/1503/5411",134
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","134/2388","200/4384",0.67,1.23001675041876,3.6416755607744,0.000153049583131134,0.00109321130807953,0.00109321130807953,"3308/7436/10652/8615/23062/11151/3145/5352/10682/8833/1026/26227/3992/3329/5211/10437/6513/116496/7277/1719/1491/6652/226/993/51377/23753/7037/4836/9415/1718/6510/10987/6745/26136/2729/2717/3949/6472/3422/2539/7296/10096/5701/11333/47/4860/5860/10963/6309/2058/6319/5478/440/488/3475/9695/51109/1717/6241/811/2232/3939/3251/5236/5723/2745/7374/5230/27230/23760/5347/10212/5861/30001/5464/3099/4173/441024/7108/60481/26471/7494/3157/2597/57761/10097/5685/5033/7323/2632/4793/6184/3417/5606/586/871/23645/2542/9368/10197/6016/10989/1595/4199/29110/5706/23478/8140/8553/6509/5052/10797/79602/4048/10452/821/6533/2181/27346/8935/2936/7167/10622/29968/23657/8894/26747/6917/7453/79071/899/8624/205/120",134
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE","72/2388","101/4384",0.712871287128713,1.30872182695657,3.43302221240678,0.000347332228375377,0.00217082642734611,0.00217082642734611,"1622/10645/25816/55768/10397/65986/10627/567/55839/3992/54407/22936/60559/6652/10257/1718/6722/595/7520/3422/11047/3005/9871/6197/6319/8554/10788/87/4094/6728/6414/51171/10611/6446/51465/3977/11099/8848/6303/10461/23585/8031/57178/1836/60481/3157/9455/7163/23171/5036/2547/2683/4824/896/8916/10513/1021/3998/2773/8611/8555/23223/658/2181/6675/9510/79689/2936/9218/11057/4189/6611",72
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","130/2388","200/4384",0.65,1.19329983249581,3.060365276095,0.0012915560481734,0.00672626013525123,0.00672626013525123,"5713/1017/1176/5245/51690/6741/1933/9045/8664/3181/10971/5683/3329/7419/10576/11137/6188/4830/26354/6240/3068/5901/56910/10236/5496/10987/7913/1964/10291/6146/9184/7027/5687/10492/6194/3178/10935/2058/8669/7514/26986/52/5478/2079/4706/328/11331/3475/9221/3183/7458/6427/26135/3192/3939/3376/10054/3251/5984/55651/6418/4175/3608/10574/7411/5230/3184/5250/4174/51020/9188/3838/6950/4173/10907/4673/5714/5690/1977/2806/1019/6599/6432/5425/5685/5688/8761/5682/3735/5036/890/10146/2547/10728/1207/6632/7332/2091/11335/4869/5887/23016/6428/9377/5706/26156/3615/11260/6426/2739/1537/4609/7324/6128/821/6732/23435/10856/5111/4953/5709/790/8894/8454/6434/8886/3326/6626/708/1503",130
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","72/2388","104/4384",0.692307692307692,1.27097023579436,3.05871492669713,0.00134525202705025,0.00672626013525123,0.00672626013525123,"1891/54884/5825/1742/1962/3992/6342/5828/5243/8799/51703/2053/30/51024/1718/6820/10005/80270/847/3422/8856/26986/23705/51015/2224/8443/2180/60386/51109/83752/373156/2100/7533/5190/213/7153/4436/223/3416/23417/10455/54982/216/6477/51/60481/6599/25824/215/23457/3417/51170/6258/5244/3155/5052/9961/6310/10057/9525/291/1487/6648/9962/7276/347734/1384/3295/5195/10478/9249/1503",72
