"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-3700989","Transcriptional Regulation by TP53","230/5408","356/11287",0.646067415730337,1.34840290705405,6.40639121990273,8.79843977800895e-11,1.51509132977314e-07,1.51509132977314e-07,"SUPT5H/POLR2K/BLM/CDK2/PDPK1/PHF20/COX4I1/PPP1R13L/PPP2R1A/COX6C/AGO2/TOP3A/CNOT6L/CCNK/NDRG1/MAPK14/TP63/GADD45A/CDKN1A/ARID3A/PRELID3A/MTOR/RNF34/BCL2L14/HDAC1/YWHAQ/TAF2/RICTOR/TAF1/TNRC6C/CNOT10/TAF10/CASP6/TPX2/PRMT1/TAF13/USP7/RHEB/PIP4K2A/CCNB1/E2F1/LAMTOR4/FANCC/UBA52/PMS2/ELOB/LAMTOR2/CDK13/TP73/PPP2CB/RPA2/GLS/POLR2I/SUPT4H1/NUAK1/G6PD/TXNRD1/RPTOR/NOC2L/TP53I3/TFDP1/GATAD2A/COX7C/TAF8/BAX/BIRC5/TNFRSF10D/COX7A2/MDM4/RRAGB/DYRK2/UBB/MEAF6/TBP/POLR2H/BRIP1/CPAP/GTF2H3/DDB2/PRR5/RRAGC/GTF2F2/ELL/AGO3/KMT5A/CDKN1B/PRKAG1/MNAT1/AURKB/CDK1/PMAIP1/CARM1/HUS1/BRCA1/CYCS/RFFL/CNOT6/COX8A/HIPK1/CSNK2A1/RFC4/YWHAH/SLC38A9/SESN2/BRPF1/SFN/EP300/PRKAG2/PTEN/PLK2/ELOA/COX6B2/SGK1/TNKS1BP1/MSH2/NELFB/PLAGL1/TXN/MAPKAP1/ING2/RBL2/AGO4/TFDP2/CCNT1/AGO1/BBC3/CNOT1/MLST8/MAP2K6/RRAGD/ATM/ELOC/TOPBP1/CHD3/COX6A1/MDM2/CCNH/TAF11/PERP/CHD4/LAMTOR1/BCL6/CHEK1/CCNT2/PRDX5/GTF2H5/TNRC6B/RAD9B/CCNA2/CDK5/COX7A2L/CASP10/PRKAB2/CCNE2/PRDM1/TIGAR/WRN/CNOT9/CDKN2A/KAT5/MRE11/STK11/CSNK2A2/NPM1/PRKAA1/CNOT8/CASP1/TMEM219/TNFRSF10B/COX5A/ERCC2/RRAGA/E2F4/MTA2/RAD51D/PIP4K2C/GTF2H4/TP53BP2/PRDX1/DNA2/RFC3/AIFM2/RRM2B/MBD3/RMI1/CDK5R1/YWHAZ/SESN1/RBL1/PPP2R1B/ATR/CDK12/LAMTOR3/TAF5/PLK3/POLR2G/RFC5/E2F7/BANP/KAT6A/ZNF385A/GSR/POLR2B/GPX2/CHEK2/PCNA/EXO1/RABGGTB/TNRC6A/COX5B/ING5/E2F8/FANCI/RFC2/YWHAB/RAD9A/FAS/CREBBP/TCEA1/CNOT4/CRADD/POLR2A/TP53RK/PRELID1/NELFA/COX7B/HIPK2/POLR2D/SCO2/YWHAG",230
"R-HSA-9012999","RHO GTPase cycle","279/5408","450/11287",0.62,1.29399778106509,6.1042513391675,6.33056779311286e-10,4.9238824101936e-07,4.9238824101936e-07,"CDC42SE2/MCF2L/GRB7/SOS2/SHKBP1/YKT6/TMOD3/OSBPL11/PARD6A/TXNL1/ABI2/ABCD3/VANGL1/ECT2/ARHGAP4/CCDC88A/TRIO/JUP/GOPC/ROCK1/AMIGO2/EMD/PARD6B/NET1/WDR6/MOSPD2/FAM169A/PGRMC2/PAK3/RHOH/FAM13A/CPD/RND1/CEP97/ITGB1/RACGAP1/CCT2/WASF3/MYO9B/DEPDC1B/NDUFS3/WASL/DOCK8/ARHGAP21/ARHGEF1/USP9X/ARHGAP24/ARHGEF40/DEF6/LETM1/MTR/TMPO/RHOBTB2/WAS/FNBP1/LBR/TFRC/ARHGAP26/CDC42/RHOF/IQGAP1/RHOQ/RAB7A/TWF1/ARHGDIA/ARHGAP31/SLC1A5/ARHGEF39/WIPF1/PDE5A/LCK/SHMT2/GJA1/ABL2/SOS1/SRRM1/ACTG1/MYO6/MAP3K11/TJP2/NSFL1C/TNFAIP1/COPS4/PLEKHG1/ARHGAP45/NIPSNAP2/STIP1/NGEF/CDC37/DOCK5/RHOBTB1/DAAM1/RALBP1/AAAS/SH3RF1/NCF2/TAOK3/CLTC/IQGAP2/FARP2/CFTR/KCTD13/RHPN2/STK38/GIT2/HNRNPC/ACTN1/OCRL/BAIAP2L2/PIK3R1/FERMT2/GMIP/MSI2/PAK2/PICALM/ARHGEF28/MUC13/ARHGAP35/ARL13B/RNF20/ITSN2/ERBIN/MACO1/TUBA1B/RHOD/ARHGAP42/KALRN/KIF14/ARAP3/TPM3/CKAP4/STARD13/PKP4/SH3PXD2A/VCP/PLXNB1/SRGAP2/ARHGAP17/ARHGAP22/CCT7/LEMD3/PIK3R2/CKB/NISCH/ARMCX3/RHOU/ARHGEF19/CAV1/GIT1/NOXO1/SENP1/TRIP10/ARHGEF10L/SPEN/PLEKHG6/DSP/RAC1/FRS2/NCKAP1/IL32/FARP1/BCR/RALGAPA1/BAIAP2/EMC3/ARHGEF17/STK10/ARHGAP15/NDUFA5/FLOT2/ARHGAP5/EPHA2/ABI1/RHOB/DIAPH2/FMNL1/CDC42EP1/FAM135A/CSK/MYO9A/ARHGAP33/BRK1/PLXND1/LAMTOR1/ARHGEF3/KIDINS220/ACBD5/VAPB/DOCK4/CYBA/VIM/PRAG1/PEAK1/ALS2/ARHGEF2/WIPF2/CPNE8/SPTAN1/ARHGAP12/FMNL2/ARHGEF12/CDC42EP2/KTN1/SH3BP1/CCP110/SLC4A7/GNA13/DOCK1/RAC3/RHOA/NCKAP1L/AKAP13/SAMM50/SYDE1/SPATA13/CHN2/SCFD1/CDC42BPA/ESYT1/VAV2/CUL3/PAK4/SRGAP1/WDR91/EFHD2/RHOC/DOCK7/PKN3/ARAP2/LMAN1/PLEKHG2/ARHGAP29/RAPGEF1/SRC/ARHGAP25/MTX1/FAM91A1/DOCK11/BCAP31/PLXNA1/RRAS2/CAVIN1/DLC1/STBD1/ANKRD26/CAPZB/DNMBP/DBN1/SYDE2/FNBP1L/WDR11/RTKN/PLD1/ARHGEF11/ANLN/SNAP23/PIK3CA/TPM4/TRA2B/TEX2/ARHGEF16/PHIP/ANKLE2/CDC42EP4/DBT/HSP90AB1/NUDC/C1QBP/ARFGAP2/LMNB1/ALDH3A2/TMEM59/WWP2/ARHGAP18/WASF2/CDC42BPB/RHOG/GFOD1/ADD3",279
"R-HSA-3247509","Chromatin modifying enzymes","179/5408","271/11287",0.660516605166052,1.37855971200245,6.04983748801465,8.57819235225367e-10,4.9238824101936e-07,4.9238824101936e-07,"ELP6/H3C12/RIOX2/H2AC16/PHF20/COPRS/RCOR1/ATXN7/H2BC9/MORF4L1/KMT2C/H3C2/ATF7IP/SMARCD3/HDAC1/CLOCK/PHF21A/KAT8/H4C5/H2BC21/TAF10/EP400/NSD1/PRMT1/REST/NCOR1/SMARCD2/KDM4B/NSD3/H2AC7/MECOM/PRDM9/KDM6A/KANSL2/CCND1/USP22/JAK2/TADA2B/KDM6B/H2BC5/ELP4/KDM3A/SUV39H1/OGT/ING3/H3C1/YEATS2/KAT2B/GPS2/GATAD2A/HDAC10/ARID4B/MEAF6/H4C11/TAF5L/SUPT20H/H4C4/KMT5A/AEBP2/MTA3/SAP130/KAT14/CARM1/DOT1L/SUPT3H/SETD1B/ENY2/NCOR2/H3C13/KDM7A/BRMS1/SUZ12/BRPF1/H2AC21/EP300/MCRS1/KDM1A/MSL1/H3C11/KDM3B/H2BC17/KDM4C/KDM5C/H2AJ/ACTL6A/H2AC6/PRDM16/H2BC15/TADA1/ARID4A/DMAP1/VPS72/MRGBP/H3C10/H2AC12/SGF29/RUVBL1/NFKB1/ATXN7L3/CHD3/TRRAP/KDM2B/SETD6/NCOA1/KMT2A/CHD4/CDK4/ELP1/H3C3/SMARCC1/ZZZ3/ARID2/PRMT3/H2AC8/MSL2/JADE1/KAT5/SMARCA4/KMT5B/KDM2A/KAT6B/HAT1/H2BC26/SETD1A/ASH2L/SETD7/JADE3/EPC1/KMT5C/SMARCE1/DNMT3A/MTA2/YEATS4/ASH1L/KMT2D/TAF6L/H2BC11/H2AC17/PHF8/MBD3/KDM5B/NSD2/KDM4A/TADA2A/H2AC15/KDM1B/H4C9/H2AC4/SETDB2/H4C12/KAT6A/H3C6/RUVBL2/EZH2/H2BC18/KAT7/ING5/EED/JADE2/HDAC8/CREBBP/NFKB2/KMT2B/KANSL3/H2AC13/BRWD1/SAP18/ACTL6B/HCFC1/SMARCD1/ELP3/ARID1A/H2BC12/TBL1XR1/H2BC3/SMYD3/H3C4/SETD2/TBL1X",179
"R-HSA-4839726","Chromatin organization","235/5408","374/11287",0.628342245989305,1.3114088259026,5.8739639247618,2.61832351462827e-09,1.12718827304747e-06,1.12718827304747e-06,"ELP6/H3C12/RIOX2/H2AC16/PHF20/DPF2/COPRS/RCOR1/ATXN7/NR2F2/H2BC9/MORF4L1/KMT2C/H3-3B/H3C2/CBX1/ATF7IP/RBM17/SMARCD3/HDAC1/CHERP/CLOCK/CHD9/PHF21A/KAT8/H4C5/H2BC21/TAF10/EP400/NSD1/PRMT1/REST/NCOR1/SMARCD2/KDM4B/NSD3/PHF10/H2AC7/MECOM/G6PC1/CHD7/PRDM9/U2SURP/SF3B4/KDM6A/KANSL2/CCND1/USP22/JAK2/TADA2B/KDM6B/H2BC5/ELP4/KDM3A/SUV39H1/OGT/ING3/SF3A1/ZNF532/BCL11A/SF3B2/H3C1/YEATS2/KAT2B/GPS2/GATAD2A/SF3B5/HDAC10/ARID4B/MEAF6/H4C11/TAF5L/BICRAL/SUPT20H/DDX46/H4C4/KMT5A/AEBP2/CHD8/MTA3/DDX42/SAP130/KAT14/NR2C2/CARM1/ZMYND8/DOT1L/SUPT3H/SETD1B/MBD2/ENY2/NCOR2/H3C13/CDK2AP1/KDM7A/BRMS1/RTF1/ZNF827/PWWP2A/CHD6/SUZ12/BRPF1/H2AC21/EP300/MAFK/MCRS1/KDM1A/MSL1/H3C11/KDM3B/H2BC17/KDM4C/NQO1/BCL7A/KDM5C/H2AJ/ACTL6A/NFE2L2/CTNNB1/H2AC6/ZNF592/PRDM16/H2BC15/TADA1/ARID4A/DMAP1/VPS72/MRGBP/H3C10/H2AC12/LEO1/SGF29/RUVBL1/NFKB1/H3-3A/CTCF/ATXN7L3/CHD3/TRRAP/SF3B1/KDM2B/SETD6/NCOA1/KMT2A/CHD4/TCF3/CDK4/ELP1/BCL7B/H3C3/SMARCC1/ZZZ3/ARID2/PRMT3/H2AC8/MSL2/JADE1/SF3A3/ADNP2/KAT5/SMARCA4/KMT5B/KDM2A/KAT6B/HAT1/SNRPD1/H2BC26/CHD2/SETD1A/ASH2L/CBX3/SETD7/SS18/PWWP2B/JADE3/EPC1/KMT5C/SMARCE1/DNMT3A/MTA2/YEATS4/ASH1L/KMT2D/TAF6L/H2BC11/H2AC17/PHF8/MBD3/KDM5B/SMNDC1/NSD2/KDM4A/TADA2A/H2AC15/SS18L1/KDM1B/H4C9/SUMO1/H2AC4/CTR9/CDK2AP2/SETDB2/H4C12/KAT6A/H3C6/BRD9/RUVBL2/BICRA/EZH2/H2BC18/KAT7/ING5/EED/JADE2/FBP1/HDAC8/CREBBP/NFKB2/KMT2B/KANSL3/H2AC13/BRWD1/SAP18/ACTL6B/HCFC1/SMARCD1/ELP3/ARID1A/H2BC12/TBL1XR1/H2BC3/SMYD3/H3C4/SETD2/TBL1X",235
"R-HSA-9839923","Dengue Virus Infection","248/5408","402/11287",0.616915422885572,1.28755998115929,5.63071946911436,1.11546225033613e-08,3.20529524012773e-06,3.20529524012773e-06,"H3C12/H2AC16/POLR2K/WBP11/DNAJC10/RNASEK/FIP1L1/PABPN1/H2BC9/BTF3/H3C2/GPKOW/UBR4/TAOK1/MTOR/RBM17/AP2A1/RTN3/IPO7/CHERP/HNRNPA2B1/ACOT2/XRN1/RICTOR/DDOST/DNAJC8/NACA/H4C5/PROS1/P4HA2/H2BC21/AGRN/CLP1/SPCS3/EXOC1/KPNA7/UBA52/H2AC7/HNRNPR/DYNLT1/TJP1/PCF11/FASN/U2SURP/SF3B4/NMT1/CPSF4/POLR2I/H2BC5/SRSF11/HNRNPH1/ATG14/SRRM1/CPSF1/CWC22/SF3A1/RPTOR/TSG101/SF3B2/CLU/H3C1/RBM5/SF3B5/CCAR1/CRNKL1/HNRNPA1/HNRNPM/PCBP2/ATG7/AP2S1/UBB/HAVCR1/H4C11/POLR2H/XPO1/PABPC1/EIF4G3/PIK3C3/PIK3R4/DDX46/PRR5/GTF2F2/PPIL4/H4C4/SDC4/DDX42/SDC2/HNRNPC/PPIL6/NRBP1/HNRNPA0/PLRG1/CALR/PIK3R1/EMC4/SRSF2/AP2M1/HNRNPU/PDCD6IP/PTBP1/H3C13/RBM22/SNRNP200/CDC40/APOA1/RTF1/KPNA3/H2AC21/CSTF1/VCP/DPM3/PPIL1/PAPOLA/PQBP1/CAMK2D/HNRNPD/KPNA5/H3C11/H2BC17/UBA1/MAPKAP1/OSTC/NFKBIA/CPSF6/DNAJB11/DHX9/TYRO3/AQR/MLST8/IKBKE/CTNNB1/CD14/H2AC6/H2BC15/H3C10/H2AC12/LEO1/MERTK/KPNA2/NCL/F2/HSPA8/TXNL4A/SF3B1/EIF4A2/AXL/YBX1/EIF4E/PRPF6/AP2A2/HDLBP/NPLOC4/SEC11C/HNRNPF/H3C3/UBA5/FURIN/GRPEL1/SRSF7/GPC6/PPIL3/P4HA1/SRSF4/MAPRE3/VIM/SRSF5/KPNA1/FUS/CPSF3/H2AC8/NFKBIB/RPN1/SF3A3/CTNNBL1/MAGT1/BCAS2/LYN/SNRPD1/OST4/H2BC26/DAD1/MBL2/DDX23/CLDN1/MAP1LC3B/COG1/STT3B/SRSF3/HYOU1/EFTUD2/EIF4G1/SEC11A/NUDT21/NEK2/SRRM2/CSTF2T/SYMPK/SDC1/U2AF1L4/H2BC11/H2AC17/DPM1/C4BPB/SRSF1/MAVS/ATL2/SMNDC1/CAMK2B/CANX/SUN2/CSTF3/H2AC15/UBA6/POLR2G/H4C9/SUMO1/GPC3/H2AC4/CTR9/WDR33/KPNA4/H4C12/H3C6/CAMK2G/HNRNPL/POLR2B/H2BC18/CWC15/SRRT/C4BPA/HNRNPUL1/RETREG1/DNAJA2/GBF1/POLR2A/HSP90AB1/H2AC13/SCAP/AP2B1/EIF4A3/H2BC12/KDELR1/PDIA3/H2BC3/H3C4/POLR2D/HNRNPK/SNW1",248
"R-HSA-69242","S Phase","106/5408","150/11287",0.706666666666667,1.4748791913215,5.61540770720566,1.1168276098006e-08,3.20529524012773e-06,3.20529524012773e-06,"GINS1/CDT1/PSMD7/CDK2/CDC25B/SKP2/ANAPC10/CDKN1A/GINS4/PSMA2/ORC3/POLE2/LIN54/ORC6/UBE2S/ORC4/E2F1/UBA52/CDC25A/RFC1/ORC1/WAPL/PSMD2/RPA2/CCND1/POLE/PSMC2/ADRM1/TFDP1/PSMA6/PDS5A/UBB/LIN9/PTK6/POLD3/CABLES1/CDKN1B/MNAT1/ANAPC2/CDC27/RFC4/MCM6/ESCO2/LIN52/FEN1/RBL2/TFDP2/MCM5/STAG1/PSMB1/WEE1/RAD21/MCM4/MAX/CCNH/PSMD8/POLD1/PSMB2/ANAPC5/CDK4/POLD4/PRIM2/CDC6/POLA1/POLD2/PSMA4/PSMA7/PSMA1/SEM1/CCNA2/SMC3/PSMC3/CCNE2/LIN37/PSMA5/STAG2/PSMB6/UBE2D1/CDC26/PSMB7/GINS3/ANAPC1/PSMC6/E2F4/GMNN/ANAPC4/ANAPC16/DNA2/RFC3/PSMB4/MYC/CDC23/UBE2E1/ESCO1/POLA2/RFC5/ANAPC15/PCNA/MCM3/PSMD3/PRIM1/RFC2/CUL1/FZR1/ORC5/CDCA5",106
"R-HSA-109581","Apoptosis","113/5408","167/11287",0.676646706586826,1.4122247369167,5.14726497521327,1.64690979396494e-07,4.05139809315375e-05,4.05139809315375e-05,"PSMD7/PLEC/TNFSF10/CLSPN/PPP3CC/FASLG/TP63/PRKCD/H1-4/ROCK1/YWHAQ/PSMA2/DNM1L/TRADD/CASP6/PPP3R1/H1-1/GSN/CASP8/E2F1/UBA52/TJP1/FADD/DBNL/APIP/GSDME/TP73/NMT1/PSMD2/BIRC2/STK26/PSMC2/DYNLL2/ADRM1/H1-0/TJP2/TFDP1/PSMA6/BAX/HMGB2/DIABLO/UBB/STAT3/TRAF2/PMAIP1/PAK2/CYCS/DFFB/YWHAH/SFN/CARD8/DYNLL1/TFDP2/BAK1/BBC3/MAPK3/AVEN/CTNNB1/DSP/FNTA/PSMB1/CD14/MAPK1/DAPK1/CFLAR/OMA1/H1-3/PSMD8/PSMB2/CDH1/PSMA4/PSMA7/PSMA1/SEM1/VIM/KPNA1/BCL2L1/PSMC3/SPTAN1/PSMA5/CDKN2A/GAS2/STK24/PSMB6/PSMB7/TNFRSF10B/PSMC6/PTK2/TP53BP2/TMED7-TICAM2/PSMB4/YWHAZ/OPA1/DFFA/LMNA/DAPK2/BCAP31/SATB1/TICAM1/BMF/PSMD3/YWHAB/BMX/FAS/ADD1/HMGB1/XIAP/C1QBP/LMNB1/BCL2L11/APC/APPL1/YWHAG",113
"R-HSA-9609507","Protein localization","111/5408","164/11287",0.676829268292683,1.41260576021071,5.10484871936763,2.06969122307295e-07,4.42799554466454e-05,4.42799554466454e-05,"TIMM8A/ECH1/COQ2/GET4/ABCD3/SLC25A13/EMD/CROT/EHHADH/SCP2/PEX2/CHCHD7/HSPD1/ACO2/TIMM44/ACOT2/PEX11B/PAOX/EPHX2/PEX10/PMPCB/ACAA1/DHRS4/USP9X/UBA52/FIS1/TYSND1/OTC/ACOT8/TIMM10/CAT/ATAD1/PECR/ACOX2/COA4/MPV17/PEX12/UBB/PXMP4/COX19/GNPAT/NUDT7/LONP2/PEX16/GSTK1/TIMM8B/TIMM9/CHCHD2/PEX6/CHCHD3/FXN/CHCHD4/SERP1/AMACR/GET1/TIMM17A/IDE/OTOF/MLYCD/BCS1L/SGTA/ECI2/ATP5F1A/AGPS/ACOX1/CS/SLC25A12/GRPEL1/ACBD5/AGXT/UBE2D3/TOMM5/UBE2D2/ABCD1/IDH1/ZFAND6/PITRM1/PHYH/UBE2D1/COA6/HMOX1/ACOX3/SAMM50/IDH3G/CMC2/CAMLG/HMGCL/PXMP2/PEX1/TOMM40/CYC1/MTX1/TIMM23/SLC25A4/COX17/DNAJC19/APP/VAPA/ATP5F1B/PIPOX/CYB5A/CRAT/TIMM13/HSD17B4/PEX14/SLC25A17/CMC4/TIMM50/ALDH3A2/GET3/TOMM6",111
"R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","270/5408","453/11287",0.596026490066225,1.24396283161566,5.08294002276534,2.31428338571318e-07,4.42799554466454e-05,4.42799554466454e-05,"KIF5B/PSMD7/POLR2K/AGTRAP/PDPK1/BIRC6/FIP1L1/PEBP1/PPP2R1A/FZD4/AGO2/FGF8/PHB1/PTPN6/CDKN1A/AGGF1/MTOR/HDAC1/PAPSS1/HIP1/SPRED1/PSMA2/TYK2/FAM114A2/LRRFIP1/PIK3CB/RICTOR/TNRC6C/SEC31A/SND1/ERBB2/NCOR1/AKAP9/ERLEC1/FGFR1OP2/AXIN1/OS9/DUSP9/CCNB1/RAF1/KRAS/UBA52/DUSP16/IQGAP1/FGFR3/TGFB1/CALM3/PPP2CB/PSMD2/LRP6/TENT4A/DUSP10/JAK2/MAP2K1/LCK/POLR2I/HDAC5/GAB2/PPP1CC/DNMT1/KSR1/SOS1/KLC1/FGB/PSMC2/ACTG1/MAML1/ADRM1/BCL11A/MAP3K11/FGF19/CREB1/DERL2/STAT5A/KAT2B/PSMA6/HDAC10/CDC37/RPS6/ARRB2/RAP1B/ATG7/PTPN12/UBB/CNTRL/MET/STAT3/MYO18A/POLR2H/PPFIBP1/CLTC/FZD5/PRR5/GTF2F2/AGO3/CDKN1B/KANK1/CALM1/PIK3R1/ERLIN2/APH1B/CD86/STRN/PPM1B/HDAC4/ESR2/NCOR2/ERBIN/SHOC2/CBL/MRAS/TFG/PSEN1/KDM7A/CCNC/TPM3/TRIP11/VCP/EP300/PTEN/FGF2/CAMK2D/KLB/PIK3R2/MAMLD1/NOTCH1/MAPKAP1/BRAF/ESR1/FGA/ARRB1/AGO4/CPSF6/SMAD2/SYVN1/PPP2R5A/DUSP7/HDAC7/TNKS/QKI/AGO1/MAPK3/GAB1/MLST8/SMAD4/STAT5B/FXR1/CTNNB1/APH1A/PSMB1/RAC1/FRS2/MAPK1/IHH/DLL4/DCTN1/BCR/FN1/LMO7/MAP2K2/HDAC6/CLIP1/FGFR4/MYH9/MDM2/MIB2/FOXO4/PSMD8/PSMB2/ETV6/AREG/AKT1S1/CSK/CEBPB/ADAM10/TRAK1/RPS6KB2/PSMA4/PSMA7/MAML3/CEP43/PSMA1/SEM1/BCL2L1/PSMC3/ZC3HC1/CHUK/GSK3A/PIK3CD/PSMA5/FLT3LG/YES1/IRS2/NF1/LYN/PSMB6/ERBB3/FOXO3/LRP5/NPM1/PSMB7/VCL/ZFYVE9/EML4/KREMEN1/PDGFRB/RANBP2/PSMC6/FOXO1/PDGFRA/EEF1G/FGG/HEY2/TGFBR1/PTPN11/PSMB4/PPP2R1B/MYC/SRC/CAMK2B/MECP2/EGFR/LMNA/CLCN6/AP3B1/RBPJ/TLN1/POLR2G/CTBP1/CDK8/FYN/PPP2R5B/MIB1/ITGB3/CAMK2G/HES1/POLR2B/PRKAR1A/IRS1/PSMD3/HEYL/CUX1/YWHAB/CUL1/ATIC/HDAC8/PIK3CA/TPM4/BAG4/SHH/GCC2/CREBBP/RAP1A/HDAC11/POLR2A/TRIM24/MARK3/HBEGF/NOX4/GOLGB1/HHAT/BCL2L11/TBL1XR1/CSNK1A1/APC/RHOG/POLR2D/KITLG/TBL1X/SNW1",270
"R-HSA-1989781","PPARA activates gene expression","83/5408","117/11287",0.709401709401709,1.48058748040257,5.01158881888983,3.3049210097892e-07,5.46204147479868e-05,5.46204147479868e-05,"MED27/PPARG/RORA/MED13/APOA2/SMARCD3/FADS1/CLOCK/CHD9/THRAP3/MED11/NCOR1/CPT1A/MED9/MED19/NCOA3/MED8/NFYA/CDK19/CYP1A1/NR1D1/ANGPTL4/HELZ2/ANKRD1/TXNRD1/GRHL1/MED15/MED18/GPS2/NR1H3/PPARA/PLIN2/AGT/AHR/RXRA/ACSL1/MED4/APOA5/ABCA1/ESRRA/CARM1/PPARGC1A/NCOR2/APOA1/CCNC/MED26/EP300/HMGCS2/MTF1/NPAS2/FDFT1/ACOX1/MED21/ACADM/NCOA1/ARNT/HMGCS1/TRIB3/ALAS1/MED1/SREBF2/NR1H4/SREBF1/MED14/FABP1/PPARGC1B/ABCB4/ME1/SP1/SULT2A1/CDK8/RGL1/CPT2/TNFRSF21/MED16/MED17/NFYB/MED13L/NCOA6/CREBBP/NRF1/TBL1XR1/TBL1X",83
