"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","52/325","305/18842",0.170491803278689,9.88432786885246,20.7235004160088,1.42488072339176e-36,4.62088818595947e-33,7.72343067624132e-34,"TRIM21/DHX15/SMARCA5/NLRC5/TRIM5/OAS3/IRF9/DDX60L/POLR3F/TRIM34/MX1/TRIM56/UNC93B1/OASL/MLKL/ADAR/USP18/MOV10/RSAD2/AIMP1/IFIT5/NT5C3A/DHX58/SAMHD1/IFITM3/IFIT1/STAT1/ZC3HAV1/IFIT2/OAS2/STAT2/MIR130A/PML/IFITM1/MX2/GBP1/EIF2AK2/RTP4/TRIM22/TRIM25/PLSCR1/DTX3L/CXCL10/DDX60/IFIT3/ISG20/IFI6/SHFL/ISG15/IRF1/TRIM44/OAS1",52
"GO:0009615","response to virus","55/325","400/18842",0.1375,7.97161538461538,18.6710072858828,1.32194857852513e-33,2.14353962007849e-30,3.5827483789278e-31,"TRIM21/DHX15/NMI/SMAD3/SMARCA5/NLRC5/TRIM5/OAS3/IRF9/DDX60L/POLR3F/TRIM34/MX1/TRIM56/UNC93B1/OASL/MLKL/ADAR/USP18/MOV10/RSAD2/DDX3X/AIMP1/IFIT5/NT5C3A/DHX58/SAMHD1/IFITM3/IFIT1/STAT1/ZC3HAV1/IFIT2/OAS2/STAT2/MIR130A/PML/IFITM1/MX2/GBP1/EIF2AK2/RTP4/TRIM22/TRIM25/PLSCR1/DTX3L/CXCL10/DDX60/IFIT3/ISG20/IFI6/SHFL/ISG15/IRF1/TRIM44/OAS1",55
"GO:0048525","negative regulation of viral process","20/325","74/18842",0.27027027027027,15.6690228690229,16.7500608893303,7.68416574377422e-19,6.36788789930481e-16,1.0643395547591e-16,"TRIM21/OAS3/SP100/MX1/OASL/RSAD2/IFIT5/IFITM3/IFIT1/STAT1/ZC3HAV1/OAS2/IFITM1/EIF2AK2/PLSCR1/TRIM14/ISG20/SHFL/ISG15/OAS1",20
"GO:0050792","regulation of viral process","25/325","136/18842",0.183823529411765,10.6572398190045,14.9740868452577,7.85431748295382e-19,6.36788789930481e-16,1.0643395547591e-16,"TRIM21/TRIM5/OAS3/SP100/MX1/OASL/ADAR/RSAD2/DDX3X/IFIT5/IFITM3/IFIT1/STAT1/LARP1/ZC3HAV1/OAS2/IFITM1/EIF2AK2/TRIM25/PLSCR1/TRIM14/ISG20/SHFL/ISG15/OAS1",25
"GO:1903900","regulation of viral life cycle","22/325","110/18842",0.2,11.5950769230769,14.7644313273231,1.53615935180205e-17,9.96352955578807e-15,1.66532118324418e-15,"TRIM21/TRIM5/OAS3/MX1/OASL/ADAR/RSAD2/DDX3X/IFIT5/IFITM3/IFIT1/LARP1/ZC3HAV1/OAS2/IFITM1/EIF2AK2/TRIM25/PLSCR1/ISG20/SHFL/ISG15/OAS1",22
"GO:0045069","regulation of viral genome replication","19/325","77/18842",0.246753246753247,14.3056143856144,15.4993809642613,3.82673469947749e-17,2.06835010506758e-14,3.45707535170946e-15,"OAS3/MX1/OASL/ADAR/RSAD2/DDX3X/IFIT5/IFITM3/IFIT1/LARP1/ZC3HAV1/OAS2/IFITM1/EIF2AK2/PLSCR1/ISG20/SHFL/ISG15/OAS1",19
"GO:0045071","negative regulation of viral genome replication","16/325","48/18842",0.333333333333333,19.3251282051282,16.8409416498894,5.816674152043e-17,2.69478203929649e-14,4.50410428266295e-15,"OAS3/MX1/OASL/RSAD2/IFIT5/IFITM3/IFIT1/ZC3HAV1/OAS2/IFITM1/EIF2AK2/PLSCR1/ISG20/SHFL/ISG15/OAS1",16
"GO:0034340","response to type I interferon","21/325","122/18842",0.172131147540984,9.97936948297604,13.1819960569644,2.08807303546759e-15,8.46452606752673e-13,1.41477520465486e-13,"NLRC5/OAS3/SP100/MX1/TRIM56/OASL/USP18/CACTIN/SAMHD1/IFITM3/IFIT1/STAT1/PSMD1/OAS2/STAT2/IFITM1/JAK1/PSMA3/SHFL/ISG15/OAS1",21
"GO:0140374","antiviral innate immune response","17/325","73/18842",0.232876712328767,13.5011169652266,14.1774467091354,5.14921758277058e-15,1.85543473565833e-12,3.10120500181975e-13,"TRIM21/DHX15/SMARCA5/OAS3/MX1/OASL/USP18/IFIT5/DHX58/IFIT1/IFIT2/OAS2/EIF2AK2/TRIM25/CXCL10/IFIT3/OAS1",17
"GO:0019079","viral genome replication","19/325","110/18842",0.172727272727273,10.0139300699301,12.5610745889824,4.35323291038889e-14,1.41175343283912e-11,2.35962856742759e-12,"OAS3/MX1/OASL/ADAR/RSAD2/DDX3X/IFIT5/IFITM3/IFIT1/LARP1/ZC3HAV1/OAS2/IFITM1/EIF2AK2/PLSCR1/ISG20/SHFL/ISG15/OAS1",19
