"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-913531","Interferon Signaling","32/221","266/11287",0.120300751879699,6.14404790256184,11.9979251485286,9.60533038606241e-17,1.00279649230492e-13,1.77718551035878e-14,"TRIM21/TRIM5/OAS3/IRF9/SP100/TRIM34/OASL/FANCA/USP18/STAT1/OAS2/STAT2/MT2A/PML/SOCS1/IFITM1/UBE2L6/GBP1/EIF2AK2/KPNB1/TRIM22/TRIM25/JAK1/NUP85/NUP205/TRIM14/NDC1/ISG15/IRF1/UBE2I/OAS1/UBA7",32
"R-HSA-877300","Interferon gamma signaling","19/221","96/11287",0.197916666666667,10.1080788084465,12.6648128125797,2.39495591413548e-14,1.25016698717872e-11,2.21558279490606e-12,"TRIM21/TRIM5/OAS3/IRF9/SP100/TRIM34/OASL/STAT1/OAS2/MT2A/PML/SOCS1/GBP1/TRIM22/TRIM25/JAK1/TRIM14/IRF1/OAS1",19
"R-HSA-909733","Interferon alpha/beta signaling","15/221","57/11287",0.263157894736842,13.440104786854,13.3058436245733,1.57942679914319e-13,5.4964052610183e-11,9.74089146092799e-12,"OAS3/IRF9/OASL/USP18/STAT1/OAS2/STAT2/SOCS1/IFITM1/EIF2AK2/KPNB1/JAK1/ISG15/IRF1/OAS1",15
"R-HSA-1169410","Antimicrobial mechanism of IFN-stimulated genes","19/221","159/11287",0.119496855345912,6.10299097868465,9.15768352882453,2.5894943990337e-10,6.75858038147795e-08,1.19777554236852e-08,"OAS3/OASL/FANCA/USP18/STAT1/OAS2/UBE2L6/GBP1/EIF2AK2/KPNB1/TRIM25/JAK1/NUP85/NUP205/NDC1/ISG15/UBE2I/OAS1/UBA7",19
"R-HSA-1169408","ISG15 antiviral mechanism","12/221","70/11287",0.171428571428571,8.75526826115061,9.19768034225016,9.22124760744378e-09,1.92539650043426e-06,3.41224444692894e-07,"USP18/STAT1/UBE2L6/EIF2AK2/KPNB1/TRIM25/JAK1/NUP85/NUP205/NDC1/ISG15/UBA7",12
"R-HSA-168276","NS1 Mediated Effects on Host Pathways","8/221","42/11287",0.19047619047619,9.72807584572291,8.00818788310562,1.26630618232632e-06,0.00022033727572478,3.90488216517355e-05,"MLKL/GBP1/EIF2AK2/KPNB1/NUP85/NUP205/NDC1/ISG15",8
"R-HSA-9615933","Postmitotic nuclear pore complex (NPC) reformation","6/221","27/11287",0.222222222222222,11.3494218200101,7.60850975731188,1.10469631110001e-05,0.0016475756411263,0.00029198821287255,"KPNB1/NUP85/NUP205/RANGAP1/NDC1/UBE2I",6
"R-HSA-9679506","SARS-CoV Infections","22/221","415/11287",0.0530120481927711,2.70745243417107,5.00828191712096,2.11478220238273e-05,0.00275979077410946,0.000489098258022011,"NMI/SMAD3/PARP14/NOD2/RPS23/RBX1/AKT2/STAT1/LARP1/STAT2/RPS2/NRP1/KPNB1/TRIM25/JAK1/NUP85/NUP205/PARP10/NDC1/ISG15/UBE2I/RIPK1",22
"R-HSA-9920588","Dengue virus activates/modulates innate and adaptive immune responses","6/221","31/11287",0.193548387096774,9.88498029484747,7.00029110727416,2.57365442425199e-05,0.00298543913213231,0.000529088325337934,"C1S/DDX3X/STAT2/PML/TRIM25/PAF1",6
"R-HSA-912694","Regulation of IFNA/IFNB signaling","5/221","24/11287",0.208333333333333,10.6400829562594,6.68082624620344,8.62706003083479e-05,0.00834535029725636,0.00147898758531384,"USP18/STAT1/STAT2/SOCS1/JAK1",5
"R-HSA-9694516","SARS-CoV-2 Infection","17/221","301/11287",0.0564784053156146,2.88448760541784,4.68303671533138,8.7929936082203e-05,0.00834535029725636,0.00147898758531384,"PARP14/NOD2/RPS23/AKT2/STAT1/LARP1/STAT2/RPS2/NRP1/TRIM25/JAK1/NUP85/NUP205/PARP10/NDC1/ISG15/UBE2I",17
"R-HSA-2995410","Nuclear Envelope (NE) Reassembly","8/221","77/11287",0.103896103896104,5.30622318857613,5.35808894172166,0.000125407068704711,0.0109104149773099,0.00193357591081209,"VRK2/PPP2R2A/KPNB1/NUP85/NUP205/RANGAP1/NDC1/UBE2I",8
"R-HSA-9705671","SARS-CoV-2 activates/modulates innate and adaptive immune responses","10/221","123/11287",0.0813008130081301,4.15222749512563,4.96742160079814,0.000147270662597199,0.0118269670578058,0.00209600997290206,"NOD2/STAT1/LARP1/STAT2/TRIM25/JAK1/NUP85/NUP205/NDC1/ISG15",10
"R-HSA-9705683","SARS-CoV-2-host interactions","13/221","201/11287",0.0646766169154229,3.30318993268949,4.65598070651218,0.000161234033446328,0.0120234522084262,0.00213083165061661,"NOD2/RPS23/AKT2/STAT1/LARP1/STAT2/RPS2/TRIM25/JAK1/NUP85/NUP205/NDC1/ISG15",13
"R-HSA-168255","Influenza Infection","11/221","150/11287",0.0733333333333333,3.74530920060332,4.78325585884612,0.000173607190559364,0.0120830604629318,0.00214139560123052,"MLKL/RPS23/RPS2/GBP1/EIF2AK2/KPNB1/NUP85/NUP205/NDC1/POLR2E/ISG15",11
"R-HSA-983168","Antigen processing: Ubiquitination & Proteasome degradation","16/221","296/11287",0.0540540540540541,2.76067017243488,4.3378655322468,0.000234656411311011,0.0153113308380435,0.00271351919541881,"TRIM21/RBBP6/RNF213/RBCK1/HERC6/RBX1/PSMD1/ANAPC7/SOCS1/UBE2L6/SKP1/FBXO6/DTX3L/PSMA3/FBXO31/UBA7",16
"R-HSA-9909505","Modulation of host responses by IFN-stimulated genes","4/221","17/11287",0.235294117647059,12.0170348682459,6.42388937622476,0.000278597945270874,0.0171091914625172,0.00303214135614409,"UBE2L6/TRIM25/ISG15/UBA7",4
"R-HSA-73893","DNA Damage Bypass","6/221","48/11287",0.125,6.38404977375566,5.28246558216744,0.000325064144075565,0.0188537203563827,0.00334131191032643,"USP1/RBX1/UBE2L6/TRIM25/ISG15/UBA7",6
"R-HSA-9833109","Evasion by RSV of host interferon responses","5/221","33/11287",0.151515151515152,7.73824215000686,5.47798647206035,0.00041737388873734,0.0222038533812899,0.00393503236261428,"RBX1/STAT2/EIF2AK2/TRIM25/JAK1",5
"R-HSA-9909648","Regulation of PD-L1(CD274) expression","12/221","194/11287",0.0618556701030928,3.15911741381723,4.28670349913178,0.000432041929507046,0.0222038533812899,0.00393503236261428,"H4C3/MOV10/RBX1/STAT1/PSMD1/SKP1/CD274/JAK1/RBBP5/TCF7L2/PSMA3/IRF1",12
"R-HSA-9678108","SARS-CoV-1 Infection","10/221","141/11287",0.0709219858156028,3.62215590000321,4.42771208563999,0.00044662923468112,0.0222038533812899,0.00393503236261428,"NMI/SMAD3/PARP14/RPS23/RPS2/KPNB1/TRIM25/PARP10/UBE2I/RIPK1",10
"R-HSA-162909","Host Interactions of HIV factors","9/221","117/11287",0.0769230769230769,3.92864601461887,4.49991233210844,0.000475923625743637,0.0225847393307435,0.00400253409358985,"RBX1/PSMD1/SKP1/KPNB1/NUP85/NUP205/PSMA3/RANGAP1/NDC1",9
"R-HSA-9692914","SARS-CoV-1-host interactions","8/221","95/11287",0.0842105263157895,4.30083353179328,4.56564774570408,0.000536195831908379,0.0230945077982872,0.00409287676442172,"NMI/SMAD3/RPS23/RPS2/KPNB1/TRIM25/UBE2I/RIPK1",8
"R-HSA-9820952","Respiratory Syncytial Virus Infection Pathway","9/221","119/11287",0.0756302521008403,3.86261835050762,4.43629130412718,0.000538924523306241,0.0230945077982872,0.00409287676442172,"RBX1/OAS2/STAT2/UBE2L6/EIF2AK2/KPNB1/TRIM25/JAK1/ISG15",9
"R-HSA-936440","Negative regulators of DDX58/IFIH1 signaling","5/221","35/11287",0.142857142857143,7.29605688429218,5.27179641562112,0.000553029401299982,0.0230945077982872,0.00409287676442172,"NLRC5/UBE2L6/TRIM25/ISG15/UBA7",5
