"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032970","regulation of actin filament-based process","27/400","380/18842",0.0710526315789474,3.34693421052632,6.80661681367119,4.80210591814582e-08,0.000175997181900044,2.52812649334998e-05,"ARHGAP18/CTNNA3/PIK3R1/AKAP13/CRACD/EFNA5/CYRIA/TACSTD2/RND3/FER/BAIAP2L1/FHOD3/CLASP1/CYRIB/NCK2/LIMCH1/CGNL1/CACNA1C/ITGB3/PTGER4/RAC1/PHLDB2/PAK1/DLC1/NCKAP1/ZEB2/CAMK2D",27
"GO:0007015","actin filament organization","29/400","448/18842",0.0647321428571429,3.04920758928571,6.46494497990157,1.13804220806469e-07,0.000208546234627855,2.99568013055172e-05,"DIAPH1/ARHGAP18/PIK3R1/CRACD/CYRIA/TACSTD2/RND3/FER/BAIAP2L1/FHOD3/CLASP1/CYRIB/NCK2/LIMCH1/CGNL1/TMSB10/SHROOM3/PTGER4/RAC1/SPIRE1/SH3BP4/PHLDB2/MYO1E/PAK1/DLC1/COBL/LIMS1/NCKAP1/ZEB2",29
"GO:0032956","regulation of actin cytoskeleton organization","23/400","334/18842",0.0688622754491018,3.24375748502994,6.09322709063047,8.31670008951167e-07,0.000831544357272421,0.00011944789668337,"ARHGAP18/PIK3R1/AKAP13/CRACD/EFNA5/CYRIA/TACSTD2/RND3/FER/BAIAP2L1/FHOD3/CLASP1/CYRIB/NCK2/LIMCH1/CGNL1/ITGB3/PTGER4/RAC1/PHLDB2/PAK1/DLC1/NCKAP1",23
"GO:0110020","regulation of actomyosin structure organization","12/400","97/18842",0.123711340206186,5.82742268041237,7.0199890205768,9.97055953632109e-07,0.000831544357272421,0.00011944789668337,"PIK3R1/AKAP13/TACSTD2/FHOD3/CLASP1/LIMCH1/CGNL1/PTGER4/RAC1/PHLDB2/PAK1/DLC1",12
"GO:0051017","actin filament bundle assembly","15/400","159/18842",0.0943396226415094,4.4438679245283,6.42243480496675,1.55623788826114e-06,0.000831544357272421,0.00011944789668337,"PIK3R1/TACSTD2/BAIAP2L1/FHOD3/CLASP1/LIMCH1/CGNL1/PTGER4/RAC1/SPIRE1/PHLDB2/PAK1/DLC1/LIMS1/ZEB2",15
"GO:0110053","regulation of actin filament organization","19/400","251/18842",0.0756972111553785,3.5657171314741,6.02659796948013,1.89495569814127e-06,0.000831544357272421,0.00011944789668337,"ARHGAP18/PIK3R1/CRACD/CYRIA/TACSTD2/FER/BAIAP2L1/FHOD3/CLASP1/CYRIB/NCK2/LIMCH1/CGNL1/PTGER4/RAC1/PHLDB2/PAK1/DLC1/NCKAP1",19
"GO:0030038","contractile actin filament bundle assembly","12/400","103/18842",0.116504854368932,5.48796116504854,6.72624153682131,1.90757132937164e-06,0.000831544357272421,0.00011944789668337,"PIK3R1/TACSTD2/FHOD3/CLASP1/LIMCH1/CGNL1/PTGER4/RAC1/PHLDB2/PAK1/DLC1/ZEB2",12
"GO:0043149","stress fiber assembly","12/400","103/18842",0.116504854368932,5.48796116504854,6.72624153682131,1.90757132937164e-06,0.000831544357272421,0.00011944789668337,"PIK3R1/TACSTD2/FHOD3/CLASP1/LIMCH1/CGNL1/PTGER4/RAC1/PHLDB2/PAK1/DLC1/ZEB2",12
"GO:0061572","actin filament bundle organization","15/400","163/18842",0.0920245398773006,4.33481595092025,6.29748037662326,2.12814050536425e-06,0.000831544357272421,0.00011944789668337,"PIK3R1/TACSTD2/BAIAP2L1/FHOD3/CLASP1/LIMCH1/CGNL1/PTGER4/RAC1/SPIRE1/PHLDB2/PAK1/DLC1/LIMS1/ZEB2",15
"GO:0051492","regulation of stress fiber assembly","11/400","87/18842",0.126436781609195,5.95580459770115,6.82328054329213,2.26887955599569e-06,0.000831544357272421,0.00011944789668337,"PIK3R1/TACSTD2/FHOD3/CLASP1/LIMCH1/CGNL1/PTGER4/RAC1/PHLDB2/PAK1/DLC1",11
"GO:0007409","axonogenesis","22/400","357/18842",0.061624649859944,2.90282913165266,5.34566985982123,8.68364640646086e-06,0.00278414715177289,0.00039993118638567,"B4GALT5/MACF1/SEMA3C/EFNA5/NOTCH2/KIF13B/SCN11A/PARD3/AUTS2/PRKG1/TRIO/CNTN5/KLF7/SIPA1L1/RAC1/ANK3/GAP43/CNTN1/KALRN/PAK1/MAP3K13/COBL",22
"GO:0031589","cell-substrate adhesion","21/400","333/18842",0.0630630630630631,2.97058558558559,5.343230412094,9.80130653838671e-06,0.00278414715177289,0.00039993118638567,"ADAMTS12/PIK3R1/MACF1/EFNA5/TACSTD2/FER/CCDC80/RREB1/ANKRD28/CLASP1/LIMCH1/RIN2/ITGB3/RAC1/PHLDB2/SGCE/CDK6/DAB2/CD36/DLC1/LIMS1",21
"GO:0032231","regulation of actin filament bundle assembly","11/400","101/18842",0.108910891089109,5.13024752475248,6.12940541617895,9.87555606358733e-06,0.00278414715177289,0.00039993118638567,"PIK3R1/TACSTD2/FHOD3/CLASP1/LIMCH1/CGNL1/PTGER4/RAC1/PHLDB2/PAK1/DLC1",11
"GO:0016266","protein O-linked glycosylation via N-acetyl-galactosamine","7/400","38/18842",0.184210526315789,8.67723684210526,6.97669243071837,1.31842847892702e-05,0.00345145741090537,0.000495787536310363,"GXYLT1/GALNT10/B4GALT5/ST3GAL3/GALNT5/ST3GAL1/GALNT2",7
"GO:0031032","actomyosin structure organization","15/400","196/18842",0.076530612244898,3.60497448979592,5.39904108096881,2.01104221057297e-05,0.00491364646783328,0.000705824927432075,"PIK3R1/AKAP13/TACSTD2/FHOD3/CLASP1/LIMCH1/CGNL1/PTGER4/EPB41L5/RAC1/ANKRD1/PHLDB2/PAK1/DLC1/ZEB2",15
"GO:0010810","regulation of cell-substrate adhesion","15/400","198/18842",0.0757575757575758,3.56856060606061,5.35094918959981,2.26650302118032e-05,0.00504630233856988,0.000724880392848452,"MACF1/EFNA5/TACSTD2/CCDC80/RREB1/ANKRD28/CLASP1/LIMCH1/RIN2/RAC1/PHLDB2/CDK6/DAB2/CD36/DLC1",15
"GO:0150116","regulation of cell-substrate junction organization","9/400","73/18842",0.123287671232877,5.80746575342466,6.06087076451241,2.34071322662177e-05,0.00504630233856988,0.000724880392848452,"PIK3R1/MACF1/EFNA5/ANKRD28/CLASP1/LIMCH1/RAC1/PHLDB2/DLC1",9
"GO:1902903","regulation of supramolecular fiber organization","21/400","361/18842",0.0581717451523546,2.74018005540166,4.91657893217761,3.26659572758342e-05,0.0065570029843607,0.00094188627242633,"ARHGAP18/PIK3R1/AKAP13/CRACD/CYRIA/TACSTD2/FER/BAIAP2L1/FHOD3/CLASP1/CYRIB/NCK2/LIMCH1/CGNL1/PTGER4/RAC1/NME7/PHLDB2/PAK1/DLC1/NCKAP1",21
"GO:0051497","negative regulation of stress fiber assembly","6/400","30/18842",0.2,9.421,6.79805652367427,3.39926484864538e-05,0.0065570029843607,0.00094188627242633,"PIK3R1/TACSTD2/CLASP1/CGNL1/PHLDB2/DLC1",6
"GO:0001952","regulation of cell-matrix adhesion","11/400","121/18842",0.0909090909090909,4.28227272727273,5.33434117932577,5.43446550741495e-05,0.00966788554093267,0.00138875164402282,"MACF1/EFNA5/ANKRD28/CLASP1/LIMCH1/RIN2/RAC1/PHLDB2/CDK6/CD36/DLC1",11
"GO:0150115","cell-substrate junction organization","10/400","101/18842",0.099009900990099,4.66386138613861,5.43727505185607,5.72617732637425e-05,0.00966788554093267,0.00138875164402282,"PIK3R1/MACF1/EFNA5/ANKRD28/CLASP1/LIMCH1/RAC1/DST/PHLDB2/DLC1",10
"GO:0048667","cell morphogenesis involved in neuron differentiation","24/400","463/18842",0.0518358531317495,2.44172786177106,4.62584215631337,5.80336921965944e-05,0.00966788554093267,0.00138875164402282,"B4GALT5/MACF1/SEMA3C/EFNA5/NOTCH2/KIF13B/SCN11A/PARD3/AUTS2/PRKG1/TRIO/TNIK/CNTN5/KLF7/SIPA1L1/RAC1/ANK3/GAP43/CNTN1/KALRN/PAK1/MAP3K13/BTBD3/COBL",24
"GO:0045785","positive regulation of cell adhesion","23/400","437/18842",0.0526315789473684,2.47921052631579,4.60766353234013,6.5671265086761e-05,0.00988759432043024,0.00142031189858331,"AFDN/KLRK1/GLI3/STX3/IL12RB2/MALT1/CCDC80/RREB1/ANKRD28/CYRIB/NCK2/TGFBR2/MIR30B/RIN2/ITGB3/RAC1/ANK3/IL18/LAMA2/CDK6/DAB2/CD36/RUNX1",23
"GO:0051893","regulation of focal adhesion assembly","8/400","65/18842",0.123076923076923,5.79753846153846,5.70610819173375,6.74460731270821e-05,0.00988759432043024,0.00142031189858331,"MACF1/EFNA5/ANKRD28/CLASP1/LIMCH1/RAC1/PHLDB2/DLC1",8
"GO:0090109","regulation of cell-substrate junction assembly","8/400","65/18842",0.123076923076923,5.79753846153846,5.70610819173375,6.74460731270821e-05,0.00988759432043024,0.00142031189858331,"MACF1/EFNA5/ANKRD28/CLASP1/LIMCH1/RAC1/PHLDB2/DLC1",8
"GO:0061564","axon development","22/400","414/18842",0.0531400966183575,2.50316425120773,4.55454994658833,8.20864537981016e-05,0.0115321727244069,0.0016565487626398,"B4GALT5/MACF1/SEMA3C/EFNA5/NOTCH2/KIF13B/SCN11A/PARD3/AUTS2/PRKG1/TRIO/CNTN5/KLF7/SIPA1L1/RAC1/ANK3/GAP43/CNTN1/KALRN/PAK1/MAP3K13/COBL",22
"GO:0032232","negative regulation of actin filament bundle assembly","6/400","35/18842",0.171428571428571,8.07514285714286,6.17003226083991,8.49573433994506e-05,0.0115321727244069,0.0016565487626398,"PIK3R1/TACSTD2/CLASP1/CGNL1/PHLDB2/DLC1",6
"GO:0042060","wound healing","21/400","394/18842",0.0532994923857868,2.51067258883249,4.46294748469747,0.000113855519783965,0.0149028742860083,0.00214073605626934,"ANXA5/VAV3/DGKB/MACF1/YAP1/NOTCH2/PRKG1/PRCP/RREB1/CLASP1/ITGB3/GNAS/ENTPD1/ANXA2/DST/PHLDB2/JMJD1C/C4BPB/PAK1/CD36/PPARG",21
"GO:0007160","cell-matrix adhesion","15/400","229/18842",0.0655021834061135,3.08548034934498,4.67620579882864,0.000119521931753879,0.0151050993061367,0.00216978484133995,"ADAMTS12/MACF1/EFNA5/ANKRD28/CLASP1/LIMCH1/RIN2/ITGB3/RAC1/PHLDB2/SGCE/CDK6/CD36/DLC1/LIMS1",15
"GO:0007044","cell-substrate junction assembly","9/400","91/18842",0.0989010989010989,4.65873626373626,5.15249460596237,0.000135129491784885,0.0160229107383385,0.0023016246453981,"MACF1/EFNA5/ANKRD28/CLASP1/LIMCH1/RAC1/DST/PHLDB2/DLC1",9
"GO:0001501","skeletal system development","19/400","341/18842",0.0557184750733138,2.62461876832845,4.45870783788803,0.000135528030801772,0.0160229107383385,0.0023016246453981,"ADAMTS12/PTHLH/PAPSS1/AKAP13/EIF2AK3/NOTCH2/ADGRG6/CHD7/PCSK5/PRKG1/NFIA/TNFRSF11B/TGFBR2/PTGER4/GNAS/ANXA2/LRRC17/BMPR1B/RUNX1",19
"GO:0009611","response to wounding","24/400","496/18842",0.0483870967741935,2.27927419354839,4.25218101704928,0.000166364620888195,0.0190539479861011,0.0027370205696778,"ANXA5/VAV3/DGKB/MACF1/YAP1/NOTCH2/PRKG1/PRCP/RREB1/TNC/CLASP1/ITGB3/GNAS/RAC1/ENTPD1/ANXA2/DST/GAP43/PHLDB2/JMJD1C/C4BPB/PAK1/CD36/PPARG",24
"GO:0030041","actin filament polymerization","11/400","143/18842",0.0769230769230769,3.62346153846154,4.63779439203068,0.000242732474672818,0.0269580157477539,0.00387240710812911,"DIAPH1/ARHGAP18/CRACD/CYRIA/FER/BAIAP2L1/CYRIB/NCK2/RAC1/COBL/NCKAP1",11
"GO:0120032","regulation of plasma membrane bounded cell projection assembly","13/400","200/18842",0.065,3.061825,4.31716362157779,0.000360962929621601,0.0379340848668028,0.00544907389524097,"PIK3R1/YAP1/CEP128/TACSTD2/AUTS2/FER/TNIK/WDPCP/RAC1/RAPGEF6/GAP43/COBL/NCKAP1",13
"GO:0048041","focal adhesion assembly","8/400","83/18842",0.0963855421686747,4.54024096385542,4.76041690807925,0.000378401914040545,0.0379340848668028,0.00544907389524097,"MACF1/EFNA5/ANKRD28/CLASP1/LIMCH1/RAC1/PHLDB2/DLC1",8
"GO:0035332","positive regulation of hippo signaling","4/400","17/18842",0.235294117647059,11.0835294117647,6.1255839934315,0.000382431187575075,0.0379340848668028,0.00544907389524097,"FRMD6/PTPN14/STK3/SCHIP1",4
"GO:1901136","carbohydrate derivative catabolic process","15/400","255/18842",0.0588235294117647,2.77088235294118,4.19307965345867,0.000382963476145076,0.0379340848668028,0.00544907389524097,"ADAMTS12/RPTOR/AOAH/GALC/UPP1/SLC4A4/XDH/BPGM/ENO1/ALDH1A1/PDE1A/UPB1/ENTPD1/NT5C2/ZBTB20",15
"GO:0060491","regulation of cell projection assembly","13/400","202/18842",0.0643564356435644,3.0315099009901,4.27513305290852,0.000397101374041011,0.0381429917499911,0.00547908250221578,"PIK3R1/YAP1/CEP128/TACSTD2/AUTS2/FER/TNIK/WDPCP/RAC1/RAPGEF6/GAP43/COBL/NCKAP1",13
"GO:0009261","ribonucleotide catabolic process","10/400","128/18842",0.078125,3.680078125,4.48071259383819,0.000407738375897342,0.0381429917499911,0.00547908250221578,"RPTOR/UPP1/SLC4A4/XDH/BPGM/ENO1/PDE1A/ENTPD1/NT5C2/ZBTB20",10
"GO:0061448","connective tissue development","13/400","203/18842",0.0640394088669951,3.0165763546798,4.25431210015523,0.000416294589358702,0.0381429917499911,0.00547908250221578,"ADAMTS12/PTHLH/EIF2AK3/ADGRG6/ARID5B/NFIA/OXCT1/TGFBR2/KLF7/ITGB3/BMPR1B/PPARG/RUNX1",13
"GO:0009166","nucleotide catabolic process","11/400","153/18842",0.0718954248366013,3.3866339869281,4.36532382689879,0.000434303245690999,0.0388224730599393,0.00557668717309011,"RPTOR/UPP1/SLC4A4/XDH/NNMT/BPGM/ENO1/PDE1A/ENTPD1/NT5C2/ZBTB20",11
"GO:0006195","purine nucleotide catabolic process","10/400","130/18842",0.0769230769230769,3.62346153846154,4.42042712211881,0.000461274147064896,0.0402516606903058,0.00578198404621559,"RPTOR/SLC4A4/XDH/NNMT/BPGM/ENO1/PDE1A/ENTPD1/NT5C2/ZBTB20",10
