"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097320","plasma membrane tubulation","1/2","19/18842",0.0526315789473684,495.842105263158,22.234406872163,0.00201580766889042,0.0282213073644659,NA,"BIN3",1
"GO:0090263","positive regulation of canonical Wnt signaling pathway","1/2","110/18842",0.00909090909090909,85.6454545454546,9.17348664208892,0.0116422684369191,0.0411837538255615,NA,"MIR1260B",1
"GO:0061640","cytoskeleton-dependent cytokinesis","1/2","130/18842",0.00769230769230769,72.4692307692308,8.42475350408727,0.0137517206164754,0.0411837538255615,NA,"BIN3",1
"GO:0030177","positive regulation of Wnt signaling pathway","1/2","142/18842",0.00704225352112676,66.3450704225352,8.05309315097163,0.0150163102405343,0.0411837538255615,NA,"MIR1260B",1
"GO:0007009","plasma membrane organization","1/2","162/18842",0.00617283950617284,58.1543209876543,7.52739427264268,0.0171221568078401,0.0411837538255615,NA,"BIN3",1
"GO:0060560","developmental growth involved in morphogenesis","1/2","169/18842",0.00591715976331361,55.7455621301775,7.36566133465654,0.0178586707152134,0.0411837538255615,NA,"BIN3",1
"GO:0000910","cytokinesis","1/2","195/18842",0.00512820512820513,48.3128205128205,6.84255319821483,0.0205918769127807,0.0411837538255615,NA,"BIN3",1
"GO:0060828","regulation of canonical Wnt signaling pathway","1/2","254/18842",0.00393700787401575,37.0905511811024,5.96651263333904,0.0267800258388311,0.0468650452179544,NA,"MIR1260B",1
"GO:0060070","canonical Wnt signaling pathway","1/2","304/18842",0.00328947368421053,30.9901315789474,5.43138073440123,0.0320088678230491,0.0469892402502315,NA,"MIR1260B",1
"GO:0030111","regulation of Wnt signaling pathway","1/2","321/18842",0.00311526479750779,29.3489096573209,5.27816768736905,0.0337834656661574,0.0469892402502315,NA,"MIR1260B",1
"GO:0048589","developmental growth","1/2","381/18842",0.0026246719160105,24.7270341207349,4.82064171836748,0.0400337381645285,0.0469892402502315,NA,"BIN3",1
"GO:0016049","cell growth","1/2","426/18842",0.00234741784037559,22.1150234741784,4.54177105690164,0.0447081327587108,0.0469892402502315,NA,"BIN3",1
"GO:0016055","Wnt signaling pathway","1/2","436/18842",0.00229357798165138,21.6077981651376,4.48561144668362,0.0457453378264595,0.0469892402502315,NA,"MIR1260B",1
"GO:0007015","actin filament organization","1/2","448/18842",0.00223214285714286,21.0290178571429,4.42065978782501,0.0469892402502315,0.0469892402502315,NA,"BIN3",1
