"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","59/628","305/18842",0.19344262295082,5.80389474783335,15.7055376692268,1.73472227583322e-28,1.02001669818993e-24,1.02001669818993e-24,"PPM1B/USP18/POLR3F/DHX15/IFI6/STAT1/DDX60/DTX3L/ISG20/DHX58/TRIM25/STAT2/DDX60L/GBP1/ILRUN/IRF9/IFIT2/IFITM1/ADAR/TLR7/TRIM22/ZC3HAV1/ISG15/PLSCR1/SHFL/EIF2AK2/TRIM5/TRIM21/IFIT5/RIGI/IFIT1B/IRF1/IFI44L/OAS1/OASL/OAS2/MOV10/NLRC5/IFITM3/TRIM44/SAMHD1/RTP4/IFIT1/MIR130A/MX2/RSAD2/PML/CXCL10/OAS3/SMARCA5/MX1/UNC93B1/TRIM56/IFIT3/IL6/CARD8/NT5C3A/MLKL/TRIM34",59
"GO:0009615","response to virus","63/628","400/18842",0.1575,4.72550159235669,13.9842722618027,3.50299951918347e-25,1.02988185863994e-21,1.02988185863994e-21,"PPM1B/USP18/POLR3F/DHX15/IFI6/STAT1/DDX60/DTX3L/ISG20/DHX58/TRIM25/STAT2/DDX60L/GBP1/ILRUN/NMI/IRF9/IFIT2/IFITM1/ADAR/TLR7/TRIM22/ZC3HAV1/ISG15/PLSCR1/SHFL/EIF2AK2/TRIM5/DDX3X/TRIM21/IFIT5/RIGI/SMAD3/IFIT1B/IRF1/IFI44L/OAS1/OASL/OAS2/MOV10/NLRC5/IFITM3/TRIM44/SAMHD1/RTP4/IFIT1/MIR130A/MX2/RSAD2/PML/CXCL10/OAS3/SMARCA5/MX1/UNC93B1/TRIM56/IFIT3/IL6/CARD8/NT5C3A/MLKL/TRIM34/MIR21",63
"GO:0048525","negative regulation of viral process","21/628","74/18842",0.283783783783784,8.51441728352556,12.0262797291773,1.98785554656872e-14,3.89619687127469e-11,3.89619687127469e-11,"SP100/PROX1/STAT1/ISG20/IFITM1/ZC3HAV1/ISG15/PLSCR1/SHFL/EIF2AK2/TRIM21/IFIT5/TRIM14/OAS1/OASL/OAS2/IFITM3/IFIT1/RSAD2/OAS3/MX1",21
"GO:0034340","response to type I interferon","26/628","122/18842",0.213114754098361,6.39412133235878,11.0988206793826,2.88980543069977e-14,4.24801398312867e-11,4.24801398312867e-11,"UBE2K/SP100/USP18/STAT1/STAT2/PSMA3/IFITM1/ISG15/SHFL/PSMD1/JAK1/PSMB2/OAS1/OASL/OAS2/NLRC5/IFITM3/SAMHD1/IFIT1/OAS3/MX1/TRIM56/RBM47/CACTIN/MIR21/PSMD12",26
"GO:0050792","regulation of viral process","27/628","136/18842",0.198529411764706,5.95651461221431,10.7717064757069,5.80234012665113e-14,6.82355198894172e-11,6.82355198894173e-11,"SP100/PROX1/STAT1/ISG20/TRIM25/IFITM1/LARP1/ADAR/ZC3HAV1/ISG15/PLSCR1/SHFL/EIF2AK2/TRIM5/DDX3X/TRIM21/IFIT5/TRIM14/OAS1/OASL/OAS2/IFITM3/IFIT1/RSAD2/OAS3/MX1/FURIN",27
"GO:0045071","negative regulation of viral genome replication","17/628","48/18842",0.354166666666667,10.6261279193206,12.3991457923279,1.01250154890901e-13,9.92251517930831e-11,9.92251517930831e-11,"PROX1/ISG20/IFITM1/ZC3HAV1/ISG15/PLSCR1/SHFL/EIF2AK2/IFIT5/OAS1/OASL/OAS2/IFITM3/IFIT1/RSAD2/OAS3/MX1",17
"GO:1903900","regulation of viral life cycle","24/628","110/18842",0.218181818181818,6.54614939200926,10.8324068262303,1.64512712819541e-13,1.28543007275733e-10,1.28543007275733e-10,"PROX1/ISG20/TRIM25/IFITM1/LARP1/ADAR/ZC3HAV1/ISG15/PLSCR1/SHFL/EIF2AK2/TRIM5/DDX3X/TRIM21/IFIT5/OAS1/OASL/OAS2/IFITM3/IFIT1/RSAD2/OAS3/MX1/FURIN",24
"GO:0140374","antiviral innate immune response","20/628","73/18842",0.273972602739726,8.22005060640433,11.4765204542956,1.74888445273106e-13,1.28543007275733e-10,1.28543007275733e-10,"USP18/DHX15/DHX58/TRIM25/IFIT2/EIF2AK2/TRIM21/IFIT5/RIGI/IFIT1B/OAS1/OASL/OAS2/IFIT1/CXCL10/OAS3/SMARCA5/MX1/IFIT3/CARD8",20
"GO:0045069","regulation of viral genome replication","20/628","77/18842",0.25974025974026,7.79303499048722,11.0908303033101,5.2885763920245e-13,3.33643302060015e-10,3.33643302060015e-10,"PROX1/ISG20/IFITM1/LARP1/ADAR/ZC3HAV1/ISG15/PLSCR1/SHFL/EIF2AK2/DDX3X/IFIT5/OAS1/OASL/OAS2/IFITM3/IFIT1/RSAD2/OAS3/MX1",20
"GO:0071357","cellular response to type I interferon","24/628","116/18842",0.206896551724138,6.20755545793982,10.4464689870773,5.67420581734719e-13,3.33643302060015e-10,3.33643302060015e-10,"UBE2K/SP100/USP18/STAT1/STAT2/PSMA3/IFITM1/ISG15/PSMD1/JAK1/PSMB2/OAS1/OASL/OAS2/NLRC5/IFITM3/SAMHD1/IFIT1/OAS3/TRIM56/RBM47/CACTIN/MIR21/PSMD12",24
