"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","53/345","305/18842",0.173770491803279,9.4903872653837,20.4159018224359,2.41908231526389e-36,1.42242040137517e-32,1.42242040137517e-32,"DDX60L/NLRC5/IFITM3/USP18/OAS3/POLR3F/ISG20/DHX15/DTX3L/ZC3HAV1/DHX58/OASL/STAT2/EIF2AK2/GBP1/IFIT2/IRF9/OAS2/IFIT3/TRIM5/TRIM21/TRIM22/IFI6/TRIM25/PLSCR1/MLKL/UNC93B1/SHFL/CXCL10/TRIM56/RIGI/IFIT5/NT5C3A/MX2/IFIT1/STAT1/ISG15/IRF1/RSAD2/ADAR/DDX60/RTP4/OAS1/SAMHD1/PML/SMARCA5/MX1/MIR130A/IFITM1/TRIM44/MOV10/TRIM34/IFI44L",53
"GO:0009615","response to virus","57/345","400/18842",0.1425,7.7825652173913,18.7253886024968,3.09241435927358e-34,9.09169821626431e-31,9.09169821626431e-31,"DDX60L/NLRC5/IFITM3/USP18/OAS3/POLR3F/ISG20/DHX15/DTX3L/ZC3HAV1/DHX58/OASL/STAT2/EIF2AK2/GBP1/IFIT2/IRF9/OAS2/IFIT3/TRIM5/TRIM21/TRIM22/IFI6/TRIM25/PLSCR1/MLKL/UNC93B1/SHFL/CXCL10/MIR21/SMAD3/DDX3X/TRIM56/RIGI/IFIT5/NT5C3A/MX2/IFIT1/STAT1/ISG15/IRF1/RSAD2/ADAR/DDX60/RTP4/OAS1/SAMHD1/NMI/PML/SMARCA5/MX1/MIR130A/IFITM1/TRIM44/MOV10/TRIM34/IFI44L",57
"GO:0048525","negative regulation of viral process","20/345","74/18842",0.27027027027027,14.7606737171955,16.1978522735878,2.48614962683659e-18,4.84394831025952e-15,4.84394831025952e-15,"IFITM3/OAS3/ISG20/ZC3HAV1/OASL/EIF2AK2/OAS2/TRIM21/PLSCR1/SHFL/IFIT5/IFIT1/STAT1/ISG15/RSAD2/OAS1/MX1/IFITM1/TRIM14/SP100",20
"GO:0050792","regulation of viral process","25/345","136/18842",0.183823529411765,10.0394288150043,14.448769148201,3.29520293214934e-18,4.84394831025952e-15,4.84394831025952e-15,"IFITM3/OAS3/ISG20/ZC3HAV1/OASL/EIF2AK2/OAS2/TRIM5/TRIM21/LARP1/TRIM25/PLSCR1/SHFL/DDX3X/IFIT5/IFIT1/STAT1/ISG15/RSAD2/ADAR/OAS1/MX1/IFITM1/TRIM14/SP100",25
"GO:0034340","response to type I interferon","23/345","122/18842",0.188524590163934,10.296174863388,14.0683171885053,4.19345438230766e-17,4.9315023535938e-14,4.9315023535938e-14,"NLRC5/IFITM3/USP18/OAS3/OASL/STAT2/OAS2/SHFL/JAK1/MIR21/CACTIN/TRIM56/IFIT1/STAT1/ISG15/PSMA3/OAS1/SAMHD1/MX1/PSMD1/PSMD12/IFITM1/SP100",23
"GO:1903900","regulation of viral life cycle","22/345","110/18842",0.2,10.9228985507246,14.2545559620618,5.44842307773209e-17,5.33945461617745e-14,5.33945461617745e-14,"IFITM3/OAS3/ISG20/ZC3HAV1/OASL/EIF2AK2/OAS2/TRIM5/TRIM21/LARP1/TRIM25/PLSCR1/SHFL/DDX3X/IFIT5/IFIT1/ISG15/RSAD2/ADAR/OAS1/MX1/IFITM1",22
"GO:0045069","regulation of viral genome replication","19/345","77/18842",0.246753246753247,13.4763034067382,14.9819340130623,1.15757998356662e-16,9.72367186195959e-14,9.72367186195959e-14,"IFITM3/OAS3/ISG20/ZC3HAV1/OASL/EIF2AK2/OAS2/LARP1/PLSCR1/SHFL/DDX3X/IFIT5/IFIT1/ISG15/RSAD2/ADAR/OAS1/MX1/IFITM1",19
"GO:0045071","negative regulation of viral genome replication","16/345","48/18842",0.333333333333333,18.2048309178744,16.2994252419619,1.49669576922895e-16,1.10007139038328e-13,1.10007139038328e-13,"IFITM3/OAS3/ISG20/ZC3HAV1/OASL/EIF2AK2/OAS2/PLSCR1/SHFL/IFIT5/IFIT1/ISG15/RSAD2/OAS1/MX1/IFITM1",16
"GO:0140374","antiviral innate immune response","18/345","73/18842",0.246575342465753,13.466587254318,14.574689724064,7.58479753141422e-16,4.95540105385729e-13,4.95540105385729e-13,"USP18/OAS3/DHX15/DHX58/OASL/EIF2AK2/IFIT2/OAS2/IFIT3/TRIM21/TRIM25/CXCL10/RIGI/IFIT5/IFIT1/OAS1/SMARCA5/MX1",18
"GO:0071357","cellular response to type I interferon","21/345","116/18842",0.181034482758621,9.88710644677661,13.1122657059896,2.37526960858579e-15,1.39665852984844e-12,1.39665852984844e-12,"NLRC5/IFITM3/USP18/OAS3/OASL/STAT2/OAS2/JAK1/MIR21/CACTIN/TRIM56/IFIT1/STAT1/ISG15/PSMA3/OAS1/SAMHD1/PSMD1/PSMD12/IFITM1/SP100",21
"GO:0140888","interferon-mediated signaling pathway","19/345","105/18842",0.180952380952381,9.88262249827467,12.4651267992058,5.25607688733823e-14,2.80961200886807e-11,2.80961200886807e-11,"NLRC5/IFITM3/USP18/OAS3/OASL/STAT2/OAS2/JAK1/MIR21/CACTIN/PARP14/TRIM56/STAT1/ISG15/IRF1/OAS1/SAMHD1/IFITM1/SP100",19
"GO:0060337","type I interferon-mediated signaling pathway","17/345","80/18842",0.2125,11.6055797101449,12.9822723007501,7.03711061374995e-14,3.44818420073748e-11,3.44818420073748e-11,"NLRC5/IFITM3/USP18/OAS3/OASL/STAT2/OAS2/JAK1/MIR21/CACTIN/TRIM56/STAT1/ISG15/OAS1/SAMHD1/IFITM1/SP100",17
"GO:0019079","viral genome replication","19/345","110/18842",0.172727272727273,9.43341238471673,12.114862222421,1.27313920918435e-13,5.75850657692613e-11,5.75850657692613e-11,"IFITM3/OAS3/ISG20/ZC3HAV1/OASL/EIF2AK2/OAS2/LARP1/PLSCR1/SHFL/DDX3X/IFIT5/IFIT1/ISG15/RSAD2/ADAR/OAS1/MX1/IFITM1",19
"GO:0045088","regulation of innate immune response","35/345","482/18842",0.0726141078838174,3.96578266883156,9.00818668089655,4.10290525873574e-12,1.72322020866901e-09,1.72322020866901e-09,"SLC15A3/NLRC5/USP18/OAS3/POLR3F/ZC3HAV1/DHX58/OASL/SQSTM1/STAT2/EIF2AK2/TRIM5/TRIM21/IFI35/CD274/TRIM25/PLSCR1/UNC93B1/MIR21/CACTIN/PARP14/DDX3X/TRIM56/SERPING1/RIGI/NOD2/CEACAM1/ISG15/IRF1/RSAD2/DDX60/OAS1/SAMHD1/NMI/PIK3AP1",35
"GO:0060339","negative regulation of type I interferon-mediated signaling pathway","9/345","21/18842",0.428571428571429,23.4062111801242,14.0303207284993,5.05013664555591e-11,1.97965356505792e-08,1.97965356505792e-08,"NLRC5/USP18/OAS3/STAT2/MIR21/CACTIN/ISG15/OAS1/SAMHD1",9
