"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-913531","Interferon Signaling","34/235","266/11287",0.12781954887218,6.13914573668213,12.3681506565197,1.00205492058248e-17,1.7275426830842e-14,1.7275426830842e-14,"MT2A/USP18/OAS3/OASL/STAT2/EIF2AK2/GBP1/NUP85/IRF9/UBE2I/OAS2/TRIM5/TRIM21/TRIM22/TRIM25/JAK1/RIGI/UBE2L6/STAT1/SOCS1/ISG15/IRF1/KPNB1/UBA7/OAS1/PML/FANCA/NDC1/IFITM1/TRIM14/SP100/NUP205/TRIM34/IFI44L",34
"R-HSA-877300","Interferon gamma signaling","19/235","96/11287",0.197916666666667,9.50589539007092,12.2040708953409,7.3645604895972e-14,6.34825114203279e-11,6.34825114203279e-11,"MT2A/OAS3/OASL/GBP1/IRF9/OAS2/TRIM5/TRIM21/TRIM22/TRIM25/JAK1/STAT1/SOCS1/IRF1/OAS1/PML/TRIM14/SP100/TRIM34",19
"R-HSA-909733","Interferon alpha/beta signaling","15/235","57/11287",0.263157894736842,12.6394176931691,12.8458344061368,3.88938439897405e-13,2.23509956794376e-10,2.23509956794376e-10,"USP18/OAS3/OASL/STAT2/EIF2AK2/IRF9/OAS2/JAK1/STAT1/SOCS1/ISG15/IRF1/KPNB1/OAS1/IFITM1",15
"R-HSA-1169410","Antimicrobial mechanism of IFN-stimulated genes","20/235","159/11287",0.125786163522013,6.04148267094875,9.33537564977059,1.013629713997e-10,4.36874406732705e-08,4.36874406732705e-08,"USP18/OAS3/OASL/EIF2AK2/GBP1/NUP85/UBE2I/OAS2/TRIM25/JAK1/RIGI/UBE2L6/STAT1/ISG15/KPNB1/UBA7/OAS1/FANCA/NDC1/NUP205",20
"R-HSA-1169408","ISG15 antiviral mechanism","13/235","70/11287",0.185714285714286,8.91981762917933,9.6919096564935,1.64576799235345e-09,5.67460803763471e-07,5.67460803763471e-07,"USP18/EIF2AK2/NUP85/TRIM25/JAK1/RIGI/UBE2L6/STAT1/ISG15/KPNB1/UBA7/NDC1/NUP205",13
"R-HSA-9909505","Modulation of host responses by IFN-stimulated genes","6/235","17/11287",0.352941176470588,16.951689612015,9.59738040957613,7.8059333359493e-07,0.00022429048451961,0.00022429048451961,"TRIM25/RIGI/UBE2L6/ISG15/UBA7/IFI44L",6
"R-HSA-168276","NS1 Mediated Effects on Host Pathways","8/235","42/11287",0.19047619047619,9.14853090172239,7.7144993744009,2.0082738293021e-06,0.000494609154530974,0.000494609154530974,"EIF2AK2/GBP1/NUP85/MLKL/ISG15/KPNB1/NDC1/NUP205",8
"R-HSA-9679506","SARS-CoV Infections","24/235","415/11287",0.0578313253012048,2.77762624967957,5.38013653567799,5.76452483646415e-06,0.00124225510225802,0.00124225510225802,"RBX1/STAT2/NUP85/AKT2/UBE2I/LARP1/TRIM25/JAK1/RPS23/SMAD3/PARP14/RIGI/NOD2/RPS2/STAT1/ISG15/PARP10/KPNB1/RIPK1/NMI/RPS12/NDC1/NRP1/NUP205",24
"R-HSA-9615933","Postmitotic nuclear pore complex (NPC) reformation","6/235","27/11287",0.222222222222222,10.6732860520095,7.33787371786846,1.56776071910025e-05,0.00292120599299459,0.00292120599299459,"NUP85/RANGAP1/UBE2I/KPNB1/NDC1/NUP205",6
"R-HSA-9694516","SARS-CoV-2 Infection","19/235","301/11287",0.0631229235880399,3.03178058952428,5.20983265364666,1.69443503073932e-05,0.00292120599299459,0.00292120599299459,"STAT2/NUP85/AKT2/UBE2I/LARP1/TRIM25/JAK1/RPS23/PARP14/RIGI/NOD2/RPS2/STAT1/ISG15/PARP10/RPS12/NDC1/NRP1/NUP205",19
"R-HSA-9705683","SARS-CoV-2-host interactions","15/235","201/11287",0.0746268656716418,3.58431248015243,5.3906251409301,1.95232288106705e-05,0.0030598224063269,0.0030598224063269,"STAT2/NUP85/AKT2/LARP1/TRIM25/JAK1/RPS23/RIGI/NOD2/RPS2/STAT1/ISG15/RPS12/NDC1/NUP205",15
"R-HSA-9692914","SARS-CoV-1-host interactions","10/235","95/11287",0.105263157894737,5.05576707726764,5.78847915107426,2.71392726862188e-05,0.00389900884258676,0.00389900884258676,"UBE2I/TRIM25/RPS23/SMAD3/RIGI/RPS2/KPNB1/RIPK1/NMI/RPS12",10
"R-HSA-9920588","Dengue virus activates/modulates innate and adaptive immune responses","6/235","31/11287",0.193548387096774,9.29608785175017,6.74443639127242,3.63694467162623e-05,0.0045981582901685,0.0045981582901685,"C1S/STAT2/TRIM25/PAF1/DDX3X/PML",6
"R-HSA-9678108","SARS-CoV-1 Infection","12/235","141/11287",0.0851063829787234,4.08764146672703,5.3797292333124,3.73400325187697e-05,0.0045981582901685,0.0045981582901685,"UBE2I/TRIM25/RPS23/SMAD3/PARP14/RIGI/RPS2/PARP10/KPNB1/RIPK1/NMI/RPS12",12
