"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-913531","Interferon Signaling","37/406","266/11287",0.139097744360902,3.86698581428942,9.14017468196344,1.12537080568769e-12,1.94013926900558e-09,1.94013926900558e-09,"PPM1B/SP100/USP18/UBA7/STAT1/TRIM25/STAT2/GBP1/NUP85/SOCS1/IRF9/UBE2I/IFITM1/NDC1/TRIM22/ISG15/EIF2AK2/JAK1/TRIM5/TRIM21/RIGI/NUP205/MT2A/IRF1/IFI44L/OAS1/FANCA/OASL/OAS2/RAF1/TRIM14/PML/OAS3/FURIN/KPNB1/UBE2L6/TRIM34",37
"R-HSA-877300","Interferon gamma signaling","20/406","96/11287",0.208333333333333,5.79176929392447,9.10742709623579,1.44395181518802e-10,1.24468646469207e-07,1.24468646469207e-07,"SP100/STAT1/TRIM25/GBP1/SOCS1/IRF9/TRIM22/JAK1/TRIM5/TRIM21/MT2A/IRF1/OAS1/OASL/OAS2/RAF1/TRIM14/PML/OAS3/TRIM34",20
"R-HSA-909733","Interferon alpha/beta signaling","15/406","57/11287",0.263157894736842,7.31591910811512,9.23384847049679,9.34994295593162e-10,5.3731005520087e-07,5.3731005520087e-07,"USP18/STAT1/STAT2/SOCS1/IRF9/IFITM1/ISG15/EIF2AK2/JAK1/IRF1/OAS1/OASL/OAS2/OAS3/KPNB1",15
"R-HSA-1169410","Antimicrobial mechanism of IFN-stimulated genes","22/406","159/11287",0.138364779874214,3.84660904049323,6.98258872092226,5.40414319470613e-08,2.32918571691834e-05,2.32918571691834e-05,"PPM1B/USP18/UBA7/STAT1/TRIM25/GBP1/NUP85/UBE2I/NDC1/ISG15/EIF2AK2/JAK1/RIGI/NUP205/OAS1/FANCA/OASL/OAS2/OAS3/FURIN/KPNB1/UBE2L6",22
"R-HSA-1169408","ISG15 antiviral mechanism","14/406","70/11287",0.2,5.56009852216749,7.39236701440035,1.49210484703913e-07,5.14477751259091e-05,5.14477751259091e-05,"PPM1B/USP18/UBA7/STAT1/TRIM25/NUP85/NDC1/ISG15/EIF2AK2/JAK1/RIGI/NUP205/KPNB1/UBE2L6",14
"R-HSA-9909505","Modulation of host responses by IFN-stimulated genes","6/406","17/11287",0.352941176470588,9.81193856853086,7.023160575691,1.84382834481197e-05,0.00458103241088094,0.00458103241088094,"UBA7/TRIM25/ISG15/RIGI/IFI44L/UBE2L6",6
"R-HSA-162909","Host Interactions of HIV factors","15/406","117/11287",0.128205128205128,3.56416571933813,5.38531447134995,1.86004796265467e-05,0.00458103241088094,0.00458103241088094,"RBX1/PACS1/SKP1/NUP85/HMGA1/PSMA3/NDC1/XPO1/PSMD1/NUP205/PSMB2/CUL5/KPNB1/RANGAP1/PSMD12",15
"R-HSA-9020558","Interleukin-2 signaling","5/406","12/11287",0.416666666666667,11.5835385878489,7.08535932676983,3.77511197708591e-05,0.00813536631062014,0.00813536631062014,"SHC1/JAK1/STAT5A/IL2RA/PTK2B",5
"R-HSA-449147","Signaling by Interleukins","34/406","456/11287",0.0745614035087719,2.07284374729928,4.51734492237524,4.44700267445737e-05,0.00851848067862723,0.00851848067862723,"RBX1/CSF1/TNFRSF1A/SHC1/USP18/CEBPD/STAT1/SKP1/STAT2/SQSTM1/SOCS1/PSMA3/NOD2/NOS2/IL15/NKIRAS1/PSMD1/MAOA/GSTA2/JAK1/OPRM1/SMAD3/PIK3R3/STAT5A/NLRC5/CAPZA1/PSMB2/MEF2A/IL2RA/CXCL10/PTK2B/IL6/CSF3R/PSMD12",34
"R-HSA-983168","Antigen processing: Ubiquitination & Proteasome degradation","25/406","296/11287",0.0844594594594595,2.34801457861803,4.53963018709123,6.58140316036659e-05,0.011346339048472,0.011346339048472,"RBX1/UBE2K/UBA7/FBXO6/SKP1/DTX3L/FBXO31/SOCS1/PSMA3/HERC6/PSMD1/TRIM21/RNF19B/RNF213/RBBP6/NEDD4L/RBCK1/ANAPC7/PSMB2/HECTD1/CUL5/UBE2L6/PRKN/ZNRF1/PSMD12",25
"R-HSA-9674555","Signaling by CSF3 (G-CSF)","7/406","30/11287",0.233333333333333,6.4867816091954,5.81253529720838,7.34724238359843e-05,0.0115151326084761,0.0115151326084761,"SHC1/STAT1/SOCS1/JAK1/STAT5A/CUL5/CSF3R",7
"R-HSA-9820952","Respiratory Syncytial Virus Infection Pathway","14/406","119/11287",0.117647058823529,3.27064618951029,4.80987600457625,9.17954103664694e-05,0.0122000640217052,0.0122000640217052,"RBX1/TRIM25/STAT2/TLR7/XPO1/ISG15/EIF2AK2/JAK1/RIGI/OAS2/CUL5/FURIN/KPNB1/UBE2L6",14
"R-HSA-9920588","Dengue virus activates/modulates innate and adaptive immune responses","7/406","31/11287",0.225806451612903,6.27753058954394,5.68353054737669,9.19958423910485e-05,0.0122000640217052,0.0122000640217052,"TRIM25/STAT2/CDC73/DDX3X/PAF1/C1S/PML",7
"R-HSA-168276","NS1 Mediated Effects on Host Pathways","8/406","42/11287",0.19047619047619,5.2953319258738,5.38691694771508,0.00010536740546126,0.0129752433582295,0.0129752433582295,"GBP1/NUP85/NDC1/ISG15/EIF2AK2/NUP205/KPNB1/MLKL",8
"R-HSA-162906","HIV Infection","20/406","219/11287",0.091324200913242,2.53885777267922,4.44206182971913,0.000123148327522383,0.0141538477765726,0.0141538477765726,"RBX1/PACS1/SKP1/NUP85/HMGA1/PSMA3/POLR2E/NDC1/NELFCD/XPO1/PSMD1/CHMP5/NEDD4L/NUP205/PSMB2/CUL5/FURIN/KPNB1/RANGAP1/PSMD12",20
"R-HSA-9833109","Evasion by RSV of host interferon responses","7/406","33/11287",0.212121212121212,5.89707419017764,5.44175309226067,0.000140451515854388,0.0150667328169311,0.0150667328169311,"RBX1/TRIM25/STAT2/EIF2AK2/JAK1/RIGI/CUL5",7
"R-HSA-451927","Interleukin-2 family signaling","8/406","44/11287",0.181818181818182,5.05463502015226,5.20517858798243,0.000148569871164634,0.0150667328169311,0.0150667328169311,"SHC1/STAT1/IL15/JAK1/PIK3R3/STAT5A/IL2RA/PTK2B",8
"R-HSA-9705462","Inactivation of CSF3 (G-CSF) signaling","6/406","25/11287",0.24,6.67211822660099,5.48410993242962,0.00020657659764629,0.0188525940517487,0.0188525940517487,"STAT1/SOCS1/JAK1/STAT5A/CUL5/CSF3R",6
"R-HSA-936440","Negative regulators of DDX58/IFIH1 signaling","7/406","35/11287",0.2,5.56009852216749,5.21905676945851,0.000207772208226929,0.0188525940517487,0.0188525940517487,"UBE2K/UBA7/TRIM25/ISG15/RIGI/NLRC5/UBE2L6",7
"R-HSA-9615933","Postmitotic nuclear pore complex (NPC) reformation","6/406","27/11287",0.222222222222222,6.17788724685276,5.20312081821043,0.000324853140727507,0.0280023407307111,0.0280023407307111,"NUP85/UBE2I/NDC1/NUP205/KPNB1/RANGAP1",6
"R-HSA-9683610","Maturation of nucleoprotein","4/406","11/11287",0.363636363636364,10.1092700403045,5.83849644786225,0.000445142783268734,0.0365441027788237,0.0365441027788237,"UBE2I/PARP14/PARP10/PARP8",4
"R-HSA-196807","Nicotinate metabolism","6/406","29/11287",0.206896551724138,5.75182605741464,4.94911500823923,0.000490508669184698,0.0384380429852009,0.0384380429852009,"PARP14/NADK/PARP10/PARP8/NAMPT/NT5E",6
"R-HSA-9694516","SARS-CoV-2 Infection","23/406","301/11287",0.0764119601328904,2.12429013305402,3.81891932801127,0.000546352358456782,0.0404704991853643,0.0404704991853643,"STAT1/TRIM25/STAT2/NUP85/AKT2/ANO6/NOD2/UBE2I/LARP1/NDC1/TLR7/PARP14/ISG15/JAK1/PARP10/PARP8/RIGI/NUP205/NRP1/ANO5/RPS23/RPS2/FURIN",23
"R-HSA-168928","DDX58/IFIH1-mediated induction of interferon-alpha/beta","10/406","80/11287",0.125,3.47506157635468,4.29126120299844,0.000563394420213888,0.0404704991853643,0.0404704991853643,"UBE2K/UBA7/DHX58/TRIM25/ISG15/NKIRAS1/RIGI/RIPK1/NLRC5/UBE2L6",10
"R-HSA-9833110","RSV-host interactions","11/406","96/11287",0.114583333333333,3.18547311165846,4.15379702450398,0.000643072914431457,0.0443463081791932,0.0443463081791932,"RBX1/TRIM25/STAT2/TLR7/ISG15/EIF2AK2/JAK1/RIGI/OAS2/CUL5/UBE2L6",11
