"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","53/339","305/18842",0.173770491803279,9.65835872140819,20.6346220744378,9.56258881253272e-37,5.62280222176924e-33,5.62280222176924e-33,"DDX60L/NLRC5/IFITM3/USP18/OAS3/POLR3F/ISG20/DHX15/DTX3L/ZC3HAV1/DHX58/OASL/STAT2/EIF2AK2/GBP1/IFIT2/IRF9/OAS2/IFIT3/TRIM5/TRIM22/IFI6/TRIM25/PLSCR1/MLKL/UNC93B1/SHFL/CXCL10/TRIM56/RIGI/IFIT5/NT5C3A/MX2/IFIT1/STAT1/ISG15/IRF1/RSAD2/ADAR/DDX60/RTP4/OAS1/SAMHD1/PML/SMARCA5/MX1/TRIM21/MIR130A/IFITM1/TRIM44/MOV10/TRIM34/IFI44L",53
"GO:0009615","response to virus","57/339","400/18842",0.1425,7.92030973451327,18.9357394430342,1.1581787244839e-34,3.40504544998267e-31,3.40504544998267e-31,"DDX60L/NLRC5/IFITM3/USP18/OAS3/POLR3F/ISG20/DHX15/DTX3L/ZC3HAV1/DHX58/OASL/STAT2/EIF2AK2/GBP1/IFIT2/IRF9/OAS2/IFIT3/TRIM5/TRIM22/IFI6/TRIM25/PLSCR1/MLKL/UNC93B1/SHFL/CXCL10/MIR21/SMAD3/DDX3X/TRIM56/RIGI/IFIT5/NT5C3A/MX2/IFIT1/STAT1/ISG15/IRF1/RSAD2/ADAR/DDX60/RTP4/OAS1/SAMHD1/NMI/PML/SMARCA5/MX1/TRIM21/MIR130A/IFITM1/TRIM44/MOV10/TRIM34/IFI44L",57
"GO:0048525","negative regulation of viral process","20/339","74/18842",0.27027027027027,15.0219245794467,16.3585663102061,1.76185597430564e-18,3.1821118439365e-15,3.1821118439365e-15,"IFITM3/OAS3/ISG20/ZC3HAV1/OASL/EIF2AK2/OAS2/PLSCR1/SHFL/IFIT5/IFIT1/STAT1/ISG15/RSAD2/OAS1/MX1/TRIM21/IFITM1/TRIM14/SP100",20
"GO:0050792","regulation of viral process","25/339","136/18842",0.183823529411765,10.2171178205796,14.6017489633929,2.16470193465068e-18,3.1821118439365e-15,3.1821118439365e-15,"IFITM3/OAS3/ISG20/ZC3HAV1/OASL/EIF2AK2/OAS2/TRIM5/TRIM25/PLSCR1/SHFL/DDX3X/IFIT5/IFIT1/STAT1/ISG15/RSAD2/ADAR/OAS1/MX1/TRIM21/LARP1/IFITM1/TRIM14/SP100",25
"GO:0034340","response to type I interferon","23/339","122/18842",0.188524590163934,10.4784080468108,14.216514875893,2.84954544205768e-17,3.35106543985983e-14,3.35106543985983e-14,"NLRC5/IFITM3/USP18/OAS3/OASL/STAT2/OAS2/SHFL/JAK1/MIR21/CACTIN/TRIM56/IFIT1/STAT1/ISG15/PSMA3/OAS1/SAMHD1/MX1/PSMD1/PSMD12/IFITM1/SP100",23
"GO:1903900","regulation of viral life cycle","22/339","110/18842",0.2,11.1162241887906,14.4030166524737,3.75932507321634e-17,3.68413857175201e-14,3.68413857175201e-14,"IFITM3/OAS3/ISG20/ZC3HAV1/OASL/EIF2AK2/OAS2/TRIM5/TRIM25/PLSCR1/SHFL/DDX3X/IFIT5/IFIT1/ISG15/RSAD2/ADAR/OAS1/MX1/TRIM21/LARP1/IFITM1",22
"GO:0045069","regulation of viral genome replication","19/339","77/18842",0.246753246753247,13.7148220511052,15.1325498802653,8.36710778310531e-17,7.02837053780846e-14,7.02837053780846e-14,"IFITM3/OAS3/ISG20/ZC3HAV1/OASL/EIF2AK2/OAS2/PLSCR1/SHFL/DDX3X/IFIT5/IFIT1/ISG15/RSAD2/ADAR/OAS1/MX1/LARP1/IFITM1",19
"GO:0045071","negative regulation of viral genome replication","16/339","48/18842",0.333333333333333,18.5270403146509,16.456987622555,1.13422478073029e-16,8.33655213836761e-14,8.33655213836761e-14,"IFITM3/OAS3/ISG20/ZC3HAV1/OASL/EIF2AK2/OAS2/PLSCR1/SHFL/IFIT5/IFIT1/ISG15/RSAD2/OAS1/MX1/IFITM1",16
"GO:0140374","antiviral innate immune response","18/339","73/18842",0.246575342465753,13.7049339313856,14.7212274678729,5.57940901261086e-16,3.6452138882391e-13,3.64521388823909e-13,"USP18/OAS3/DHX15/DHX58/OASL/EIF2AK2/IFIT2/OAS2/IFIT3/TRIM25/CXCL10/RIGI/IFIT5/IFIT1/OAS1/SMARCA5/MX1/TRIM21",18
"GO:0071357","cellular response to type I interferon","21/339","116/18842",0.181034482758621,10.0620994812328,13.2515310953448,1.67332291380703e-15,9.83913873318533e-13,9.83913873318533e-13,"NLRC5/IFITM3/USP18/OAS3/OASL/STAT2/OAS2/JAK1/MIR21/CACTIN/TRIM56/IFIT1/STAT1/ISG15/PSMA3/OAS1/SAMHD1/PSMD1/PSMD12/IFITM1/SP100",21
