"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","18/200","156/9418",0.115384615384615,5.43346153846154,8.22442959491821,4.63581018329615e-09,1.63180518452024e-06,1.63180518452024e-06,"PPP2R2A/OAS3/STAT2/EIF2AK2/AKT2/IRF9/OAS2/TNFRSF1A/JAK1/CXCL10/RIGI/MX2/IFIT1/STAT1/RSAD2/OAS1/RIPK1/MX1",18
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","18/200","173/9418",0.104046242774566,4.89953757225434,7.62492601591621,2.41157876574716e-08,4.244378627715e-06,4.244378627715e-06,"OAS3/STAT2/EIF2AK2/AKT2/IRF9/OAS2/TNFRSF1A/TRIM25/JAK1/CXCL10/RIGI/MX2/STAT1/RSAD2/ADAR/OAS1/PML/MX1",18
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","20/200","239/9418",0.0836820083682008,3.94058577405858,6.78247260944124,1.54562669918165e-07,1.8135353270398e-05,1.8135353270398e-05,"OAS3/C5/C1S/STAT2/EIF2AK2/IRF9/OAS2/TNFRSF1A/JAK1/CXCL10/RPS23/RIGI/MX2/RPS2/STAT1/ISG15/ADAR/OAS1/MX1/NRP1",20
"Human Diseases","Infectious disease: viral","hsa05162","Measles","13/200","136/9418",0.0955882352941176,4.50125,6.05793661755804,5.91818245495776e-06,0.00043760481007326,0.00043760481007326,"OAS3/STAT2/EIF2AK2/AKT2/IRF9/OAS2/JAK1/RIGI/MX2/STAT1/ADAR/OAS1/MX1",13
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","15/200","180/9418",0.0833333333333333,3.92416666666667,5.83448230329842,6.21597741581336e-06,0.00043760481007326,0.00043760481007326,"OAS3/C5/ZC3HAV1/STAT2/EIF2AK2/AKT2/IRF9/OAS2/TNFRSF1A/JAK1/RIGI/STAT1/OAS1/PML/SP100",15
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","15/200","187/9418",0.0802139037433155,3.77727272727273,5.65025291933361,9.89398713317497e-06,0.000580447245146265,0.000580447245146265,"OAS3/STAT2/GBP1/VDAC2/IRF9/OAS2/ITPR1/CASP4/JAK1/RBCK1/NOD2/STAT1/OAS1/RIPK1/NAMPT",15
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","15/200","205/9418",0.0731707317073171,3.44560975609756,5.21454577650242,2.95691292985131e-05,0.00148690478758237,0.00148690478758237,"OAS3/STAT2/EIF2AK2/AKT2/IRF9/OAS2/JAK1/CXCL10/RIGI/STAT1/ISG15/OAS1/RIPK1/PSMD1/PSMD12",15
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","13/200","168/9418",0.0773809523809524,3.64386904761905,5.09303482893396,5.71597415523465e-05,0.00242573948379871,0.00242573948379871,"SQSTM1/STAT2/EIF2AK2/VDAC2/IRF9/TNFRSF1A/MLKL/JAK1/RBCK1/STAT1/RIPK1/FTL/CHMP5",13
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","9/200","83/9418",0.108433734939759,5.10614457831325,5.53438099240991,6.20217481653078e-05,0.00242573948379871,0.00242573948379871,"CASP7/POLR3F/POLR2E/MLKL/CXCL10/RIGI/ADAR/RIPK1/SAMHD1",9
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","8/200","72/9418",0.111111111111111,5.23222222222222,5.30975832173737,0.000134300105253463,0.00472736370492191,0.00472736370492191,"DHX58/TRIM25/CXCL10/DDX3X/RIGI/ISG15/ADAR/RIPK1",8
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","10/200","119/9418",0.0840336134453782,3.95714285714286,4.78168093114689,0.00021227986810033,0.00679295577921056,0.00679295577921056,"CSF1/CASP7/IL15/AKT2/TNFRSF1A/MLKL/CXCL10/NOD2/IRF1/RIPK1",10
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","10/200","142/9418",0.0704225352112676,3.31619718309859,4.09630478183033,0.000869452695688409,0.0255039457401933,0.0255039457401933,"CSF1/SQSTM1/STAT2/AKT2/IRF9/TNFRSF1A/ITPR1/JAK1/STAT1/SOCS1",10
