"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","22/338","156/9418",0.141025641025641,3.92952510999848,7.11834195059355,3.41059315947882e-08,8.98278679103536e-06,8.98278679103536e-06,"TNFRSF1A/STAT1/STAT2/PPP2R2A/AKT2/IRF9/EIF2AK2/JAK1/RIGI/PIK3R3/RIPK1/OAS1/OAS2/RAF1/IFIT1/IFIT1B/MX2/RSAD2/CXCL10/OAS3/MX1/CLDN16",22
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","23/338","173/9418",0.132947976878613,3.70444984095495,6.92660203201323,5.10385613127009e-08,8.98278679103536e-06,8.98278679103536e-06,"TNFRSF1A/STAT1/TRIM25/STAT2/AKT2/IRF9/ADAR/TLR7/XPO1/EIF2AK2/JAK1/RIGI/PIK3R3/OAS1/OAS2/RAF1/MX2/RSAD2/PML/CXCL10/OAS3/MX1/IL6",23
"Human Diseases","Infectious disease: viral","hsa05162","Measles","18/338","136/9418",0.132352941176471,3.68786982248521,6.0915612394196,1.59645037026859e-06,0.000187316843444848,0.000187316843444848,"STAT1/STAT2/AKT2/IRF9/ADAR/TLR7/EIF2AK2/JAK1/RIGI/PIK3R3/OAS1/OAS2/STAT5A/MX2/IL2RA/OAS3/MX1/IL6",18
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","24/338","239/9418",0.100418410041841,2.79804907033745,5.43218455586918,4.7979241977509e-06,0.000422217329402079,0.000422217329402079,"TNFRSF1A/STAT1/C5/STAT2/IRF9/ADAR/TLR7/ISG15/EIF2AK2/JAK1/RIGI/PIK3R3/OAS1/OAS2/NRP1/C5AR1/RPS23/MX2/C1S/CXCL10/OAS3/MX1/RPS2/IL6",24
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","17/338","180/9418",0.0944444444444444,2.63159105851414,4.26412867256143,0.000249689559343382,0.0175781449777741,0.0175781449777741,"SP100/TNFRSF1A/STAT1/C5/STAT2/AKT2/IRF9/ZC3HAV1/EIF2AK2/JAK1/RIGI/PIK3R3/OAS1/OAS2/PML/OAS3/IL6",17
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","17/338","187/9418",0.0909090909090909,2.53308230231307,4.08539082394658,0.000391929152705218,0.0229931769587061,0.0229931769587061,"STAT1/STAT2/GBP1/VDAC2/IRF9/NOD2/JAK1/NAMPT/RIPK1/OAS1/RBCK1/OAS2/OAS3/CASP4/ITPR1/IL6/CARD8",17
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","10/338","83/9418",0.120481927710843,3.3570970271619,4.16131944910452,0.000734704402064475,0.0369451356466707,0.0369451356466707,"CASP7/POLR3F/POLR2E/ADAR/RIGI/RIPK1/SAMHD1/CXCL10/IL6/MLKL",10
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","9/338","71/9418",0.126760563380282,3.53204433702809,4.1317693547847,0.000928648101831105,0.0398510431477605,0.0398510431477605,"SHC1/STAT1/SOCS1/AKT2/TNFRSF11A/PIK3R3/IRF1/STAT5A/RAF1",9
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","17/338","205/9418",0.0829268292682927,2.31066531967095,3.660495810587,0.00111435400912088,0.0398510431477605,0.0398510431477605,"STAT1/STAT2/AKT2/IRF9/ISG15/EIF2AK2/PSMD1/JAK1/RIGI/PIK3R3/RIPK1/OAS1/OAS2/CXCL10/OAS3/IL6/PSMD12",17
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","12/338","119/9418",0.100840336134454,2.80980557903635,3.83317803252795,0.00113213190760683,0.0398510431477605,0.0398510431477605,"CSF1/TNFRSF1A/CASP7/AKT2/NOD2/IL15/PIK3R3/RIPK1/IRF1/CXCL10/IL6/MLKL",12
