"condition_A","condition_B","n_regions_A","n_regions_B","n_overlapping","jaccard"
"XPC_WT","STAT1_WT",1569,64418,255,0.00240296792609378
"XPC_WT","STAT2_WT",1569,53488,235,0.00261087974710278
"XPC_WT","IRF9_WT",1569,1104,4,0.00103636727673168
"XPC_WT","ELK1_WT",1569,212,1,0.000257293737686336
"STAT1_WT","STAT2_WT",64418,53488,47405,0.615707944834856
"STAT1_WT","IRF9_WT",64418,1104,1086,0.0132575675454579
"STAT1_WT","ELK1_WT",64418,212,182,0.00134637909857808
"STAT2_WT","IRF9_WT",53488,1104,1083,0.0163667500022078
"STAT2_WT","ELK1_WT",53488,212,178,0.0016002275720682
"IRF9_WT","ELK1_WT",1104,212,4,0.00112068361700637
