"combinacao","n_proteinas","n_genes","genes"
"XPC_STAT1",2,18,"ADGRG6;ALPK2;CAB39;EGLN1;GS1-204I12.4;LINC00326;LINC02977;LOC107984249;LOC107986525;LOC107986787;MTHFD2L;NNMT;PCNX2;RCAN2;RIN2;SPIDR;STK3;STXBP5-AS1"
"XPC_STAT2",2,9,"GRIK1-AS1;LOC105378316;LOC107986882;LOC124907753;MIR4785;NAV2;PCAT1;PIK3R1;TANK"
"XPC_IRF9",2,27,"BICC1;CHN1;CTNND2;DAB1;ERC1;FGGY;FTO;HAS2-AS1;HDAC9;IGF2BP2;JAK1;LINC01428;LINC02755;LOC101927745;LOC105371664;LOC105373508;LOC105377067;LOC107986306;LOC124902477;LRP1B;MGC27382;MIR5702;PIP4K2A;RELL1;RTKN2;SOX5;ZBTB20-AS5"
"XPC_ELK1",2,2,"BIN3;EGR2"
"STAT1_STAT2",2,248,"ABCC3;ABCC4;ABLIM3;ACAA1;ADAMTSL4;AFF3;AGT;AGTR1;ALG9;ANXA2R-AS1;ATP2B4;BATF3;BHLHE40;BHLHE40-AS1;BICRA;BMF;C10orf126;C1RL;C3;C8A;CAMK2G;CAND1.11;CASC3;CCDC9;CCR10;CDC42EP1;CDKL3;CECR2;CFAP263;CISD2;CMTM8;CMYA5;COPG1;CPA5;CREB3L3;CSGALNACT1-AS1;CXCL2;CYBC1;DEPTOR;DNAJB1;DNAJC22;EDARADD;ELF2-DT;ELMO1;EPB41;ERBB3;ETV4;ETV6;FAM168B;FAM89A;FGA;FHDC1-AS1;FMNL2;FRMD3;FRY;FST;FUT5;GBE1;GNB2;GPAT4;GSE1;GSTK1;GTPBP2;GUCD1;HABP2;HEMK2;HM13-AS1;IGSF23;IL6ST;KALRN;KCTD21-AS1;LAPTM4A-DT;LIMK2;LINC00299;LINC00525;LINC00607;LINC01132;LINC01354;LINC01482;LINC01485;LINC01714;LINC01770;LINC01809;LINC01819;LINC02006;LINC02499;LINC02766;LINC02881;LINC02940;LINC02997;LINC03002;LINC03154;LOC100128993;LOC100507006;LOC101927522;LOC101927847;LOC101928131;LOC101928354;LOC102723834;LOC105369844;LOC105370124;LOC105370770;LOC105370787;LOC105370990;LOC105371357;LOC105372548;LOC105372564;LOC105372670;LOC105374217;LOC105374282;LOC105374746;LOC105374906;LOC105375566;LOC105375704;LOC105375721;LOC105376478;LOC105377918;LOC105378210;LOC105378412;LOC105379225;LOC107984270;LOC107984573;LOC107986656;LOC112268068;LOC124900188;LOC124900202;LOC124900870;LOC124900957;LOC124901036;LOC124901992;LOC124901999;LOC124902208;LOC124902468;LOC124902700;LOC124902731;LOC124902923;LOC124902969;LOC124903567;LOC124904236;LOC124904539;LOC124904614;LOC124904731;LOC124905970;LOC124908054;LPP;LRG1;LTBR;MAP3K20;MAPKAPK3;MASP1;MAT1A;MBD6;MBL2;MEGF9;MEIS2;MEP1A;MIR1915HG;MIR3672;MIR4302;MIR4444-1;MIR4650-2;MIR6815;MIR7850;MMD;MMP25-AS1;MPPE1;MTHFD2;MTHFD2P1;MTMR7;MYH10;NAGLU;NDST1;NEAT1;NPAS2;NR1D1;NYX;OPA1;OSBPL9;OTOGL;PCSK6;PIM1;PLEKHB2;PLEKHM3;PLXNC1-AS1;PROS1;PROSER2-AS1;PRSS36;PTGS1;PTPN2;PTPRF;RAB37;RARA;RELB;RHPN2;RNVU1-7;S100PBP;SCAMP4;SEC23A;SEPTIN11;SERPINB1;SETBP1;SLC12A8;SLC25A33;SLC25A51;SLC35D2-HSD17B3;SLC35F6;SLC45A4;SLC7A2;SMLR1;SMOX;SMTN;SNORA50C;SNORD12C;SOCS3-DT;SOD2;SSR1;ST3GAL2;STAMBPL1;STAT3;STK32A-AS1;SUN2;TARS1-DT;TBC1D1;TBC1D12;TCAF1;THPO;TLE1;TMEM163;TPTEP2;TRAP1;TRIB1;TRIB3;TRIM67-AS1;UBE2D1;VAC14;WARS1;WBP4;XRN2;XXYLT1;YME1L1;YTHDF1;ZAR1L;ZHX2-AS1;ZMYND15;ZNF217;ZNF343;ZNF473;ZNF672"
"STAT1_IRF9",2,18,"ACVR2A;ALMS1P1;B3GALT1;CDKN2B-AS1;CLEC2A;DPH6-DT;GRIK1-AS2;KRT8;LHX9;LINC02004;LOC105375937;LOC105378379;LOC107986366;PDLIM5;RPS6KC1;SKAP2;SUMO1P1;TCIM"
"STAT1_ELK1",2,5,"CHCT1;HOOK2;MCRIP1;MIDEAS;MIR4472-2"
"STAT2_IRF9",2,134,"ADAMTS6;AFM;AKAP6;ALG1L1P;ANKFY1;APOL2;C17orf67;CALD1;CARNMT1;CASC20;CD68;CETN3;CFAP58-DT;CHMP5;CNTN4;COX7C;DCLRE1C;DENND1B;DENND2B;EHD4;ETV7;FILNC1;GNB4;GSTA2;HK2;HSDL2-AS1;HTATIP2;IFIT1B;IL6;ISG15;ISG20;KIFC3;KLRG1;KNL1;KRT24;LGALS3BP;LINC00367;LINC01512;LINC01913;LINC02468;LINC02542;LINC02625;LINC02639;LINC02771;LOC100506207;LOC101929028;LOC102723670;LOC105369682;LOC105372571;LOC105373554;LOC105373562;LOC105374150;LOC105374367;LOC105374392;LOC105374591;LOC105374721;LOC105375082;LOC105375472;LOC105377271;LOC105378375;LOC105378482;LOC107986142;LOC107986777;LOC124900337;LOC124900558;LOC124902408;LOC124902480;LOC124902483;LOC124904928;LOC124906315;LOC124907996;LRRK1;LYPLAL1;MIR3927;MX2;NADK;NELFCD;NEURL3;NOD2;NRSN1;NSUN6;OTOF;PARP15;PDE9A;PDXK;PGPEP1;PKM;PLAGL1;PLEKHG7;PNRC1-DT;PODXL;PPP2R2A;PRMT7;PTK2;RAB28;RASGRP3;RNF19B;RNF215;RNVU1-31;RP1L1;SAMD9L;SECTM1;SERPINB9P1;SHANK2;SIK3;SLC25A13;SLC25A28;SMARCA5;SNORA74C-1;SOCS1;SP140L;SQOR;SQSTM1;SSPN-AS1;STXBP6;TBCK;TCF7L2;TENT5A;TLK2;TMEM106B;TMEM123-DT;TMEM62;TOR1AIP1;TRANK1;TRIDDENT;TRIM22;TRIM5;UBA7;UNC93B1;VPS54;VWA8;WASL-DT;WHAMM;ZNRF1"
"STAT2_ELK1",2,2,"FAM174B;LINC03134"
"IRF9_ELK1",2,4,"LCMT1-AS1;LIMA1;PSMD12;STAM2"
