"combinacao","n_proteinas","n_genes","genes"
"XPC_STAT1",2,1,"NNMT"
"XPC_STAT2",2,1,"LOC124907753"
"XPC_IRF9",2,0,""
"XPC_ELK1",2,0,""
"STAT1_STAT2",2,120,"ABCC3;ACAA1;ACTN1;ADAMTSL4;AGT;AGTR1;ANXA2R-AS1;BHLHE40;C1RL;C3;C8A;CAMK2G;CASC3;CCDC68;CCDC9;CCR10;CXCL2;CYBC1;DLG2;DNAJB1;DNAJC22;ELF2-DT;ERBB3;ETV6;FRY;FUT5;GALM;GNB2;GSTK1;GTPBP2;GUCD1;HABP2;HEMK2;HM13-AS1;LAPTM4A-DT;LINC00525;LINC00607;LINC01132;LINC01770;LINC02499;LINC02766;LINC02997;LINC03002;LINC03154;LOC101927522;LOC102723834;LOC105370787;LOC105372564;LOC105374746;LOC105374906;LOC105375081;LOC105375566;LOC105375704;LOC105376364;LOC124900870;LOC124900957;LOC124901999;LOC124902541;LOC124902700;LOC124902731;LOC124902923;LOC124903567;LOC124904236;LOC124904731;LPP;LRG1;LTBR;MAP3K20;MASP1;MBD6;MBL2;MEP1A;MIR3140;MIR3193;MIR4444-1;MMP25-AS1;MTHFD2;MYH10;NAGLU;NEAT1;NR1D1;NR1H4;PLEKHB2;PRKCE;PROS1;PROSER2-AS1;PRSS36;PTGS1;RAB37;RARA;RELB;RNVU1-7;S100PBP;SERPINB1;SLC12A8;SLC45A4;SLC7A2;SNORD12C;SOCS3-DT;SOD2;SSR1;STAT3;SUN2;TARS1-DT;TBC1D1;THPO;TLE1;TPTEP2;TRIB1;VAC14;WARS1;WBP4;XRN2;YME1L1;YTHDF1;ZAR1L;ZNF217;ZNF343;ZNF473;ZNF672"
"STAT1_IRF9",2,5,"ALMS1P1;KRT8;LINC02004;LOC101928565;LOC107986366"
"STAT1_ELK1",2,4,"CHCT1;HOOK2;MCRIP1;MIDEAS"
"STAT2_IRF9",2,66,"ADAMTS6;ALG1L1P;ANKFY1;APOL2;C17orf67;CD68;CHMP5;DCLRE1C;DENND2B;EHD4;ETV7;GNB4;HTATIP2;ISG15;ISG20;KIFC3;LGALS3BP;LINC00367;LINC02542;LINC02625;LINC02639;LOC105373554;LOC105373562;LOC105375082;LOC124902480;LOC124906315;LRBA;MX2;NADK;NELFCD;NOD2;NRP1;NSUN6;OASL;PDE9A;PDXK;PLEKHG7;PPP2R2A;PRMT7;RASGRP3;RNF215;RNVU1-31;SAMD9L;SBF2;SECTM1;SERPINB9P1;SHANK2;SLC25A28;SMARCA5;SOCS1;SP140L;SQOR;SQSTM1;SSPN-AS1;TCF7L2;TENT5A;TLK2;TMEM123-DT;TMEM62;TOR1AIP1;TRANK1;TRIM22;TRIM5;UBA7;UNC93B1;WHAMM"
"STAT2_ELK1",2,1,"IER2"
"IRF9_ELK1",2,3,"LIMA1;PSMD12;STAM2"
"XPC_STAT1_STAT2",3,2,"LINC00578;NME7"
"XPC_STAT1_IRF9",3,1,"SLC1A3"
"XPC_STAT1_ELK1",3,0,""
"XPC_STAT2_IRF9",3,1,"LOC105371874"
"XPC_STAT2_ELK1",3,0,""
"XPC_IRF9_ELK1",3,0,""
"STAT1_STAT2_IRF9",3,171,"ABCA9;ACOT7;ADAR;AGPAT5;ALKBH5;AMOTL2;ANG;ANKRD13A;APOL6;ATXN10;BATF2;BISPR;C1S;C5;CAPZA1;CASP4;CD274;CDK17;CHROMR;CMPK2;CNP;CREM;CSF1;CWF19L1;DCPS;DDX3X;DDX60;DDX60L;DHX15;DTX3L;EIF2AK2;EPB41L2;EPSTI1;FANCA;FBXO31;FBXO6;FGL1;FMR1-AS1;GBP1;GCA;GDF15;GSDMB;GSTO2;HERC5-AS1;HERC6;IFI6;IFIT1;IFIT2;IFIT3;IFIT5;IFITM3;IRF1;IRF2-DT;IRF9;JAML;LAP3;LARP1;LINC00470;LINC00562;LINC00963;LINC01265;LINC01270;LINC02068;LINC02828;LINC02888;LINC02971;LINC03141;LOC101927272;LOC101927942;LOC101928236;LOC102724008;LOC102724608;LOC105370094;LOC105370780;LOC105371082;LOC105375410;LOC105376455;LOC105378842;LOC107984551;LOC107985480;LOC107986229;LOC107986531;LOC124901030;LOC124901757;LOC124902552;LOC124904036;LOC124904308;LOC124907762;MAGOHB;MAK;MARVELD3;MAX-AS1;MFSD12;MIR21;MIR3124;MIR4309;MIR548H2;MIX23;MMAA;MOV10;MX1;NAMPT;NAPA;NBN;NCOA2;NDUFAF6;NEK10;NLRC5;NMI;NUB1;OAS1;OAS2;OAS3;OGFR;PARP10;PARP14;PDLIM1;PHF11;PIK3AP1;PLSCR1;PML;PNPT1;POR;PRKD2;RAD50;RANGAP1;RBBP6;RBCK1;RBM43;RIGI;RNF213;RRBP1;RSAD2;SAMD9;SAMHD1;SCAF11;SEC16B;SERPING1;SGPL1;SHFL;SHISA5;SLC15A3;SLFN12;SMAD3;SMG7-AS1;SP100;SP110;SPATA1;STAT1;STAT2;TBC1D16;TDRD7;TGFBI;TGM2;TMEM123;TMEM140;TNFRSF1A;TRIM14;TRIM21;TRIM34;TRIM56;TSTD2;UBE2L6;USP18;VNN3P;XAF1;ZBTB42;ZC3HAV1;ZCWPW2;ZFAND2A;ZNF107"
"STAT1_STAT2_ELK1",3,1,"LOC124902139"
"STAT1_IRF9_ELK1",3,0,""
"STAT2_IRF9_ELK1",3,1,"STX16-NPEPL1"
"XPC_STAT1_STAT2_IRF9",4,2,"IFI44L;PHACTR4"
"XPC_STAT1_STAT2_ELK1",4,0,""
"XPC_STAT1_IRF9_ELK1",4,0,""
"XPC_STAT2_IRF9_ELK1",4,0,""
"STAT1_STAT2_IRF9_ELK1",4,3,"EARS2;NCOA7;SHC1"
"XPC_STAT1_STAT2_IRF9_ELK1",5,0,""
