"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-913531","Interferon Signaling","21/133","266/11287",0.0789473684210526,6.699841709537,10.2724405261832,4.17367545264749e-12,2.81723093053706e-09,4.30574881189377e-10,"TRIM21/FANCA/STAT1/PML/TRIM34/NUP205/FURIN/IRF1/RIGI/OAS3/USP18/TRIM14/OAS2/UBE2L6/OASL/OAS1/SP100/IRF9/STAT2/EIF2AK2/GBP1",21
"R-HSA-877300","Interferon gamma signaling","13/133","96/11287",0.135416666666667,11.4920895989975,11.2731083890145,8.20319624012425e-11,2.76857873104193e-08,4.23139063702728e-09,"TRIM21/STAT1/PML/TRIM34/IRF1/OAS3/TRIM14/OAS2/OASL/OAS1/SP100/IRF9/GBP1",13
"R-HSA-909733","Interferon alpha/beta signaling","10/133","57/11287",0.175438596491228,14.8885371323044,11.4784851673713,9.90422680627215e-10,2.22845103141123e-07,3.4058799642077e-08,"STAT1/IRF1/OAS3/USP18/OAS2/OASL/OAS1/IRF9/STAT2/EIF2AK2",10
"R-HSA-1169410","Antimicrobial mechanism of IFN-stimulated genes","13/133","159/11287",0.0817610062893082,6.93862013524377,8.23485721872451,4.36920304980067e-08,7.37303014653862e-06,1.12686593950833e-06,"FANCA/STAT1/NUP205/FURIN/RIGI/OAS3/USP18/OAS2/UBE2L6/OASL/OAS1/EIF2AK2/GBP1",13
"R-HSA-1169408","ISG15 antiviral mechanism","6/133","70/11287",0.0857142857142857,7.27411385606874,5.74967873452593,0.000168982133661432,0.0228125880442933,0.00348658935990074,"STAT1/NUP205/RIGI/USP18/UBE2L6/EIF2AK2",6
"R-HSA-9683610","Maturation of nucleoprotein","3/133","11/11287",0.272727272727273,23.1449077238551,8.02367274769856,0.000246299904651991,0.0277087392733489,0.00423489852791559,"PARP8/PARP10/PARP14",3
"R-HSA-196807","Nicotinate metabolism","4/133","29/11287",0.137931034482759,11.7054705729842,6.30310674642431,0.000348222890886349,0.0335786359068979,0.00513203124720689,"NAMPT/PARP8/PARP10/PARP14",4
"R-HSA-9920588","Dengue virus activates/modulates innate and adaptive immune responses","4/133","31/11287",0.129032258064516,10.9502789231142,6.05765566332804,0.000452989235458752,0.0378480251555769,0.00578454849333506,"PML/DDX3X/C1S/STAT2",4
"R-HSA-9820952","Respiratory Syncytial Virus Infection Pathway","7/133","119/11287",0.0588235294117647,4.99203892083149,4.78036511302503,0.000504640335407692,0.0378480251555769,0.00578454849333506,"FURIN/TLR7/RIGI/OAS2/UBE2L6/STAT2/EIF2AK2",7
"R-HSA-9694631","Maturation of nucleoprotein","3/133","15/11287",0.2,16.9729323308271,6.75943373131355,0.000656130945094186,0.0442888387938575,0.00676893800042347,"PARP8/PARP10/PARP14",3
