"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","response to virus","38/124","400/18842",0.095,14.4354032258064,22.1059807656082,1.04227506756594e-33,2.1387484386453e-30,3.60649308881293e-32,"DHX15/TRIM21/NMI/GBP1/SMAD3/PLSCR1/TRIM34/STAT2/IFIT1/DTX3L/USP18/IRF9/DDX60L/DDX3X/MIR21/OAS2/IFIT2/IFIT3/ADAR/SAMHD1/ZC3HAV1/EIF2AK2/IFIT5/DDX60/NLRC5/RIGI/IFITM3/PML/IRF1/SHFL/MOV10/RSAD2/MX1/STAT1/OAS1/TRIM56/OAS3/IFI6",38
"GO:0051607","defense response to virus","34/124","305/18842",0.111475409836066,16.9388683236383,22.8412976587635,1.90042428563772e-32,1.9498353170643e-29,3.28793581715947e-31,"DHX15/TRIM21/GBP1/PLSCR1/TRIM34/STAT2/IFIT1/DTX3L/USP18/IRF9/DDX60L/OAS2/IFIT2/IFIT3/ADAR/SAMHD1/ZC3HAV1/EIF2AK2/IFIT5/DDX60/NLRC5/RIGI/IFITM3/PML/IRF1/SHFL/MOV10/RSAD2/MX1/STAT1/OAS1/TRIM56/OAS3/IFI6",34
"GO:0048525","negative regulation of viral process","16/124","74/18842",0.216216216216216,32.8544027898867,22.3464955669064,2.22724736665004e-20,1.52343719878863e-17,2.56891630141964e-19,"TRIM21/PLSCR1/IFIT1/TRIM14/OAS2/ZC3HAV1/EIF2AK2/IFIT5/IFITM3/SHFL/SP100/RSAD2/MX1/STAT1/OAS1/OAS3",16
"GO:0050792","regulation of viral process","19/124","136/18842",0.139705882352941,21.2285341555977,19.2697685424736,3.38320503056036e-20,1.73558418067747e-17,2.92665197999212e-19,"TRIM21/LARP1/PLSCR1/IFIT1/TRIM14/DDX3X/OAS2/ADAR/ZC3HAV1/EIF2AK2/IFIT5/IFITM3/SHFL/SP100/RSAD2/MX1/STAT1/OAS1/OAS3",19
"GO:0045069","regulation of viral genome replication","15/124","77/18842",0.194805194805195,29.6009635525765,20.4684444508698,1.97107837907921e-18,8.08930566774106e-16,1.36406996058323e-17,"LARP1/PLSCR1/IFIT1/DDX3X/OAS2/ADAR/ZC3HAV1/EIF2AK2/IFIT5/IFITM3/SHFL/RSAD2/MX1/OAS1/OAS3",15
"GO:1903900","regulation of viral life cycle","16/124","110/18842",0.145454545454545,22.1020527859238,18.0660026246643,1.90146774249238e-17,6.50301967932393e-15,1.09658036944034e-16,"TRIM21/LARP1/PLSCR1/IFIT1/DDX3X/OAS2/ADAR/ZC3HAV1/EIF2AK2/IFIT5/IFITM3/SHFL/RSAD2/MX1/OAS1/OAS3",16
"GO:0045071","negative regulation of viral genome replication","12/124","48/18842",0.25,37.9879032258065,20.8835254553719,2.18443953345477e-16,6.40352846092743e-14,1.07980353000186e-15,"PLSCR1/IFIT1/OAS2/ZC3HAV1/EIF2AK2/IFIT5/IFITM3/SHFL/RSAD2/MX1/OAS1/OAS3",12
"GO:0019079","viral genome replication","15/124","110/18842",0.136363636363636,20.7206744868035,16.8833696253663,5.48695118687167e-16,1.40740297943258e-13,2.37325205095808e-15,"LARP1/PLSCR1/IFIT1/DDX3X/OAS2/ADAR/ZC3HAV1/EIF2AK2/IFIT5/IFITM3/SHFL/RSAD2/MX1/OAS1/OAS3",15
"GO:0140374","antiviral innate immune response","13/124","73/18842",0.178082191780822,27.0598762704375,18.1570925891919,1.41095766002019e-15,3.21698346484603e-13,5.42468128703415e-15,"DHX15/TRIM21/IFIT1/USP18/OAS2/IFIT2/IFIT3/EIF2AK2/IFIT5/RIGI/MX1/OAS1/OAS3",13
"GO:0034340","response to type I interferon","15/124","122/18842",0.122950819672131,18.682575356954,15.947977218332,2.69112426446329e-15,5.52218699067866e-13,9.31186148738e-15,"STAT2/IFIT1/USP18/MIR21/OAS2/SAMHD1/NLRC5/IFITM3/SHFL/SP100/MX1/STAT1/OAS1/TRIM56/OAS3",15
"GO:0140888","interferon-mediated signaling pathway","14/124","105/18842",0.133333333333333,20.2602150537634,16.1078971910907,7.47367881814577e-15,1.39418081225774e-12,2.35095599515573e-14,"PARP14/STAT2/USP18/MIR21/OAS2/SAMHD1/NLRC5/IFITM3/IRF1/SP100/STAT1/OAS1/TRIM56/OAS3",14
"GO:0045088","regulation of innate immune response","23/124","482/18842",0.0477178423236514,7.25080310534065,11.3150400583762,8.12205070524019e-14,1.38887067059607e-11,2.34200169793341e-13,"TRIM21/SLC15A3/NMI/PIK3AP1/PARP14/PLSCR1/STAT2/USP18/CD274/SERPING1/DDX3X/MIR21/SAMHD1/ZC3HAV1/EIF2AK2/DDX60/NLRC5/RIGI/IRF1/RSAD2/OAS1/TRIM56/OAS3",23
"GO:0060337","type I interferon-mediated signaling pathway","12/124","80/18842",0.15,22.7927419354839,15.898289450293,1.58365699609375e-13,2.49974165844952e-11,4.21522272190475e-13,"STAT2/USP18/MIR21/OAS2/SAMHD1/NLRC5/IFITM3/SP100/STAT1/OAS1/TRIM56/OAS3",12
"GO:0071357","cellular response to type I interferon","13/124","116/18842",0.112068965517241,17.0290600667408,14.0944339045314,7.10440746519407e-13,1.04130315132702e-10,1.75591133148822e-12,"STAT2/IFIT1/USP18/MIR21/OAS2/SAMHD1/NLRC5/IFITM3/SP100/STAT1/OAS1/TRIM56/OAS3",13
"GO:0016032","viral process","20/124","383/18842",0.0522193211488251,7.9348100732755,11.159968514485,7.72697304298525e-13,1.05704991228038e-10,1.7824645172315e-12,"TRIM21/LARP1/PLSCR1/IFIT1/TRIM14/PARP10/DDX3X/OAS2/ADAR/ZC3HAV1/EIF2AK2/IFIT5/IFITM3/SHFL/SP100/RSAD2/MX1/STAT1/OAS1/OAS3",20
"GO:0002832","negative regulation of response to biotic stimulus","13/124","131/18842",0.099236641221374,15.0791676926865,13.1612526473184,3.45265772263179e-12,4.42803352927527e-10,7.46683061542221e-12,"TRIM21/NMI/SMAD3/PARP14/STAT2/USP18/CD274/SERPING1/MIR21/SAMHD1/NLRC5/OAS1/OAS3",13
"GO:0045824","negative regulation of innate immune response","11/124","94/18842",0.117021276595745,17.7815717227179,13.2755396351061,2.78234522881343e-11,3.35845435854422e-09,5.66323846896897e-11,"TRIM21/NMI/PARP14/STAT2/USP18/SERPING1/MIR21/SAMHD1/NLRC5/OAS1/OAS3",11
"GO:0035456","response to interferon-beta","8/124","34/18842",0.235294117647059,35.753320683112,16.5081176044387,4.40504935555798e-11,5.0217562653361e-09,8.46800350026639e-11,"PLSCR1/XAF1/PNPT1/IFITM3/IRF1/SHFL/STAT1/OAS1",8
"GO:0060339","negative regulation of type I interferon-mediated signaling pathway","7/124","21/18842",0.333333333333333,50.6505376344086,18.5287171425067,4.85347919025653e-11,5.24175752547705e-09,8.83898356032948e-11,"STAT2/USP18/MIR21/SAMHD1/NLRC5/OAS1/OAS3",7
"GO:0019058","viral life cycle","16/124","284/18842",0.0563380281690141,8.56065424806906,10.4492725902952,5.87965957398217e-11,6.03253072290571e-09,1.01724354146071e-10,"TRIM21/LARP1/PLSCR1/IFIT1/DDX3X/OAS2/ADAR/ZC3HAV1/EIF2AK2/IFIT5/IFITM3/SHFL/RSAD2/MX1/OAS1/OAS3",16
"GO:0032479","regulation of type I interferon production","12/124","137/18842",0.0875912408759124,13.3096303272899,11.7695412120125,1.06712895140091e-10,9.95340276488489e-09,1.6784058205773e-10,"TRIM21/DDX3X/MIR21/XAF1/OAS2/ZC3HAV1/RIGI/IRF1/STAT1/OAS1/TRIM56/OAS3",12
"GO:0032606","type I interferon production","12/124","137/18842",0.0875912408759124,13.3096303272899,11.7695412120125,1.06712895140091e-10,9.95340276488489e-09,1.6784058205773e-10,"TRIM21/DDX3X/MIR21/XAF1/OAS2/ZC3HAV1/RIGI/IRF1/STAT1/OAS1/TRIM56/OAS3",12
"GO:0060338","regulation of type I interferon-mediated signaling pathway","8/124","41/18842",0.195121951219512,29.6490952006294,14.946704900065,2.23084767550113e-10,1.99030410005579e-08,3.3561768423938e-10,"STAT2/USP18/MIR21/SAMHD1/NLRC5/OAS1/TRIM56/OAS3",8
"GO:0032728","positive regulation of interferon-beta production","8/124","42/18842",0.19047619047619,28.9431643625192,14.7555160131265,2.74067707723429e-10,2.34327890103532e-08,3.95138530976461e-10,"DDX3X/OAS2/ZC3HAV1/RIGI/IRF1/OAS1/TRIM56/OAS3",8
"GO:0034341","response to type II interferon","10/124","109/18842",0.0917431192660551,13.9405149452501,11.0279359983932,2.5981969711058e-09,2.12326155056148e-07,3.58037811716302e-09,"TRIM21/GBP1/PARP14/NUB1/NLRC5/IFITM3/IRF1/SHFL/SP100/STAT1",10
"GO:0032481","positive regulation of type I interferon production","9/124","80/18842",0.1125,17.0945564516129,11.7413365330222,2.70297080386415e-09,2.12326155056148e-07,3.58037811716302e-09,"DDX3X/OAS2/ZC3HAV1/RIGI/IRF1/STAT1/OAS1/TRIM56/OAS3",9
"GO:0070106","interleukin-27-mediated signaling pathway","5/124","10/18842",0.5,75.9758064516129,19.3021647856565,2.79376519810721e-09,2.12326155056148e-07,3.58037811716302e-09,"OAS2/MX1/STAT1/OAS1/OAS3",5
"GO:0032608","interferon-beta production","8/124","58/18842",0.137931034482759,20.9588431590656,12.3904881959648,4.07689922938048e-09,2.88475766161681e-07,4.8644610939429e-09,"DDX3X/OAS2/ZC3HAV1/RIGI/IRF1/OAS1/TRIM56/OAS3",8
"GO:0032648","regulation of interferon-beta production","8/124","58/18842",0.137931034482759,20.9588431590656,12.3904881959648,4.07689922938048e-09,2.88475766161681e-07,4.8644610939429e-09,"DDX3X/OAS2/ZC3HAV1/RIGI/IRF1/OAS1/TRIM56/OAS3",8
"GO:0060759","regulation of response to cytokine stimulus","12/124","196/18842",0.0612244897959184,9.30315997366689,9.51068279285515,6.59792399908929e-09,4.51298001537708e-07,7.61007276092632e-09,"PARP14/STAT2/USP18/MIR21/SAMHD1/CSF1/NLRC5/RIGI/OAS1/CASP4/TRIM56/OAS3",12
"GO:0045089","positive regulation of innate immune response","16/124","396/18842",0.0404040404040404,6.13945910720104,8.41292469651112,7.36407640924545e-09,4.87454348121666e-07,8.21976397900322e-09,"SLC15A3/NMI/PIK3AP1/PLSCR1/CD274/DDX3X/ZC3HAV1/EIF2AK2/DDX60/NLRC5/RIGI/IRF1/RSAD2/OAS1/TRIM56/OAS3",16
"GO:0050777","negative regulation of immune response","12/124","202/18842",0.0594059405940594,9.02682848930054,9.3353329094596,9.26161051567373e-09,5.93900774317578e-07,1.00147310422992e-08,"TRIM21/NMI/PARP14/STAT2/USP18/CD274/SERPING1/MIR21/SAMHD1/NLRC5/OAS1/OAS3",12
"GO:0002833","positive regulation of response to biotic stimulus","16/124","424/18842",0.0377358490566038,5.73402312842362,8.02463273802428,1.92389351015951e-08,1.19631196449919e-06,2.0172970107524e-08,"SLC15A3/NMI/PIK3AP1/PLSCR1/CD274/DDX3X/ZC3HAV1/EIF2AK2/DDX60/NLRC5/RIGI/IRF1/RSAD2/OAS1/TRIM56/OAS3",16
"GO:0001959","regulation of cytokine-mediated signaling pathway","11/124","184/18842",0.0597826086956522,9.08406381486676,8.96890029642308,3.70647979469842e-08,2.2369695702121e-06,3.77211978233629e-08,"PARP14/STAT2/USP18/MIR21/SAMHD1/CSF1/NLRC5/OAS1/CASP4/TRIM56/OAS3",11
"GO:0002753","cytoplasmic pattern recognition receptor signaling pathway","11/124","191/18842",0.0575916230366492,8.75114001013342,8.76323181239564,5.43858593175949e-08,3.18856523770585e-06,5.37676067237678e-08,"SLC15A3/PIK3AP1/DDX3X/ZC3HAV1/EIF2AK2/DDX60/RIGI/IRF1/RSAD2/OAS1/OAS3",11
"GO:0002221","pattern recognition receptor signaling pathway","13/124","291/18842",0.0446735395189003,6.78821638399291,8.09917319035089,6.463926350894e-08,3.68443802000958e-06,6.21293276723129e-08,"SLC15A3/NMI/PIK3AP1/CD274/DDX3X/ZC3HAV1/EIF2AK2/DDX60/RIGI/IRF1/RSAD2/OAS1/OAS3",13
"GO:0031348","negative regulation of defense response","13/124","300/18842",0.0433333333333333,6.58456989247312,7.93606407318256,9.21495975804613e-08,5.1105668712191e-06,8.61776156930475e-08,"TRIM21/NMI/SMAD3/PARP14/STAT2/TNFRSF1A/USP18/SERPING1/MIR21/SAMHD1/NLRC5/OAS1/OAS3",13
"GO:0002758","innate immune response-activating signaling pathway","13/124","306/18842",0.042483660130719,6.45546067889521,7.83100008389635,1.15929713914662e-07,6.26020455139177e-06,1.05563534454058e-07,"SLC15A3/NMI/PIK3AP1/CD274/DDX3X/ZC3HAV1/EIF2AK2/DDX60/RIGI/IRF1/RSAD2/OAS1/OAS3",13
"GO:0001819","positive regulation of cytokine production","16/124","499/18842",0.032064128256513,4.87219600491305,7.13518960522234,1.80407136545989e-07,9.4921908767274e-06,1.60063335061015e-07,"SMAD3/CD274/DDX3X/C5/MIR21/OAS2/ZC3HAV1/EIF2AK2/RIGI/PRKD2/IRF1/RSAD2/STAT1/OAS1/TRIM56/OAS3",16
"GO:0002218","activation of innate immune response","13/124","326/18842",0.0398773006134969,6.05942014644766,7.50013456858865,2.40262898974685e-07,1.23254867174013e-05,2.07840164179007e-07,"SLC15A3/NMI/PIK3AP1/CD274/DDX3X/ZC3HAV1/EIF2AK2/DDX60/RIGI/IRF1/RSAD2/OAS1/OAS3",13
"GO:0001960","negative regulation of cytokine-mediated signaling pathway","8/124","105/18842",0.0761904761904762,11.5772657450077,8.84608550360588,4.5836925802837e-07,2.29408223774199e-05,3.86842677992815e-07,"PARP14/STAT2/USP18/MIR21/SAMHD1/NLRC5/OAS1/OAS3",8
"GO:0032102","negative regulation of response to external stimulus","14/124","416/18842",0.0336538461538462,5.11375620347394,6.90562161454056,6.29714242077669e-07,3.07660386843661e-05,5.18796431971209e-07,"TRIM21/NMI/SMAD3/PARP14/STAT2/TNFRSF1A/USP18/SERPING1/C5/MIR21/SAMHD1/NLRC5/OAS1/OAS3",14
"GO:0060761","negative regulation of response to cytokine stimulus","8/124","110/18842",0.0727272727272727,11.0510263929619,8.60493863028077,6.55350626345669e-07,3.1259300247581e-05,5.27114120889492e-07,"PARP14/STAT2/USP18/MIR21/SAMHD1/NLRC5/OAS1/OAS3",8
"GO:0060333","type II interferon-mediated signaling pathway","5/124","26/18842",0.192307692307692,29.2214640198511,11.7202171206215,6.70277393222984e-07,3.1259300247581e-05,5.27114120889492e-07,"PARP14/NLRC5/IRF1/SP100/STAT1",5
"GO:0043122","regulation of canonical NF-kappaB signal transduction","12/124","326/18842",0.0368098159509202,5.59331090441322,6.80916960862666,1.65706226719275e-06,7.55620393839893e-05,1.27417497023437e-06,"DHX15/NAMPT/TNFRSF1A/SHISA5/PARP10/MIR21/RBCK1/ZC3HAV1/EIF2AK2/IFIT5/NLRC5/STAT1",12
"GO:1901224","positive regulation of non-canonical NF-kappaB signal transduction","6/124","57/18842",0.105263157894737,15.9949066213922,9.22802345345266,1.98381486347053e-06,8.84953934748158e-05,1.49226537909648e-06,"TRIM21/NMI/DDX3X/RBCK1/EIF2AK2/TRIM56",6
"GO:0071360","cellular response to exogenous dsRNA","4/124","15/18842",0.266666666666667,40.5204301075269,12.4626335873973,2.30594165817165e-06,9.92751321474792e-05,1.67404016064487e-06,"IFIT1/RIGI/OAS1/OAS3",4
"GO:0030522","intracellular receptor signaling pathway","13/124","399/18842",0.0325814536340852,4.95080443043092,6.4921611690574,2.32222531339133e-06,9.92751321474792e-05,1.67404016064487e-06,"SLC15A3/PIK3AP1/NCOA2/DDX3X/ZC3HAV1/EIF2AK2/DDX60/RIGI/IRF1/SP100/RSAD2/OAS1/OAS3",13
"GO:0038061","non-canonical NF-kappaB signal transduction","8/124","131/18842",0.0610687022900763,9.27948781088402,7.73969266138093,2.46647286589242e-06,0.000101996105065533,1.7199229294946e-06,"TRIM21/NMI/TNFRSF1A/DDX3X/MIR21/RBCK1/EIF2AK2/TRIM56",8
"GO:0007249","canonical NF-kappaB signal transduction","12/124","339/18842",0.0353982300884956,5.3788181558664,6.62168901936162,2.48528521114846e-06,0.000101996105065533,1.7199229294946e-06,"DHX15/NAMPT/TNFRSF1A/SHISA5/PARP10/MIR21/RBCK1/ZC3HAV1/EIF2AK2/IFIT5/NLRC5/STAT1",12
"GO:0019080","viral gene expression","7/124","93/18842",0.0752688172043011,11.4372181755116,8.21240346420003,2.67301078946644e-06,0.000107549375293826,1.81356568960965e-06,"TRIM21/IFIT1/TRIM14/PARP10/IFITM3/SHFL/SP100",7
