"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","2/2","169/9419",0.0118343195266272,55.7337278106509,10.4632251276727,0.000320060812456201,0.0287932983648784,0.00303087351209246,"5295/10010",2
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","2/2","216/9419",0.00925925925925926,43.6064814814815,9.23157688625613,0.000523514515725062,0.0287932983648784,0.00303087351209246,"5295/10010",2
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","1/2","38/9419",0.0263157894736842,123.934210526316,11.0656783576363,0.00805294738334161,0.0494547705757478,0.00520576532376292,"5295",1
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","1/2","47/9419",0.0212765957446809,100.202127659574,9.93554813111781,0.00995545594901548,0.0494547705757478,0.00520576532376292,"5295",1
"Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","1/2","48/9419",0.0208333333333333,98.1145833333333,9.82992392089643,0.0101667330604219,0.0494547705757478,0.00520576532376292,"5295",1
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","1/2","59/9419",0.0169491525423729,79.8220338983051,8.85062161840118,0.0124892932601383,0.0494547705757478,0.00520576532376292,"5295",1
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","1/2","60/9419",0.0166666666666667,78.4916666666667,8.77513807837311,0.0127002998214077,0.0494547705757478,0.00520576532376292,"5295",1
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","1/2","60/9419",0.0166666666666667,78.4916666666667,8.77513807837311,0.0127002998214077,0.0494547705757478,0.00520576532376292,"5295",1
"Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","1/2","62/9419",0.0161290322580645,75.9596774193548,8.62965223756654,0.0131222453064116,0.0494547705757478,0.00520576532376292,"5295",1
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","1/2","65/9419",0.0153846153846154,72.4538461538462,8.42406408019529,0.013754994440082,0.0494547705757478,0.00520576532376292,"5295",1
