"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1250342","PI3K events in ERBB4 signaling","1/2","10/11287",0.1,564.35,23.7255204233993,0.00177124351185787,0.014527063869396,0.000855476709276173,"PIK3R1",1
"R-HSA-9828211","Regulation of TBK1, IKKε-mediated activation of IRF3, IRF7 upon TLR3 ligation","1/2","11/11287",0.0909090909090909,513.045454545455,22.6183834973167,0.00194828151070292,0.014527063869396,0.000855476709276173,"TANK",1
"R-HSA-5655291","Signaling by FGFR4 in disease","1/2","11/11287",0.0909090909090909,513.045454545455,22.6183834973167,0.00194828151070292,0.014527063869396,0.000855476709276173,"PIK3R1",1
"R-HSA-9927354","Co-stimulation by ICOS","1/2","11/11287",0.0909090909090909,513.045454545455,22.6183834973167,0.00194828151070292,0.014527063869396,0.000855476709276173,"PIK3R1",1
"R-HSA-9842663","Signaling by LTK","1/2","12/11287",0.0833333333333333,470.291666666667,21.6525689006153,0.00212530380912246,0.014527063869396,0.000855476709276173,"PIK3R1",1
"R-HSA-430116","GP1b-IX-V activation signalling","1/2","12/11287",0.0833333333333333,470.291666666667,21.6525689006153,0.00212530380912246,0.014527063869396,0.000855476709276173,"PIK3R1",1
"R-HSA-9027276","Erythropoietin activates Phosphoinositide-3-kinase (PI3K)","1/2","12/11287",0.0833333333333333,470.291666666667,21.6525689006153,0.00212530380912246,0.014527063869396,0.000855476709276173,"PIK3R1",1
"R-HSA-9673767","Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants","1/2","12/11287",0.0833333333333333,470.291666666667,21.6525689006153,0.00212530380912246,0.014527063869396,0.000855476709276173,"PIK3R1",1
"R-HSA-9673770","Signaling by PDGFRA extracellular domain mutants","1/2","12/11287",0.0833333333333333,470.291666666667,21.6525689006153,0.00212530380912246,0.014527063869396,0.000855476709276173,"PIK3R1",1
"R-HSA-9013973","TICAM1-dependent activation of IRF3/IRF7","1/2","13/11287",0.0769230769230769,434.115384615385,20.8003436666162,0.00230231040711648,0.014527063869396,0.000855476709276173,"TANK",1
