"sample_id","frip","ssd","fragment_length","reads_final","fracao_removida_filtragem","n_peaks","protein"
"GSM2423754",NA,0.107,138,19066803,0.315324325316198,NA,"ELK1"
"GSM2423755",NA,0.106,130,14172596,0.303080126482786,NA,"ELK1"
"GSM6600680",NA,0.267,260,NA,NA,NA,"H3K4me3"
"GSM6600686",NA,0.272,296,NA,NA,NA,"H3K4me3"
"GSM6600692",NA,0.291,300,NA,NA,NA,"H3K4me3"
"GSM6600715",NA,0.251,203,NA,NA,NA,"XPC"
"GSM6600716",NA,0.204,205,NA,NA,NA,"XPC"
"GSM6600717",NA,0.215,203,NA,NA,NA,"XPC"
"GSM6600718",NA,0.185,203,NA,NA,NA,"XPC"
"GSM6600722",NA,0.227,204,NA,NA,0,"XPC"
"GSM6600723",NA,0.185,206,NA,NA,4,"XPC"
"GSM6600724",NA,0.249,209,NA,NA,NA,"XPC"
"GSM6600725",NA,0.193,206,NA,NA,NA,"XPC"
"GSM6600726",NA,0.225,203,NA,NA,NA,"XPC"
"GSM6600730",NA,0.221,211,NA,NA,0,"XPC"
"GSM6600731",NA,0.185,203,NA,NA,5,"XPC"
"GSM6600732",NA,0.225,205,NA,NA,NA,"XPC"
"GSM6600733",NA,0.208,210,NA,NA,NA,"XPC"
"GSM6600734",NA,0.212,204,NA,NA,NA,"XPC"
"GSM6600738",NA,0.193,220,NA,NA,0,"XPC"
"GSM6600739",NA,0.186,211,NA,NA,8,"XPC"
"GSM6928563",NA,0.154,212,7066259,0.358140893174252,NA,"STAT1"
"GSM6928564",NA,0.155,168,6098424,0.502362999401702,NA,"STAT1"
"GSM6928565",NA,NA,NA,11301608,0.233151009826959,NA,"STAT1"
"GSM6928566",NA,NA,NA,10962148,0.242416684410408,NA,"STAT1"
"GSM6928567",NA,0.291,235,10517007,0.231110813475737,NA,"STAT1"
"GSM6928568",NA,0.367,180,10756631,0.21972244030331,NA,"STAT1"
"GSM6928569",NA,NA,NA,9651385,0.265411789491599,NA,"STAT1"
"GSM6928570",NA,NA,NA,9578919,0.303365379475628,NA,"STAT1"
"GSM6928571",NA,NA,NA,9665522,0.324435420317914,NA,"STAT1"
"GSM6928572",NA,NA,NA,9663322,0.310235646287949,NA,"STAT1"
"GSM6928573",NA,NA,NA,9734122,0.349034725693198,NA,"STAT1"
"GSM6928574",NA,NA,NA,9535397,0.323073802754829,NA,"STAT1"
"GSM6928575",NA,NA,NA,11372037,0.241185870756065,NA,"STAT1"
"GSM6928576",NA,NA,NA,9423214,0.256638373076074,NA,"STAT1"
"GSM6928577",NA,NA,NA,10617738,0.223562540626312,NA,"STAT1"
"GSM6928578",NA,NA,NA,10310376,0.255930562017514,NA,"STAT1"
"GSM6928579",NA,NA,NA,11875954,0.276661706538033,NA,"STAT1"
"GSM6928580",NA,NA,NA,10358546,0.269124788847254,NA,"STAT1"
"GSM6928581",NA,NA,NA,8366088,0.416070429848189,NA,"STAT1"
"GSM6928582",NA,NA,NA,10750825,0.279270114195077,NA,"STAT1"
"GSM6928583",NA,0.154,197,4656201,0.600543823752719,NA,"STAT2"
"GSM6928584",NA,0.155,175,7265422,0.510381961430044,NA,"STAT2"
"GSM6928585",NA,NA,NA,9442941,0.22532285525974,NA,"STAT2"
"GSM6928586",NA,NA,NA,11987258,0.216413736147402,NA,"STAT2"
"GSM6928587",NA,0.275,207,8683156,0.269561527757425,NA,"STAT2"
"GSM6928588",NA,0.309,186,11192797,0.264039362937026,NA,"STAT2"
"GSM6928589",NA,NA,NA,8515743,0.32188468235717,NA,"STAT2"
"GSM6928590",NA,NA,NA,9634420,0.354130575241178,NA,"STAT2"
"GSM6928591",NA,NA,NA,7562190,0.387447228187347,NA,"STAT2"
"GSM6928592",NA,NA,NA,8833416,0.397787345976181,NA,"STAT2"
"GSM6928593",NA,NA,NA,8683677,0.331277626061244,NA,"STAT2"
"GSM6928594",NA,NA,NA,11390865,0.24423711530427,NA,"STAT2"
"GSM6928595",NA,0.156,235,NA,NA,NA,"IRF9"
"GSM6928596",NA,0.157,184,NA,NA,NA,"IRF9"
"GSM6928599",NA,0.167,243,NA,NA,NA,"IRF9"
"GSM6928600",NA,0.164,188,NA,NA,NA,"IRF9"
"GSM6928635",NA,NA,NA,12718458,0.181693104658314,NA,"Input"
"GSM6928636",NA,NA,NA,11953472,0.176377399800789,NA,"Input"
"GSM6928637",NA,NA,NA,11369445,0.17330064087961,NA,"Input"
"GSM6928638",NA,NA,NA,12878883,0.178458342885859,NA,"Input"
"GSM6928639",NA,NA,NA,12638287,0.180180100702319,NA,"Input"
"GSM6928640",NA,NA,NA,12565567,0.178760026077196,NA,"Input"
"GSM6928641",NA,NA,NA,11993754,0.182837045752934,NA,"Input"
"GSM6928642",NA,NA,NA,12369807,0.181629214427209,NA,"Input"
"GSM6928643",NA,NA,NA,11372318,0.178124589417067,NA,"Input"
"GSM6928644",NA,NA,NA,11316744,0.17678290509606,NA,"Input"
"GSM7899570",NA,NA,NA,5249045,0.576468965946831,NA,"STAT2"
"GSM7899571",NA,NA,NA,5821655,0.595883585362261,NA,"STAT2"
"GSM7899573",NA,NA,NA,9288478,0.309771865629723,NA,"STAT2"
"GSM7899574",NA,NA,NA,8796039,0.362622958659804,NA,"STAT2"
"GSM7899575",NA,NA,NA,10164317,0.269809639189166,NA,"STAT2"
"GSM7899577",NA,NA,NA,9521275,0.30716542426724,NA,"STAT2"
"GSM7899578",NA,NA,NA,10442543,0.296166138212114,NA,"STAT2"
"GSM7899580",NA,NA,NA,11008491,0.296473796095911,NA,"STAT2"
"GSM7899581",NA,NA,NA,10762396,0.273240016787389,NA,"STAT2"
"GSM7899582",NA,NA,NA,9773360,0.326812524779522,NA,"STAT2"
"GSM7899584",NA,NA,NA,10930378,0.255230394652235,NA,"STAT2"
"GSM7899585",NA,NA,NA,9907232,0.302528586189488,NA,"STAT2"
"GSM7899586",NA,NA,NA,11357842,0.236820131027134,NA,"STAT2"
"GSM7899588",NA,NA,NA,10792059,0.268600567820932,NA,"STAT2"
"GSM7899589",NA,NA,NA,11400329,0.23973366638262,NA,"STAT2"
"GSM7899591",NA,NA,NA,11916218,0.244366827955506,NA,"STAT2"
"GSM7899592",NA,NA,NA,11152382,0.182749242317542,NA,"Input"
"GSM7899593",NA,NA,NA,9581953,0.182809666295253,NA,"Input"
"GSM7899595",NA,NA,NA,11691446,0.188165683431692,NA,"Input"
"GSM7899596",NA,NA,NA,12049825,0.190689598222258,NA,"Input"
