"from","to","edge_type"
"XPC_WT","region_00996","Protein-Region"
"XPC_WT","region_02508","Protein-Region"
"XPC_WT","region_18337","Protein-Region"
"XPC_WT","region_42009","Protein-Region"
"XPC_WT","region_00422","Protein-Region"
"XPC_WT","region_00453","Protein-Region"
"XPC_WT","region_01294","Protein-Region"
"XPC_WT","region_01474","Protein-Region"
"XPC_WT","region_01836","Protein-Region"
"XPC_WT","region_02007","Protein-Region"
"XPC_WT","region_02148","Protein-Region"
"XPC_WT","region_02239","Protein-Region"
"XPC_WT","region_02649","Protein-Region"
"XPC_WT","region_03062","Protein-Region"
"XPC_WT","region_03420","Protein-Region"
"XPC_WT","region_03918","Protein-Region"
"XPC_WT","region_03922","Protein-Region"
"XPC_WT","region_04027","Protein-Region"
"XPC_WT","region_04721","Protein-Region"
"XPC_WT","region_04883","Protein-Region"
"XPC_WT","region_04977","Protein-Region"
"XPC_WT","region_05239","Protein-Region"
"XPC_WT","region_05569","Protein-Region"
"XPC_WT","region_06133","Protein-Region"
"XPC_WT","region_06588","Protein-Region"
"XPC_WT","region_06661","Protein-Region"
"XPC_WT","region_06720","Protein-Region"
"XPC_WT","region_06722","Protein-Region"
"XPC_WT","region_07470","Protein-Region"
"XPC_WT","region_07889","Protein-Region"
"XPC_WT","region_07991","Protein-Region"
"XPC_WT","region_08011","Protein-Region"
"XPC_WT","region_08049","Protein-Region"
"XPC_WT","region_08129","Protein-Region"
"XPC_WT","region_08349","Protein-Region"
"XPC_WT","region_08802","Protein-Region"
"XPC_WT","region_08803","Protein-Region"
"XPC_WT","region_08869","Protein-Region"
"XPC_WT","region_09530","Protein-Region"
"XPC_WT","region_09549","Protein-Region"
"XPC_WT","region_09624","Protein-Region"
"XPC_WT","region_10421","Protein-Region"
"XPC_WT","region_10875","Protein-Region"
"XPC_WT","region_11164","Protein-Region"
"XPC_WT","region_11402","Protein-Region"
"XPC_WT","region_11796","Protein-Region"
"XPC_WT","region_12392","Protein-Region"
"XPC_WT","region_12426","Protein-Region"
"XPC_WT","region_12603","Protein-Region"
"XPC_WT","region_12622","Protein-Region"
"XPC_WT","region_12680","Protein-Region"
"XPC_WT","region_12847","Protein-Region"
"XPC_WT","region_13167","Protein-Region"
"XPC_WT","region_13413","Protein-Region"
"XPC_WT","region_13806","Protein-Region"
"XPC_WT","region_13824","Protein-Region"
"XPC_WT","region_14082","Protein-Region"
"XPC_WT","region_14121","Protein-Region"
"XPC_WT","region_15184","Protein-Region"
"XPC_WT","region_15420","Protein-Region"
"XPC_WT","region_15509","Protein-Region"
"XPC_WT","region_15510","Protein-Region"
"XPC_WT","region_15544","Protein-Region"
"XPC_WT","region_15607","Protein-Region"
"XPC_WT","region_15662","Protein-Region"
"XPC_WT","region_16294","Protein-Region"
"XPC_WT","region_16306","Protein-Region"
"XPC_WT","region_16479","Protein-Region"
"XPC_WT","region_16614","Protein-Region"
"XPC_WT","region_17263","Protein-Region"
"XPC_WT","region_17599","Protein-Region"
"XPC_WT","region_17735","Protein-Region"
"XPC_WT","region_17797","Protein-Region"
"XPC_WT","region_19046","Protein-Region"
"XPC_WT","region_19149","Protein-Region"
"XPC_WT","region_19397","Protein-Region"
"XPC_WT","region_19473","Protein-Region"
"XPC_WT","region_19482","Protein-Region"
"XPC_WT","region_20456","Protein-Region"
"XPC_WT","region_21891","Protein-Region"
"XPC_WT","region_21992","Protein-Region"
"XPC_WT","region_22023","Protein-Region"
"XPC_WT","region_22024","Protein-Region"
"XPC_WT","region_22082","Protein-Region"
"XPC_WT","region_23824","Protein-Region"
"XPC_WT","region_23927","Protein-Region"
"XPC_WT","region_24093","Protein-Region"
"XPC_WT","region_26324","Protein-Region"
"XPC_WT","region_26331","Protein-Region"
"XPC_WT","region_26423","Protein-Region"
"XPC_WT","region_27016","Protein-Region"
"XPC_WT","region_27115","Protein-Region"
"XPC_WT","region_27117","Protein-Region"
"XPC_WT","region_27187","Protein-Region"
"XPC_WT","region_27231","Protein-Region"
"XPC_WT","region_27233","Protein-Region"
"XPC_WT","region_27257","Protein-Region"
"XPC_WT","region_27260","Protein-Region"
"XPC_WT","region_27350","Protein-Region"
"XPC_WT","region_29446","Protein-Region"
"XPC_WT","region_29671","Protein-Region"
"XPC_WT","region_30007","Protein-Region"
"XPC_WT","region_30212","Protein-Region"
"XPC_WT","region_30244","Protein-Region"
"XPC_WT","region_30261","Protein-Region"
"XPC_WT","region_30379","Protein-Region"
"XPC_WT","region_30415","Protein-Region"
"XPC_WT","region_30546","Protein-Region"
"XPC_WT","region_30836","Protein-Region"
"XPC_WT","region_30913","Protein-Region"
"XPC_WT","region_30965","Protein-Region"
"XPC_WT","region_31178","Protein-Region"
"XPC_WT","region_31280","Protein-Region"
