"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","22/339","156/9418",0.141025641025641,3.91793359049996,7.10104787466263,3.59642446288875e-08,9.4859343430117e-06,9.4859343430117e-06,"TNFRSF1A/STAT1/STAT2/PPP2R2A/AKT2/IRF9/EIF2AK2/JAK1/RIGI/IFIT1B/PIK3R3/RIPK1/OAS1/OAS2/RAF1/IFIT1/MX2/RSAD2/CXCL10/OAS3/MX1/CLDN16",22
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","23/339","173/9418",0.132947976878613,3.69352226030317,6.90919244007908,5.38973542216574e-08,9.4859343430117e-06,9.4859343430117e-06,"TNFRSF1A/STAT1/TRIM25/STAT2/AKT2/IRF9/ADAR/TLR7/XPO1/EIF2AK2/JAK1/RIGI/PIK3R3/OAS1/OAS2/RAF1/MX2/RSAD2/PML/CXCL10/OAS3/MX1/IL6",23
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","25/339","239/9418",0.104602510460251,2.90603670653287,5.76726160824535,1.51376988670038e-06,0.000146567149757226,0.000146567149757226,"TNFRSF1A/STAT1/C5/STAT2/IRF9/ADAR/TLR7/ISG15/RPS12/EIF2AK2/JAK1/RIGI/PIK3R3/OAS1/OAS2/NRP1/C5AR1/RPS23/MX2/C1S/CXCL10/OAS3/MX1/RPS2/IL6",25
"Human Diseases","Infectious disease: viral","hsa05162","Measles","18/339","136/9418",0.132352941176471,3.67699115044248,6.07620942359343,1.66553579269575e-06,0.000146567149757226,0.000146567149757226,"STAT1/STAT2/AKT2/IRF9/ADAR/TLR7/EIF2AK2/JAK1/RIGI/PIK3R3/OAS1/OAS2/STAT5A/MX2/IL2RA/OAS3/MX1/IL6",18
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","17/339","180/9418",0.0944444444444444,2.62382825303179,4.25034803568932,0.000258527450044849,0.0182003324831574,0.0182003324831574,"SP100/TNFRSF1A/STAT1/C5/STAT2/AKT2/IRF9/ZC3HAV1/EIF2AK2/JAK1/RIGI/PIK3R3/OAS1/OAS2/PML/OAS3/IL6",17
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","17/339","187/9418",0.0909090909090909,2.52561008313221,4.07171249240025,0.000405518717975608,0.023790431454569,0.023790431454569,"STAT1/STAT2/GBP1/VDAC2/IRF9/NOD2/JAK1/NAMPT/RIPK1/OAS1/RBCK1/OAS2/OAS3/CASP4/ITPR1/IL6/CARD8",17
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","10/339","83/9418",0.120481927710843,3.34719408607883,4.1501903244694,0.000751654243061629,0.0377974705082419,0.0377974705082419,"CASP7/POLR3F/POLR2E/ADAR/RIGI/RIPK1/SAMHD1/CXCL10/IL6/MLKL",10
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","9/339","71/9418",0.126760563380282,3.52162532718434,4.12107707601382,0.000948274545211654,0.0408775645777171,0.0408775645777171,"SHC1/STAT1/SOCS1/AKT2/TNFRSF11A/PIK3R3/IRF1/STAT5A/RAF1",9
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","17/339","205/9418",0.0829268292682927,2.30384919778401,3.6470430125828,0.00115093840802817,0.0408775645777171,0.0408775645777171,"STAT1/STAT2/AKT2/IRF9/ISG15/EIF2AK2/PSMD1/JAK1/RIGI/PIK3R3/RIPK1/OAS1/OAS2/CXCL10/OAS3/IL6/PSMD12",17
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","12/339","119/9418",0.100840336134454,2.80151706700379,3.82147360235514,0.0011612944482306,0.0408775645777171,0.0408775645777171,"CSF1/TNFRSF1A/CASP7/AKT2/NOD2/IL15/PIK3R3/RIPK1/IRF1/CXCL10/IL6/MLKL",12
