"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-913531","Interferon Signaling","37/409","266/11287",0.139097744360902,3.8386216151626,9.08437330262992,1.40729482388894e-12,2.42617627638453e-09,2.42617627638453e-09,"PPM1B/SP100/USP18/UBA7/STAT1/TRIM25/STAT2/GBP1/NUP85/SOCS1/IRF9/UBE2I/IFITM1/NDC1/TRIM22/ISG15/EIF2AK2/JAK1/TRIM5/TRIM21/RIGI/NUP205/MT2A/TRIM14/IRF1/IFI44L/OAS1/FANCA/OASL/OAS2/RAF1/PML/OAS3/FURIN/KPNB1/UBE2L6/TRIM34",37
"R-HSA-877300","Interferon gamma signaling","20/409","96/11287",0.208333333333333,5.74928687856561,9.06122098532537,1.64594278259084e-10,1.41880267859331e-07,1.41880267859331e-07,"SP100/STAT1/TRIM25/GBP1/SOCS1/IRF9/TRIM22/JAK1/TRIM5/TRIM21/MT2A/TRIM14/IRF1/OAS1/OASL/OAS2/RAF1/PML/OAS3/TRIM34",20
"R-HSA-909733","Interferon alpha/beta signaling","15/409","57/11287",0.263157894736842,7.26225710976708,9.19042497168482,1.03496926208804e-09,5.94762335946594e-07,5.94762335946594e-07,"USP18/STAT1/STAT2/SOCS1/IRF9/IFITM1/ISG15/EIF2AK2/JAK1/IRF1/OAS1/OASL/OAS2/OAS3/KPNB1",15
"R-HSA-1169410","Antimicrobial mechanism of IFN-stimulated genes","22/409","159/11287",0.138364779874214,3.81839430425489,6.93983118108959,6.15682819546228e-08,2.65359295224424e-05,2.65359295224424e-05,"PPM1B/USP18/UBA7/STAT1/TRIM25/GBP1/NUP85/UBE2I/NDC1/ISG15/EIF2AK2/JAK1/RIGI/NUP205/OAS1/FANCA/OASL/OAS2/OAS3/FURIN/KPNB1/UBE2L6",22
"R-HSA-1169408","ISG15 antiviral mechanism","14/409","70/11287",0.2,5.51931540342298,7.35428509488761,1.63339828501037e-07,5.63195728671577e-05,5.63195728671577e-05,"PPM1B/USP18/UBA7/STAT1/TRIM25/NUP85/NDC1/ISG15/EIF2AK2/JAK1/RIGI/NUP205/KPNB1/UBE2L6",14
"R-HSA-9909505","Modulation of host responses by IFN-stimulated genes","6/409","17/11287",0.352941176470588,9.73996835898173,6.99245230515083,1.92268018265555e-05,0.0049944088146316,0.0049944088146316,"UBA7/TRIM25/ISG15/RIGI/IFI44L/UBE2L6",6
"R-HSA-162909","Host Interactions of HIV factors","15/409","117/11287",0.128205128205128,3.53802269450191,5.35080341038053,2.02789221011724e-05,0.0049944088146316,0.0049944088146316,"RBX1/PACS1/SKP1/NUP85/HMGA1/PSMA3/NDC1/XPO1/PSMD1/NUP205/PSMB2/CUL5/KPNB1/RANGAP1/PSMD12",15
"R-HSA-983168","Antigen processing: Ubiquitination & Proteasome degradation","26/409","296/11287",0.0878378378378378,2.42402365690874,4.81395033619525,2.73021064347759e-05,0.00588360393669421,0.00588360393669421,"RBX1/UBE2K/UBA7/FBXO6/SKP1/DTX3L/FBXO31/SOCS1/PSMA3/HERC6/PSMD1/TRIM21/RNF19B/RNF213/RBBP6/NEDD4L/TRIP12/PSMB2/RBCK1/ANAPC7/HECTD1/CUL5/UBE2L6/PRKN/ZNRF1/PSMD12",26
"R-HSA-9020558","Interleukin-2 signaling","5/409","12/11287",0.416666666666667,11.4985737571312,7.05537011487745,3.91115130009616e-05,0.00749202760151754,0.00749202760151754,"SHC1/JAK1/STAT5A/IL2RA/PTK2B",5
"R-HSA-449147","Signaling by Interleukins","34/409","456/11287",0.0745614035087719,2.05763951443401,4.47036476369771,5.15741695364698e-05,0.0088913868280874,0.0088913868280874,"RBX1/CSF1/TNFRSF1A/SHC1/USP18/CEBPD/STAT1/SKP1/STAT2/SQSTM1/SOCS1/PSMA3/NOD2/NOS2/IL15/NKIRAS1/PSMD1/MAOA/GSTA2/JAK1/OPRM1/SMAD3/PSMB2/PIK3R3/STAT5A/NLRC5/CAPZA1/MEF2A/IL2RA/CXCL10/PTK2B/IL6/CSF3R/PSMD12",34
