"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","22/337","156/9418",0.141025641025641,3.94118542189759,7.13570214048165,3.23369700593592e-08,8.50448706074184e-06,8.50448706074184e-06,"TNFRSF1A/STAT1/STAT2/PPP2R2A/AKT2/IRF9/EIF2AK2/JAK1/RIGI/PIK3R3/RIPK1/OAS1/OAS2/RAF1/IFIT1/IFIT1B/MX2/RSAD2/CXCL10/OAS3/MX1/CLDN16",22
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","23/337","173/9418",0.132947976878613,3.71544227371743,6.94407761536701,4.83209492087605e-08,8.50448706074184e-06,8.50448706074184e-06,"TNFRSF1A/STAT1/TRIM25/STAT2/AKT2/IRF9/ADAR/TLR7/XPO1/EIF2AK2/JAK1/RIGI/PIK3R3/OAS1/OAS2/RAF1/MX2/RSAD2/PML/CXCL10/OAS3/MX1/IL6",23
"Human Diseases","Infectious disease: viral","hsa05162","Measles","18/337","136/9418",0.132352941176471,3.69881305637982,6.10697120811915,1.52997578162408e-06,0.000179517158377225,0.000179517158377225,"STAT1/STAT2/AKT2/IRF9/ADAR/TLR7/EIF2AK2/JAK1/RIGI/PIK3R3/OAS1/OAS2/STAT5A/MX2/IL2RA/OAS3/MX1/IL6",18
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","24/337","239/9418",0.100418410041841,2.80635188656991,5.44888974560732,4.55907422012327e-06,0.000401198531370848,0.000401198531370848,"TNFRSF1A/STAT1/C5/STAT2/IRF9/ADAR/TLR7/ISG15/EIF2AK2/JAK1/RIGI/PIK3R3/OAS1/OAS2/NRP1/C5AR1/RPS23/MX2/C1S/CXCL10/OAS3/MX1/RPS2/IL6",24
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","17/337","180/9418",0.0944444444444444,2.63939993405869,4.27795867210951,0.000241116123947619,0.0169745751259124,0.0169745751259124,"SP100/TNFRSF1A/STAT1/C5/STAT2/AKT2/IRF9/ZC3HAV1/EIF2AK2/JAK1/RIGI/PIK3R3/OAS1/OAS2/PML/OAS3/IL6",17
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","17/337","187/9418",0.0909090909090909,2.54059886700836,4.09911780494614,0.000378735869659456,0.0222191710200214,0.0222191710200214,"STAT1/STAT2/GBP1/VDAC2/IRF9/NOD2/JAK1/NAMPT/RIPK1/OAS1/RBCK1/OAS2/OAS3/CASP4/ITPR1/IL6/CARD8",17
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","10/337","83/9418",0.120481927710843,3.36705873940867,4.17249013054713,0.000718072170917623,0.0361087720232862,0.0361087720232862,"CASP7/POLR3F/POLR2E/ADAR/RIGI/RIPK1/SAMHD1/CXCL10/IL6/MLKL",10
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","9/337","71/9418",0.126760563380282,3.54252518075814,4.14250187458505,0.000909354448852555,0.0388460866711745,0.0388460866711745,"SHC1/STAT1/SOCS1/AKT2/TNFRSF11A/PIK3R3/IRF1/STAT5A/RAF1",9
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","17/337","205/9418",0.0829268292682927,2.31752189331982,3.67399561296727,0.00107876454164224,0.0388460866711745,0.0388460866711745,"STAT1/STAT2/AKT2/IRF9/ISG15/EIF2AK2/PSMD1/JAK1/RIGI/PIK3R3/RIPK1/OAS1/OAS2/CXCL10/OAS3/IL6/PSMD12",17
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","12/337","119/9418",0.100840336134454,2.81814328105129,3.84492488694598,0.00110358200770382,0.0388460866711745,0.0388460866711745,"CSF1/TNFRSF1A/CASP7/AKT2/NOD2/IL15/PIK3R3/RIPK1/IRF1/CXCL10/IL6/MLKL",12
