"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-913531","Interferon Signaling","34/230","266/11287",0.12781954887218,6.27260542661,12.5507845834676,5.04536603635701e-18,8.69821104667949e-15,8.69821104667949e-15,"MT2A/USP18/OAS3/OASL/STAT2/EIF2AK2/GBP1/NUP85/IRF9/UBE2I/OAS2/TRIM5/TRIM22/TRIM25/JAK1/RIGI/UBE2L6/STAT1/SOCS1/ISG15/IRF1/KPNB1/UBA7/OAS1/PML/FANCA/TRIM21/NDC1/IFITM1/TRIM14/SP100/NUP205/TRIM34/IFI44L",34
"R-HSA-877300","Interferon gamma signaling","19/230","96/11287",0.197916666666667,9.71254528985507,12.3640713756592,4.97480502225485e-14,4.28828192918368e-11,4.28828192918368e-11,"MT2A/OAS3/OASL/GBP1/IRF9/OAS2/TRIM5/TRIM22/TRIM25/JAK1/STAT1/SOCS1/IRF1/OAS1/PML/TRIM21/TRIM14/SP100/TRIM34",19
"R-HSA-909733","Interferon alpha/beta signaling","15/230","57/11287",0.263157894736842,12.9141876430206,13.005506534843,2.83852147082953e-13,1.63120367190337e-10,1.63120367190337e-10,"USP18/OAS3/OASL/STAT2/EIF2AK2/IRF9/OAS2/JAK1/STAT1/SOCS1/ISG15/IRF1/KPNB1/OAS1/IFITM1",15
"R-HSA-1169410","Antimicrobial mechanism of IFN-stimulated genes","20/230","159/11287",0.125786163522013,6.17281925075198,9.47398283102563,6.86993476908196e-11,2.96094188547433e-08,2.96094188547433e-08,"USP18/OAS3/OASL/EIF2AK2/GBP1/NUP85/UBE2I/OAS2/TRIM25/JAK1/RIGI/UBE2L6/STAT1/ISG15/KPNB1/UBA7/OAS1/FANCA/NDC1/NUP205",20
"R-HSA-1169408","ISG15 antiviral mechanism","13/230","70/11287",0.185714285714286,9.11372670807453,9.82078767393983,1.26486568638111e-09,4.36125688664208e-07,4.36125688664207e-07,"USP18/EIF2AK2/NUP85/TRIM25/JAK1/RIGI/UBE2L6/STAT1/ISG15/KPNB1/UBA7/NDC1/NUP205",13
"R-HSA-9909505","Modulation of host responses by IFN-stimulated genes","6/230","17/11287",0.352941176470588,17.3202046035806,9.71188179684598,6.88038622726519e-07,0.000197696430930086,0.000197696430930086,"TRIM25/RIGI/UBE2L6/ISG15/UBA7/IFI44L",6
"R-HSA-168276","NS1 Mediated Effects on Host Pathways","8/230","42/11287",0.19047619047619,9.34741200828157,7.81649494318281,1.70937396173943e-06,0.000420994387148397,0.000420994387148398,"EIF2AK2/GBP1/NUP85/MLKL/ISG15/KPNB1/NDC1/NUP205",8
"R-HSA-9679506","SARS-CoV Infections","23/230","415/11287",0.0554216867469879,2.71975903614458,5.14816209591488,1.277045923085e-05,0.00265719396787677,0.00265719396787677,"RBX1/STAT2/NUP85/AKT2/UBE2I/TRIM25/JAK1/SMAD3/RPS23/PARP14/RIGI/NOD2/RPS2/STAT1/ISG15/PARP10/KPNB1/RIPK1/NMI/NDC1/NRP1/LARP1/NUP205",23
"R-HSA-9615933","Postmitotic nuclear pore complex (NPC) reformation","6/230","27/11287",0.222222222222222,10.9053140096618,7.43183776777478,1.38716622452964e-05,0.00265719396787677,0.00265719396787677,"NUP85/RANGAP1/UBE2I/KPNB1/NDC1/NUP205",6
"R-HSA-9920588","Dengue virus activates/modulates innate and adaptive immune responses","6/230","31/11287",0.193548387096774,9.49817671809257,6.83328994561319,3.22289574644447e-05,0.00555627226687027,0.00555627226687027,"C1S/STAT2/TRIM25/PAF1/DDX3X/PML",6
