"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","136/5171","169/9418",0.804733727810651,1.46567051798892,6.74026744975467,1.87731049113233e-12,3.53761916565633e-10,3.53761916565633e-10,"PIK3R4/EIF2S1/ATG10/OPTN/LAMP2/MTMR4/HMGB1/UBA52/SUPT20H/KRAS/ATG101/HIF1A/VPS33A/ATG7/SQSTM1/UBB/RRAS2/ULK1/PIK3R1/CALCOCO2/GABARAPL2/RRAS/BECN2/PRKACB/ATG14/EIF2AK4/MAPK8/SNAP29/PIK3CD/STX17/MAP2K2/ATG3/RPTOR/ATG4C/RRAGA/AKT2/PIK3CB/ERN1/RUBCN/ATG9B/RRAGD/MAPK10/PRKAA1/UBC/DEPTOR/MAP1LC3A/WDR41/TAX1BP1/ITPR1/AKT1S1/TP53INP2/EIF2AK3/CTSD/SH3GLB1/VPS18/SUPT20HL1/PIK3C3/BCL2L1/IRS1/STX7/PDPK1/VPS39/CAMKK2/IRS2/LAMP1/PPP2CB/PIK3R2/STK11/NRBF2/MTOR/MAPK3/PIK3R3/RRAGC/RB1CC1/RRAGB/RAF1/RAB1A/WDR45B/WDR45/ATG16L1/NRAS/BNIP3/ATG5/PTEN/AKT1/CFLAR/C9orf72/ATG4D/TBK1/VMP1/NBR1/SMCR8/MAP3K7/TSC1/MTMR3/RAB7A/RAB39B/MAP2K1/YKT6/IGF1R/RPS6KB1/DAPK3/CTSL/MLST8/DAPK2/ZFYVE1/GABARAPL1/ATG2B/MAPK1/RAB33B/MTMR14/DAPK1/MRAS/RHEB/PIK3CA/BIRC6/RAB8A/ATG2A/VAMP8/MAP1LC3B/SUPT20HL2/VPS16/CTSB/ATG4A/GABARAP/WIPI2/RPS6KB2/GORASP2/WIPI1/TANK/AMBRA1/EPG5/VPS41/WDFY3/UVRAG/PRKCD",136
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","192/5171","253/9418",0.758893280632411,1.38218080003791,6.79931739602563,2.01001088957746e-12,3.53761916565633e-10,3.53761916565633e-10,"PIK3R4/PLCG2/FNBP1/SEPTIN6/CAPN2/SEPTIN7/ELMO1/UBA52/PTK2/MYL2/ROCK1/CDC42/H3-5/ARPC5/SQSTM1/CXCL8/UBB/ITGB1/C3/NFKBIA/CBX3/PIK3R1/RIPK2/H3C1/CALCOCO2/MYL10/TAB2/CYTH3/SEPTIN11/NFKB1/BECN2/SKP1/ITGA5/ATG14/MAPK8/PIK3CD/H3C12/FNBP1L/IL1R1/IL18/SEPTIN2/RPTOR/RRAGA/BAX/AKT2/PLCE1/CAST/PIK3CB/H3-3A/ACTR3/TAB1/FOXO3/RIPK1/MAPK13/RRAGD/GSK3A/MAPK10/CHUK/ARPC1B/CGAS/UBC/SHARPIN/PFN4/TNFRSF1A/H3C2/MAP1LC3A/H3-3B/ITPR1/RBX1/AKT1S1/TLR5/TRADD/SRC/DOCK1/HKDC1/BCL10/H3C10/CAPN1/ARPC2/ILK/CD44/TRAF5/PIK3C3/BCL2L1/CYTH4/ARPC1A/TLN2/WASL/VDAC1/BCAR1/JUN/FOXO1/PIK3R2/TNIP1/MTOR/FOXO6/MAPK3/IKBKG/MAPK14/PIK3R3/ITPR2/RRAGC/NOD1/RRAGB/SEPTIN9/ATG16L1/RHOA/RBCK1/BNIP3/H3C3/RAC1/ATG5/ARHGEF2/MYL12B/AKT1/PLCD1/SEPTIN3/ITPR3/TAB3/MALT1/MYL5/TBK1/PLCB4/H3C4/PLCZ1/ACTN1/TRAF2/UBE2D4/IRF3/MAP3K7/CYCS/EGFR/ROCK2/FBXW11/TLN1/UBE2V1/RPS6KB1/PXN/UBE2N/ATM/ACTR2/STING1/GLMN/WASF2/UBE2D3/U2AF1L4/PLCB1/MAPK1/CUL1/H3-4/ACTB/BTRC/ARF6/UBE2D1/RNF31/UBE2D2/DIAPH1/PIK3CA/HK2/HCLS1/MDM2/CASP4/CD14/ACTG1/CASP1/MAP1LC3B/TIFA/H3C11/PPID/PFN2/VCL/H3C13/WIPI2/UBE2V2/RPS6KB2/WIPI1/GSK3B/MYL12A/ARPC3/CRKL/ARPC5L/ARF1/NFKBIB/CRK/PRKCE/H3C6/ACTN4/CYTH1/SEPTIN8/ACTR3C/FOXO4/PRKCD",192
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","127/5171","158/9418",0.80379746835443,1.46396529819416,6.48949605709057,1.19887447410886e-11,1.40667938295439e-09,1.40667938295439e-09,"PPP2R5E/CHEK2/PDS5B/HDAC1/STAG2/TFDP2/ANAPC15/PPP2R1B/ORC4/AURKB/CDC26/CCND3/DBF4B/NIPBL/ESCO2/RAD21/PPP2R5C/ORC6/RBL1/ORC1/MAD1L1/PPP2R1A/ZBTB17/PCNA/MCM6/SKP1/E2F4/CDK2/SMAD2/YWHAG/YWHAQ/ANAPC13/PTTG2/MCM4/GADD45B/CDC27/ANAPC2/MYC/CDK1/CDKN2D/MAU2/CDKN2A/ORC2/MCM3/RBX1/E2F1/ANAPC10/PPP2R5B/ANAPC7/ATRX/ANAPC1/CDKN2B/CDKN1A/ESCO1/CDC6/CCNA1/CDCA5/CDC23/MAD2L1BP/WAPL/CDC14A/MAD2L2/TGFB2/CCND1/PPP2CB/MCM5/CREBBP/CCNB1/DBF4/BUB1B/TFDP1/SMAD3/CDT1/SFN/PDS5A/E2F3/PPP2R5A/CDC25B/CCNE2/SMAD4/PLK1/CCNA2/STAG1/FBXO5/RB1/TICRR/CDKN2C/TGFB3/CCNH/YWHAB/EP300/CDC25A/YWHAH/ATM/CDKN1B/CDC14B/ORC5/CCNB2/BUB3/CUL1/ANAPC4/ANAPC5/YWHAZ/CDK4/CHEK1/ESPL1/ATR/TTK/ABL1/MDM2/PRKDC/ANAPC16/TGFB1/SKP2/MCM7/KNL1/CDK6/RBL2/NDC80/HDAC8/GSK3B/MTBP/WEE1/ORC3/SMC3/FZR1/GADD45A",127
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome biogenesis","185/5171","250/9418",0.74,1.34777025720364,6.14932663498944,2.19903917283563e-10,1.54812357767628e-08,1.54812357767628e-08,"WDR7/IDUA/GM2A/PSAP/LAMP2/ATP6V1A/DMXL2/BLOC1S6/OSTM1/SLC36A4/AP4B1/AP5S1/VPS33A/ARSB/AP2S1/ARL8A/OSBPL3/AP1S2/SUMF1/GLA/MCOLN1/SNAP29/LAMP3/BLOC1S2/AP3S2/ATP6V0D2/GUSB/STX17/PIKFYVE/OSBP/ATP6V1B1/LAPTM4B/CD68/RPTOR/PLA2G15/SCARB2/LAMTOR3/PPT1/RRAGA/ATP6V1G1/SLC17A5/HYAL2/AP1S1/ATP6V1C2/IGF2R/GGA2/CLTCL1/RRAGD/MEAK7/NPC1/DEPTOR/SPG11/SLC11A2/ABCB9/AP3B1/HYAL4/CLTA/AKT1S1/CTSS/GGA1/DNASE2/TFEB/NAGA/LIPA/ABCA5/AP1M1/SLC29A2/AP3B2/CTSD/MFSD8/CLCN7/LAMTOR1/VPS18/SORT1/SGSH/CLTC/CLN5/VPS39/NPC2/TCIRG1/VPS26A/TPCN2/LAMP1/TELO2/NAGLU/DTNBP1/GGA3/MTOR/MAN2B1/ARSG/ATP6V0E1/CTSH/SLC29A3/RRAGC/CD164/ATP6V1E2/RRAGB/AP4S1/AP2B1/BLOC1S4/CLN6/KXD1/OSBPL6/AP2A1/AP3S1/SLC15A3/MCOLN3/CTNS/LGMN/AGA/BLOC1S5/TPP1/CTSV/OSBPL1A/TLR7/RAB7A/TLR3/NCOA7/OSBPL2/ATP6V1F/VPS35/HEXA/GPR155/CTSZ/PSAPL1/TTI1/LAMTOR4/AP2M1/GALC/LITAF/AP3M2/CTSL/HGSNAT/TFE3/ATP6V1H/FUCA2/SLC38A9/BORCS6/MLST8/CLN3/ACP2/VPS13A/NAGPA/ATP6V0A1/BLOC1S3/ZFYVE26/AP1G1/SLC36A1/ARL8B/SLC29A1/AP3D1/OSBPL5/ATP6V1B2/MCOLN2/GLB1/MANBA/FIG4/AP1M2/SLC11A1/SNAPIN/ROGDI/AP3M1/VAMP8/VPS29/ATP6V1C1/VPS16/CTSB/LAPTM4A/HEXB/BORCS5/AP1B1/VPS13C/VPS41/AP1G2/LAMTOR2/AP5B1/CLTB/IDS/AP2A2/ATP6V0D1/AP5Z1/GAA/AP1S3/TPCN1/ATP6V0A2",185
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","185/5171","250/9418",0.74,1.34777025720364,6.14932663498944,2.19903917283563e-10,1.54812357767628e-08,1.54812357767628e-08,"ACAP2/GIT1/EPS15L1/EHD2/NEDD4L/SMURF1/PARD6A/CHMP5/CCR5/ZFYVE27/ARFGEF1/VPS45/PSD2/CDC42/ARPC5/CHMP2B/VPS4B/STAM2/VPS37B/RAB4A/AP2S1/RAB11FIP1/CAV3/CYTH3/ARRB2/DNM3/RNF41/GRK5/ZFYVE9/VPS37A/RAB35/SMAD2/PSD/WIPF1/SPG21/ASAP2/ARFGAP3/GRK6/EPN1/IST1/RAB31/ARRB1/ACTR3/RAB5C/ARFGAP2/IGF2R/RUFY1/CLTCL1/HSPA8/VPS25/AGAP3/SMAP2/IQSEC1/ARFGEF2/ARPC1B/CLTA/GIT2/TGFBR2/CBLB/SRC/PARD6B/GRK4/SNX3/FGFR3/ITCH/BIN1/DAB2/ARPC2/SH3GLB1/SMURF2/CYTH4/VPS37D/CLTC/LDLRAP1/ARPC1A/VPS26A/ZFYVE16/WASL/PRKCI/PIP5K1A/ASAP3/SNF8/SMAD3/VPS36/RABEP1/GRK2/SNX6/ARF5/ARAP3/AP2B1/RHOA/WASHC4/TSG101/AP2A1/DNM1/CAPZB/RAB11FIP4/CHMP7/DNAJC6/MVB12B/USP8/PDGFRA/GBF1/CHMP6/EPS15/PDCD6IP/EGFR/KIF5C/RAB7A/GRK7/RBSN/IL2RB/CAV1/VPS35/ACAP3/STAM/IGF1R/LDLR/AP2M1/CAV2/AGAP1/SNX32/SH3KBP1/ACTR2/CHMP1B/PML/ASAP1/WASHC3/EHD4/PLD1/PIP5K1B/MVB12A/RAB5B/VTA1/SNX12/DNM2/SH3GL1/RAB11A/AGAP2/FGFR4/SNX2/WASHC2A/NEDD4/KIF5A/PIP5KL1/HSPA6/PSD3/ARF6/ARF4/MDM2/RAB8A/TFRC/CAPZA1/ARAP2/PSD4/VPS29/WWP1/EEA1/SNX5/RUFY2/EHD1/WIPF3/PARD3/WIPF2/CBL/VPS4A/SMAP1/RAB11FIP5/SNX4/ARPC3/ARPC5L/ARF1/RAB10/ARF3/CLTB/AP2A2/KIF5B/VPS28/VPS37C/CYTH1/ACTR3C/CAPZA2/SNX1/TGFBR1/IL2RA",185
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","113/5171","142/9418",0.795774647887324,1.44935324575572,5.95324983811743,5.28817794321749e-10,3.08149592334398e-08,3.08149592334398e-08,"BRCA1/UBOX5/NEDD4L/SMURF1/ANAPC15/CDC26/HUWE1/CDC34/HERC3/UBA52/UBE2Q2/CUL5/UBB/DDB2/SKP1/UBE2W/WWP2/DDB1/ANAPC13/CUL4B/UBE2Q1/UBE2H/SYVN1/RHOBTB2/CDC27/UBE2K/UBE2R2/ANAPC2/KLHL13/UBA7/STUB1/KEAP1/FBXW7/UBC/RBX1/CBLB/ANAPC10/ANAPC7/ITCH/PIAS2/ANAPC1/UBE2QL1/UBE2L6/UBE2S/SMURF2/CDC23/UBE2G2/UBE2Z/HERC1/UBE3A/NHLRC1/FBXW8/RHOBTB1/BIRC2/PIAS3/SOCS1/FBXO4/MGRN1/UBE2E3/UBE2I/TRIM37/UBE2D4/VHL/CUL7/MID1/PPIL2/UBE2J1/XIAP/FBXW11/HERC4/UBE4A/CUL2/UBE2N/UBE2A/PML/UBA6/CUL4A/UBR5/SIAH1/PIAS4/UBE3C/UBA2/UBE2O/UBE2D3/MAP3K1/CUL1/NEDD4/ELOC/ANAPC4/BTRC/ANAPC5/UBE2D1/UBE2D2/CUL3/UBA1/BIRC6/COP1/MDM2/ANAPC16/SKP2/UBE2L3/WWP1/FANCL/PRKN/UBE2E1/ELOB/CBL/SAE1/PIAS1/UBE2G1/ERCC8/UBE4B/FZR1",113
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","79/5171","93/9418",0.849462365591398,1.54713528507828,5.85078583432518,6.12797484755905e-10,3.08149592334398e-08,3.08149592334398e-08,"RAP1A/PTPRJ/SMURF1/MYL2/ROCK1/CDC42/NLK/PTPN1/CTNNA2/MYL10/BAIAP2/ARHGAP29/INSR/ACP1/FARP2/WAS/PTPRF/TGFBR2/SRC/FER/RAC3/LEF1/SMURF2/KRIT1/WASL/CREBBP/NECTIN3/AFDN/SMAD3/PTPRM/CTNNA3/CCM2/MAPK3/RHOA/RAC1/MYL12B/RAP1B/MYL5/MET/ACTN1/SMAD4/SORBS1/MAP3K7/EGFR/ROCK2/CTNNB1/CSNK2A2/IGF1R/CSNK2A1/CTNNA1/EP300/TJP1/PDCD10/FYN/HEG1/PTPN6/TCF7L1/WASF2/SNAI1/MAPK1/ACTB/WASF3/TCF7/SSX2IP/PTPRB/IQGAP1/TCF7L2/ERBB2/ACTG1/NECTIN2/PARD3/YES1/LMO7/VCL/MYL12A/ACTN4/CTNND1/CDH1/TGFBR1",79
"Metabolism","Amino acid metabolism","hsa00310","Lysine degradation","56/5171","64/9418",0.875,1.59364726358538,5.258019568578,2.16876803585987e-08,9.54257935778341e-07,9.54257935778341e-07,"DLST/KMT2D/EHHADH/KMT5B/SMYD2/PRDM16/SETD2/COLGALT1/HYKK/NSD3/ACAT1/KMT2A/ALDH3A2/KMT2E/ALDH7A1/PIPOX/DOT1L/PRDM9/PRDM6/GCDH/EHMT1/ALDH2/MECOM/SETMAR/KMT5C/AASS/PRDM2/AADAT/HADHA/ALDH9A1/CAMKMT/KMT2C/PLOD1/SETD7/COLGALT2/PRDM7/EZH2/DLD/PHYKPL/KMT2B/PLOD2/HADH/SMYD3/EZH1/SETD1A/BBOX1/NSD2/SUV39H1/KMT5A/ALDH1B1/ASH1L/SETD1B/PLOD3/NSD1/ECHS1/SETDB2",56
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","177/5171","248/9418",0.713709677419355,1.29988739933001,5.28082546678661,5.2109879047681e-08,2.00429096094781e-06,2.00429096094781e-06,"KPNA1/IL6/RHOB/TUBA4A/BRK1/ELMO1/MYL2/ACTR1B/TUBA8/FADD/MAP2K6/CDC42/DYNC1I2/TUBA1C/VPS33A/ARPC5/CXCL8/BAK1/ARL8A/NFKBIA/DYNC1H1/RIPK2/MAP2K3/CASP8/MYL10/TAB2/CYTH3/ANXA2/SNX18/FBXO22/RPS3/RRAS/NFKB1/SKP1/MAPK8/PIK3CD/DCTN3/IL18/RHOH/MAP2K2/DYNLL1/TXN/TUBA1B/KPNA3/BAX/AKT2/PIK3CB/DCTN1/ACTR3/TAB1/RAB5C/RIPK1/MAPK13/MAPK10/MYC/CHUK/TUBB3/PODXL/TUBB4B/ARPC1B/HSP90AB1/PFN4/TNFRSF1A/PAK3/TLR5/GAPDH/TRADD/PIK3C2G/DYNLL2/S100A10/LEF1/DYNC1LI2/SNX33/AHNAK/TUBB8/ARPC2/VPS18/RHOG/PIK3C3/CYTH4/ARPC1A/VPS39/MYO6/MLKL/TNFSF10/WASL/JUN/TXN2/TNFRSF10A/MAP2K4/DYNC1I1/STX10/MAPK3/IKBKG/MAPK14/NOD1/RAF1/DYNLT1/RHOA/RAC1/MYL12B/ABI1/AKT1/BIRC2/TAB3/DYNC2LI1/MYL5/PIK3C2B/TRAF2/TUBB6/MAP2K7/TNFRSF10B/MAP3K7/CYCS/ROCK2/KIF5C/CTNNB1/RAB7A/MAP2K1/DYNLT3/DCTN4/PIK3C2A/GCC2/HSP90AA1/EXOC4/NCKAP1/NCKAP1L/CASP7/KLC1/DYNC1LI1/ACTR2/KPNA4/TCF7L1/CSE1L/RAB5B/DNM2/DYNLRB1/EXOC7/MAPK1/KIF5A/ACTB/SNX9/ARL8B/WASF3/EXOC5/ARF6/TCF7/FOS/TUBB4A/PIK3CA/KLC4/CASP4/TCF7L2/ACTR10/CD14/RALA/TIRAP/ACTG1/CASP1/VPS16/PFN2/AHNAK2/PAK1/MYL12A/VPS41/ARPC3/CASP5/ARPC5L/ARF1/EXOC2/ACTR1A/IRAK4/KIF5B/CYTH1/ACTR3C/CYFIP2/DCTN6",177
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","84/5171","105/9418",0.8,1.45704892670663,5.19654826207762,5.69400841178354e-08,2.00429096094781e-06,2.00429096094781e-06,"EIF2S1/OPTN/SMURF1/TOMM7/HUWE1/BCL2L13/UBA52/CITED2/FKBP8/KRAS/HIF1A/SQSTM1/UBB/RRAS2/ULK1/CALCOCO2/GABARAPL2/TOMM40/MARCHF5/AMFR/RRAS/BECN2/MAPK8/BNIP3L/PHB2/RAB5C/FOXO3/ATG9B/MAPK10/MTX3/UBC/MAP1LC3A/TAX1BP1/E2F1/SRC/TFEB/EIF2AK3/TOMM20/FUNDC1/SMURF2/BCL2L1/USP30/PINK1/JUN/ARIH1/TOMM40L/MON1B/NRAS/BNIP3/MTX1/MTX2/MFN2/TBK1/NBR1/TRAF2/USP8/RAB7A/USP15/CSNK2A2/CSNK2A1/SAMM50/TFE3/SIAH1/MON1A/RAB5B/GABARAPL1/SP1/MRAS/TOMM70/VCP/RHOT1/MFN1/CCZ1B/TBC1D15/RABGEF1/MAP1LC3B/PRKN/GABARAP/AMBRA1/FIS1/OPA1/NLRX1/RHOT2/ATF4",84
