"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","151/2633","200/4384",0.755,1.25709077098367,4.5632444935254,1.91368891976371e-06,4.08200318177254e-05,4.08200318177254e-05,"FZD4/ACLY/ACADM/PPM1B/EPHX2/LIPE/ALDOA/SLC25A1/SCARB1/DGAT1/REEP6/HIBCH/SLC19A1/TST/BCL2L13/CS/LIFR/RIOK3/SCP2/RREB1/COQ9/SAMM50/PRDX3/SLC1A5/HADH/PLIN2/GPX3/AGPAT3/SDHC/ANGPT1/JAGN1/IFNGR1/MGLL/ABCA1/NDUFA5/LTC4S/FAH/PFKL/ALDH2/ACADL/CHUK/CPT2/ESRRA/LAMA4/VEGFB/PGM1/CMPK1/RTN3/PEMT/UQCR10/CD302/ORM1/CD151/ENPP2/AIFM1/NDUFAB1/UCP2/PDCD4/DLD/ACAA2/ACO2/ETFB/UCK1/PIM3/LPCAT3/SQOR/PEX14/GPAM/STAT5A/GPX4/CRAT/IDH1/SLC25A10/ESYT1/ADIPOR2/SUCLG1/NDUFS3/DBT/NKIRAS1/MTCH2/RETSAT/DLAT/ARL4A/IMMT/ATP1B3/GPD2/COX6A1/MDH2/SLC66A3/CDKN2C/GRPEL1/DECR1/ELOVL6/SULT1A1/MCCC1/CAT/ME1/PHLDB1/COX8A/COQ3/C3/ATL2/APOE/ACOX1/UQCR11/GBE1/CAVIN2/DHRS7/IDH3G/DHCR7/SORBS1/MIGA2/APLP2/CAVIN1/PPP1R15B/PPARG/RMDN3/PHYH/BAZ2A/AK2/TANK/ABCB8/G3BP2/QDPR/PREB/MYLK/COQ5/ECH1/NMT1/IDH3A/BCKDHA/ECHS1/TOB1/SDHB/GADD45A/UQCRC1/COX7B/GPHN/RAB34/NDUFB7/POR/HSPB8/BCL6/GHITM/DNAJB9/CMBL/ANGPTL4/CYC1/YWHAG/RNF11/REEP5",151
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","151/2633","200/4384",0.755,1.25709077098367,4.5632444935254,1.91368891976371e-06,4.08200318177254e-05,4.08200318177254e-05,"HMGB3/LBR/TOP2A/TPX2/AURKB/FOXN3/KPNA2/CUL5/JPT1/MAPK14/KIF15/RACGAP1/CHAF1A/RAD21/PAFAH1B1/PBK/GSPT1/ORC6/RBL1/ESPL1/CHEK1/CDC27/ATF5/MCM3/KMT5A/MCM5/BUB3/CTCF/CDK1/HMGA1/CDC25A/SFPQ/TMPO/WRN/POLA2/E2F1/MARCKS/KIF2C/CUL4A/EFNA5/HMMR/BCL3/POLE/NCL/E2F3/TENT4A/NSD2/HSPA8/SYNCRIP/CENPA/CDKN3/RAD54L/NOTCH2/TGFB1/G3BP1/CCNA2/MNAT1/MCM6/KPNB1/SMAD3/SUV39H1/DMD/STMN1/DKC1/TNPO2/CDK4/PLK4/DDX39A/DBF4/SLC7A1/TFDP1/KIF22/KIF4A/TACC3/CBX1/SRSF2/CCND1/CCNB2/EZH2/TOP1/STIL/EXO1/CDC6/SS18/CCNT1/TLE3/ATRX/RPA2/FANCC/SNRPD1/CDC25B/SMARCC1/RAD23B/CUL3/NOLC1/PRIM2/CCNF/CDKN2C/HIRA/PML/ARID4A/NASP/BIRC5/PLK1/UBE2S/UPF1/MEIS2/STAG1/HUS1/TTK/FBXO5/H2BC12/NEK2/ABL1/MT2A/MAP3K20/HMGN2/HNRNPU/DTYMK/KATNA1/CASP8AP2/MKI67/LMNB1/EWSR1/SMC2/ODF2/KNL1/SLC7A5/XPO1/ILF3/HNRNPD/MTF2/NDC80/TRA2B/MEIS1/SLC38A1/CENPE/KIF5B/AMD1/CENPF/UCK2/ODC1/CDKN1B/ORC5/NUSAP1/MYC/E2F4/KIF11/CUL1/RBM14/SRSF1",151
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","150/2633","199/4384",0.753768844221106,1.25504087089454,4.51498884433865,2.44920190906353e-06,4.08200318177254e-05,4.08200318177254e-05,"ECT2/GEMIN4/TOP2A/TPX2/FLNB/TUBA4A/RABGAP1/BCR/SSH2/ARHGDIA/NET1/DST/ROCK1/AKAP13/CDC42/KIF15/LRPPRC/RACGAP1/PAFAH1B1/ESPL1/CDC27/RAB3GAP1/ARAP3/MYO9B/STK38L/DLG1/CDC42EP2/BIN1/KLC1/CDK1/CNTRL/RALBP1/TAOK2/TLK1/SOS1/MARCKS/KIF2C/SHROOM2/SYNPO/PCM1/CNTROB/MAP3K11/ARHGEF3/MARK4/RAPGEF6/PIF1/NOTCH2/EPB41L2/GSN/DOCK4/STAU1/ARHGEF11/FGD4/EPB41/CPAP/MYH10/ALMS1/CEP250/TUBGCP2/SHROOM1/ABI1/SASS6/SEPTIN9/CDC42EP4/SAC3D1/KIF22/KIF4A/ALS2/NF1/MAP1S/SUN2/CCNB2/CDC42EP1/RASA2/ARHGEF2/BCAR1/PCNT/RFC1/RHOF/TUBD1/TSC1/MID1IP1/RAPGEF5/CKAP5/EZR/DYNC1H1/CEP192/KIF1B/WASF2/MID1/TRIO/BIRC5/ARHGAP5/PXN/PDLIM5/PLK1/WASL/MAPRE1/ARF6/ARHGAP4/SORBS2/MYH9/BCL2L11/TTK/FBXO5/PLEKHG2/NEK2/ABL1/SPTBN1/KATNA1/FGD6/LMNB1/RICTOR/ARHGEF12/CDK5RAP2/TUBGCP3/VCL/NDC80/LLGL1/KATNB1/RASA1/PCGF5/ARHGAP29/CENPE/ACTN4/SMC3/KIF5B/RHOT2/CAPZB/ANLN/TUBGCP6/CSNK1D/CDC42BPA/CENPF/APC/TBCD/DYNLL2/ARFIP2/NUSAP1/CLIP1/PALLD/ARL8A/SPTAN1/KIF11/CCDC88A/FARP1/RANBP9/HDAC6/CLASP1/NEDD9",150
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","78/2633","97/4384",0.804123711340206,1.33888277649657,4.13834519393058,1.27225956088461e-05,0.000159032445110576,0.000159032445110576,"OASL/EIF2AK2/WARS1/SLC25A28/PROCR/TMEM140/IFITM1/IFITM3/TRAFD1/LPAR6/CSF1/NMI/IFI44/CD47/EPSTI1/IL4R/IFIT2/TDRD7/CNP/IFITM2/RSAD2/PNPT1/IFI35/TENT5A/DDX60/IL7/OGFR/CXCL10/SELL/IRF1/SP110/IFIT3/LGALS3BP/HERC6/RTP4/LAP3/UBE2L6/IFI30/PLSCR1/OAS1/PARP9/NCOA7/ADAR/NUB1/ISG15/SAMD9/MOV10/STAT2/UBA7/ISG20/ELF1/IRF2/TRIM14/CASP8/DHX58/IFI44L/BATF2/CASP1/TRIM21/TRIM5/PARP14/CMPK2/PSMA3/PSME1/USP18/TRIM25/SAMD9L/HELZ2/TXNIP/CXCL11/RNF31/LAMP3/C1S/MX1/MVB12A/GBP2/IRF9/IL15",78
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","75/2633","96/4384",0.78125,1.30079756931257,3.65384939448865,0.000118674399634004,0.00118674399634004,0.00118674399634004,"VPS45/AP1G1/LAMP2/TOM1L1/DST/ICA1/MON2/VPS4B/ARCN1/ABCA1/IGF2R/GNAS/OCRL/COG2/KRT18/STX12/AP2S1/MAPK1/SNX2/RER1/GLA/ERGIC3/COPB1/PAM/TSG101/USO1/TSPAN8/CLTC/CLN5/VAMP4/BNIP3/AP2B1/ADAM10/COPE/NAPA/DNM1L/RAB2A/YIPF6/EGFR/NAPG/AP3S1/YKT6/KIF1B/DOP1A/SEC24D/AP2M1/CAV2/SCAMP1/ANP32E/CLTA/ARFGEF2/SNAP23/RPS6KA3/GALC/SEC31A/BET1/LMAN1/ARFIP1/GOSR2/TMX1/AP3B1/SEC22B/CLCN3/TPD52/ZW10/ATP6V1B1/SGMS1/ATP1A1/GBF1/ATP6V1H/ARF1/STX7/PPT1/SCRN1/TMED10",75
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE","78/2633","101/4384",0.772277227722772,1.28585771604126,3.5637289164503,0.000174913361297681,0.00133186855602334,0.00133186855602334,"ZMIZ1/UAP1/NDRG1/MYL12A/PLPP1/HERC3/PA2G4/ADRM1/LIFR/CCND3/HSD17B14/SLC38A2/RRP12/IQGAP2/DHCR24/TNFAIP8/NKX3-1/SORD/ABCC4/ELL2/PTPN21/ARID5B/HOMER2/MAF/ACSL3/H1-0/SGK1/SCD/KRT8/MAK/DBI/CENPN/ACTN1/CCND1/APPBP2/GSR/TSC22D1/SEC24D/TMEM50A/PDLIM5/ELK4/VAPA/CAMKK2/SMS/ADAMTS1/GNAI3/CDC14B/UBE2J1/UBE2I/XRCC5/RPS6KA3/NCOA4/ELOVL5/STEAP4/NGLY1/GPD1L/CDK6/SRP19/LMAN1/HPGD/SAT1/PIAS1/ABHD2/HMGCS1/SLC26A2/MERTK/TPD52/SELENOP/XRCC6/IDI1/B4GALT1/ZBTB10/SPCS3/FADS1/DNAJB9/SRF/PTK2B/BMPR1B",78
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","144/2633","200/4384",0.72,1.19881503987847,3.52887671729403,0.000213098968963734,0.00133186855602334,0.00133186855602334,"CTH/PNP/ACLY/ALDOA/SDF2L1/FADS2/PGK1/RPN1/PITPNB/TUBA4A/TOMM40/EPRS1/WARS1/NUFIP1/TES/SQSTM1/VLDLR/SLC1A5/MAP2K3/G6PD/DHCR24/EBP/FDXR/TRIB3/PSMC6/EIF2S2/HSPA4/CDC25A/EDEM1/PFKL/LTA4H/TBK1/GMPS/SORD/PGM1/ATP2A2/MCM4/TCEA1/PSMG1/ACSL3/GAPDH/GLA/SCD/ACTR3/LDHA/USO1/IFRD1/DDX39A/PRDX1/RRM2/TFRC/UBE2D3/PSMC2/CORO1A/PHGDH/PSME3/IDH1/HSPD1/POLR3G/ADIPOR2/PSMA4/CANX/NFYC/UNG/NIBAN1/ACTR2/IFI30/HMBS/STIP1/NHERF1/IMMT/GSR/RDH11/SC5D/PSMD12/CCNF/YKT6/TXNRD1/FKBP2/ELOVL6/LDLR/GGA2/GLRX/CDKN1A/ME1/PLK1/MTHFD2/XBP1/SSR1/COPS5/SERP1/TM7SF2/HK2/GBE1/PSPH/PSAT1/ELOVL5/RIT1/PPIA/SLC37A4/DHCR7/PLOD2/CYP51A1/SLC2A1/SLC7A5/SERPINH1/NUP205/CALR/CYB5B/ENO1/PPP1R15A/RAB1A/QDPR/ARPC5L/HPRT1/NFKBIB/NAMPT/DHFR/GCLC/SEC11A/SHMT2/HMGCS1/SLC7A11/ADD3/MTHFD2L/NMT1/PDAP1/SLC1A4/UCHL5/PSMA3/TMEM97/IDI1/NUPR1/SLC6A6/ERO1A/BCAT1/BHLHE40/FADS1/SKAP2/ASNS/PPA1/TPI1/AK4/P4HA1",144
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","144/2633","200/4384",0.72,1.19881503987847,3.52887671729403,0.000213098968963734,0.00133186855602334,0.00133186855602334,"LPIN2/COMT/GSS/DHPS/HES6/ANGPTL3/BPHL/CYB5A/LEAP2/SERTAD1/TMBIM6/GAD1/JUP/AP4B1/SAR1B/RAP1GAP/SLC1A5/ITIH1/HSD17B2/FMO1/PROS1/GABARAPL1/MAOA/CBR1/UPP1/TGFB2/SLC35D1/BLVRB/GCKR/CYP26A1/FAH/ALDH2/MBL2/SSR3/PDK4/FBLN1/HMOX1/TKFC/NPC1/ATP2A2/PEMT/ABCC3/TNFRSF1A/ASL/ALDH9A1/PAPSS2/PYCR1/GSTO1/GCH1/ARG1/F11/CASP6/CYP1A1/EPHX1/ACO2/GSTM4/CDA/FAS/LONP1/ABHD6/TPST1/CYP2E1/BCAR1/CSAD/IDH1/ETS2/NINJ1/NQO1/SLC35B1/ACP2/GART/RETSAT/SERPINE1/IGFBP1/GSR/PLG/MARCHF6/PGD/AHCY/CAT/ACOX3/PDLIM5/SLC12A4/MAN1A1/ACSM1/KYNU/CYP2J2/APOE/ACOX1/FABP1/ITIH4/EPHA2/MT2A/PC/ELOVL5/IGF1/RBP4/DHRS7/FBP1/PMM1/ARPP19/ADH5/ESR1/G6PC1/ARG2/PTS/GCNT2/AKR1C3/SPINT2/SLC6A12/HPRT1/PTGES3/GCLC/ID2/SHMT2/PTGR1/ECH1/ABCC2/NMT1/CYP2C18/UPB1/TMEM97/ENTPD5/FETUB/KARS1/SMOX/SLC6A6/POR/ACP1/IL1R1/HGFAC/ENPEP/ACOX2/BCAT1/ALAS1/DHRS1/CYP27A1/CCL25/AOX1/CROT/CNDP2/DDC/TAT/F10",144
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","142/2633","200/4384",0.71,1.18216483099126,3.23334306694221,0.000654190071823986,0.00363438928791103,0.00363438928791103,"HMGB3/CHEK2/DSCC1/BRCA1/LBR/TOP2A/PPP1R8/RNASEH2A/AURKB/PRPS1/KPNA2/PA2G4/JPT1/GINS4/PSMC3IP/RACGAP1/RAD21/PCNA/GSPT1/MELK/ORC6/ESPL1/CHEK1/POLD3/MCM3/MCM5/CTCF/POLD1/PMS2/CDK1/NUDT21/HMGA1/CDC25A/SHMT1/RAN/TMPO/POLA2/RAD50/DCTPP1/KIF2C/NME1/TIPIN/SPC24/HMMR/POLE/MCM4/SYNCRIP/CDKN3/PAICS/CDKN2A/MCM6/SUV39H1/STMN1/PPM1D/CDK4/DONSON/PLK4/DDX39A/RRM2/ING3/KIF22/KIF4A/TACC3/RAD51AP1/TFRC/SRSF2/GINS1/CCNB2/EZH2/MRE11/RPA2/CCP110/IPO7/UNG/RFC1/UBE2T/CDC25B/ATAD2/USP1/NOLC1/PRIM2/CTPS1/EED/CDKN2C/NAP1L1/NASP/CDKN1A/BIRC5/E2F8/PLK1/MTHFD2/LUC7L3/UBE2S/PSIP1/DEPDC1/ANP32E/RFC3/STAG1/HUS1/NBN/PRKDC/MKI67/CBX5/LMNB1/SMC6/MCM7/POP7/XPO1/KIF18B/ILF3/HNRNPD/NUP205/TBRG4/BRMS1L/TRA2B/AK2/CDCA3/BUB1B/CENPE/WEE1/SMC3/CNOT9/DNMT1/GINS3/XRCC6/HMGB2/RFC2/CDKN1B/ZW10/RAD51C/RPA3/POLD2/DEK/MYC/EXOSC8/HELLS/DCK/SNRPB/PNN/MSH2/SRSF1/TIMELESS",142
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","141/2633","200/4384",0.705,1.17383972654766,3.0855762417663,0.00110596940605346,0.00552984703026728,0.00552984703026728,"APEX1/EIF4E/PGK1/PHB1/LSM7/PWP1/CCT2/SNRPB2/EPRS1/RPL22/KPNA2/PSMD7/PA2G4/STARD7/PCNA/GSPT1/IARS1/PHB2/PRDX3/SSB/MCM5/BUB3/PSMC6/EIF2S2/EIF3J/PSMD3/RPL14/PSMA6/HNRNPA1/RAN/TARDBP/HDGF/HNRNPA2B1/NME1/EIF1AX/RPS2/COX5A/HSP90AB1/MCM4/SYNCRIP/PSMB2/PSMD1/G3BP1/CCNA2/NDUFAB1/GNL3/MCM6/KPNB1/RRM1/CDK4/LDHA/IFRD1/SET/VDAC1/EIF4H/CDK2/TFDP1/SRSF2/EIF3D/PSMD8/RSL1D1/DDX18/C1QBP/HSPD1/PABPC1/EEF1B2/PSMA4/CANX/CBX3/SLC25A3/DDX21/SRPK1/SNRPD1/SMARCC1/CCT7/GOT2/RAD23B/SF3B3/USP1/PPM1G/PSMA7/NOLC1/TCP1/IMPDH2/FBL/AP3S1/SF3A1/CTPS1/YWHAQ/SRSF3/NAP1L1/SERBP1/XPOT/RPL6/GLO1/COPS5/PSMA2/HNRNPC/NPM1/HNRNPU/PABPC4/UBE2L3/MCM7/PPIA/XPO1/TXNL4A/HNRNPD/ERH/UBE2E1/HNRNPR/TRA2B/PSMA1/CCT4/HPRT1/PTGES3/UBA2/CAD/EXOSC7/RPS6/CLNS1A/ODC1/XRCC6/KARS1/NHP2/ACP1/VDAC3/POLD2/SRSF7/DEK/SNRPA/MYC/RUVBL2/RPS3/ILF2/DHX15/VBP1/CYC1/HDDC2/RFC4/CUL1/SRSF1",141
