"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","119/4315","158/9418",0.753164556962025,1.64387110022442,7.50508963835857,2.67673081967292e-14,9.42209248524867e-12,9.42209248524867e-12,"NIPBL/HDAC1/CHEK2/SMAD2/STAG2/TFDP2/ANAPC15/PPP2R1B/ORC4/AURKB/CDC26/CCND3/DBF4B/ESCO2/RAD21/PCNA/ORC6/RBL1/ESPL1/CHEK1/CDC27/YWHAZ/MCM3/MCM5/BUB3/ANAPC5/TGFB2/CDK1/CDC25A/GADD45B/SKP1/E2F1/ANAPC2/E2F3/MCM4/MAU2/CDKN2A/TGFB1/CCNA2/MCM6/SMAD3/WAPL/CDK4/CCNB1/ESCO1/CDC14A/MAD2L2/DBF4/CDK2/TFDP1/PDS5A/CCND1/CCNB2/CDC6/PPP2R5B/PPP2R1A/ATRX/PPP2R5A/ATR/ANAPC1/CDC25B/SMAD4/ANAPC10/SFN/TICRR/YWHAQ/CDKN2C/TGFB3/ANAPC4/CCNH/YWHAB/EP300/ANAPC7/ORC1/CDC23/CDKN1A/YWHAH/CDCA5/PLK1/MTBP/CDKN2B/CDC14B/STAG1/TTK/FBXO5/ABL1/MDM2/PRKDC/SKP2/MCM7/KNL1/CDK6/CCNE2/RBL2/NDC80/HDAC8/CDT1/BUB1B/MAD2L1BP/WEE1/ORC3/SMC3/FZR1/GADD45A/ATM/CDKN1B/ORC5/ANAPC13/CREBBP/MYC/E2F4/ANAPC16/PPP2CB/ZBTB17/CDKN2D/YWHAG/RBX1/CUL1/MAD1L1",119
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","171/4315","250/9418",0.684,1.49291123986095,7.26332244668349,2.400315933405e-13,4.2245560427928e-11,4.2245560427928e-11,"VPS45/ACAP2/GIT1/SMAD2/EPS15/EPS15L1/NEDD4L/SMURF1/PARD6A/CHMP5/CCR5/SNF8/ZFYVE27/RUFY2/STAM2/PSD2/CAPZA1/CDC42/EHD4/ARPC5/CHMP2B/VPS4B/VPS37B/PDCD6IP/AGAP1/CHMP6/ARAP3/SMURF2/BIN1/SNX32/RAB5C/ARFGAP2/ZFYVE16/IGF2R/DAB2/GRK4/RUFY1/SRC/VPS25/AGAP3/SMAP2/IQSEC1/VPS28/ARF4/ARPC1B/HSPA8/RABEP1/AP2S1/SNX2/ACAP3/RNF41/AGAP2/CBLB/GIT2/ARPC2/NEDD4/ASAP1/SMAD3/GRK2/WASHC4/TSG101/SH3KBP1/VPS36/ACTR3/PIP5K1B/SH3GLB1/SPG21/AP2A1/KIF5C/KIF5A/ASAP3/SNX6/SH3GL1/CLTC/TFRC/DNM1/ITCH/PRKCI/RAB11FIP4/VPS26A/AP2B1/PARD6B/ARRB2/SMAP1/RAB11A/PIP5K1A/ACTR2/SNX3/GRK5/EGFR/PLD1/RAB7A/ASAP2/PIP5KL1/RBSN/VPS37D/USP8/VPS35/WWP1/FGFR4/IGF1R/HSPA6/PDGFRA/PML/LDLR/AP2M1/CAV2/IST1/GRK7/WASL/CHMP1B/ARF6/CHMP7/FGFR3/RHOA/WASHC3/CLTA/ARFGEF2/MDM2/DNM3/RAB8A/ZFYVE9/PSD4/VPS29/EEA1/SNX5/EHD1/PARD3/WIPF2/CBL/VPS4A/RAB11FIP5/SNX4/ARPC3/ARPC5L/DNM2/RAB10/CLTB/RAB5B/AP2A2/KIF5B/VPS37C/ACTR3C/CAPZB/SNX1/TGFBR1/CAV1/VPS37A/LDLRAP1/ARRB1/CAPZA2/RAB31/EPN1/ARF3/CYTH1/GRK6/TGFBR2/WIPF1/GBF1/PSD3/PSD/SNX12/RAB35/ARF1/MVB12A/CYTH3/ARAP2/ARF5/RAB11FIP1/MVB12B/DNAJC6",171
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome biogenesis","170/4315","250/9418",0.68,1.48418076477404,7.13467401966278,6.28941913561816e-13,7.3795851191253e-11,7.3795851191253e-11,"GGA1/AP1G1/WDR7/IDUA/GM2A/PSAP/LAMP2/ATP6V1A/DMXL2/LIPA/AP3M2/BLOC1S6/OSTM1/SLC36A4/AP4B1/AP5S1/VPS33A/HYAL2/LAMTOR4/OSBPL6/SLC29A1/GGA3/NAGPA/BORCS6/TFE3/HGSNAT/MAN2B1/MCOLN1/SLC17A5/CTSZ/AKT1S1/AP1S1/IGF2R/LAMTOR1/SLC36A1/SPG11/SLC15A3/VAMP8/MEAK7/NPC1/RRAGD/AP2S1/DEPTOR/SLC11A2/ABCB9/SLC11A1/CTSS/DNASE2/TELO2/ZFYVE26/TPP1/GLA/CTSV/LITAF/GLB1/AP2A1/MTOR/SLC29A3/ATP6V0A1/LAMP1/CLTC/NAGA/VPS18/ARSG/AP4S1/ATP6V0E1/NAGLU/AP1M1/CLN5/AP3B2/VPS26A/RRAGC/CLN6/AP2B1/OSBPL1A/CTSH/MANBA/TFEB/ACP2/ARSB/ATP6V1B2/RRAGB/MLST8/CTSD/RAB7A/TLR3/NCOA7/OSBPL2/AP3S1/ATP6V1F/VPS35/MCOLN3/SLC29A2/GGA2/AP2M1/SGSH/CTSL/PSAPL1/HEXA/AP3D1/CLCN7/CLTA/FIG4/ATP6V1G1/AGA/AP1M2/ARL8B/HYAL4/LAPTM4B/GALC/SNAPIN/ROGDI/OSBPL5/AP1S2/AP3M1/VPS29/ATP6V1C1/VPS16/CTSB/LAPTM4A/CD164/BORCS5/AP1B1/CD68/KXD1/CTNS/TCIRG1/BLOC1S4/AP5B1/AP3B1/CLTB/IDS/AP2A2/AP5Z1/OSBP/GAA/AP1S3/TPCN1/ATP6V0A2/SLC38A9/NPC2/PLA2G15/RRAGA/ABCA5/SCARB2/AP3S2/RPTOR/LAMTOR2/FUCA2/ATP6V1B1/OSBPL3/PIKFYVE/STX17/ATP6V0D1/GUSB/ATP6V1H/HEXB/ATP6V0D2/BLOC1S2/ARL8A/LAMP3/SORT1/AP1G2/LAMTOR3/SUMF1/VPS41/MFSD8/PPT1/BLOC1S3/CLN3",170
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","169/4315","253/9418",0.66798418972332,1.45795483170666,6.7896997947917,7.62169038952169e-12,6.70708754277908e-10,6.70708754277908e-10,"PIK3R4/PLCG2/FNBP1/SEPTIN6/TRADD/CAPN2/SEPTIN7/PIK3CA/MYL12A/ELMO1/UBA52/PTK2/ROCK1/CDC42/MAPK14/NFKBIA/ARPC5/SQSTM1/CXCL8/UBB/HKDC1/PIK3R1/ITGB1/H3C13/TAB1/FOXO3/AKT1S1/CAST/RIPK1/SKP1/PIK3CB/CAPN1/TBK1/SRC/CHUK/RRAGD/ARPC1B/SHARPIN/PFN4/TNFRSF1A/MAPK1/H3C2/H3-3B/UBE2D1/ITPR1/ARPC2/TLR5/CYCS/ACTR3/ATG16L1/TLN2/SEPTIN3/H3-4/U2AF1L4/MTOR/SEPTIN9/VDAC1/BTRC/ACTN1/NOD1/H3C1/PLCD1/ITPR2/UBE2D3/TRAF2/ARHGEF2/BNIP3/RRAGC/BCAR1/FOXO6/RBCK1/CBX3/PLCB1/MAPK3/TAB3/RAC1/MYL12B/PIK3R2/ACTR2/DOCK1/RRAGB/IKBKG/EGFR/FOXO1/FBXW11/TLN1/MAPK13/MALT1/WASF2/UBE2V1/CD44/PXN/WASL/TNIP1/ARF6/PIK3C3/C3/RPS6KB1/BCL2L1/RHOA/IRF3/HK2/HCLS1/DIAPH1/MDM2/H3C10/CASP4/CD14/MAP1LC3B/TIFA/H3C3/PPID/PFN2/VCL/UBE2N/WIPI2/UBE2V2/RPS6KB2/UBE2D2/ARPC3/CRKL/ARPC5L/NFKBIB/ACTB/PRKCE/H3C6/ACTN4/CASP1/H3C4/PIK3CD/FNBP1L/SEPTIN8/ACTR3C/PRKCD/ATM/ACTG1/H3-3A/WIPI1/PLCE1/AKT2/BAX/RRAGA/H3C11/GLMN/CRK/RPTOR/CYTH1/ATG5/IL1R1/UBE2D4/IL18/SEPTIN2/MYL5/RNF31/H3C12/FOXO4/ARF1/ATG14/ITGA5/ITPR3/ILK/SEPTIN11/CYTH3/NFKB1/TAB2/CALCOCO2/GSK3A/RBX1/CUL1",169
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","102/4315","142/9418",0.71830985915493,1.56779658250779,6.26888751954292,2.2701874145515e-10,1.59821193984425e-08,1.59821193984425e-08,"BIRC6/BRCA1/UBOX5/NEDD4L/SMURF1/ANAPC15/CDC26/HUWE1/CDC34/HERC3/UBA52/UBE2Q2/CUL5/UBB/DDB2/CDC27/SMURF2/CUL7/ANAPC5/UBE2R2/CUL2/SKP1/KEAP1/UBE2K/ELOC/CUL4A/ANAPC2/PIAS4/UBE2A/UBE2D1/CBLB/VHL/NEDD4/BTRC/HERC4/UBE2O/ITCH/UBE2D3/UBE2Z/HERC1/NHLRC1/PIAS3/UBE2L6/ANAPC1/SIAH1/UBE2E3/CUL3/ANAPC10/XIAP/FBXW11/FBXW8/UBE4A/WWP1/ANAPC4/UBE3C/ANAPC7/PML/CDC23/FBXO4/MGRN1/MID1/UBA7/UBE2S/WWP2/UBA6/UBE3A/UBE2J1/UBE2I/UBA1/MDM2/SKP2/UBE2L3/UBE2E1/UBE2N/ELOB/CBL/UBE2D2/BIRC2/FANCL/PIAS1/UBA2/PPIL2/UBE2G1/ERCC8/UBE4B/SOCS1/SYVN1/FZR1/RHOBTB2/UBE2Q1/CUL4B/UBE2H/ANAPC13/UBE2D4/DDB1/ANAPC16/SAE1/RHOBTB1/MAP3K1/STUB1/RBX1/CUL1",102
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","94/4315","133/9418",0.706766917293233,1.54260274091951,5.79496411221244,4.58690036809205e-09,2.45434587671246e-07,2.45434587671246e-07,"FBXO25/PLK2/IL6/PRKAG2/PIK3CA/PRKAG1/GABARAP/KRAS/MAPK14/PRMT1/G6PC3/PIK3R1/GABARAPL1/TGFB2/PDPK1/SOD2/GADD45B/FOXO3/SOS2/PIK3CB/SOS1/SETD7/CHUK/IRS2/PRKAA1/HOMER2/S1PR1/MAPK1/AGAP2/TGFB1/SGK1/RAF1/SLC2A4/SMAD3/CSNK1E/CCNB1/PLK4/PTEN/STK11/CDK2/C8orf44-SGK3/CCND1/CCNB2/BNIP3/FOXO6/MAPK3/FASLG/PIK3R2/SMAD4/EGFR/PRKAB2/FOXO1/STAT3/MAPK13/TGFB3/EP300/IGF1R/CAT/CDKN1A/USP7/PLK1/CDKN2B/BRAF/TNFSF10/MAP2K1/NRAS/BCL2L11/MDM2/IRS1/IGF1/SKP2/G6PC1/RBL2/PIK3CD/DEPP1/GADD45A/TGFBR1/ATM/AKT2/SGK3/CDKN1B/SGK2/PCK2/BCL6/TGFBR2/CREBBP/MAP2K2/PLK3/FOXO4/SIRT1/INSR/GABARAPL2/HOMER1/CDKN2D",94
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","118/4315","175/9418",0.674285714285714,1.47170865750704,5.79188987896087,4.88080145937137e-09,2.45434587671246e-07,2.45434587671246e-07,"LMAN2/HSPBP1/ERLEC1/SEC62/RPN1/CAPN2/ERO1B/RRBP1/UBXN1/PDIA6/SAR1B/SEC24A/DAD1/DDOST/DNAJC1/KRTCAP2/TRAM1/UBXN4/SEC23A/SEC31B/EDEM1/SKP1/CAPN1/GANAB/SSR3/EDEM2/HSP90AA1/HSP90AB1/HSPA8/MAP2K7/UBE2D1/DNAJA2/NSFL1C/OS9/SVIP/EDEM3/DERL1/ERN1/MAN1A2/SELENOS/NFE2L2/UBE2D3/DNAJC5/DNAJC10/TRAF2/SEC61A1/SEC61A2/SEC63/CRYAB/OSTC/CANX/HSPH1/RAD23B/SEC23B/NPLOC4/SIL1/MARCHF6/HSPA6/DERL2/SEC24D/MAN1A1/MBTPS2/XBP1/PDIA3/SSR1/UBQLN2/DNAJA1/HYOU1/UBXN2A/UBE2J1/OST4/ERP29/MOGS/DNAJB2/UGGT2/SEC31A/PDIA4/DNAJB12/NGLY1/RAD23A/CALR/LMAN1/STT3B/PPP1R15A/HSPA4L/UBE2D2/VCP/UGGT1/PREB/MAGT1/SEC61B/UBE2G1/BCAP29/SEC13/UBE4B/SYVN1/YOD1/ATF4/MAN1C1/DNAJB1/BAX/CKAP4/SAR1A/TXNDC5/DNAJB11/FBXO6/WFS1/UBE2D4/ERO1A/BCAP31/AMFR/ATXN3/BAK1/STUB1/UBXN8/RBX1/CUL1/HERPUD1",118
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","70/4315","93/9418",0.752688172043011,1.64283133355761,5.72859332413533,6.14715108982793e-09,2.70474647952429e-07,2.70474647952429e-07,"RAP1A/PTPRJ/SMURF1/MYL12A/ROCK1/CDC42/PTPN1/RAP1B/SMURF2/TJP1/PTPN6/FYN/CTNNA3/KRIT1/MET/SRC/FARP2/MAPK1/SMAD3/CCM2/WASF3/ACTN1/PTPRM/AFDN/CSNK2A1/FER/TCF7L1/MAPK3/RAC1/MYL12B/SMAD4/PTPRF/EGFR/CSNK2A2/EP300/WASF2/HEG1/IGF1R/CTNNA1/WASL/RHOA/RAC3/SSX2IP/SNAI1/TCF7L2/ERBB2/NECTIN2/SORBS1/PARD3/YES1/LMO7/BAIAP2/VCL/IQGAP1/ARHGAP29/ACTB/ACTN4/CTNND1/CDH1/TGFBR1/WAS/PDCD10/ACTG1/CTNNB1/TCF7/ACP1/TGFBR2/CREBBP/MYL5/INSR",70
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","80/4315","110/9418",0.727272727272727,1.58735910671021,5.69778113548082,7.8999718963377e-09,3.08976678612319e-07,3.08976678612319e-07,"SMAD1/HDAC1/SMAD2/SMURF1/ID3/PPP2R1B/ROCK1/RBL1/BMP7/SMURF2/TGFB2/ACVR2B/ZFYVE16/SKP1/SKI/LEFTY2/THBS1/NEO1/MAPK1/SMAD9/TGFB1/ID4/SMAD3/GDF5/NCOR1/INHBA/TFDP1/LTBP1/TFRC/AMHR2/TGIF2/SMAD7/MAPK3/LEMD3/SMAD6/ACVR1B/PPP2R1A/BMPR1A/GDF7/RGMB/HAMP/SMAD4/TGFB3/ACVR1/FST/EP300/TFR2/SMAD5/CDKN2B/BMPR2/RPS6KB1/RHOA/ACVR2A/ZFYVE9/TGIF1/MICOS10-NBL1/RPS6KB2/PITX2/ID2/TF/HJV/BAMBI/TGFBR1/FBN1/SIN3A/IGSF1/SKIL/TGFBR2/CREBBP/SP1/MYC/E2F4/PPP2CB/LEFTY1/EMP3/INHBE/HFE/RBX1/CUL1/BMPR1B",80
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","107/4315","157/9418",0.681528662420382,1.4875172520684,5.66428079051201,1.03454759614519e-08,3.64160753843109e-07,3.64160753843109e-07,"CHEK2/SMAD2/SLC25A4/NFATC2/MAPKAPK2/IL6/CAPN2/PIK3CA/ZFP36L2/CCND3/HIPK1/MAP2K6/KRAS/MAPK14/SQSTM1/CXCL8/RRAS2/RBL1/CHEK1/CALM3/PIK3R1/MAP2K3/HIPK3/TGFB2/CDK1/CDC25A/GADD45B/FOXO3/PIK3CB/CAPN1/RAD50/PPP1CC/E2F1/LIN9/PPP1CA/E2F3/LIN52/MAPK1/CDKN2A/TGFB1/CCNA2/ITPR1/RAF1/SMAD3/CDK4/CCNB1/MTOR/VDAC1/PTEN/CDK2/BTRC/CCND1/ITPR2/CCNB2/CALM1/MAPK3/MRE11/ATR/PIK3R2/SERPINE1/TSC1/FOXO1/FBXW11/LIN37/PPP3R1/MAPK13/HIPK2/TGFB3/LIN54/CDKN1A/RHEB/CDKN2B/MAP2K1/NRAS/HUS1/NBN/MDM2/TRAF3IP2/RAD9B/RAD9A/GATA4/CDK6/PPID/MRAS/CCNE2/RBL2/CALML4/ZFP36L1/PIK3CD/EIF4EBP1/GADD45A/TGFBR1/ATM/VDAC2/RASSF5/AKT2/VDAC3/TGFBR2/MAP2K2/MYC/E2F4/NFATC3/SIRT1/PPP3CC/RRAS/ITPR3/NFKB1",107
