"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","59/627","305/18842",0.19344262295082,5.81315135827647,15.7228355196451,1.5928366126393e-28,9.3658792823191e-25,9.3658792823191e-25,"PPM1B/USP18/POLR3F/DHX15/IFI6/STAT1/DDX60/DTX3L/ISG20/DHX58/TRIM25/STAT2/DDX60L/GBP1/ILRUN/IRF9/IFIT2/IFITM1/ADAR/TLR7/TRIM22/ZC3HAV1/ISG15/PLSCR1/SHFL/EIF2AK2/TRIM5/TRIM21/IFIT5/RIGI/IRF1/IFI44L/OAS1/OASL/OAS2/MOV10/NLRC5/IFITM3/TRIM44/SAMHD1/RTP4/IFIT1/MIR130A/IFIT1B/MX2/RSAD2/PML/CXCL10/OAS3/SMARCA5/MX1/UNC93B1/TRIM56/IFIT3/IL6/CARD8/NT5C3A/MLKL/TRIM34",59
"GO:0009615","response to virus","63/627","400/18842",0.1575,4.73303827751196,14.0010171414792,3.20983196270984e-25,9.43690597036692e-22,9.43690597036692e-22,"PPM1B/USP18/POLR3F/DHX15/IFI6/STAT1/DDX60/DTX3L/ISG20/DHX58/TRIM25/STAT2/DDX60L/GBP1/ILRUN/NMI/IRF9/IFIT2/IFITM1/ADAR/TLR7/TRIM22/ZC3HAV1/ISG15/PLSCR1/SHFL/EIF2AK2/TRIM5/DDX3X/TRIM21/IFIT5/RIGI/SMAD3/IRF1/IFI44L/OAS1/OASL/OAS2/MOV10/NLRC5/IFITM3/TRIM44/SAMHD1/RTP4/IFIT1/MIR130A/IFIT1B/MX2/RSAD2/PML/CXCL10/OAS3/SMARCA5/MX1/UNC93B1/TRIM56/IFIT3/IL6/CARD8/NT5C3A/MLKL/TRIM34/MIR21",63
"GO:0048525","negative regulation of viral process","21/627","74/18842",0.283783783783784,8.52799689641795,12.0380862679301,1.92670570947627e-14,3.77634319057349e-11,3.77634319057349e-11,"SP100/PROX1/STAT1/ISG20/IFITM1/ZC3HAV1/ISG15/PLSCR1/SHFL/EIF2AK2/TRIM21/IFIT5/OAS1/OASL/OAS2/IFITM3/IFIT1/TRIM14/RSAD2/OAS3/MX1",21
"GO:0034340","response to type I interferon","26/627","122/18842",0.213114754098361,6.40431929301644,11.1106418971926,2.78420964960152e-14,4.09278818491423e-11,4.09278818491423e-11,"UBE2K/SP100/USP18/STAT1/STAT2/PSMA3/IFITM1/ISG15/SHFL/PSMD1/JAK1/OAS1/OASL/OAS2/NLRC5/IFITM3/SAMHD1/IFIT1/PSMB2/OAS3/MX1/TRIM56/RBM47/CACTIN/MIR21/PSMD12",26
"GO:0050792","regulation of viral process","27/627","136/18842",0.198529411764706,5.96601463551928,10.7834602490845,5.58490140071889e-14,6.56784404724542e-11,6.56784404724542e-11,"SP100/PROX1/STAT1/ISG20/TRIM25/IFITM1/LARP1/ADAR/ZC3HAV1/ISG15/PLSCR1/SHFL/EIF2AK2/TRIM5/DDX3X/TRIM21/IFIT5/OAS1/OASL/OAS2/IFITM3/IFIT1/TRIM14/RSAD2/OAS3/MX1/FURIN",27
"GO:0045071","negative regulation of viral genome replication","17/627","48/18842",0.354166666666667,10.6430754917597,12.4107415464196,9.8667102905027e-14,9.66937608469265e-11,9.66937608469265e-11,"PROX1/ISG20/IFITM1/ZC3HAV1/ISG15/PLSCR1/SHFL/EIF2AK2/IFIT5/OAS1/OASL/OAS2/IFITM3/IFIT1/RSAD2/OAS3/MX1",17
"GO:1903900","regulation of viral life cycle","24/627","110/18842",0.218181818181818,6.55658982166159,10.843856567427,1.58941495648719e-13,1.24793117740237e-10,1.24793117740237e-10,"PROX1/ISG20/TRIM25/IFITM1/LARP1/ADAR/ZC3HAV1/ISG15/PLSCR1/SHFL/EIF2AK2/TRIM5/DDX3X/TRIM21/IFIT5/OAS1/OASL/OAS2/IFITM3/IFIT1/RSAD2/OAS3/MX1/FURIN",24
"GO:0140374","antiviral innate immune response","20/627","73/18842",0.273972602739726,8.23316073496319,11.4878865076461,1.69786554748622e-13,1.24793117740237e-10,1.24793117740237e-10,"USP18/DHX15/DHX58/TRIM25/IFIT2/EIF2AK2/TRIM21/IFIT5/RIGI/OAS1/OASL/OAS2/IFIT1/IFIT1B/CXCL10/OAS3/SMARCA5/MX1/IFIT3/CARD8",20
"GO:0045069","regulation of viral genome replication","20/627","77/18842",0.25974025974026,7.80546407340666,11.1019682575597,5.13536221531416e-13,3.22445655630919e-10,3.22445655630919e-10,"PROX1/ISG20/IFITM1/LARP1/ADAR/ZC3HAV1/ISG15/PLSCR1/SHFL/EIF2AK2/DDX3X/IFIT5/OAS1/OASL/OAS2/IFITM3/IFIT1/RSAD2/OAS3/MX1",20
"GO:0071357","cellular response to type I interferon","24/627","116/18842",0.206896551724138,6.21745586536875,10.4577059590992,5.48376965358706e-13,3.22445655630919e-10,3.22445655630919e-10,"UBE2K/SP100/USP18/STAT1/STAT2/PSMA3/IFITM1/ISG15/PSMD1/JAK1/OAS1/OASL/OAS2/NLRC5/IFITM3/SAMHD1/IFIT1/PSMB2/OAS3/TRIM56/RBM47/CACTIN/MIR21/PSMD12",24
