"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","18/202","156/9418",0.115384615384615,5.37966488956588,8.16604049876231,5.43391989922657e-09,1.91273980452775e-06,1.91273980452775e-06,"PPP2R2A/OAS3/STAT2/EIF2AK2/AKT2/IRF9/OAS2/TNFRSF1A/JAK1/CXCL10/RIGI/MX2/IFIT1/STAT1/RSAD2/OAS1/RIPK1/MX1",18
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","18/202","173/9418",0.104046242774566,4.85102729926172,7.56844968318458,2.81695370734813e-08,4.9578385249327e-06,4.9578385249327e-06,"OAS3/STAT2/EIF2AK2/AKT2/IRF9/OAS2/TNFRSF1A/TRIM25/JAK1/CXCL10/RIGI/MX2/STAT1/RSAD2/ADAR/OAS1/PML/MX1",18
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","20/202","239/9418",0.0836820083682008,3.90157007332532,6.7265916793309,1.82084470712465e-07,2.13645778969292e-05,2.13645778969292e-05,"OAS3/C5/C1S/STAT2/EIF2AK2/IRF9/OAS2/TNFRSF1A/JAK1/CXCL10/RPS23/RIGI/MX2/RPS2/STAT1/ISG15/ADAR/OAS1/MX1/NRP1",20
"Human Diseases","Infectious disease: viral","hsa05162","Measles","13/202","136/9418",0.0955882352941176,4.45668316831683,6.0113080495366,6.59863677194564e-06,0.000494098954788073,0.000494098954788073,"OAS3/STAT2/EIF2AK2/AKT2/IRF9/OAS2/JAK1/RIGI/MX2/STAT1/ADAR/OAS1/MX1",13
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","15/202","180/9418",0.0833333333333333,3.88531353135313,5.78630101763977,7.01845106233058e-06,0.000494098954788073,0.000494098954788073,"OAS3/C5/ZC3HAV1/STAT2/EIF2AK2/AKT2/IRF9/OAS2/TNFRSF1A/JAK1/RIGI/STAT1/OAS1/PML/SP100",15
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","15/202","187/9418",0.0802139037433155,3.73987398739874,5.60257596519917,1.11556845832808e-05,0.000654466828885806,0.000654466828885806,"OAS3/STAT2/GBP1/VDAC2/IRF9/OAS2/ITPR1/CASP4/JAK1/RBCK1/NOD2/STAT1/OAS1/RIPK1/NAMPT",15
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","15/202","205/9418",0.0731707317073171,3.41149480801739,5.16801140081294,3.32205019759208e-05,0.00167051667078916,0.00167051667078916,"OAS3/STAT2/EIF2AK2/AKT2/IRF9/OAS2/JAK1/CXCL10/RIGI/STAT1/ISG15/OAS1/RIPK1/PSMD1/PSMD12",15
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","13/202","168/9418",0.0773809523809524,3.60779113625648,5.04913887781338,6.3331778296834e-05,0.00262027054508957,0.00262027054508957,"SQSTM1/STAT2/EIF2AK2/VDAC2/IRF9/TNFRSF1A/MLKL/JAK1/RBCK1/STAT1/RIPK1/FTL/CHMP5",13
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","9/202","83/9418",0.108433734939759,5.05558869139926,5.49409956276336,6.69955537096766e-05,0.00262027054508957,0.00262027054508957,"CASP7/POLR3F/POLR2E/MLKL/CXCL10/RIGI/ADAR/RIPK1/SAMHD1",9
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","8/202","72/9418",0.111111111111111,5.18041804180418,5.27149513634645,0.000143875926007014,0.00506443259544689,0.00506443259544689,"DHX58/TRIM25/CXCL10/DDX3X/RIGI/ISG15/ADAR/RIPK1",8
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","10/202","119/9418",0.0840336134453782,3.91796322489392,4.74237516790808,0.000230112656092647,0.00736360499496469,0.00736360499496469,"CSF1/CASP7/IL15/AKT2/TNFRSF1A/MLKL/CXCL10/NOD2/IRF1/RIPK1",10
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","10/202","142/9418",0.0704225352112676,3.28336354762237,4.05881823311116,0.000938397298812614,0.02752632076517,0.02752632076517,"CSF1/SQSTM1/STAT2/AKT2/IRF9/TNFRSF1A/ITPR1/JAK1/STAT1/SOCS1",10
