"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-913531","Interferon Signaling","34/233","266/11287",0.12781954887218,6.19184226661073,12.4405637244365,7.63216429654552e-18,1.31578512472445e-14,1.31578512472445e-14,"MT2A/USP18/OAS3/OASL/STAT2/EIF2AK2/GBP1/NUP85/IRF9/UBE2I/OAS2/TRIM5/TRIM21/TRIM22/TRIM25/JAK1/RIGI/UBE2L6/STAT1/SOCS1/ISG15/IRF1/KPNB1/UBA7/OAS1/PML/FANCA/NDC1/IFITM1/TRIM14/SP100/NUP205/TRIM34/IFI44L",34
"R-HSA-877300","Interferon gamma signaling","19/233","96/11287",0.197916666666667,9.58749105865522,12.2674902048599,6.30223874500587e-14,5.43252979819506e-11,5.43252979819506e-11,"MT2A/OAS3/OASL/GBP1/IRF9/OAS2/TRIM5/TRIM21/TRIM22/TRIM25/JAK1/STAT1/SOCS1/IRF1/OAS1/PML/TRIM14/SP100/TRIM34",19
"R-HSA-909733","Interferon alpha/beta signaling","15/233","57/11287",0.263157894736842,12.7479105489044,12.909113942171,3.43202089144486e-13,1.97226800561698e-10,1.97226800561698e-10,"USP18/OAS3/OASL/STAT2/EIF2AK2/IRF9/OAS2/JAK1/STAT1/SOCS1/ISG15/IRF1/KPNB1/OAS1/IFITM1",15
"R-HSA-1169410","Antimicrobial mechanism of IFN-stimulated genes","20/233","159/11287",0.125786163522013,6.09334089130024,9.39033316219269,8.68627799854478e-11,3.7437858173728e-08,3.7437858173728e-08,"USP18/OAS3/OASL/EIF2AK2/GBP1/NUP85/UBE2I/OAS2/TRIM25/JAK1/RIGI/UBE2L6/STAT1/ISG15/KPNB1/UBA7/OAS1/FANCA/NDC1/NUP205",20
"R-HSA-1169408","ISG15 antiviral mechanism","13/233","70/11287",0.185714285714286,8.99638258736971,9.7429949672356,1.4824130487095e-09,5.11136019195035e-07,5.11136019195035e-07,"USP18/EIF2AK2/NUP85/TRIM25/JAK1/RIGI/UBE2L6/STAT1/ISG15/KPNB1/UBA7/NDC1/NUP205",13
"R-HSA-9909505","Modulation of host responses by IFN-stimulated genes","6/233","17/11287",0.352941176470588,17.0971976773542,9.64275279876182,7.42416628070192e-07,0.000213321044465502,0.000213321044465502,"TRIM25/RIGI/UBE2L6/ISG15/UBA7/IFI44L",6
"R-HSA-168276","NS1 Mediated Effects on Host Pathways","8/233","42/11287",0.19047619047619,9.22705906396894,7.75492824806471,1.88376740740606e-06,0.000463945001481148,0.000463945001481148,"EIF2AK2/GBP1/NUP85/MLKL/ISG15/KPNB1/NDC1/NUP205",8
"R-HSA-9615933","Postmitotic nuclear pore complex (NPC) reformation","6/233","27/11287",0.222222222222222,10.7649022412971,7.37511573624378,1.49336837488957e-05,0.00302218601360811,0.00302218601360811,"NUP85/RANGAP1/UBE2I/KPNB1/NDC1/NUP205",6
"R-HSA-9679506","SARS-CoV Infections","23/233","415/11287",0.0554216867469879,2.68474067945602,5.07680686755354,1.57770731568869e-05,0.00302218601360811,0.00302218601360811,"RBX1/STAT2/NUP85/AKT2/UBE2I/TRIM25/JAK1/SMAD3/RPS23/PARP14/RIGI/NOD2/RPS2/STAT1/ISG15/PARP10/KPNB1/RIPK1/NMI/NDC1/NRP1/LARP1/NUP205",23
"R-HSA-9920588","Dengue virus activates/modulates innate and adaptive immune responses","6/233","31/11287",0.193548387096774,9.37588259725876,6.77965570440784,3.46647598885228e-05,0.00597620460478132,0.00597620460478132,"C1S/STAT2/TRIM25/PAF1/DDX3X/PML",6
"R-HSA-9705671","SARS-CoV-2 activates/modulates innate and adaptive immune responses","11/233","123/11287",0.0894308943089431,4.33221675564395,5.39466075365447,4.63000307373054e-05,0.00685082388664416,0.00685082388664417,"STAT2/NUP85/TRIM25/JAK1/RIGI/NOD2/STAT1/ISG15/NDC1/LARP1/NUP205",11
"R-HSA-9833109","Evasion by RSV of host interferon responses","6/233","33/11287",0.181818181818182,8.80764728833398,6.52096626795746,5.03757670500413e-05,0.00685082388664416,0.00685082388664417,"RBX1/STAT2/EIF2AK2/TRIM25/JAK1/RIGI",6
"R-HSA-9694516","SARS-CoV-2 Infection","18/233","301/11287",0.0598006644518272,2.89686738054839,4.84271233563272,5.16593448528852e-05,0.00685082388664416,0.00685082388664417,"STAT2/NUP85/AKT2/UBE2I/TRIM25/JAK1/RPS23/PARP14/RIGI/NOD2/RPS2/STAT1/ISG15/PARP10/NDC1/NRP1/LARP1/NUP205",18
"R-HSA-449147","Signaling by Interleukins","23/233","456/11287",0.0504385964912281,2.44334952187335,4.56780872219481,6.8775438177931e-05,0.00774005420417524,0.00774005420417524,"RBX1/CSF1/NLRC5/CAPZA1/SHC1/USP18/IL15/CEBPD/SKP1/SQSTM1/STAT2/TNFRSF1A/JAK1/CXCL10/MEF2A/SMAD3/NOD2/STAT1/SOCS1/PSMA3/PSMD1/PSMD12/PTK2B",23
