"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032970","regulation of actin filament-based process","31/483","380/18842",0.0815789473684211,3.18242344992917,6.97095812145454,1.52895841843181e-08,8.99027550037903e-05,8.99027550037903e-05,"RAC1/AKAP13/CACNA1C/PIK3R1/BAIAP2L1/EFNA5/RND3/CYRIB/DLC1/MIR21/CRACD/CGNL1/LIMCH1/FER/CLASP1/NCK2/NCKAP1/CTNNA3/ITGB3/ARHGAP18/PTGER4/CAMK2D/TACSTD2/NRP1/CYRIA/ZEB2/PHLDB2/PAK1/PRKCE/PDE4D/FHOD3",31
"GO:0007015","actin filament organization","33/483","448/18842",0.0736607142857143,2.87353039041704,6.50972567314518,6.14534633970418e-08,0.000180673182387303,0.000180673182387303,"RAC1/SPIRE1/LIMS1/PIK3R1/BAIAP2L1/BIN3/RND3/CYRIB/DLC1/MIR21/CRACD/CGNL1/LIMCH1/FER/CLASP1/SHROOM3/COBL/NCK2/NCKAP1/SH3BP4/ARHGAP18/PTGER4/TACSTD2/NRP1/MYO1E/DIAPH1/CYRIA/ZEB2/PHLDB2/TMSB10/PAK1/PRKCE/FHOD3",33
"GO:0110020","regulation of actomyosin structure organization","14/483","97/18842",0.144329896907216,5.63036007769311,7.41581588727471,1.75375100873498e-07,0.000301917209432503,0.000301917209432503,"RAC1/AKAP13/PIK3R1/DLC1/MIR21/CGNL1/LIMCH1/CLASP1/PTGER4/TACSTD2/NRP1/PHLDB2/PAK1/FHOD3",14
"GO:0061448","connective tissue development","20/483","203/18842",0.0985221674876847,3.84338443023386,6.60652868526047,2.9461689155267e-07,0.000301917209432503,0.000301917209432503,"ADAMTS12/BMPR1B/MGP/EIF2AK3/OXCT1/PTHLH/BMPR1A/MIR21/SOX5/KLF7/ADGRG6/ITGB3/TGFBR2/NFIA/FTO/BMP5/ARID5B/VPS13B/RUNX1/PPARG",20
"GO:0051492","regulation of stress fiber assembly","13/483","87/18842",0.149425287356322,5.82913305252136,7.32270085092569,3.19370680781313e-07,0.000301917209432503,0.000301917209432503,"RAC1/PIK3R1/DLC1/MIR21/CGNL1/LIMCH1/CLASP1/PTGER4/TACSTD2/NRP1/PHLDB2/PAK1/FHOD3",13
"GO:0030038","contractile actin filament bundle assembly","14/483","103/18842",0.135922330097087,5.30237793724497,7.10158016382718,3.7503955006469e-07,0.000301917209432503,0.000301917209432503,"RAC1/PIK3R1/DLC1/MIR21/CGNL1/LIMCH1/CLASP1/PTGER4/TACSTD2/NRP1/ZEB2/PHLDB2/PAK1/FHOD3",14
"GO:0043149","stress fiber assembly","14/483","103/18842",0.135922330097087,5.30237793724497,7.10158016382718,3.7503955006469e-07,0.000301917209432503,0.000301917209432503,"RAC1/PIK3R1/DLC1/MIR21/CGNL1/LIMCH1/CLASP1/PTGER4/TACSTD2/NRP1/ZEB2/PHLDB2/PAK1/FHOD3",14
"GO:0048667","cell morphogenesis involved in neuron differentiation","32/483","463/18842",0.0691144708423326,2.69617983356363,5.99380322824437,4.10771713513609e-07,0.000301917209432503,0.000301917209432503,"RAC1/NEDD4L/ANK3/PTK2/GAP43/SIPA1L1/EFNA5/TIAM2/SEMA3C/MEF2A/CTNND2/TRIO/TENM2/COBL/PRKG1/SCN11A/PARD3/B4GALT5/KLF7/KIF13B/CHN1/MACF1/CNTN5/CNTN1/NRP1/NOTCH2/AUTS2/TNIK/KALRN/BTBD3/MAP3K13/PAK1",32
"GO:0032956","regulation of actin cytoskeleton organization","26/483","334/18842",0.0778443113772455,3.03673398544526,6.09156422471052,5.57451192845217e-07,0.00031833354569211,0.00031833354569211,"RAC1/AKAP13/PIK3R1/BAIAP2L1/EFNA5/RND3/CYRIB/DLC1/MIR21/CRACD/CGNL1/LIMCH1/FER/CLASP1/NCK2/NCKAP1/ITGB3/ARHGAP18/PTGER4/TACSTD2/NRP1/CYRIA/PHLDB2/PAK1/PRKCE/FHOD3",26
"GO:0110053","regulation of actin filament organization","22/483","251/18842",0.0876494023904383,3.41923403693714,6.25841558345084,5.77776713180497e-07,0.00031833354569211,0.00031833354569211,"RAC1/PIK3R1/BAIAP2L1/CYRIB/DLC1/MIR21/CRACD/CGNL1/LIMCH1/FER/CLASP1/NCK2/NCKAP1/ARHGAP18/PTGER4/TACSTD2/NRP1/CYRIA/PHLDB2/PAK1/PRKCE/FHOD3",22
"GO:0007409","axonogenesis","27/483","357/18842",0.0756302521008403,2.95036275379717,6.03449323066332,5.95521939219934e-07,0.00031833354569211,0.00031833354569211,"RAC1/ANK3/PTK2/GAP43/SIPA1L1/EFNA5/TIAM2/SEMA3C/TRIO/TENM2/COBL/PRKG1/SCN11A/PARD3/B4GALT5/KLF7/KIF13B/CHN1/MACF1/CNTN5/CNTN1/NRP1/NOTCH2/AUTS2/KALRN/MAP3K13/PAK1",27
"GO:0051017","actin filament bundle assembly","17/483","159/18842",0.106918238993711,4.17091813482298,6.51270361275708,7.27119006658516e-07,0.000356288313262673,0.000356288313262673,"RAC1/SPIRE1/LIMS1/PIK3R1/BAIAP2L1/DLC1/MIR21/CGNL1/LIMCH1/CLASP1/PTGER4/TACSTD2/NRP1/ZEB2/PHLDB2/PAK1/FHOD3",17
"GO:0061572","actin filament bundle organization","17/483","163/18842",0.104294478527607,4.06856431556352,6.38194784501692,1.03269625667033e-06,0.00045911685011401,0.00045911685011401,"RAC1/SPIRE1/LIMS1/PIK3R1/BAIAP2L1/DLC1/MIR21/CGNL1/LIMCH1/CLASP1/PTGER4/TACSTD2/NRP1/ZEB2/PHLDB2/PAK1/FHOD3",17
"GO:0045785","positive regulation of cell adhesion","30/483","437/18842",0.068649885583524,2.67805619909888,5.75678935166946,1.09313535741431e-06,0.00045911685011401,0.00045911685011401,"RAC1/MALT1/ANK3/PTK2/KLRK1/STX3/FRMD5/MIR30B/IL18/RREB1/CYRIB/LAMA2/CD36/IL12RB2/MIR21/ANKRD28/GLI3/NCK2/CCDC80/AFDN/ITGB3/TGFBR2/ARID1B/NRP1/DAB2/JAK1/IL7R/CDK6/RUNX1/RIN2",30
"GO:0032231","regulation of actin filament bundle assembly","13/483","101/18842",0.128712871287129,5.0211344115778,6.57224774381329,1.83858227274755e-06,0.00072072425091704,0.00072072425091704,"RAC1/PIK3R1/DLC1/MIR21/CGNL1/LIMCH1/CLASP1/PTGER4/TACSTD2/NRP1/PHLDB2/PAK1/FHOD3",13
"GO:0150116","regulation of cell-substrate junction organization","11/483","73/18842",0.150684931506849,5.87827221418645,6.77341870931367,2.37853382592149e-06,0.000874111181026149,0.000874111181026149,"RAC1/PTK2/PIK3R1/EFNA5/DLC1/LIMCH1/CLASP1/ANKRD28/MACF1/NRP1/PHLDB2",11
"GO:0010762","regulation of fibroblast migration","8/483","36/18842",0.222222222222222,8.66896710374971,7.47034980710355,2.83137855359706e-06,0.000979323876185334,0.000979323876185334,"RAC1/PTK2/FER/PRR5L/ITGB3/ZEB2/PAK1/PRKCE",8
"GO:0031032","actomyosin structure organization","18/483","196/18842",0.0918367346938776,3.58258334389657,5.89509177694947,3.17325806767137e-06,0.00103659763543931,0.00103659763543931,"RAC1/AKAP13/PIK3R1/FRMD5/DLC1/MIR21/CGNL1/LIMCH1/CLASP1/EPB41L5/PTGER4/ANKRD1/TACSTD2/NRP1/ZEB2/PHLDB2/PAK1/FHOD3",18
"GO:0010810","regulation of cell-substrate adhesion","18/483","198/18842",0.0909090909090909,3.54639563335216,5.84238211448254,3.6649325674422e-06,0.00113420018402948,0.00113420018402948,"RAC1/PTK2/EFNA5/SPOCK3/RREB1/DLC1/CD36/LIMCH1/CLASP1/ANKRD28/CCDC80/MACF1/TACSTD2/NRP1/DAB2/CDK6/PHLDB2/RIN2",18
"GO:0016266","protein O-linked glycosylation via N-acetyl-galactosamine","8/483","38/18842",0.210526315789474,8.21270567723657,7.21881508098084,4.37436496738781e-06,0.00128606330041201,0.00128606330041201,"GALNT3/GXYLT1/GALNT10/ST3GAL3/B4GALT5/GALNT2/GALNT5/ST3GAL1",8
"GO:0051893","regulation of focal adhesion assembly","10/483","65/18842",0.153846153846154,6.00159261028826,6.55168364831552,5.65014565307089e-06,0.00147640346228987,0.00147640346228987,"RAC1/PTK2/EFNA5/DLC1/LIMCH1/CLASP1/ANKRD28/MACF1/NRP1/PHLDB2",10
"GO:0090109","regulation of cell-substrate junction assembly","10/483","65/18842",0.153846153846154,6.00159261028826,6.55168364831552,5.65014565307089e-06,0.00147640346228987,0.00147640346228987,"RAC1/PTK2/EFNA5/DLC1/LIMCH1/CLASP1/ANKRD28/MACF1/NRP1/PHLDB2",10
"GO:0031589","cell-substrate adhesion","24/483","333/18842",0.0720720720720721,2.81155689851342,5.40983036784148,5.77504755657603e-06,0.00147640346228987,0.00147640346228987,"RAC1/PTK2/LIMS1/ADAMTS12/PIK3R1/EFNA5/SPOCK3/RREB1/DLC1/CD36/SGCE/LIMCH1/FER/CLASP1/ANKRD28/CCDC80/MACF1/ITGB3/TACSTD2/NRP1/DAB2/CDK6/PHLDB2/RIN2",24
"GO:0051497","negative regulation of stress fiber assembly","7/483","30/18842",0.233333333333333,9.1024154589372,7.20375078374133,8.50025886197731e-06,0.00202786932475905,0.00202786932475905,"PIK3R1/DLC1/MIR21/CGNL1/CLASP1/TACSTD2/PHLDB2",7
"GO:0001501","skeletal system development","24/483","341/18842",0.0703812316715543,2.74559661936941,5.27623960246919,8.62189338758098e-06,0.00202786932475905,0.00202786932475905,"AKAP13/ADAMTS12/ANXA2/BMPR1B/MGP/TNFRSF11B/EIF2AK3/PTHLH/BMPR1A/MIR21/SOX5/PAPSS1/PRKG1/GNAS/CHD7/ADGRG6/TGFBR2/NFIA/PTGER4/BMP5/NOTCH2/LRRC17/RUNX1/PCSK5",24
"GO:0007507","heart development","28/483","438/18842",0.0639269406392694,2.49381245450334,5.13071685458196,9.62912160008293e-06,0.00211078738025,0.00211078738025,"RAC1/AKAP13/CACNA1C/ZFPM2/ALPK2/PTK2/EGFR/KAT2B/SEMA3C/OXCT1/YAP1/DLC1/BMPR1A/HDAC9/MEF2A/MIR21/RBM20/CHD7/ADGRG6/TGFBR2/ANKRD1/NRP1/BMP5/NOTCH2/RUNX1/PAK1/PCSK5/FHOD3",28
