"Dataset","Protein","GSM","SRR","Genotype","Treatment","Replicate","Input","Genome","SequencingStrategy","ReadLength","LibraryLayout","CellLine","Source_GSE","fastq_ftp","fastq_bytes"
"XPC","XPC","GSM6600715","SRR21205198","WT","0h_post_UV","1","GSM6600680 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/098/SRR21205198/SRR21205198.fastq.gz","4261538828"
"XPC","XPC","GSM6600716","SRR21205197","WT","0h_post_UV","2","GSM6600680 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/097/SRR21205197/SRR21205197.fastq.gz","2275300159"
"XPC","XPC","GSM6600717","SRR21205196","WT","0h_post_UV","3","GSM6600680 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/096/SRR21205196/SRR21205196.fastq.gz","2234507462"
"XPC","XPC","GSM6600718","SRR21205195","WT","0h_post_UV","4","GSM6600680 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/095/SRR21205195/SRR21205195.fastq.gz","1022923300"
"XPC","XPC","GSM6600719","SRR21205187","ASH1L-KO","0h_post_UV","1","GSM6600698 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/087/SRR21205187/SRR21205187.fastq.gz","2281740406"
"XPC","XPC","GSM6600720","SRR21205186","ASH1L-KO","0h_post_UV","2","GSM6600698 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/086/SRR21205186/SRR21205186.fastq.gz","2549893260"
"XPC","XPC","GSM6600721","SRR21205184","ASH1L-KO","0h_post_UV","3","GSM6600698 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/084/SRR21205184/SRR21205184.fastq.gz","3981091644"
"XPC","XPC","GSM6600722","SRR21205176","XPC-KO","0h_post_UV","1",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/076/SRR21205176/SRR21205176.fastq.gz","4345406496"
"XPC","XPC","GSM6600723","SRR21205175","XPC-KO","0h_post_UV","2",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/075/SRR21205175/SRR21205175.fastq.gz","976944805"
"XPC","XPC","GSM6600724","SRR21205193","WT","1h_post_UV","1","GSM6600686 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/093/SRR21205193/SRR21205193.fastq.gz","4411889366"
"XPC","XPC","GSM6600725","SRR21205192","WT","1h_post_UV","2","GSM6600686 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/092/SRR21205192/SRR21205192.fastq.gz","1570202640"
"XPC","XPC","GSM6600726","SRR21205191","WT","1h_post_UV","3","GSM6600686 (H3K4me3_substitute)",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/091/SRR21205191/SRR21205191.fastq.gz","2609657846"
