"Dataset","Protein","GSM","Genotype","Treatment","Replicate","Input","Genome","SequencingStrategy","ReadLength","LibraryLayout","CellLine","Source_GSE","SRR","fastq_ftp","fastq_bytes"
"XPC","H3K4me3","GSM6600679","WT","0h_post_UV","1",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","SRR21205235","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/035/SRR21205235/SRR21205235.fastq.gz","1984790981"
"XPC","H3K4me3","GSM6600680","WT","0h_post_UV","1","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","SRR21205207","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/007/SRR21205207/SRR21205207.fastq.gz","2162582064"
"XPC","H3K4me3","GSM6600681","WT","0h_post_UV","2",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","SRR21205234","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/034/SRR21205234/SRR21205234.fastq.gz","2974883323"
"XPC","H3K4me3","GSM6600682","WT","0h_post_UV","2","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","SRR21205233","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/033/SRR21205233/SRR21205233.fastq.gz","1736646751"
"XPC","H3K4me3","GSM6600683","WT","0h_post_UV","3",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","SRR21205222","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/022/SRR21205222/SRR21205222.fastq.gz","2545649867"
"XPC","H3K4me3","GSM6600684","WT","0h_post_UV","3","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","SRR21205232","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/032/SRR21205232/SRR21205232.fastq.gz","1863176469"
"XPC","H3K4me3","GSM6600685","WT","1h_post_UV","1",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","SRR21205214","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/014/SRR21205214/SRR21205214.fastq.gz","2565875422"
"XPC","H3K4me3","GSM6600686","WT","1h_post_UV","1","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","SRR21205230","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/030/SRR21205230/SRR21205230.fastq.gz","1793578209"
"XPC","H3K4me3","GSM6600687","WT","1h_post_UV","2",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","SRR21205194","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/094/SRR21205194/SRR21205194.fastq.gz","2691478671"
"XPC","H3K4me3","GSM6600688","WT","1h_post_UV","2","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182","SRR21205229","ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/029/SRR21205229/SRR21205229.fastq.gz","2108693147"
