"seqnames","start","end","width","strand","logFC","logCPM","F","PValue","FDR","status"
"chr1",9399582,9401200,1619,"*",-0.531990232469809,0.38467291246589,12.2433740765943,0.000711828866628863,0.0462756830798766,"Lost"
"chr1",9413047,9413973,927,"*",-0.775683052773959,-0.287064094014164,14.1130554799412,0.000296594742773757,0.0281547982131355,"Lost"
"chr1",9626261,9627260,1000,"*",-0.760164253115111,-0.332013128179849,18.299946105293,4.49124335306423e-05,0.00852217667528065,"Lost"
"chr1",23529896,23531083,1188,"*",-0.581523893390135,-0.0512662007829958,13.846081379238,0.000335611226375682,0.0301707100163467,"Lost"
"chr1",30907099,30907932,834,"*",-0.6249001918281,-0.422774121903804,12.1576291495165,0.000741516070972365,0.0472783463057051,"Lost"
"chr1",39183899,39184173,275,"*",-1.40123555712219,-1.65952295223989,19.686273953477,2.44009970371255e-05,0.00554032708706402,"Lost"
"chr1",39204374,39204958,585,"*",-0.825170693720607,-0.923275899677423,12.3480469826289,0.00067770181338781,0.0450427712864232,"Lost"
"chr1",40660729,40666762,6034,"*",-0.369250414939153,2.2370548370584,16.8902793400102,8.38894454568389e-05,0.0127996394202817,"Lost"
"chr1",40978729,40981109,2381,"*",-0.453542631137274,1.13190814003271,12.889207071894,0.000524699677376639,0.0387706446861199,"Lost"
"chr1",41319821,41322146,2326,"*",-0.402924560219993,0.961289146285251,12.433643345053,0.000650457938136137,0.0439426765342177,"Lost"
"chr1",41353849,41369641,15793,"*",-0.323070187496999,3.65882422085215,17.1080766506967,7.61148448861101e-05,0.0120037408883648,"Lost"
"chr1",41434443,41436392,1950,"*",-0.505951544168979,0.901319227037561,14.2262266787163,0.000281421679735639,0.0274318869051675,"Lost"
"chr1",41477801,41489140,11340,"*",-0.365358404897841,3.2535900361932,17.5563491879309,6.23551730089995e-05,0.0105512867733399,"Lost"
"chr1",41496127,41500650,4524,"*",-0.360579579720828,2.0000235764238,12.5099124160234,0.000627410478627518,0.0430519035763504,"Lost"
"chr1",41661450,41662098,649,"*",-0.731538172962135,-0.393217795339626,18.2955014443787,4.50018809797547e-05,0.00852435472779118,"Lost"
"chr1",41662640,41664164,1525,"*",-0.466879936568898,0.512243555535023,13.9759288768856,0.000315974936051395,0.0292313902260091,"Lost"
"chr1",42334259,42336343,2085,"*",-0.450576953835657,0.893575047224685,12.7442230391404,0.000561751889249746,0.0404078701066158,"Lost"
"chr1",42379979,42381607,1629,"*",-0.58070980619187,0.607439884528566,20.9330518542086,1.43307973823509e-05,0.00378643658610125,"Lost"
"chr1",42931960,42939859,7900,"*",-0.333155944302776,2.69157714779223,15.95357394391,0.000127817851606351,0.0169752681823849,"Lost"
"chr1",42941411,42945170,3760,"*",-0.379306027937362,1.68316571477311,13.393549154851,0.000414271783282082,0.0339171351017713,"Lost"
"chr1",42957922,42963516,5595,"*",-0.354341958255247,2.21321653476824,14.7002284441086,0.00022623345204219,0.0241189693705848,"Lost"
"chr1",43365922,43368504,2583,"*",-0.452848817161011,1.25111777170198,16.2758917721236,0.000110519339576092,0.0154575198526977,"Lost"
"chr1",43531596,43532407,812,"*",-0.668691266915145,-0.210041999821037,15.1245163880337,0.000186324277863811,0.0213446958389404,"Lost"
"chr1",43857786,43858511,726,"*",-0.66315809969569,-0.468833113384299,12.4300019712244,0.00065172304955319,0.0439775598251847,"Lost"
"chr1",43945787,43949769,3983,"*",-0.375609121789819,1.85517858257565,15.1273783149491,0.000186045395464888,0.0213224149107312,"Lost"
"chr1",44028478,44035541,7064,"*",-0.286779082223666,2.52865250290017,12.175958980109,0.000734945034826811,0.0470516549442311,"Lost"
"chr1",44673031,44674933,1903,"*",-0.512663008622875,0.802781710794597,18.1688252677072,4.75646235974545e-05,0.00881280463738972,"Lost"
"chr1",44798157,44801013,2857,"*",-0.411407441789116,1.22978863467652,13.6238189540691,0.000372103016860336,0.0319571928271262,"Lost"
"chr1",45750380,45750952,573,"*",-1.02165124351763,-0.405797031545861,23.2830965360549,5.31399496451326e-06,0.00189567520468684,"Lost"
"chr1",45802996,45803653,658,"*",-0.635722788201881,-0.564508956834594,12.2772552778501,0.000700645273514607,0.0459010598856295,"Lost"
"chr1",56376808,56377043,236,"*",-1.83020417119714,-1.76646944903417,24.14233397069,3.64704038925294e-06,0.00147248723765937,"Lost"
"chr1",58546260,58546925,666,"*",-0.736043864427364,-0.772527918105862,12.8274919522257,0.000540391997989855,0.0394773980925068,"Lost"
