"Regiao","chr","start","end","XPC_WT","STAT1_WT","STAT2_WT","IRF9_WT","ELK1_WT","occupancy_score","SYMBOL","annotation","distanceToTSS","max_signalValue"
"region_00996","chr1",28437828,28438573,1,1,1,1,0,4,"PHACTR4","Promoter (<=1kb)",0,51.9592
"region_02508","chr1",78619780,78621136,1,1,1,1,0,4,"IFI44L","Promoter (<=1kb)",0,70.9045
"region_10478","chr2",152175260,152176195,0,1,1,1,1,4,"STAM2","Promoter (<=1kb)",0,10.9088
"region_18337","chr4",16140697,16141672,1,1,1,1,0,4,"LOC105374502","Intron (ENST00000743820.1/ENST00000743820.1, intron 1 of 1)",-12070,54.3743
"region_28676","chr6",125918585,125919758,0,1,1,1,1,4,"NCOA7","Promoter (<=1kb)",0,89.208
"region_37608","chr9",33024894,33026322,0,1,1,1,1,4,"LOC124902139","Promoter (<=1kb)",0,63.1803
"region_42009","chr10",89277877,89278689,1,1,1,1,0,4,"LOC124902477","Exon (ENST00000487618.5/105378419, exon 4 of 4)",-4947,35.5061
"region_57240","chr16",23556896,23558106,0,1,1,1,1,4,"EARS2","Promoter (<=1kb)",0,123.749
"region_60768","chr17",67366315,67366920,0,1,1,1,1,4,"PSMD12","Promoter (<=1kb)",0,8.60195
"region_00015","chr1",1001468,1002279,0,1,1,1,0,3,"ISG15","Promoter (<=1kb)",323,20.2494
"region_00017","chr1",1006339,1007133,0,1,1,1,0,3,"ISG15","Exon (ENST00000796077.1/ENST00000796077.1, exon 1 of 2)",5194,22.9289
"region_00018","chr1",1012389,1014218,0,1,1,1,0,3,"ISG15","Promoter (<=1kb)",0,57.9122
"region_00051","chr1",1375131,1375647,0,1,1,0,1,3,"AURKAIP1","Promoter (<=1kb)",0,11.079
"region_00072","chr1",1778200,1779560,0,1,1,1,0,3,"NADK","Promoter (<=1kb)",0,43.4396
"region_00154","chr1",6359509,6360224,0,1,1,1,0,3,"ACOT7","Promoter (<=1kb)",-165,61.6717
"region_00228","chr1",8258717,8260061,0,1,1,1,0,3,"LINC03154","Promoter (<=1kb)",0,57.7613
"region_00245","chr1",8571279,8572395,0,1,1,1,0,3,"RERE","Intron (ENST00000337907.7/473, intron 5 of 23)",18446,69.095
"region_00413","chr1",11663968,11665124,0,1,1,1,0,3,"FBXO6","Promoter (<=1kb)",0,84.7471
"region_00422","chr1",11907761,11909479,1,1,1,0,0,3,"LOC124903843","Promoter (<=1kb)",0,18.3508
"region_00453","chr1",12477955,12478543,1,1,1,0,0,3,"VPS13D","Promoter (<=1kb)",-6,10.1647
"region_00480","chr1",15156324,15156823,0,1,1,1,0,3,"TMEM51","Promoter (2-3kb)",2556,22.5931
"region_00669","chr1",21251622,21252473,0,1,1,1,0,3,"ECE1","Intron (ENST00000415912.6/1889, intron 8 of 18)",4244,30.7854
"region_00764","chr1",23634979,23635765,0,1,1,1,0,3,"MDS2","Intron (ENST00000477916.5/259283, intron 5 of 6)",7609,34.6992
"region_00861","chr1",26169698,26170132,0,1,1,0,1,3,"ZNF593","Promoter (<=1kb)",0,13.0454
"region_00889","chr1",26718878,26719484,0,1,1,1,0,3,"ARID1A","Intron (ENST00000430799.7/8289, intron 1 of 19)",-8224,28.2265
"region_00929","chr1",27321944,27322546,0,1,1,0,1,3,"TMEM222","Promoter (<=1kb)",0,21.5558
"region_00955","chr1",27671200,27673283,0,1,1,1,0,3,"IFI6","Promoter (<=1kb)",0,77.747
"region_01149","chr1",32933890,32934678,0,1,1,1,0,3,"RNF19B","Exon (ENST00000661031.1/ENST00000661031.1, exon 2 of 3)",30007,37.4074
"region_01183","chr1",35345332,35346292,0,1,1,1,0,3,"ZMYM4","Intron (ENST00000314607.11/9202, intron 2 of 29)",-15413,51.4688
"region_01188","chr1",35488237,35488794,0,1,1,1,0,3,"KIAA0319L","Intron (ENST00000697000.1/79932, intron 3 of 21)",-17331,28.5878
"region_01191","chr1",35637256,35637923,0,1,1,1,0,3,"PSMB2","Intron (ENST00000373237.4/5690, intron 1 of 5)",3603,17.3552
"region_01225","chr1",36486562,36487458,0,1,1,1,0,3,"CSF3R","Exon (ENST00000747487.1/ENST00000747487.1, exon 1 of 3)",-3284,66.7159
"region_01274","chr1",39026044,39026981,0,1,1,0,1,3,"NDUFS5","Promoter (<=1kb)",0,22.5208
"region_01294","chr1",39183772,39184173,1,1,1,0,0,3,"MACF1","Intron (ENST00000361689.7/23499, intron 2 of 93)",-20522,6.98321
"region_01321","chr1",40039784,40040951,0,1,1,0,1,3,"CAP1","Promoter (<=1kb)",0,16.3527
"region_01460","chr1",43946274,43947210,0,1,1,1,0,3,"LOC101929609","Promoter (<=1kb)",0,15.1465
"region_01474","chr1",44327873,44328144,1,1,1,0,0,3,"ERI3","Intron (ENST00000372257.7/79033, intron 3 of 8)",-4830,7.59946
"region_01542","chr1",46062575,46063242,0,1,1,1,0,3,"PIK3R3","Intron (ENST00000262741.10/8503, intron 5 of 9)",-5141,20.6797
"region_01589","chr1",47866866,47868376,0,1,1,1,0,3,"TRABD2B","Intron (ENST00000606738.3/388630, intron 2 of 6)",-101319,52.0954
"region_01619","chr1",50527307,50527711,0,1,1,1,0,3,"FAF1-AS1","Intron (ENST00000396153.7/11124, intron 15 of 18)",65838,11.4139
"region_01739","chr1",53838200,53838796,0,1,1,1,0,3,"NDC1","Promoter (<=1kb)",0,7.482
"region_01769","chr1",54277345,54277806,0,1,1,1,0,3,"SSBP3","Intron (ENST00000610401.6/23648, intron 5 of 17)",-20079,26.5096
"region_01834","chr1",55423208,55424177,0,1,1,1,0,3,"MIR4422","Intron (ENST00000643167.1/ENST00000643167.1, intron 1 of 3)",197567,75.7468
"region_01836","chr1",55428812,55429878,1,1,1,0,0,3,"MIR4422","Intron (ENST00000643167.1/ENST00000643167.1, intron 1 of 3)",203171,40.5652
"region_01982","chr1",57461043,57461929,0,1,1,1,0,3,"DAB1","Intron (ENST00000485760.5/1600, intron 7 of 20)",-36983,42.5427
"region_02007","chr1",58584573,58584860,1,1,1,0,0,3,"TACSTD2","Exon (ENST00000767260.1/ENST00000767260.1, exon 2 of 2)",-7321,9.49918
"region_02078","chr1",59696898,59697846,0,1,1,1,0,3,"FGGY","3' UTR",23212,25.7032
"region_02089","chr1",59926034,59927063,0,1,1,1,0,3,"CYP2J2","Promoter (<=1kb)",0,20.0687
"region_02148","chr1",61337654,61339307,1,1,1,0,0,3,"NFIA","Intron (ENST00000371191.5/4774, intron 4 of 10)",60348,18.9984
"region_02167","chr1",62435846,62437405,0,1,1,1,0,3,"USP1","Promoter (<=1kb)",0,12.6741
"region_02182","chr1",62598947,62599617,0,1,1,1,0,3,"ANGPTL3","Promoter (1-2kb)",-1417,16.0774
"region_02190","chr1",62733737,62734716,0,1,1,1,0,3,"LOC124904194","Intron (ENST00000812372.1/ENST00000812372.1, intron 1 of 1)",-19686,36.9007
"region_02239","chr1",64898002,64898652,1,1,1,0,0,3,"JAK1","Intron (ENST00000342505.5/3716, intron 1 of 24)",-28594,7.09662
"region_02257","chr1",65067955,65069184,0,1,1,1,0,3,"JAK1","Promoter (<=1kb)",-201,32.069
"region_02419","chr1",71080765,71081631,0,1,1,1,0,3,"ZRANB2-DT","Promoter (<=1kb)",0,12.0342
"region_02499","chr1",78223425,78224305,0,1,1,1,0,3,"MGC27382","Promoter (<=1kb)",0,18.6935
"region_02587","chr1",82106416,82107179,0,1,1,1,0,3,"ADGRL2","Distal Intergenic",118024,26.8287
"region_02649","chr1",84253938,84254400,1,1,1,0,0,3,"LOC124904808","Exon (ENST00000721911.1/ENST00000721911.1, exon 3 of 3)",-22921,10.6859
"region_02659","chr1",84505099,84507203,0,1,1,1,0,3,"SPATA1","Promoter (<=1kb)",0,61.1631
"region_02743","chr1",86913797,86914567,0,1,1,1,0,3,"SELENOF","Promoter (<=1kb)",0,13.835
"region_02802","chr1",88983863,88984305,0,1,1,1,0,3,"KYAT3","5' UTR",4050,11.6315
"region_02808","chr1",89064630,89065699,0,1,1,1,0,3,"GBP1","Promoter (<=1kb)",0,65.1374
"region_02813","chr1",89128401,89129856,0,1,1,1,0,3,"LOC105378842","Promoter (<=1kb)",0,80.2432
"region_02823","chr1",89407325,89408213,0,1,1,1,0,3,"GBP1P1","Promoter (<=1kb)",0,45.6691
"region_02920","chr1",91827055,91828164,0,1,1,1,0,3,"TGFBR3","Intron (ENST00000533089.5/7049, intron 1 of 19)",33429,24.9582
"region_02946","chr1",92701032,92701784,0,1,1,1,0,3,"EVI5","Intron (ENST00000706885.1/7813, intron 4 of 18)",12309,24.4412
"region_02974","chr1",93042199,93042800,0,1,1,1,0,3,"MTF2","Distal Intergenic",-36435,21.6645
"region_03062","chr1",94300009,94300517,1,1,1,0,0,3,"ARHGAP29-AS1","Promoter (2-3kb)",2820,6.36402
"region_03071","chr1",94329899,94330363,0,1,1,1,0,3,"ARHGAP29-AS1","Promoter (<=1kb)",0,10.7577
"region_03127","chr1",94962366,94963446,0,1,1,1,0,3,"CNN3-DT","Promoter (<=1kb)",0,45.8579
"region_03245","chr1",98405436,98406241,0,1,1,1,0,3,"LINC01776","Distal Intergenic",194689,27.1058
"region_03420","chr1",109370787,109371182,1,1,1,0,0,3,"SORT1","Promoter (1-2kb)",-1198,13.4892
"region_03455","chr1",109909838,109911525,0,1,1,1,0,3,"CSF1","Promoter (<=1kb)",0,71.9346
"region_03537","chr1",112668442,112669123,0,1,1,1,0,3,"CAPZA1","Promoter (1-2kb)",1522,65.7254
"region_03538","chr1",112674114,112675679,0,1,1,1,0,3,"MOV10","Promoter (<=1kb)",0,68.6619
"region_03613","chr1",114716507,114717124,0,1,1,0,1,3,"NRAS","Promoter (<=1kb)",0,10.1647
"region_03875","chr1",145465355,145465907,0,1,1,1,0,3,"RNVU1-31","Promoter (<=1kb)",0,40.1684
"region_03918","chr1",146051653,146052315,1,1,1,0,0,3,"RNVU1-6","Promoter (<=1kb)",0,23.0823
"region_03922","chr1",146376766,146377564,1,1,1,0,0,3,"LOC124904613","Promoter (<=1kb)",0,31.8667
"region_04027","chr1",149886295,149888656,1,1,1,0,0,3,"H2AC21","Promoter (<=1kb)",0,18.3314
"region_04088","chr1",150578491,150580024,0,1,1,0,1,3,"LOC107985203","Promoter (<=1kb)",0,31.833
"region_04123","chr1",151165779,151166248,0,1,1,0,1,3,"LYSMD1","Promoter (<=1kb)",0,15.1987
"region_04131","chr1",151280935,151283126,0,1,1,0,1,3,"ZNF687-AS1","Promoter (<=1kb)",0,22.527
"region_04135","chr1",151327295,151328508,0,1,1,1,0,3,"RFX5-AS1","Promoter (<=1kb)",0,13.2439
"region_04247","chr1",154606689,154609173,0,1,1,1,0,3,"ADAR","Promoter (<=1kb)",0,148.723
"region_04261","chr1",154972327,154973280,0,1,1,1,0,3,"SHC1","Promoter (1-2kb)",1056,65.2922
"region_04262","chr1",154973433,154976285,0,1,1,0,1,3,"MIR4258","Promoter (<=1kb)",0,28.9998
"region_04306","chr1",155323007,155324824,0,1,1,1,0,3,"RUSC1","Promoter (<=1kb)",0,70.0767
"region_04452","chr1",160342993,160343533,0,1,1,0,1,3,"COPA","Promoter (<=1kb)",0,8.07961
"region_04470","chr1",161013571,161014660,0,1,1,1,0,3,"F11R","Intron (ENST00000368026.11/50848, intron 1 of 9)",6436,76.9445
"region_04721","chr1",168465949,168466893,1,1,1,0,0,3,"LOC101928565","Intron (ENST00000823039.1/ENST00000823039.1, intron 3 of 3)",28747,23.1737
"region_04725","chr1",168495284,168496174,0,1,1,1,0,3,"LOC101928565","Promoter (<=1kb)",0,56.7216
"region_04778","chr1",169367599,169368823,0,1,1,1,0,3,"NME7","Promoter (<=1kb)",0,54.9145
"region_04883","chr1",172745931,172746872,1,1,1,0,0,3,"FASLG","Intron (ENST00000725727.1/ENST00000725727.1, intron 1 of 1)",86787,26.6918
"region_04884","chr1",172778396,172779001,0,1,1,1,0,3,"LOC105371618","Intron (ENST00000725755.1/ENST00000725755.1, intron 1 of 2)",57062,22.975
"region_04977","chr1",177209337,177209835,1,1,1,0,0,3,"BRINP2","Intron (ENST00000361539.5/57795, intron 1 of 7)",38379,14.0096
"region_04999","chr1",177969001,177970771,0,1,1,1,0,3,"SEC16B","Promoter (<=1kb)",0,60.1038
"region_05052","chr1",179186435,179186997,0,1,1,1,0,3,"LOC124900429","Intron (ENST00000502732.6/27, intron 1 of 11)",-14490,29.0536
"region_05076","chr1",179881302,179883100,0,1,1,1,0,3,"TOR1AIP1","Promoter (<=1kb)",0,51.0729
"region_05174","chr1",183470088,183472304,0,1,1,1,0,3,"SMG7-AS1","Promoter (<=1kb)",0,52.1356
"region_05210","chr1",184491528,184492521,0,1,1,1,0,3,"C1orf21","Intron (ENST00000235307.7/81563, intron 2 of 5)",-12016,36.3263
"region_05239","chr1",185646048,185646714,1,1,1,0,0,3,"GS1-204I12.4","Promoter (<=1kb)",0,25.1456
"region_05342","chr1",192739229,192739986,0,1,1,1,0,3,"LOC105371664","Promoter (<=1kb)",0,41.8741
"region_05358","chr1",193121723,193122753,0,1,1,1,0,3,"LOC124904474","Promoter (<=1kb)",0,25.5614
"region_05387","chr1",194705063,194705519,0,1,1,1,0,3,"LOC107985242","Intron (ENST00000838348.1/ENST00000838348.1, intron 1 of 2)",-347033,22.504
"region_05410","chr1",196437715,196439220,0,1,1,1,0,3,"KCNT2","Intron (ENST00000367433.9/343450, intron 8 of 26)",-9508,102.033
"region_05419","chr1",196557827,196559865,0,1,1,1,0,3,"MIR4735","Intron (ENST00000367433.9/343450, intron 1 of 26)",22616,77.2341
"region_05467","chr1",197620578,197621304,0,1,1,1,0,3,"DENND1B","Intron (ENST00000620048.6/163486, intron 10 of 22)",37046,38.586
"region_05495","chr1",197994829,197995926,0,1,1,1,0,3,"LHX9","Exon (ENST00000815083.1/ENST00000815083.1, exon 1 of 2)",77457,34.2799
"region_05569","chr1",200371820,200372602,1,1,1,0,0,3,"LINC00862","Promoter (<=1kb)",0,37.182
