"seqnames","start","end","width","strand","logFC","logCPM","F","PValue","FDR","status","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",6028445,6029037,593,"*",0.7605884843501,-1.4406461755551,12.349795775978,0.000677213020221547,0.0450187479004817,"Gained","Promoter (1-2kb)",1,6027297,6101180,73884,1,"8514","ENST00000669250.1",1148,"ENSG00000069424","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
"chr1",6063230,6063713,484,"*",1.05577808716617,-2.11725253407122,13.5675403117868,0.000382296261105501,0.0324011003196273,"Gained","Promoter (2-3kb)",1,6065753,6100023,34271,1,"8514","ENST00000662363.1",-2040,"ENSG00000069424","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
"chr1",6082089,6083773,1685,"*",0.583615226094627,-0.18256001794914,15.0541667039574,0.000192389446837572,0.0217170673275229,"Gained","3' UTR",1,6087501,6092187,4687,1,"8514","ENST00000656607.1",-3728,"ENSG00000069424","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
"chr1",12348427,12348655,229,"*",1.3561414292679,-2.58077301393627,13.7864303717816,0.000343789293140405,0.0305752535545298,"Gained","Intron (ENST00000620676.6/55187, intron 44 of 69)",1,12344865,12349249,4385,1,"55187","ENST00000469054.1",3562,"ENSG00000048707","VPS13D","vacuolar protein sorting 13 homolog D"
"chr1",23318797,23319481,685,"*",0.910545136604359,-1.493429200333,16.1432719924045,0.000117447850231573,0.0161181672785582,"Gained","Intron (ENST00000302271.11/10236, intron 7 of 10)",1,23303963,23313601,9639,2,"10236","ENST00000641107.1",-5196,"ENSG00000125944","HNRNPR","heterogeneous nuclear ribonucleoprotein R"
"chr1",31118521,31119693,1173,"*",0.745671970731226,-0.716927502009771,18.6680888883738,3.82081280392456e-05,0.00756294168011769,"Gained","Distal Intergenic",1,31154475,31156134,1660,1,"107984935","ENST00000833009.1",-34782,"ENSG00000308292","LOC107984935","uncharacterized LOC107984935"
"chr1",35187923,35188489,567,"*",0.888655559034846,-1.7671280842604,12.7095075278582,0.000571530476213489,0.0408261460925329,"Gained","Promoter (<=1kb)",1,35176378,35188042,11665,2,"6421","ENST00000460428.5",0,"ENSG00000116560","SFPQ","splicing factor proline and glutamine rich"
"chr1",36060764,36061107,344,"*",1.08606075328926,-2.24413631116902,13.2607852318561,0.000440956498376443,0.0353006846057602,"Gained","3' UTR",1,36043264,36055262,11999,1,"192669","ENST00000471099.1",17500,"ENSG00000126070","AGO3","argonaute RISC catalytic component 3"
"chr1",41910284,41911040,757,"*",1.03781757078546,-1.5620899597906,17.8443111451694,5.49615362829336e-05,0.00973606199610108,"Gained","Intron (ENST00000372584.5/59269, intron 1 of 7)",1,41847191,41918669,71479,2,"59269","ENST00000491442.5",7629,"ENSG00000127124","HIVEP3","HIVEP zinc finger 3"
"chr1",44494011,44494637,627,"*",0.741748109057488,-1.24613517933171,12.7966022491642,0.000548331987989904,0.0398154075243942,"Gained","Intron (ENST00000355387.6/55182, intron 2 of 14)",1,44545493,44545552,60,1,"100847089","ENST00000581357.1",-50856,"ENSG00000263381","MIR5584","microRNA 5584"
"chr1",45406725,45407659,935,"*",0.712775876345532,-0.792872648403661,17.0261480026019,7.89772973720572e-05,0.0122942369535731,"Gained","Intron (ENST00000671898.1/4595, intron 3 of 20)",1,45398733,45457621,58889,2,"10420","ENST00000493974.1",49962,"ENSG00000070759","TESK2","testis associated actin remodelling kinase 2"
"chr1",46066026,46066353,328,"*",1.149471569871,-2.15170221415043,13.6450793660513,0.000368663949332362,0.0317888548056173,"Gained","Exon (ENST00000262741.10/8503, exon 5 of 10)",1,46042641,46057434,14794,2,"8503","ENST00000488808.1",-8592,"ENSG00000117461","PIK3R3","phosphoinositide-3-kinase regulatory subunit 3"
"chr1",48111640,48112213,574,"*",0.957987915314705,-1.85680717262282,14.2364954205584,0.000280404046971616,0.0273837015175413,"Gained","Intron (ENST00000604015.1/391037, intron 1 of 1)",1,48096092,48127948,31857,2,"391037","ENST00000604015.1",15735,NA,"SKINT1L","Skint1 like (pseudogene)"
"chr1",50596699,50596989,291,"*",1.33993046889689,-2.55545991664095,14.4831108307895,0.00024914594630526,0.0255850025658904,"Gained","Intron (ENST00000396153.7/11124, intron 8 of 18)",1,50539592,50606944,67353,2,"11124","ENST00000472808.1",9955,"ENSG00000185104","FAF1","Fas associated factor 1"
"chr1",50661232,50662127,896,"*",0.780170545324875,-1.25885877156649,13.7153284723741,0.000356797760498369,0.0312759379833634,"Gained","Intron (ENST00000396153.7/11124, intron 7 of 18)",1,50441276,50706051,264776,2,"11124","ENST00000494400.5",43924,"ENSG00000185104","FAF1","Fas associated factor 1"
"chr1",50671038,50671628,591,"*",0.853763780518123,-1.68059100003958,13.1680832315327,0.00046075747360026,0.0360439948740129,"Gained","Intron (ENST00000396153.7/11124, intron 7 of 18)",1,50441276,50706051,264776,2,"11124","ENST00000494400.5",34423,"ENSG00000185104","FAF1","Fas associated factor 1"
"chr1",50680418,50682989,2572,"*",0.534643866671489,0.248266469873833,16.9744331797437,8.07973314486694e-05,0.0124823851125397,"Gained","Intron (ENST00000396153.7/11124, intron 7 of 18)",1,50441276,50706051,264776,2,"11124","ENST00000494400.5",23062,"ENSG00000185104","FAF1","Fas associated factor 1"
"chr1",50728104,50728486,383,"*",1.02836050379793,-1.86027813570772,16.9212441863512,8.28595979727305e-05,0.0127028147417674,"Gained","Intron (ENST00000396153.7/11124, intron 6 of 18)",1,50441276,50706051,264776,2,"11124","ENST00000494400.5",-22053,"ENSG00000185104","FAF1","Fas associated factor 1"
"chr1",53799410,53799805,396,"*",0.954304079242652,-1.92200593845737,14.183906050632,0.000287300195153185,0.0277202346045153,"Gained","Intron (ENST00000371429.4/55706, intron 11 of 17)",1,53771018,53771153,136,2,"124900439","ENST00000364133.1",-28257,"ENSG00000201003","LOC124900439","small nucleolar RNA SNORA58"
"chr1",56384490,56385334,845,"*",0.771060190953871,-1.19302208248042,15.0735438856716,0.00019079259264878,0.021639197606154,"Gained","Promoter (1-2kb)",1,56236088,56383219,147132,2,"124904186","ENST00000641155.1",-1271,NA,"LOC124904186","uncharacterized LOC124904186"
"chr1",61387753,61388092,340,"*",1.04868327533009,-2.20205636621691,13.0722714141407,0.000481745503480072,0.0369588038537823,"Gained","Intron (ENST00000371191.5/4774, intron 7 of 10)",1,61404076,61458037,53962,1,"4774","ENST00000357977.5",-15984,"ENSG00000162599","NFIA","nuclear factor I A"
"chr1",90048710,90049137,428,"*",0.945435781348599,-1.82743690227546,13.5667908865643,0.000382511906513356,0.0324011003196273,"Gained","Distal Intergenic",1,89995137,90035531,40395,1,"284695","ENST00000370447.3",53573,"ENSG00000162664","ZNF326","zinc finger protein 326"
"chr1",108985078,108985868,791,"*",0.712404568944391,-1.09206840764992,13.7548164420168,0.000350259705191903,0.0309097632298682,"Gained","Intron (ENST00000400794.7/22911, intron 10 of 14)",1,108927418,108963527,36110,2,"23155","ENST00000691556.1",-21551,"ENSG00000121940","CLCC1","chloride channel CLIC like 1"
"chr1",111050979,111051469,491,"*",1.01880684294255,-1.94231440720164,15.6551693704612,0.000146504957411592,0.0184184657020131,"Gained","Distal Intergenic",1,111118560,111120596,2037,2,"128338","ENST00000477588.5",69127,"ENSG00000156171","DRAM2","DNA damage regulated autophagy modulator 2"
"chr1",113029317,113031159,1843,"*",0.455853174136519,0.178718555776505,12.2593579718913,0.000706450246190809,0.0461296091492181,"Gained","Intron (ENST00000413231.6/105378912, intron 4 of 4)",1,112978620,113008479,29860,2,"107985189","ENST00000765141.1",-20838,NA,"LOC107985189","uncharacterized LOC107985189"
"chr1",113581189,113581817,629,"*",0.839306507350104,-1.28175432901785,17.3833638981276,6.73949842377242e-05,0.0111307119659501,"Gained","Intron (ENST00000307546.14/260425, intron 3 of 20)",1,113699875,113705981,6107,2,"10745","ENST00000481652.1",124164,"ENSG00000116793","PHTF1","putative homeodomain transcription factor 1"
"chr1",116026393,116026750,358,"*",1.03602329889139,-1.83488443958986,16.3661371718039,0.00010626694360214,0.0150511628349822,"Gained","Intron (ENST00000369503.9/55356, intron 4 of 11)",1,116032677,116037527,4851,1,"55356","ENST00000481127.1",-5927,"ENSG00000163393","SLC22A15","solute carrier family 22 member 15"
"chr1",152849690,152850090,401,"*",0.96360479198067,-1.88478207390125,13.4252848397927,0.000408600099864059,0.0336519094760266,"Gained","Distal Intergenic",1,152842856,152843983,1128,1,"448835","ENST00000431011.3",6834,"ENSG00000235942","LCE6A","late cornified envelope 6A"
