"seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",4650539,4650741,203,"*","Distal Intergenic",1,4654609,4792534,137926,1,"55966","ENST00000378191.5",-3868,"ENSG00000196581","AJAP1","adherens junctions associated protein 1"
"chr1",8701605,8701836,232,"*","Promoter (1-2kb)",1,8656193,8703219,47027,2,"473","ENST00000468247.1",1383,"ENSG00000142599","RERE","arginine-glutamic acid dipeptide repeats"
"chr1",8873582,8873863,282,"*","Promoter (1-2kb)",1,8866009,8871944,5936,2,"2023","ENST00000645600.1",-1638,"ENSG00000074800","ENO1","enolase 1"
"chr1",11908111,11908535,425,"*","Promoter (<=1kb)",1,11908147,11913232,5086,1,"124903843","ENST00000650448.1",0,NA,"LOC124903843","uncharacterized LOC124903843"
"chr1",12478157,12478462,306,"*","Promoter (<=1kb)",1,12478549,12506972,28424,1,"55187","ENST00000645148.1",-87,"ENSG00000048707","VPS13D","vacuolar protein sorting 13 homolog D"
"chr1",12480823,12481036,214,"*","Promoter (2-3kb)",1,12478549,12506972,28424,1,"55187","ENST00000645148.1",2274,"ENSG00000048707","VPS13D","vacuolar protein sorting 13 homolog D"
"chr1",24003540,24003786,247,"*","Intron (ENST00000761050.1/105376863, intron 1 of 3)",1,24019034,24036592,17559,1,"105376863","ENST00000761059.1",-15248,NA,"LOC105376863","uncharacterized LOC105376863"
"chr1",24683592,24683892,301,"*","Intron (ENST00000825013.1/ENST00000825013.1, intron 1 of 3)",1,24669583,24671469,1887,1,"10250","ENST00000474843.1",14009,"ENSG00000133226","SRRM1","serine and arginine repetitive matrix 1"
"chr1",28438078,28438293,216,"*","Promoter (<=1kb)",1,28438151,28460286,22136,1,"65979","ENST00000633167.1",0,"ENSG00000204138","PHACTR4","phosphatase and actin regulator 4"
"chr1",39183899,39184173,275,"*","Intron (ENST00000361689.7/23499, intron 2 of 93)",1,39204695,39254375,49681,1,"23499","ENST00000494012.1",-20522,"ENSG00000127603","MACF1","microtubule actin crosslinking factor 1"
"chr1",39192265,39192470,206,"*","Intron (ENST00000361689.7/23499, intron 2 of 93)",1,39204695,39254375,49681,1,"23499","ENST00000494012.1",-12225,"ENSG00000127603","MACF1","microtubule actin crosslinking factor 1"
"chr1",40711449,40711748,300,"*","Promoter (1-2kb)",1,40709543,40770940,61398,1,"4802","ENST00000372651.5",1906,"ENSG00000066136","NFYC","nuclear transcription factor Y subunit gamma"
"chr1",41372282,41372489,208,"*","Intron (ENST00000372591.1/100132074, intron 1 of 1)",1,41375004,41375669,666,2,"101929901","ENST00000429109.1",3180,"ENSG00000229901","FOXO6-AS1","FOXO6 antisense RNA 1"
"chr1",41955525,41956217,693,"*","Intron (ENST00000489103.5/59269, intron 1 of 3)",1,41506365,41918922,412558,2,"59269","ENST00000372583.6",-36603,"ENSG00000127124","HIVEP3","HIVEP zinc finger 3"
"chr1",42484434,42484688,255,"*","Promoter (1-2kb)",1,42482755,42581429,98675,1,"728621","ENST00000653735.1",1679,"ENSG00000186409","CCDC30","coiled-coil domain containing 30"
"chr1",42967165,42967496,332,"*","Intron (ENST00000755359.1/440584, intron 2 of 3)",1,42959519,42983357,23839,1,"440584","ENST00000755358.1",7646,"ENSG00000227533","SLC2A1-DT","SLC2A1 divergent transcript"
"chr1",43836560,43836918,359,"*","Promoter (1-2kb)",1,43838250,43931139,92890,1,"6487","ENST00000644645.1",-1332,"ENSG00000126091","ST3GAL3","ST3 beta-galactoside alpha-2,3-sialyltransferase 3"
"chr1",44327883,44328144,262,"*","Intron (ENST00000372257.7/79033, intron 3 of 8)",1,44221070,44323043,101974,2,"79033","ENST00000372259.9",-4840,"ENSG00000117419","ERI3","ERI1 exoribonuclease family member 3"
"chr1",45892445,45892787,343,"*","Intron (ENST00000470809.1/23139, intron 4 of 4)",1,45913588,46030759,117172,1,"23139","ENST00000372008.6",-20801,"ENSG00000086015","MAST2","microtubule associated serine/threonine kinase 2"
"chr1",50873380,50873890,511,"*","Intron (ENST00000396153.7/11124, intron 1 of 18)",1,50705784,50959738,253955,2,"11124","ENST00000487898.1",85848,"ENSG00000185104","FAF1","Fas associated factor 1"
"chr1",55429198,55429435,238,"*","Intron (ENST00000643167.1/ENST00000643167.1, intron 1 of 3)",1,55225641,55225723,83,1,"100616272","ENST00000581938.1",203557,"ENSG00000265822","MIR4422","microRNA 4422"
"chr1",56376808,56377043,236,"*","Promoter (<=1kb)",1,56248294,56376202,127909,2,"124904186","ENST00000641442.1",-606,NA,"LOC124904186","uncharacterized LOC124904186"
"chr1",57411291,57411537,247,"*","Intron (ENST00000371236.7/1600, intron 1 of 14)",1,57070734,57424057,353324,2,"1600","ENST00000371230.1",12520,"ENSG00000173406","DAB1","DAB adaptor protein 1"
"chr1",58041572,58041919,348,"*","Intron (ENST00000485760.5/1600, intron 5 of 20)",1,57826071,57884085,58015,2,"1600","ENST00000477280.1",-157487,"ENSG00000173406","DAB1","DAB adaptor protein 1"
"chr1",58584573,58584801,229,"*","Exon (ENST00000767260.1/ENST00000767260.1, exon 2 of 2)",1,58575433,58577252,1820,2,"4070","ENST00000371225.4",-7321,"ENSG00000184292","TACSTD2","tumor associated calcium signal transducer 2"
"chr1",58755309,58755656,348,"*","Exon (ENST00000767021.1/112268263, exon 5 of 5)",1,58780791,58784047,3257,2,"3725","ENST00000371222.4",28391,"ENSG00000177606","JUN","Jun proto-oncogene, AP-1 transcription factor subunit"
"chr1",59360249,59360452,204,"*","Intron (ENST00000413489.5/55277, intron 4 of 4)",1,59393208,59626023,232816,1,"55277","ENST00000475949.5",-32756,"ENSG00000172456","FGGY","FGGY carbohydrate kinase domain containing"
"chr1",61287916,61288120,205,"*","Intron (ENST00000371191.5/4774, intron 3 of 10)",1,61277306,61457876,180571,1,"4774","ENST00000655770.1",10610,"ENSG00000162599","NFIA","nuclear factor I A"
"chr1",61337825,61338419,595,"*","Intron (ENST00000371191.5/4774, intron 4 of 10)",1,61277306,61457876,180571,1,"4774","ENST00000655770.1",60519,"ENSG00000162599","NFIA","nuclear factor I A"
